Tanggal,Actual,Predicted
2015-04-14,359.99999999999994,234.64607
2015-04-15,359.99999999999994,261.4012
2015-04-16,340.0,274.65787
2015-04-17,260.0,278.8821
2015-04-18,130.0,269.73425
2015-04-19,290.0,240.32555
2015-04-20,340.0,256.2841
2015-04-21,330.0,272.24826
2015-04-22,330.0,278.48633
2015-04-23,359.99999999999994,281.8623
2015-04-24,359.99999999999994,288.53986
2015-04-25,350.0,292.6209
2015-04-26,160.0,293.70587
2015-04-27,350.0,264.0347
2015-04-28,260.0,282.30527
2015-04-29,359.99999999999994,275.6802
2015-04-30,359.99999999999994,288.2604
2015-05-01,359.99999999999994,293.95807
2015-05-02,20.0,296.8394
2015-05-03,189.99999999999997,238.64548
2015-05-04,179.99999999999997,241.22717
2015-05-05,170.0,238.47717
2015-05-06,160.0,233.33519
2015-05-07,179.99999999999997,226.7622
2015-05-08,350.0,225.2939
2015-05-09,130.0,256.60733
2015-05-10,179.99999999999997,229.78517
2015-05-11,170.0,224.60323
2015-05-12,170.0,218.99025
2015-05-13,189.99999999999997,214.27168
2015-05-14,170.0,214.98093
2015-05-15,150.0,209.68813
2015-05-16,160.0,201.30743
2015-05-17,160.0,197.46104
2015-05-18,179.99999999999997,194.28171
2015-05-19,200.0,195.82132
2015-05-20,160.0,199.64671
2015-05-21,359.99999999999994,192.97928
2015-05-22,160.0,228.38078
2015-05-23,200.0,209.9204
2015-05-24,170.0,207.2155
2015-05-25,340.0,199.9565
2015-05-26,340.0,229.68227
2015-05-27,170.0,247.32948
2015-05-28,160.0,225.0346
2015-05-29,170.0,211.12779
2015-05-30,160.0,205.31421
2015-05-31,170.0,199.49858
2015-06-01,179.99999999999997,197.36865
2015-06-02,179.99999999999997,198.27617
2015-06-03,170.0,197.92078
2015-06-04,170.0,195.20654
2015-06-05,170.0,193.19757
2015-06-06,160.0,191.62277
2015-06-07,179.99999999999997,188.25401
2015-06-08,160.0,189.38684
2015-06-09,170.0,186.1973
2015-06-10,170.0,185.78442
2015-06-11,170.0,185.28561
2015-06-12,175.0,184.69331
2015-06-13,179.99999999999997,185.0286
2015-06-14,170.0,186.06708
2015-06-15,170.0,184.62631
2015-06-16,179.99999999999997,183.59918
2015-06-17,160.0,184.83656
2015-06-18,170.0,181.50864
2015-06-19,170.0,181.18144
2015-06-20,160.0,180.97533
2015-06-21,179.99999999999997,178.25797
2015-06-22,170.0,180.68114
2015-06-23,179.99999999999997,180.03539
2015-06-24,160.0,181.52885
2015-06-25,160.0,178.2044
2015-06-26,170.0,176.06111
2015-06-27,170.0,176.9414
2015-06-28,179.99999999999997,177.44774
2015-06-29,179.99999999999997,179.59604
2015-06-30,160.0,180.9557
2015-07-01,170.0,177.93994
2015-07-02,179.99999999999997,178.04321
2015-07-03,179.99999999999997,180.09583
2015-07-04,170.0,181.3857
2015-07-05,160.0,180.26898
2015-07-06,170.0,177.7101
2015-07-07,170.0,178.12808
2015-07-08,160.0,178.33388
2015-07-09,170.0,176.50359
2015-07-10,170.0,177.2125
2015-07-11,170.0,177.61035
2015-07-12,150.0,177.78607
2015-07-13,359.99999999999994,174.02325
2015-07-14,110.0,212.51027
2015-07-15,120.0,187.4258
2015-07-16,170.0,174.77914
2015-07-17,160.0,177.30939
2015-07-18,170.0,176.84335
2015-07-19,179.99999999999997,178.049
2015-07-20,160.0,180.52318
2015-07-21,200.0,178.07434
2015-07-22,170.0,184.2255
2015-07-23,160.0,182.27263
2015-07-24,170.0,179.10138
2015-07-25,179.99999999999997,179.23077
2015-07-26,160.0,181.2651
2015-07-27,179.99999999999997,178.56189
2015-07-28,160.0,180.71474
2015-07-29,170.0,178.16464
2015-07-30,160.0,178.44069
2015-07-31,170.0,176.70898
2015-08-01,179.99999999999997,177.44722
2015-08-02,160.0,179.7563
2015-08-03,179.99999999999997,177.25934
2015-08-04,170.0,179.55345
2015-08-05,170.0,179.11212
2015-08-06,170.0,178.79619
2015-08-07,179.99999999999997,178.63112
2015-08-08,179.99999999999997,180.49739
2015-08-09,260.0,181.6584
2015-08-10,200.0,198.26149
2015-08-11,160.0,196.93861
2015-08-12,170.0,188.56067
2015-08-13,170.0,185.59872
2015-08-14,170.0,184.51862
2015-08-15,310.0,183.8352
2015-08-16,60.0,211.09253
2015-08-17,200.0,178.07483
2015-08-18,170.0,185.87563
2015-08-19,189.99999999999997,185.10493
2015-08-20,189.99999999999997,188.23082
2015-08-21,150.0,190.0035
2015-08-22,179.99999999999997,183.1733
2015-08-23,179.99999999999997,184.93182
2015-08-24,160.0,186.00018
2015-08-25,189.99999999999997,182.53247
2015-08-26,170.0,186.26202
2015-08-27,179.99999999999997,184.54144
2015-08-28,189.99999999999997,185.40227
2015-08-29,179.99999999999997,187.91597
2015-08-30,179.99999999999997,187.5128
2015-08-31,200.0,187.28891
2015-09-01,179.99999999999997,191.19933
2015-09-02,170.0,189.75845
2015-09-03,179.99999999999997,186.9164
2015-09-04,179.99999999999997,187.28238
2015-09-05,170.0,187.51775
2015-09-06,179.99999999999997,185.61781
2015-09-07,179.99999999999997,186.3413
2015-09-08,189.99999999999997,186.75098
2015-09-09,170.0,188.74
2015-09-10,89.99999999999999,186.09325
2015-09-11,179.99999999999997,169.13686
2015-09-12,189.99999999999997,175.6596
2015-09-13,179.99999999999997,181.47556
2015-09-14,179.99999999999997,182.70192
2015-09-15,200.0,182.99153
2015-09-16,160.0,187.74142
2015-09-17,189.99999999999997,182.65787
2015-09-18,200.0,185.59042
2015-09-19,350.0,189.54234
2015-09-20,359.99999999999994,221.71112
2015-09-21,189.99999999999997,243.2463
2015-09-22,340.0,224.59923
2015-09-23,160.0,245.0302
2015-09-24,160.0,222.86797
2015-09-25,170.0,210.76021
2015-09-26,359.99999999999994,206.12328
2015-09-27,189.99999999999997,240.98557
2015-09-28,359.99999999999994,227.85464
2015-09-29,350.0,253.56885
2015-09-30,359.99999999999994,266.06937
2015-10-01,170.0,275.33667
2015-10-02,340.0,248.30759
2015-10-03,330.0,266.60065
2015-10-04,310.0,274.2385
2015-10-05,359.99999999999994,275.66965
2015-10-06,20.0,284.97556
2015-10-07,350.0,227.2814
2015-10-08,359.99999999999994,261.8411
2015-10-09,359.99999999999994,278.653
2015-10-10,350.0,286.68732
2015-10-11,160.0,289.944
2015-10-12,350.0,260.70837
2015-10-13,359.99999999999994,279.62198
2015-10-14,350.0,289.1372
2015-10-15,170.0,292.49014
2015-10-16,170.0,265.40005
2015-10-17,359.99999999999994,250.70377
2015-10-18,350.0,276.99423
2015-10-19,150.0,286.5395
2015-10-20,70.0,257.22632
2015-10-21,350.0,223.40402
2015-10-22,160.0,260.69592
2015-10-23,330.0,242.39552
2015-10-24,350.0,264.4773
2015-10-25,359.99999999999994,277.92838
2015-10-26,20.0,286.14377
2015-10-27,20.0,227.64748
2015-10-28,88.0,193.9304
2015-10-29,350.0,186.57683
2015-10-30,10.0,232.95906
2015-10-31,189.99999999999997,188.10355
2015-11-01,350.0,197.37747
2015-11-02,20.0,233.73933
2015-11-03,170.0,187.15811
2015-11-04,20.0,189.69478
2015-11-05,359.99999999999994,161.61223
2015-11-06,350.0,209.2008
2015-11-07,359.99999999999994,235.43658
2015-11-08,359.99999999999994,251.82945
2015-11-09,179.99999999999997,262.4293
2015-11-10,150.0,237.30708
2015-11-11,179.99999999999997,218.36969
2015-11-12,170.0,213.81268
2015-11-13,170.0,208.58653
2015-11-14,179.99999999999997,204.68913
2015-11-15,359.99999999999994,203.99202
2015-11-16,160.0,238.7691
2015-11-17,20.0,219.14172
2015-11-18,359.99999999999994,178.98555
2015-11-19,170.0,223.8331
2015-11-20,160.0,212.69025
2015-11-21,179.99999999999997,202.67833
2015-11-22,20.0,201.32744
2015-11-23,359.99999999999994,168.21346
2015-11-24,179.99999999999997,213.9933
2015-11-25,359.99999999999994,206.17412
2015-11-26,130.0,237.13123
2015-11-27,359.99999999999994,210.69295
2015-11-28,359.99999999999994,241.97232
2015-11-29,160.0,259.08963
2015-11-30,359.99999999999994,232.94803
2015-12-01,150.0,257.8777
2015-12-02,160.0,231.77809
2015-12-03,160.0,219.88942
2015-12-04,50.0,212.53891
2015-12-05,189.99999999999997,184.98676
2015-12-06,80.0,195.1488
2015-12-07,220.0,177.60762
2015-12-08,359.99999999999994,193.0806
2015-12-09,359.99999999999994,229.31407
2015-12-10,179.99999999999997,250.0578
2015-12-11,20.0,228.94612
2015-12-12,359.99999999999994,184.6745
2015-12-13,20.0,228.08783
2015-12-14,359.99999999999994,184.67737
2015-12-15,80.0,226.78268
2015-12-16,50.0,194.94597
2015-12-17,300.0,170.4181
2015-12-18,100.0,204.66394
2015-12-19,130.0,184.32796
2015-12-20,270.0,177.39978
2015-12-21,60.0,200.65918
2015-12-22,340.0,172.83125
2015-12-23,280.0,210.76152
2015-12-24,280.0,222.07506
2015-12-25,340.0,229.4062
2015-12-26,80.0,245.86803
2015-12-27,350.0,205.45192
2015-12-28,330.0,237.39742
2015-12-29,350.0,251.73772
2015-12-30,350.0,264.07465
2015-12-31,340.0,271.68893
2016-01-01,170.0,276.00214
2016-01-02,200.0,249.65414
2016-01-03,170.0,241.83163
2016-01-04,340.0,231.45084
2016-01-05,80.0,258.16156
2016-01-06,80.0,221.01031
2016-01-07,340.0,198.75731
2016-01-08,179.99999999999997,237.93745
2016-01-09,140.0,227.23204
2016-01-10,340.0,211.93399
2016-01-11,10.0,243.74742
2016-01-12,30.0,193.57593
2016-01-13,179.99999999999997,169.57924
2016-01-14,340.0,182.35887
2016-01-15,80.0,221.25035
2016-01-16,80.0,191.2203
2016-01-17,30.0,172.68005
2016-01-18,100.0,153.32643
2016-01-19,340.0,152.5994
2016-01-20,350.0,195.01767
2016-01-21,340.0,224.13622
2016-01-22,350.0,239.00868
2016-01-23,170.0,251.17662
2016-01-24,350.0,226.07289
2016-01-25,30.0,248.59401
2016-01-26,10.0,198.67256
2016-01-27,250.0,166.88377
2016-01-28,359.99999999999994,193.318
2016-01-29,359.99999999999994,230.16719
2016-01-30,10.0,250.38106
2016-01-31,350.0,193.46631
2016-02-01,340.0,230.80049
2016-02-02,359.99999999999994,250.11371
2016-02-03,359.99999999999994,264.4867
2016-02-04,20.0,273.19342
2016-02-05,350.0,214.7082
2016-02-06,300.0,249.81416
2016-02-07,260.0,258.3277
2016-02-08,290.0,256.11447
2016-02-09,150.0,261.23148
2016-02-10,340.0,237.19731
2016-02-11,359.99999999999994,261.57938
2016-02-12,350.0,276.62717
2016-02-13,350.0,282.85428
2016-02-14,359.99999999999994,286.69748
2016-02-15,160.0,291.2109
2016-02-16,240.0,261.42722
2016-02-17,350.0,261.11505
2016-02-18,160.0,279.2645
2016-02-19,330.0,254.36108
2016-02-20,350.0,272.40048
2016-02-21,350.0,283.38763
2016-02-22,150.0,288.70566
2016-02-23,340.0,258.35382
2016-02-24,80.0,276.90805
2016-02-25,330.0,237.25613
2016-02-26,359.99999999999994,264.88174
2016-02-27,350.0,281.2793
2016-02-28,350.0,287.27795
2016-02-29,359.99999999999994,290.59055
2016-03-01,70.0,294.56168
2016-03-02,340.0,246.42044
2016-03-03,270.0,272.2761
2016-03-04,350.0,271.60458
2016-03-05,20.0,283.91983
2016-03-06,340.0,228.67287
2016-03-07,330.0,262.14343
2016-03-08,359.99999999999994,275.0297
2016-03-09,240.0,285.54877
2016-03-10,350.0,272.0388
2016-03-11,150.0,284.0258
2016-03-12,179.99999999999997,255.08511
2016-03-13,350.0,244.94781
2016-03-14,30.0,270.47055
2016-03-15,280.0,220.51546
2016-03-16,150.0,243.73479
2016-03-17,179.99999999999997,228.96436
2016-03-18,350.0,225.49623
2016-03-19,350.0,255.57594
2016-03-20,350.0,270.48282
2016-03-21,10.0,278.08273
2016-03-22,300.0,217.73308
2016-03-23,170.0,243.9811
2016-03-24,340.0,231.72423
2016-03-25,70.0,256.87115
2016-03-26,359.99999999999994,217.07103
2016-03-27,350.0,252.39926
2016-03-28,350.0,267.8969
2016-03-29,359.99999999999994,276.03436
2016-03-30,350.0,282.64682
2016-03-31,350.0,285.52026
2016-04-01,350.0,288.50616
2016-04-02,359.99999999999994,290.5955
2016-04-03,350.0,293.85577
2016-04-04,160.0,294.57742
2016-04-05,160.0,265.10953
2016-04-06,130.0,248.57375
2016-04-07,340.0,232.15958
2016-04-08,160.0,263.10977
2016-04-09,350.0,244.13167
2016-04-10,359.99999999999994,268.8586
2016-04-11,20.0,281.8494
2016-04-12,350.0,225.1059
2016-04-13,189.99999999999997,260.0023
2016-04-14,130.0,247.53815
2016-04-15,170.0,227.03833
2016-04-16,100.0,223.24936
2016-04-17,100.0,204.81622
2016-04-18,320.0,192.11104
2016-04-19,160.0,228.06071
2016-04-20,20.0,215.12976
2016-04-21,150.0,178.36679
2016-04-22,340.0,181.38649
