Tanggal,Actual,Predicted
2015-04-14,5.0,5.3239355
2015-04-15,5.999999999999999,5.298816
2015-04-16,8.0,5.3866525
2015-04-17,4.0,5.732838
2015-04-18,2.0,5.5102577
2015-04-19,2.9999999999999996,5.075505
2015-04-20,5.0,4.853717
2015-04-21,5.999999999999999,4.897965
2015-04-22,5.999999999999999,5.0726085
2015-04-23,5.0,5.2258406
2015-04-24,5.999999999999999,5.22208
2015-04-25,5.999999999999999,5.321922
2015-04-26,5.0,5.4163165
2015-04-27,5.999999999999999,5.368315
2015-04-28,2.9999999999999996,5.443452
2015-04-29,7.0,5.160557
2015-04-30,5.999999999999999,5.3702593
2015-05-01,7.0,5.4809194
2015-05-02,4.0,5.686887
2015-05-03,5.0,5.469026
2015-05-04,5.0,5.390683
2015-05-05,8.0,5.3477683
2015-05-06,5.999999999999999,5.6994753
2015-05-07,5.0,5.7632656
2015-05-08,4.0,5.6446
2015-05-09,4.0,5.421205
2015-05-10,7.0,5.246635
2015-05-11,8.0,5.476092
2015-05-12,5.0,5.845774
2015-05-13,5.0,5.742455
2015-05-14,8.0,5.6175528
2015-05-15,5.999999999999999,5.9300203
2015-05-16,5.999999999999999,5.950987
2015-05-17,7.0,5.936379
2015-05-18,5.999999999999999,6.0749407
2015-05-19,5.0,6.0634527
2015-05-20,4.0,5.9008584
2015-05-21,5.999999999999999,5.630948
2015-05-22,5.999999999999999,5.6754436
2015-05-23,4.0,5.741391
2015-05-24,5.999999999999999,5.5276856
2015-05-25,5.0,5.5876513
2015-05-26,4.0,5.5314503
2015-05-27,5.0,5.3515997
2015-05-28,5.999999999999999,5.3159747
2015-05-29,8.0,5.4293966
2015-05-30,9.0,5.7905
2015-05-31,7.0,6.2609053
2015-06-01,5.0,6.355571
2015-06-02,8.0,6.1120477
2015-06-03,8.0,6.345639
2015-06-04,8.0,6.591883
2015-06-05,7.0,6.7865114
2015-06-06,7.0,6.791174
2015-06-07,7.0,6.791902
2015-06-08,8.0,6.8055506
2015-06-09,8.0,6.984831
2015-06-10,7.0,7.1374645
2015-06-11,7.0,7.096573
2015-06-12,7.0,7.0641613
