Tanggal,Actual,Predicted
2015-04-14,1.0,1.1775624
2015-04-15,1.0,1.1674176
2015-04-16,2.0,1.159554
2015-04-17,1.0,1.5036739
2015-04-18,1.0,1.2335291
2015-04-19,1.0,1.169972
2015-04-20,1.0,1.1577011
2015-04-21,1.0,1.1514275
2015-04-22,2.0,1.1459193
2015-04-23,2.0,1.4887214
2015-04-24,2.0,1.5835855
2015-04-25,1.0,1.6164883
2015-04-26,2.0,1.2703241
2015-04-27,2.0,1.5529958
2015-04-28,1.0,1.643481
2015-04-29,2.0,1.3005121
2015-04-30,2.0,1.5819064
2015-05-01,1.0,1.670387
2015-05-02,1.0,1.3229322
2015-05-03,1.0,1.2440491
2015-05-04,1.0,1.2249063
2015-05-05,2.0,1.2121515
2015-05-06,2.0,1.556399
2015-05-07,1.0,1.6495689
2015-05-08,1.0,1.3046527
2015-05-09,1.0,1.2263356
2015-05-10,2.0,1.2044237
2015-05-11,2.0,1.55075
2015-05-12,2.0,1.6459618
2015-05-13,2.0,1.6760337
2015-05-14,2.0,1.6980062
2015-05-15,2.0,1.7186068
2015-05-16,2.0,1.7394297
2015-05-17,2.0,1.7545484
2015-05-18,2.0,1.7718682
2015-05-19,2.0,1.7876633
2015-05-20,1.0,1.8021059
2015-05-21,1.0,1.4300966
2015-05-22,1.0,1.339637
2015-05-23,1.0,1.3077033
2015-05-24,2.0,1.2833257
2015-05-25,1.0,1.6219101
2015-05-26,1.0,1.3358729
2015-05-27,2.0,1.2584237
2015-05-28,2.0,1.5941386
2015-05-29,3.0,1.687257
2015-05-30,2.0,2.1379433
2015-05-31,3.0,1.8545558
2015-06-01,2.0,2.2255983
2015-06-02,3.0,1.9326601
2015-06-03,3.0,2.2998857
2015-06-04,4.0,2.4406326
2015-06-05,2.0,2.9454942
2015-06-06,3.0,2.2413688
2015-06-07,4.0,2.5047674
2015-06-08,4.0,3.0668015
2015-06-09,3.0,3.253634
2015-06-10,3.0,2.8918796
2015-06-11,3.0,2.8198647
2015-06-12,3.0,2.8332865
2015-06-13,3.0,2.8484986
2015-06-14,3.0,2.8600826
2015-06-15,2.0,2.8696706
2015-06-16,2.0,2.4307518
2015-06-17,3.0,2.3089163
2015-06-18,2.0,2.7069685
2015-06-19,3.0,2.361367
2015-06-20,3.0,2.6889822
2015-06-21,2.0,2.7865272
2015-06-22,2.0,2.3678107
2015-06-23,4.0,2.2544284
2015-06-24,4.0,3.088201
2015-06-25,4.0,3.3318563
2015-06-26,2.0,3.4112425
2015-06-27,2.0,2.5796902
2015-06-28,3.0,2.369783
2015-06-29,2.0,2.763739
2015-06-30,2.0,2.4127803
2015-07-01,3.0,2.292561
2015-07-02,2.0,2.6863174
2015-07-03,3.0,2.3417993
2015-07-04,2.0,2.6660213
2015-07-05,2.0,2.3195288
2015-07-06,2.0,2.2123044
2015-07-07,3.0,2.1779232
2015-07-08,3.0,2.5832622
2015-07-09,2.0,2.6907175
2015-07-10,2.0,2.2806947
2015-07-11,1.0,2.1716332
2015-07-12,1.0,1.740303
2015-07-13,1.0,1.609364
2015-07-14,2.0,1.5443978
2015-07-15,1.0,1.8681247
2015-07-16,2.0,1.5411372
2015-07-17,2.0,1.8135817
2015-07-18,3.0,1.8765807
2015-07-19,3.0,2.3126256
2015-07-20,4.0,2.449682
2015-07-21,1.0,2.9464743
2015-07-22,2.0,1.8315063
2015-07-23,2.0,1.9459509
2015-07-24,3.0,1.9972756
2015-07-25,2.0,2.4267192
2015-07-26,3.0,2.1106417
2015-07-27,3.0,2.4573274
2015-07-28,3.0,2.5785375
2015-07-29,4.0,2.6207955
