Tanggal,Actual,Predicted
2015-04-14,88.0,84.243164
2015-04-15,84.0,86.0262
2015-04-16,82.0,84.55731
2015-04-17,82.0,83.2587
2015-04-18,90.99999999999999,83.060326
2015-04-19,82.0,87.189705
2015-04-20,85.99999999999999,83.81904
2015-04-21,88.0,85.05073
2015-04-22,87.0,86.33769
2015-04-23,85.99999999999999,86.07396
2015-04-24,84.0,85.64045
2015-04-25,84.0,84.685265
2015-04-26,89.0,84.50957
2015-04-27,88.0,86.76672
2015-04-28,93.0,86.7096
2015-04-29,85.0,88.69972
2015-04-30,83.0,85.925865
2015-05-01,82.0,84.41757
2015-05-02,89.0,83.70039
2015-05-03,82.0,86.7798
2015-05-04,85.0,84.02303
2015-05-05,83.0,84.861885
2015-05-06,80.0,84.12543
2015-05-07,80.99999999999999,82.309494
2015-05-08,80.0,82.44034
2015-05-09,78.0,81.841805
2015-05-10,83.0,80.47375
2015-05-11,82.0,82.80625
2015-05-12,83.0,82.653885
2015-05-13,80.0,83.03262
2015-05-14,83.0,81.586624
2015-05-15,82.0,82.8471
2015-05-16,79.0,82.58409
2015-05-17,82.0,80.85089
2015-05-18,78.0,82.121666
2015-05-19,80.99999999999999,80.172386
2015-05-20,80.0,81.284485
2015-05-21,79.0,80.971504
2015-05-22,80.99999999999999,80.22929
2015-05-23,82.0,81.15779
2015-05-24,84.0,81.8435
2015-05-25,82.0,82.98356
2015-05-26,79.0,82.23048
2015-05-27,83.0,80.50232
2015-05-28,84.0,82.34666
2015-05-29,83.0,83.20933
2015-05-30,84.0,82.831924
2015-05-31,82.0,83.35725
2015-06-01,80.99999999999999,82.516884
2015-06-02,80.0,81.82789
2015-06-03,80.0,81.17873
2015-06-04,83.0,80.9972
2015-06-05,76.0,82.51039
2015-06-06,77.0,78.97743
2015-06-07,80.99999999999999,78.67319
2015-06-08,77.0,80.84612
2015-06-09,76.0,78.90769
2015-06-10,79.0,77.80324
2015-06-11,78.0,79.259
2015-06-12,80.0,78.88812
2015-06-13,80.0,79.811264
2015-06-14,80.99999999999999,80.0338
2015-06-15,77.0,80.60836
2015-06-16,80.99999999999999,78.5801
2015-06-17,83.0,80.3561
2015-06-18,80.0,81.8429
2015-06-19,82.0,80.502075
2015-06-20,83.0,81.386406
2015-06-21,82.0,82.20378
2015-06-22,80.99999999999999,81.85373
2015-06-23,80.99999999999999,81.324554
2015-06-24,79.0,81.280594
2015-06-25,76.0,80.19463
2015-06-26,77.0,78.25456
2015-06-27,79.0,78.333244
2015-06-28,80.0,79.36534
