Tanggal,Actual,Predicted
2015-04-14,5.5,8.008347
2015-04-15,0.3,7.0212283
2015-04-16,5.8,4.389159
2015-04-17,9.8,5.928196
2015-04-18,5.4,7.9807997
2015-04-19,5.75,6.7315927
2015-04-20,6.1,6.5278735
2015-04-21,1.5,6.6534543
2015-04-22,4.6,4.534783
2015-04-23,7.2,5.1649213
2015-04-24,4.1,6.60004
2015-04-25,6.2,5.4572554
2015-04-26,4.8,6.0988464
2015-04-27,2.5,5.628857
2015-04-28,2.8,4.3908963
2015-04-29,4.1499999999999995,4.0713162
2015-04-30,5.5,4.505769
2015-05-01,8.3,5.217905
2015-05-02,9.5,6.6933913
2015-05-03,6.400000000000001,7.532646
2015-05-04,1.0,6.6281652
2015-05-05,4.4,4.1075044
2015-05-06,7.8,4.646609
2015-05-07,7.6,6.460465
2015-05-08,8.5,6.7893577
2015-05-09,8.3,7.290488
2015-05-10,9.3,7.4299493
2015-05-11,7.7,7.880157
2015-05-12,7.3,7.5113797
2015-05-13,8.2,7.316033
2015-05-14,7.8,7.6433206
2015-05-15,9.0,7.603058
2015-05-16,8.1,8.031495
2015-05-17,8.4,7.86982
2015-05-18,8.2,7.953323
2015-05-19,8.4,7.935151
2015-05-20,9.2,8.01337
2015-05-21,8.4,8.290432
2015-05-22,9.5,8.138237
2015-05-23,9.0,8.435757
2015-05-24,8.5,8.382756
2015-05-25,8.0,8.241543
2015-05-26,8.1,8.063205
2015-05-27,8.6,8.054565
2015-05-28,9.0,8.208765
2015-05-29,7.8,8.361056
2015-05-30,9.0,8.04149
2015-05-31,6.799999999999999,8.333103
2015-06-01,8.6,7.6955705
2015-06-02,8.5,8.135343
2015-06-03,6.500000000000001,8.200499
2015-06-04,5.3,7.531986
2015-06-05,8.4,6.8311644
2015-06-06,9.0,7.8660235
2015-06-07,6.6,8.245312
2015-06-08,8.8,7.526136
2015-06-09,8.7,8.118114
2015-06-10,8.1,8.219063
2015-06-11,8.2,8.059289
2015-06-12,8.6,8.062641
2015-06-13,9.0,8.192015
2015-06-14,8.6,8.34101
2015-06-15,7.9,8.266164
2015-06-16,8.8,8.038904
2015-06-17,8.1,8.265015
2015-06-18,8.5,8.105913
2015-06-19,8.4,8.190031
2015-06-20,7.7,8.181206
2015-06-21,6.500000000000001,7.9550815
2015-06-22,5.3,7.4555216
2015-06-23,8.8,6.7928667
2015-06-24,8.7,7.976429
2015-06-25,7.7,8.166484
2015-06-26,8.0,7.8889
2015-06-27,8.75,7.9360223
2015-06-28,9.5,8.190474
2015-06-29,8.8,8.461444
2015-06-30,7.3,8.341901
2015-07-01,8.6,7.853577
2015-07-02,7.3,8.1595
2015-07-03,8.5,7.8028593
2015-07-04,7.9,8.108366
2015-07-05,7.7,7.988422
2015-07-06,9.0,7.8862834
2015-07-07,8.2,8.27447
2015-07-08,10.0,8.123995
2015-07-09,8.0,8.595309
2015-07-10,6.0,8.163407
2015-07-11,3.8,7.330698
2015-07-12,7.9,6.085805
2015-07-13,5.0,7.5034895
2015-07-14,7.9,6.5837927
2015-07-15,5.5,7.525343
2015-07-16,5.8,6.768886
2015-07-17,8.1,6.655796
2015-07-18,8.0,7.580259
2015-07-19,8.2,7.732917
2015-07-20,8.2,7.8471465
2015-07-21,8.0,7.9000144
2015-07-22,5.3,7.8639154
2015-07-23,7.0,6.8118525
2015-07-24,7.3,7.2238665
2015-07-25,8.2,7.4283614
2015-07-26,8.3,7.79069
2015-07-27,9.0,7.916551
2015-07-28,9.5,8.181135
2015-07-29,9.2,8.400928
