Tanggal,Actual,Predicted
2015-04-14,29.2,33.376293
2015-04-15,34.0,31.384312
2015-04-16,33.0,33.089134
2015-04-17,34.2,33.059216
2015-04-18,29.2,33.635605
2015-04-19,33.6,31.33486
2015-04-20,31.0,32.735252
2015-04-21,32.0,31.874937
2015-04-22,32.0,32.054943
2015-04-23,31.4,32.09589
2015-04-24,32.6,31.801271
2015-04-25,33.0,32.25698
2015-04-26,31.2,32.592342
2015-04-27,31.2,31.820602
2015-04-28,31.6,31.608894
2015-04-29,32.0,31.710405
2015-04-30,32.2,31.902626
2015-05-01,32.8,32.043514
2015-05-02,33.2,32.37435
2015-05-03,31.8,32.68864
2015-05-04,31.4,32.112152
2015-05-05,32.4,31.781624
2015-05-06,30.8,32.147743
2015-05-07,31.0,31.521147
2015-05-08,33.0,31.407143
2015-05-09,33.4,32.251278
2015-05-10,32.8,32.72824
2015-05-11,32.2,32.58722
2015-05-12,32.8,32.28386
2015-05-13,32.8,32.517063
2015-05-14,32.8,32.60003
2015-05-15,32.6,32.633976
2015-05-16,31.8,32.556503
2015-05-17,30.8,32.146896
2015-05-18,31.0,31.573082
2015-05-19,31.2,31.474422
2015-05-20,33.2,31.498158
2015-05-21,33.8,32.38899
2015-05-22,33.2,32.980957
2015-05-23,34.0,32.87861
2015-05-24,32.6,33.308098
2015-05-25,33.1,32.753845
2015-05-26,33.6,32.89203
2015-05-27,33.6,33.213715
2015-05-28,32.6,33.318207
2015-05-29,32.4,32.84063
2015-05-30,32.6,32.623066
2015-05-31,32.4,32.662468
2015-06-01,32.4,32.554607
2015-06-02,32.6,32.50814
2015-06-03,32.6,32.58344
2015-06-04,32.8,32.59372
2015-06-05,32.6,32.691788
2015-06-06,32.0,32.615982
2015-06-07,32.4,32.291286
2015-06-08,31.8,32.391685
2015-06-09,31.4,32.11536
2015-06-10,31.6,31.832294
2015-06-11,31.4,31.821672
2015-06-12,31.8,31.705612
2015-06-13,32.0,31.826065
2015-06-14,31.4,31.940733
2015-06-15,31.4,31.694271
2015-06-16,31.7,31.612736
2015-06-17,32.0,31.711163
2015-06-18,33.2,31.868658
2015-06-19,32.0,32.48616
2015-06-20,31.8,32.1118
2015-06-21,30.6,31.92438
2015-06-22,31.4,31.359615
2015-06-23,31.2,31.508268
2015-06-24,30.8,31.458609
2015-06-25,30.2,31.260605
2015-06-26,31.2,30.96069
2015-06-27,32.2,31.215425
2015-06-28,31.4,31.712317
2015-06-29,31.6,31.531826
2015-06-30,31.4,31.563606
2015-07-01,30.4,31.501312
2015-07-02,31.1,31.087816
2015-07-03,31.8,31.216118
2015-07-04,31.8,31.541763
2015-07-05,32.0,31.649298
2015-07-06,32.0,31.777637
2015-07-07,31.8,31.833899
2015-07-08,31.6,31.776249
2015-07-09,31.4,31.681696
2015-07-10,29.6,31.572147
2015-07-11,31.8,30.847742
2015-07-12,31.2,31.422035
2015-07-13,32.2,31.378035
2015-07-14,32.4,31.77163
2015-07-15,31.2,32.008327
2015-07-16,31.4,31.559484
2015-07-17,31.6,31.520634
2015-07-18,31.8,31.599949
2015-07-19,31.6,31.709719
2015-07-20,30.6,31.65767
2015-07-21,31.4,31.229563
2015-07-22,31.4,31.409239
2015-07-23,32.6,31.4654
2015-07-24,32.0,32.003002
2015-07-25,31.4,31.915451
2015-07-26,32.2,31.632298
2015-07-27,32.4,31.913305
2015-07-28,32.2,32.107704
2015-07-29,32.6,32.08185
2015-07-30,31.6,32.28018
2015-07-31,33.0,31.883236
2015-08-01,32.2,32.436203
2015-08-02,31.6,32.231224
2015-08-03,32.0,31.892803
2015-08-04,32.6,31.98412
2015-08-05,31.6,32.295685
2015-08-06,32.5,31.910847
2015-08-07,32.4,32.2194
2015-08-08,32.0,32.27278
2015-08-09,33.0,32.096252
2015-08-10,32.4,32.53681
2015-08-11,32.0,32.382713
2015-08-12,30.8,32.15023
2015-08-13,31.0,31.54353
2015-08-14,33.0,31.440115
2015-08-15,33.6,32.287544
2015-08-16,32.8,32.859062
2015-08-17,33.6,32.641907
2015-08-18,32.2,33.02362
2015-08-19,32.4,32.455574
2015-08-20,31.8,32.416725
2015-08-21,31.2,32.11828
2015-08-22,32.2,31.742615
2015-08-23,31.4,32.07258
2015-08-24,32.2,31.78318
2015-08-25,33.0,32.04303
2015-08-26,32.7,32.507675
2015-08-27,33.4,32.503338
2015-08-28,33.3,32.871403
2015-08-29,33.2,32.958553
2015-08-30,33.6,32.96143
2015-08-31,33.7,33.20194
2015-09-01,33.4,33.35109
2015-09-02,32.8,33.26363
2015-09-03,33.0,32.94851
2015-09-04,33.6,32.98224
2015-09-05,33.1,33.309425
2015-09-06,34.0,33.13548
2015-09-07,34.0,33.57314
2015-09-08,34.0,33.708565
2015-09-09,35.0,33.767677
2015-09-10,33.9,34.331573
2015-09-11,34.0,33.943264
2015-09-12,34.4,33.934772
2015-09-13,34.0,34.167328
2015-09-14,33.6,34.027103
2015-09-15,33.9,33.789253
2015-09-16,33.4,33.897778
2015-09-17,34.6,33.64778
2015-09-18,36.0,34.220078
2015-09-19,34.2,35.048016
2015-09-20,33.1,34.39972
2015-09-21,35.4,33.678413
2015-09-22,35.4,34.72973
2015-09-23,35.8,34.974907
2015-09-24,35.4,35.25306
2015-09-25,33.8,35.1803
2015-09-26,35.0,34.37729
2015-09-27,35.4,34.84038
2015-09-28,34.6,35.13234
2015-09-29,33.6,34.807285
2015-09-30,35.1,34.203724
2015-10-01,34.0,34.85201
2015-10-02,35.2,34.406796
2015-10-03,34.4,34.920547
2015-10-04,34.2,34.62779
2015-10-05,33.0,34.45529
2015-10-06,33.4,33.74263
2015-10-07,33.7,33.769722
2015-10-08,34.0,33.89662
2015-10-09,34.0,34.050224
2015-10-10,33.4,34.066525
2015-10-11,35.6,33.733597
2015-10-12,33.0,34.788536
2015-10-13,34.0,33.688282
2015-10-14,34.4,33.975876
2015-10-15,35.4,34.2519
2015-10-16,36.4,34.819046
2015-10-17,34.2,35.436996
2015-10-18,36.0,34.57891
2015-10-19,35.8,35.31818
2015-10-20,36.2,35.415676
2015-10-21,35.2,35.657776
2015-10-22,36.2,35.295555
2015-10-23,35.900000000000006,35.710327
2015-10-24,35.6,35.68729
2015-10-25,36.0,35.57422
2015-10-26,33.8,35.751392
2015-10-27,35.0,34.702026
2015-10-28,35.4,35.09853
2015-10-29,35.099999999999994,35.344177
2015-10-30,34.8,35.237972
2015-10-31,36.8,35.06378
2015-11-01,37.0,35.93858
2015-11-02,36.2,36.208057
2015-11-03,36.6,35.994255
2015-11-04,36.2,36.156483
2015-11-05,36.0,36.049156
2015-11-06,35.2,35.961834
2015-11-07,36.2,35.584595
2015-11-08,36.6,35.95827
2015-11-09,37.0,36.188698
2015-11-10,36.9,36.40464
2015-11-11,36.8,36.43579
2015-11-12,36.8,36.43197
2015-11-13,36.8,36.451275
2015-11-14,36.6,36.469654
2015-11-15,36.4,36.407486
2015-11-16,36.2,36.322975
2015-11-17,36.2,36.225334
2015-11-18,36.2,36.201077
2015-11-19,36.6,36.188522
2015-11-20,37.0,36.34277
2015-11-21,37.0,36.525288
2015-11-22,37.0,36.570976
2015-11-23,36.95,36.595905
2015-11-24,36.9,36.595585
2015-11-25,36.849999999999994,36.58715
2015-11-26,36.8,36.57437
2015-11-27,35.8,36.55765
2015-11-28,36.3,36.148785
2015-11-29,36.8,36.27267
2015-11-30,36.8,36.474987
2015-12-01,36.8,36.509357
2015-12-02,36.8,36.522392
2015-12-03,36.8,36.530758
2015-12-04,36.8,36.536804
2015-12-05,34.0,36.541714
2015-12-06,34.2,35.256973
2015-12-07,34.5,35.06689
2015-12-08,34.8,35.11505
2015-12-09,34.6,35.208626
2015-12-10,34.6,35.073807
2015-12-11,36.0,35.00642
2015-12-12,35.7,35.6367
2015-12-13,35.4,35.62026
2015-12-14,34.8,35.488728
2015-12-15,35.0,35.171856
2015-12-16,35.6,35.19628
2015-12-17,35.3,35.474743
2015-12-18,35.0,35.384872
2015-12-19,32.0,35.220802
2015-12-20,29.8,33.51068
2015-12-21,33.6,31.923111
2015-12-22,33.3,33.401375
2015-12-23,33.0,33.53766
2015-12-24,33.2,33.323616
2015-12-25,33.0,33.34944
2015-12-26,31.6,33.220818
2015-12-27,32.53333333333333,32.417404
2015-12-28,33.46666666666667,32.654934
2015-12-29,34.4,33.17257
2015-12-30,33.8,33.777443
2015-12-31,33.4,33.639427
2016-01-01,33.5,33.41967
2016-01-02,33.6,33.43941
2016-01-03,33.8,33.506454
2016-01-04,34.8,33.636005
2016-01-05,34.8,34.203575
2016-01-06,35.13333333333333,34.376083
2016-01-07,35.46666666666666,34.63073
2016-01-08,35.8,34.907497
2016-01-09,35.2,35.185547
2016-01-10,33.4,35.024284
2016-01-11,34.4,34.079144
2016-01-12,35.4,34.414177
2016-01-13,35.6,34.98065
2016-01-14,35.0,35.208527
2016-01-15,34.8,35.00226
2016-01-16,34.8,34.88355
2016-01-17,34.8,34.869045
2016-01-18,35.0,34.868416
2016-01-19,34.6,34.97127
2016-01-20,34.4,34.793705
2016-01-21,34.9,34.648937
2016-01-22,35.4,34.868713
2016-01-23,33.0,35.159264
2016-01-24,34.0,33.953857
2016-01-25,34.6,34.22441
2016-01-26,32.7,34.569168
2016-01-27,30.8,33.57491
2016-01-28,30.0,32.280655
2016-01-29,30.6,31.5473
2016-01-30,32.0,31.51436
2016-01-31,33.4,32.042397
2016-02-01,32.4,32.833313
2016-02-02,31.8,32.527054
2016-02-03,32.4,32.14033
2016-02-04,32.4,32.321754
2016-02-05,32.86666666666667,32.36555
2016-02-06,33.33333333333333,32.601677
2016-02-07,33.8,32.913307
2016-02-08,33.6,33.26011
2016-02-09,33.0,33.28501
2016-02-10,32.733333333333334,33.01208
2016-02-11,32.46666666666667,32.82408
2016-02-12,32.2,32.64175
2016-02-13,29.4,32.447674
2016-02-14,33.2,31.12931
2016-02-15,33.8,32.36182
2016-02-16,34.4,33.07336
2016-02-17,34.4,33.57864
2016-02-18,34.4,33.77422
2016-02-19,34.8,33.89457
2016-02-20,33.7,34.19597
2016-02-21,32.6,33.756084
2016-02-22,33.6,33.085213
2016-02-23,34.4,33.461826
2016-02-24,32.6,33.97306
2016-02-25,33.6,33.13664
2016-02-26,33.8,33.469234
2016-02-27,32.8,33.65967
2016-02-28,32.4,33.161346
2016-02-29,33.2,32.815517
2016-03-01,33.4,33.13139
2016-03-02,32.2,33.299404
2016-03-03,32.2,32.69129
2016-03-04,33.6,32.521057
2016-03-05,33.2,33.180855
2016-03-06,33.4,33.139027
2016-03-07,34.0,33.231983
2016-03-08,34.0,33.588463
2016-03-09,33.0,33.703438
2016-03-10,35.2,33.224277
2016-03-11,34.0,34.270523
2016-03-12,32.8,33.95452
2016-03-13,33.2,33.251858
2016-03-14,33.8,33.307774
2016-03-15,34.8,33.632607
2016-03-16,33.0,34.228138
2016-03-17,32.8,33.436005
2016-03-18,33.4,33.141716
2016-03-19,32.4,33.382355
2016-03-20,33.4,32.8818
2016-03-21,34.2,33.261303
2016-03-22,34.0,33.771706
2016-03-23,34.2,33.801315
2016-03-24,33.6,33.937263
2016-03-25,34.0,33.678543
2016-03-26,34.2,33.84615
2016-03-27,34.1,34.00682
2016-03-28,34.0,34.007244
2016-03-29,33.6,33.971214
2016-03-30,33.2,33.759045
2016-03-31,34.0,33.489845
2016-04-01,34.6,33.846676
2016-04-02,35.0,34.243618
2016-04-03,35.4,34.556633
2016-04-04,34.0,34.864582
2016-04-05,34.0,34.267155
2016-04-06,33.4,34.153713
2016-04-07,33.4,33.79994
2016-04-08,33.0,33.696793
2016-04-09,33.2,33.424057
2016-04-10,33.4,33.432808
2016-04-11,33.4,33.511673
2016-04-12,34.0,33.505363
2016-04-13,33.6,33.810726
2016-04-14,34.0,33.669758
2016-04-15,33.6,33.851547
2016-04-16,33.900000000000006,33.68936
2016-04-17,34.2,33.814445
2016-04-18,34.4,34.010868
2016-04-19,33.0,34.17516
2016-04-20,34.4,33.474224
2016-04-21,33.4,34.063377
2016-04-22,33.4,33.671684
2016-04-23,33.4,33.56815
2016-04-24,34.2,33.535717
2016-04-25,34.6,33.94268
2016-04-26,34.0,34.252174
2016-04-27,33.4,34.0301
2016-04-28,33.6,33.66973
2016-04-29,34.4,33.694527
2016-04-30,33.8,34.119553
2016-05-01,32.6,33.903786
2016-05-02,35.0,33.19574
2016-05-03,34.6,34.293556
2016-05-04,34.2,34.361908
2016-05-05,34.6,34.187683
2016-05-06,34.2,34.385117
2016-05-07,33.4,34.241787
2016-05-08,34.6,33.78407
2016-05-09,34.6,34.31888
2016-05-10,34.4,34.444218
2016-05-11,34.0,34.379944
2016-05-12,34.2,34.16788
2016-05-13,33.4,34.23073
2016-05-14,33.0,33.806606
2016-05-15,33.4,33.46888
2016-05-16,32.2,33.579323
2016-05-17,32.6,32.913624
2016-05-18,32.6,32.921658
2016-05-19,33.2,32.880947
2016-05-20,33.4,33.145947
2016-05-21,33.8,33.29825
2016-05-22,34.8,33.542465
2016-05-23,33.6,34.13675
2016-05-24,33.2,33.690914
2016-05-25,33.2,33.38965
2016-05-26,33.2,33.32422
2016-05-27,32.6,33.29795
2016-05-28,32.0,32.953762
2016-05-29,33.8,32.529724
2016-05-30,33.4,33.329803
2016-05-31,33.4,33.32175
2016-06-01,33.0,33.314934
2016-06-02,33.2,33.111443
2016-06-03,33.4,33.167027
2016-06-04,34.8,33.287094
2016-06-05,33.4,34.05155
2016-06-06,34.4,33.540733
2016-06-07,33.4,33.969448
2016-06-08,34.4,33.57253
2016-06-09,33.4,34.01976
2016-06-10,33.0,33.614117
2016-06-11,33.6,33.300274
2016-06-12,34.2,33.54153
2016-06-13,34.0,33.91106
2016-06-14,33.4,33.900517
2016-06-15,30.8,33.587955
2016-06-16,33.4,32.133793
2016-06-17,31.4,33.068665
2016-06-18,33.6,32.2486
2016-06-19,33.6,33.10345
2016-06-20,32.8,33.33509
2016-06-21,33.0,32.965633
2016-06-22,33.0,32.98333
2016-06-23,32.4,32.990593
2016-06-24,32.4,32.67198
2016-06-25,32.2,32.57687
2016-06-26,33.2,32.43367
2016-06-27,32.6,32.88427
2016-06-28,33.6,32.692425
2016-06-29,31.0,33.153084
2016-06-30,31.5,31.968115
2016-07-01,32.0,31.88095
2016-07-02,31.926315789473684,32.06853
2016-07-03,31.852631578947367,32.055126
2016-07-04,31.778947368421054,31.993473
2016-07-05,31.705263157894738,31.927101
2016-07-06,31.63157894736842,31.861006
2016-07-07,31.557894736842105,31.795464
2016-07-08,31.48421052631579,31.730913
2016-07-09,31.410526315789475,31.667147
2016-07-10,31.33684210526316,31.604364
2016-07-11,31.263157894736842,31.54248
2016-07-12,31.189473684210526,31.481436
2016-07-13,31.115789473684213,31.421284
2016-07-14,31.042105263157897,31.362125
2016-07-15,30.96842105263158,31.303947
2016-07-16,30.894736842105264,31.246887
2016-07-17,30.821052631578947,31.190575
2016-07-18,30.747368421052634,31.135357
2016-07-19,30.673684210526318,31.080982
2016-07-20,30.6,31.027615
2016-07-21,30.2,30.975279
2016-07-22,30.457142857142856,30.811365
2016-07-23,30.714285714285715,30.83322
2016-07-24,30.97142857142857,30.923119
2016-07-25,31.228571428571428,31.042065
2016-07-26,31.485714285714284,31.180458
2016-07-27,31.742857142857144,31.33506
2016-07-28,32.0,31.50431
2016-07-29,31.8,31.686943
2016-07-30,31.8,31.679228
2016-07-31,30.6,31.695093
2016-08-01,31.6,31.21815
2016-08-02,31.0,31.47048
2016-08-03,31.0,31.31159
2016-08-04,31.4,31.251753
2016-08-05,32.2,31.38931
2016-08-06,32.6,31.775728
2016-08-07,32.0,32.097294
2016-08-08,32.2,31.9394
2016-08-09,32.4,32.005722
2016-08-10,31.2,32.142323
2016-08-11,31.0,31.647198
2016-08-12,31.8,31.422014
2016-08-13,30.0,31.686058
2016-08-14,32.0,31.028984
2016-08-15,32.4,31.591433
2016-08-16,32.8,31.972996
2016-08-17,33.0,32.28324
2016-08-18,32.3,32.503357
2016-08-19,31.6,32.260437
2016-08-20,31.8,31.886097
2016-08-21,31.4,31.87915
2016-08-22,31.6,31.693779
2016-08-23,32.6,31.713379
2016-08-24,32.0,32.170856
2016-08-25,31.8,32.02981
2016-08-26,32.2,31.897057
2016-08-27,33.4,32.0494
2016-08-28,34.2,32.68497
2016-08-29,34.6,33.30401
2016-08-30,33.8,33.73283
2016-08-31,33.6,33.51131
2016-09-01,35.4,33.41149
2016-09-02,34.2,34.352715
2016-09-03,33.8,34.043938
2016-09-04,34.0,33.803474
2016-09-05,34.6,33.887127
2016-09-06,34.8,34.23978
2016-09-07,34.4,34.450405
2016-09-08,34.4,34.327488
2016-09-09,34.4,34.32876
2016-09-10,34.0,34.349842
2016-09-11,34.8,34.154457
2016-09-12,34.0,34.536198
2016-09-13,34.0,34.213863
2016-09-14,34.4,34.14294
2016-09-15,34.4,34.338696
2016-09-16,33.4,34.38211
2016-09-17,34.2,33.852222
2016-09-18,33.8,34.156773
2016-09-19,35.0,34.00135
2016-09-20,35.0,34.584965
2016-09-21,34.4,34.732075
2016-09-22,34.6,34.48324
2016-09-23,34.4,34.552895
2016-09-24,34.0,34.475616
2016-09-25,33.0,34.247864
2016-09-26,33.0,33.635136
2016-09-27,33.6,33.46436
2016-09-28,35.4,33.71067
2016-09-29,34.2,34.668896
2016-09-30,34.2,34.29474
2016-10-01,34.0,34.226307
2016-10-02,36.6,34.117546
2016-10-03,35.0,35.363342
2016-10-04,34.6,34.951424
2016-10-05,35.0,34.69864
2016-10-06,35.8,34.87258
2016-10-07,35.0,35.308765
2016-10-08,35.4,35.04751
2016-10-09,34.2,35.212933
2016-10-10,34.0,34.65526
2016-10-11,33.4,34.420647
2016-10-12,35.4,34.012066
2016-10-13,35.4,34.938328
2016-10-14,35.4,35.12804
2016-10-15,35.8,35.189034
2016-10-16,35.4,35.421627
2016-10-17,36.2,35.316917
2016-10-18,36.0,35.68867
2016-10-19,35.0,35.7093
2016-10-20,35.4,35.27731
2016-10-21,36.6,35.394222
2016-10-22,35.6,35.95144
2016-10-23,34.2,35.650986
2016-10-24,34.0,34.90672
2016-10-25,35.0,34.62498
2016-10-26,33.0,35.049713
2016-10-27,34.0,34.0174
2016-10-28,34.4,34.30563
2016-10-29,33.0,34.534256
2016-10-30,34.2,33.774487
2016-10-31,35.0,34.22777
2016-11-01,35.6,34.716305
2016-11-02,36.2,35.113346
2016-11-03,36.2,35.506393
2016-11-04,35.0,35.645466
2016-11-05,35.6,35.17291
2016-11-06,35.8,35.39179
2016-11-07,35.8,35.544624
2016-11-08,35.8,35.597294
2016-11-09,35.6,35.632404
2016-11-10,34.8,35.568512
2016-11-11,35.0,35.178734
2016-11-12,32.6,35.19281
2016-11-13,34.6,33.859016
2016-11-14,34.2,34.635742
2016-11-15,34.6,34.53765
2016-11-16,33.4,34.688023
2016-11-17,33.6,34.051983
2016-11-18,34.4,33.990562
2016-11-19,34.8,34.373104
2016-11-20,35.4,34.642193
2016-11-21,34.0,35.002384
2016-11-22,35.4,34.388336
2016-11-23,34.8,34.98489
2016-11-24,33.6,34.83102
2016-11-25,34.8,34.165447
2016-11-26,33.2,34.654556
2016-11-27,34.2,33.885242
2016-11-28,34.4,34.23291
2016-11-29,34.8,34.397213
2016-11-30,33.6,34.62967
2016-12-01,33.8,34.0484
2016-12-02,34.2,34.01858
2016-12-03,33.0,34.21089
2016-12-04,30.6,33.579422
2016-12-05,31.4,32.11925
2016-12-06,29.0,32.10501
2016-12-07,31.8,31.002735
2016-12-08,31.6,31.721718
2016-12-09,33.8,31.82016
2016-12-10,33.6,32.853912
2016-12-11,33.4,33.080612
2016-12-12,32.8,33.0668
2016-12-13,32.0,32.7961
2016-12-14,30.6,32.340458
2016-12-15,32.6,31.567553
2016-12-16,30.2,32.236355
2016-12-17,32.8,31.332664
2016-12-18,31.6,32.1721
2016-12-19,32.2,31.877914
2016-12-20,31.6,32.046974
2016-12-21,31.6,31.825298
2016-12-22,31.0,31.752474
2016-12-23,30.4,31.465416
2016-12-24,30.866666666666667,31.127745
2016-12-25,31.333333333333332,31.179796
2016-12-26,31.8,31.363035
2016-12-27,33.0,31.605595
2016-12-28,34.0,32.230423
2016-12-29,35.0,32.947464
2016-12-30,35.0,33.7135
2016-12-31,33.6,34.023792
2017-01-01,33.0,33.491085
2017-01-02,33.2,33.106068
2017-01-03,32.6,33.145477
2017-01-04,32.0,32.843857
2017-01-05,34.2,32.444813
2017-01-06,33.0,33.45825
2017-01-07,33.8,33.108635
2017-01-08,32.0,33.44178
2017-01-09,34.8,32.59718
2017-01-10,33.0,33.831062
2017-01-11,34.0,33.239017
2017-01-12,32.4,33.62596
2017-01-13,33.4,32.893494
2017-01-14,33.4,33.234615
2017-01-15,32.2,33.32283
2017-01-16,32.2,32.698334
2017-01-17,30.0,32.526505
2017-01-18,31.2,31.425362
2017-01-19,30.4,31.589033
2017-01-20,32.6,31.260155
2017-01-21,31.6,32.05236
2017-01-22,32.4,31.830252
2017-01-23,32.0,32.11283
2017-01-24,31.8,32.019608
2017-01-25,31.6,31.8992
2017-01-26,32.4,31.77508
2017-01-27,29.8,32.1016
2017-01-28,31.8,31.084742
2017-01-29,29.4,31.560442
2017-01-30,29.2,30.788198
2017-01-31,29.2,30.480326
2017-02-01,29.2,30.35685
2017-02-02,30.299999999999997,30.286852
2017-02-03,31.4,30.547943
2017-02-04,31.4,31.01376
2017-02-05,33.2,31.194307
2017-02-06,31.4,32.030914
2017-02-07,31.8,31.564285
2017-02-08,32.2,31.61785
2017-02-09,29.6,31.84628
2017-02-10,30.133333333333333,30.888685
2017-02-11,30.666666666666668,30.790142
2017-02-12,31.2,30.93197
2017-02-13,30.8,31.162834
2017-02-14,31.4,31.08331
