Tanggal,Actual,Predicted
2015-04-14,24.0,24.174456
2015-04-15,24.0,24.182636
2015-04-16,24.0,24.18856
2015-04-17,24.0,24.191143
2015-04-18,25.0,24.19386
2015-04-19,25.0,24.530148
2015-04-20,24.0,24.60564
2015-04-21,24.0,24.348063
2015-04-22,24.0,24.308586
2015-04-23,25.0,24.285618
2015-04-24,25.0,24.598356
2015-04-25,25.0,24.65967
2015-04-26,25.0,24.703411
2015-04-27,24.0,24.73571
2015-04-28,25.0,24.459324
2015-04-29,24.0,24.715145
2015-04-30,24.0,24.446167
2015-05-01,24.0,24.395565
2015-05-02,24.0,24.362242
2015-05-03,25.0,24.338339
2015-05-04,23.0,24.640312
2015-05-05,23.0,24.019066
2015-05-06,23.0,23.868336
2015-05-07,21.0,23.76718
2015-05-08,20.0,22.701105
2015-05-09,21.0,21.810848
2015-05-10,22.0,22.014208
2015-05-11,23.0,22.427858
2015-05-12,23.0,22.935215
2015-05-13,23.0,23.017076
2015-05-14,24.0,23.057613
2015-05-15,24.0,23.531582
2015-05-16,23.0,23.648262
2015-05-17,22.0,23.302473
2015-05-18,20.0,22.766005
2015-05-19,20.0,21.53923
2015-05-20,20.0,21.21186
2015-05-21,21.0,21.017347
2015-05-22,21.0,21.37029
2015-05-23,22.0,21.36837
2015-05-24,22.0,21.837399
2015-05-25,22.0,21.914598
2015-05-26,22.0,21.941557
2015-05-27,23.0,21.958954
2015-05-28,22.0,22.478127
2015-05-29,23.0,22.098532
2015-05-30,23.0,22.567951
2015-05-31,24.0,22.67292
2015-06-01,23.0,23.205534
2015-06-02,23.0,22.913177
2015-06-03,25.0,22.921818
2015-06-04,24.0,23.80608
2015-06-05,24.0,23.63313
2015-06-06,25.0,23.700075
2015-06-07,24.0,24.134686
2015-06-08,24.0,23.920858
2015-06-09,26.0,23.943047
2015-06-10,23.0,24.6217
2015-06-11,23.0,23.7986
2015-06-12,22.0,23.647654
2015-06-13,22.0,23.086102
2015-06-14,21.0,22.899218
