Tanggal,Actual,Predicted
2015-04-14,26.2,27.72444
2015-04-15,26.999999999999996,26.87601
2015-04-16,27.8,27.21502
2015-04-17,28.0,27.650854
2015-04-18,26.5,27.790184
2015-04-19,27.8,27.011055
2015-04-20,27.1,27.646791
2015-04-21,26.8,27.324192
2015-04-22,26.7,27.125254
2015-04-23,27.4,27.045572
2015-04-24,27.8,27.386599
2015-04-25,27.6,27.622746
2015-04-26,26.2,27.548716
2015-04-27,26.3,26.806398
2015-04-28,25.6,26.781315
2015-04-29,27.300000000000004,26.392502
2015-04-30,27.6,27.143229
2015-05-01,27.5,27.378576
2015-05-02,26.4,27.361172
2015-05-03,27.7,26.806122
2015-05-04,26.1,27.435345
2015-05-05,27.300000000000004,26.665964
2015-05-06,25.8,27.195585
2015-05-07,25.1,26.482141
2015-05-08,25.7,26.05263
2015-05-09,26.2,26.21059
2015-05-10,26.6,26.413197
2015-05-11,26.8,26.606188
2015-05-12,26.8,26.729055
2015-05-13,27.6,26.756157
2015-05-14,27.1,27.181969
2015-05-15,26.7,27.009659
2015-05-16,26.0,26.8143
2015-05-17,25.3,26.45934
2015-05-18,24.9,26.079525
2015-05-19,24.7,25.820362
2015-05-20,25.1,25.644138
2015-05-21,26.3,25.699722
2015-05-22,26.4,26.159927
2015-05-23,26.3,26.296595
2015-05-24,26.2,26.288343
2015-05-25,26.7,26.261894
2015-05-26,27.5,26.503168
2015-05-27,26.999999999999996,26.955545
2015-05-28,26.2,26.814144
2015-05-29,26.4,26.44506
2015-05-30,27.300000000000004,26.514261
2015-05-31,28.1,26.973856
2015-06-01,27.1,27.464622
2015-06-02,27.7,27.055431
2015-06-03,27.8,27.374567
2015-06-04,27.5,27.502855
2015-06-05,28.200000000000003,27.392612
2015-06-06,27.7,27.790928
2015-06-07,27.4,27.602242
2015-06-08,27.899999999999995,27.456728
2015-06-09,27.899999999999995,27.736916
2015-06-10,26.8,27.77699
2015-06-11,26.4,27.200186
2015-06-12,26.1,26.940361
2015-06-13,25.8,26.732712
2015-06-14,25.3,26.5124
