Tanggal,Actual,Predicted
2015-04-12,24.0,23.93574973258932
2015-04-13,24.0,23.919140343718244
2015-04-14,24.0,23.970866704209573
2015-04-15,24.0,24.026993554641184
2015-04-16,25.0,24.050380749682052
2015-04-17,25.0,24.499861920148067
2015-04-18,24.0,24.506568347498604
2015-04-19,24.0,24.077400832851925
2015-04-20,24.0,24.083955912926957
2015-04-21,25.0,24.11035920473272
2015-04-22,25.0,24.544103309561923
2015-04-23,25.0,24.58810964686494
2015-04-24,25.0,24.616380739911154
2015-04-25,24.0,24.600991258976126
2015-04-26,25.0,24.206120622127617
2015-04-27,24.0,24.6395001890205
2015-04-28,24.0,24.303598862229354
2015-04-29,24.0,24.22555479710967
2015-04-30,24.0,24.09007473397718
2015-05-01,25.0,24.036125989819528
2015-05-02,23.0,24.602179854684653
2015-05-03,23.0,23.759971839848948
2015-05-04,23.0,23.53858827451926
2015-05-05,21.0,23.512397664052276
2015-05-06,20.0,22.558505379231736
2015-05-07,21.0,21.87666595357722
2015-05-08,22.0,21.979562270701752
2015-05-09,23.0,22.41231825267163
2015-05-10,23.0,22.937139867947497
2015-05-11,23.0,22.899616995249506
2015-05-12,24.0,22.90369682063214
2015-05-13,24.0,23.42067195879257
2015-05-14,23.0,23.55358098147484
2015-05-15,22.0,23.195112719439965
2015-05-16,20.0,22.673151965773503
2015-05-17,20.0,21.508609929717966
2015-05-18,20.0,21.26493400124149
2015-05-19,21.0,21.245516298725523
2015-05-20,21.0,21.49145514170458
2015-05-21,22.0,21.4339113682115
2015-05-22,22.0,21.751127343036604
2015-05-23,22.0,21.84375680362449
2015-05-24,22.0,21.987044250227417
2015-05-25,23.0,22.03644853912009
2015-05-26,22.0,22.41619173836465
2015-05-27,23.0,22.120714753312985
2015-05-28,23.0,22.547206750406065
2015-05-29,24.0,22.526321504626583
2015-05-30,23.0,23.109867961790076
2015-05-31,23.0,22.816228239794544
2015-06-01,25.0,22.704331795617907
2015-06-02,24.0,23.71690217627064
2015-06-03,24.0,23.491589302500405
2015-06-04,25.0,23.47130008135331
2015-06-05,24.0,23.947874610490306
2015-06-06,24.0,23.671050029919332
2015-06-07,26.0,23.734641363034132
2015-06-08,23.0,24.603746053091744
2015-06-09,23.0,23.521881922544924
2015-06-10,22.0,23.320457271454178
2015-06-11,22.0,22.712685245136743
2015-06-12,21.0,22.6882399086487
2015-06-13,21.0,22.35336033169391
2015-06-14,20.0,21.919979157181377
2015-06-15,19.0,21.40383683546428
2015-06-16,22.0,20.815592974561913
2015-06-17,21.0,21.900321519211264
2015-06-18,22.0,21.644702022752416
2015-06-19,21.0,22.146196018839635
2015-06-20,21.0,21.445082818850313
2015-06-21,21.0,21.427170731980812
2015-06-22,21.0,21.643025355603402
2015-06-23,23.0,21.408741881699587
2015-06-24,23.0,22.28892751030934
2015-06-25,21.0,22.546634330169343
2015-06-26,21.0,21.462449506290557
2015-06-27,20.0,21.35400059253242
2015-06-28,22.0,21.02939272847833
2015-06-29,22.0,21.70656929278356
2015-06-30,21.0,21.840160334542578
2015-07-01,20.0,21.366214257869377
2015-07-02,20.0,20.73607871617877
2015-07-03,20.0,20.525847148644733
2015-07-04,21.0,20.7693115711936
2015-07-05,20.0,21.09885931701159
2015-07-06,20.0,20.632127358249125
2015-07-07,19.0,20.44077091557323
2015-07-08,19.0,19.9093904929009
2015-07-09,19.0,19.879248296095387
2015-07-10,19.0,19.886649461418404
2015-07-11,23.0,19.804767113137462
2015-07-12,23.0,21.411080063793396
2015-07-13,22.0,21.836616005106965
2015-07-14,23.0,21.52199805801057
2015-07-15,23.0,21.91555235625832
2015-07-16,23.0,22.100201744749132
2015-07-17,21.0,22.466401936327532
2015-07-18,21.0,21.495410392870884
2015-07-19,22.0,21.22557610787918
2015-07-20,21.5,21.688396369735745
2015-07-21,21.0,21.510696987294967
2015-07-22,21.0,21.290253836285604
2015-07-23,20.0,21.308957188943385
2015-07-24,21.0,20.704804076342374
2015-07-25,21.0,21.07789868329029
2015-07-26,22.0,21.18273404584055
2015-07-27,23.0,21.68314463113403
2015-07-28,24.0,22.12276258175233
2015-07-29,21.0,22.749190600387795
2015-07-30,21.0,21.643769472749103
2015-07-31,21.0,21.47723051632487
2015-08-01,21.0,21.413493438739113
2015-08-02,21.0,21.392332727110205
2015-08-03,20.0,21.393345318156992
2015-08-04,21.0,20.77249251072225
2015-08-05,21.0,21.119518656147637
2015-08-06,22.0,21.167166461250407
2015-08-07,22.0,21.660485794724526
2015-08-08,21.0,21.833492574609398
2015-08-09,23.0,21.301345669215937
2015-08-10,23.0,22.044370996900955
2015-08-11,22.0,22.343314732618627
2015-08-12,22.0,22.124038333940224
2015-08-13,22.0,21.913729267741463
2015-08-14,20.0,21.88869199143595
2015-08-15,20.0,21.13141560485632
2015-08-16,21.0,20.8607749782626
2015-08-17,21.0,21.17229530501469
2015-08-18,20.0,21.294881738765515
2015-08-19,19.0,20.695182174164632
2015-08-20,19.0,20.126956582661013
2015-08-21,20.0,20.050452390587896
2015-08-22,20.0,20.46421604086878
2015-08-23,22.0,20.369504390182204
2015-08-24,22.0,21.336999331310142
2015-08-25,22.0,21.44430352547828
2015-08-26,22.0,21.43424135973213
2015-08-27,23.0,21.638390991958648
2015-08-28,22.0,22.190980205122163
2015-08-29,21.0,21.887063753502492
2015-08-30,22.0,21.351464043700037
2015-08-31,22.0,21.657585384044626
2015-09-01,22.0,21.73901004824994
2015-09-02,22.0,21.882957958923033
2015-09-03,23.0,21.815230006173568
2015-09-04,23.0,22.203172153343292
2015-09-05,22.0,22.497806577953828
2015-09-06,21.0,22.02729924996378
2015-09-07,21.0,21.494396407296666
2015-09-08,20.0,21.464402866040235
2015-09-09,20.0,20.97941384279783
2015-09-10,23.0,20.83824455487046
2015-09-11,22.0,22.14860317297438
2015-09-12,20.0,21.8820468080272
2015-09-13,21.0,20.93498196552206
2015-09-14,20.0,21.137174530298456
2015-09-15,23.0,20.82636029725585
2015-09-16,22.0,22.251432810066024
2015-09-17,23.0,21.922455883595138
2015-09-18,23.0,22.17431145280158
2015-09-19,23.0,22.425324481489714
2015-09-20,22.0,22.41907364653888
2015-09-21,23.0,22.178205269304147
2015-09-22,22.0,22.61817249202453
2015-09-23,21.0,22.141714600437115
2015-09-24,23.0,21.56913079643913
2015-09-25,23.0,22.39322691667711
2015-09-26,23.0,22.565460660137195
2015-09-27,23.0,22.68607448224019
2015-09-28,23.0,22.681472170838777
2015-09-29,23.0,22.591643897137818
2015-09-30,23.0,22.83772929008318
2015-10-01,23.0,22.857479279628922
2015-10-02,24.0,22.714150378954162
2015-10-03,24.0,23.341123218793417
2015-10-04,23.0,23.466588762175423
2015-10-05,22.0,22.98667296481175
2015-10-06,22.0,22.601145507619538
2015-10-07,23.0,22.4310374524723
2015-10-08,23.0,22.84259642293681
2015-10-09,23.0,22.964144067951782
2015-10-10,25.0,22.96679922650468
2015-10-11,23.0,23.71399178452815
2015-10-12,23.0,23.220163159185848
2015-10-13,23.0,23.048363644196787
2015-10-14,23.0,23.077884142734536
2015-10-15,23.0,23.13916547228313
2015-10-16,23.0,23.098466273889688
2015-10-17,22.0,22.936053634441794
2015-10-18,22.0,22.597872752350657
2015-10-19,24.0,22.517497364963663
2015-10-20,24.0,23.28270454972834
2015-10-21,23.0,23.582988085575824
2015-10-22,22.0,23.18458420216415
2015-10-23,23.0,22.478681996913327
2015-10-24,22.0,22.838608551859796
2015-10-25,23.0,22.674448348958993
2015-10-26,24.0,22.971726700630132
2015-10-27,23.0,23.39426217887034
2015-10-28,24.0,23.064216739562415
2015-10-29,24.0,23.38787338728547
2015-10-30,25.0,23.505492303029985
2015-10-31,24.0,24.218340427705233
2015-11-01,24.0,23.790338750898616
2015-11-02,24.0,23.657475394546726
2015-11-03,24.0,23.811344279876028
2015-11-04,24.0,23.835178320410467
2015-11-05,24.0,23.772633968730805
2015-11-06,25.0,23.873144023988278
2015-11-07,25.0,24.27246213705256
2015-11-08,24.0,24.387337179841087
2015-11-09,25.0,24.04083036561109
2015-11-10,26.0,24.43546459549565
2015-11-11,26.0,24.947123798692918
2015-11-12,26.0,25.210669036393927
2015-11-13,26.0,25.302835330708366
2015-11-14,26.0,25.227120043542516
2015-11-15,26.0,25.43638923581692
2015-11-16,26.0,25.483869891067787
2015-11-17,27.0,25.49850081564613
2015-11-18,26.0,26.056054957877667
2015-11-19,26.0,25.724441337261386
2015-11-20,25.0,25.60725034615756
2015-11-21,26.0,25.2350450604515
2015-11-22,26.0,25.71220950365181
2015-11-23,26.0,25.716648955791914
2015-11-24,25.0,25.749798883548227
2015-11-25,26.0,25.286507935282533
2015-11-26,26.0,25.629561840429904
2015-11-27,27.0,25.75872380656823
2015-11-28,27.0,26.293753616974517
2015-11-29,27.0,26.38063018627894
2015-11-30,26.0,26.41223450819574
2015-12-01,26.0,26.00967649948301
2015-12-02,27.0,25.936128229931217
2015-12-03,26.0,26.47989491478187
2015-12-04,25.0,26.142361691414624
2015-12-05,25.0,25.51537341655943
2015-12-06,25.0,25.333236094381608
2015-12-07,25.0,25.367462075854963
2015-12-08,25.0,25.380116457928796
2015-12-09,25.0,25.242655789845447
2015-12-10,25.0,25.20840326061465
2015-12-11,26.0,25.176159425255936
2015-12-12,25.0,25.604712434760348
2015-12-13,25.0,25.260559834376398
2015-12-14,25.0,25.240350974919455
2015-12-15,25.0,25.080961207902636
2015-12-16,26.0,25.126659988652808
2015-12-17,26.0,25.610849958362213
2015-12-18,25.5,25.648691318781164
2015-12-19,25.0,25.38478721803016
2015-12-20,25.0,25.177312477753492
2015-12-21,25.0,25.062342105200276
2015-12-22,25.0,25.17805356441635
2015-12-23,25.0,25.141464322569608
2015-12-24,25.0,24.985017169692345
2015-12-25,25.0,24.963555662070792
2015-12-26,26.0,25.039307511107598
2015-12-27,25.0,25.450651551019053
2015-12-28,25.0,25.111212702752926
2015-12-29,25.0,25.078848253004015
2015-12-30,25.0,24.959475044575573
2015-12-31,25.0,24.999991889357023
2016-01-01,25.0,25.089127490533645
2016-01-02,25.0,24.952893085994436
2016-01-03,25.0,24.98028152773553
2016-01-04,25.0,24.99437844986709
