Tanggal,Actual,Predicted
2015-04-14,280.0,139.78851
2015-04-15,150.0,166.27795
2015-04-16,20.0,160.00572
2015-04-17,40.0,141.25232
2015-04-18,240.0,132.82828
2015-04-19,40.0,151.71558
2015-04-20,70.0,138.04268
2015-04-21,30.0,133.27606
2015-04-22,60.0,126.421814
2015-04-23,270.0,124.2959
2015-04-24,30.0,149.77301
2015-04-25,290.0,134.98674
2015-04-26,359.99999999999994,162.30814
2015-04-27,70.0,202.97418
2015-04-28,340.0,167.2902
2015-04-29,50.0,201.7155
2015-04-30,179.99999999999997,166.46954
2015-05-01,300.0,168.69582
2015-05-02,60.0,195.56349
2015-05-03,210.0,165.33723
2015-05-04,359.99999999999994,173.46202
2015-05-05,200.0,214.93098
2015-05-06,160.0,200.95496
2015-05-07,179.99999999999997,187.20534
2015-05-08,220.0,183.94633
2015-05-09,200.0,190.06076
2015-05-10,179.99999999999997,189.36263
2015-05-11,50.0,184.99442
2015-05-12,40.0,161.72005
2015-05-13,210.0,147.99583
2015-05-14,179.99999999999997,161.03685
2015-05-15,160.0,165.39925
2015-05-16,120.0,164.37393
2015-05-17,160.0,157.63353
2015-05-18,200.0,159.47806
2015-05-19,179.99999999999997,167.49202
2015-05-20,350.0,169.16563
2015-05-21,40.0,208.42883
2015-05-22,70.0,168.07602
2015-05-23,60.0,154.77744
2015-05-24,70.0,144.85664
2015-05-25,170.0,139.14833
2015-05-26,179.99999999999997,147.07362
2015-05-27,179.99999999999997,154.48091
2015-05-28,170.0,159.43752
2015-05-29,330.0,161.05406
2015-05-30,160.0,195.90695
2015-05-31,160.0,180.90593
2015-06-01,170.0,174.1653
2015-06-02,20.0,172.34012
2015-06-03,50.0,150.22716
2015-06-04,189.99999999999997,140.79779
2015-06-05,160.0,151.28676
2015-06-06,50.0,154.49472
2015-06-07,179.99999999999997,141.76567
2015-06-08,189.99999999999997,150.07222
2015-06-09,179.99999999999997,158.17538
2015-06-10,189.99999999999997,161.87341
2015-06-11,20.0,166.28775
2015-06-12,170.0,145.45079
2015-06-13,20.0,151.37581
2015-06-14,160.0,137.15279
2015-06-15,200.0,143.56537
2015-06-16,350.0,154.95479
