Tanggal,Actual,Predicted
2015-04-14,2.666666666666666,3.6926453
2015-04-15,2.7333333333333334,3.6063101
2015-04-16,2.8,3.551575
2015-04-17,1.8499999999999999,3.5208364
2015-04-18,0.9,2.7345703
2015-04-19,16.3,1.9695218
2015-04-20,8.55,13.244848
2015-04-21,0.8,7.7671785
2015-04-22,1.05,2.352425
2015-04-23,1.3,2.7477956
2015-04-24,1.55,2.5497868
2015-04-25,1.8,2.473111
2015-04-26,2.3,2.5321016
2015-04-27,2.2,2.8295317
2015-04-28,0.9,2.7106009
2015-04-29,2.3249999999999997,1.7292273
2015-04-30,3.7499999999999996,2.7637918
2015-05-01,5.175,3.7744005
2015-05-02,6.6,4.9006457
2015-05-03,10.45,6.128521
2015-05-04,14.3,9.303727
2015-05-05,14.083870967741936,12.438322
2015-05-06,13.867741935483874,12.587429
2015-05-07,13.651612903225809,12.796102
2015-05-08,13.435483870967744,12.885132
2015-05-09,13.219354838709679,12.866241
2015-05-10,13.003225806451614,12.801024
2015-05-11,12.787096774193548,12.70576
2015-05-12,12.570967741935485,12.589141
2015-05-13,12.35483870967742,12.456717
2015-05-14,12.138709677419355,12.311879
2015-05-15,11.92258064516129,12.157003
2015-05-16,11.706451612903226,11.993906
2015-05-17,11.490322580645161,11.824033
2015-05-18,11.274193548387096,11.648575
2015-05-19,11.058064516129033,11.468486
2015-05-20,10.841935483870968,11.284307
2015-05-21,10.625806451612902,11.097233
2015-05-22,10.409677419354837,10.907623
2015-05-23,10.193548387096774,10.715646
2015-05-24,9.977419354838709,10.521639
2015-05-25,9.761290322580646,10.325873
2015-05-26,9.54516129032258,10.128572
2015-05-27,9.329032258064515,9.929909
2015-05-28,9.112903225806452,9.730043
2015-05-29,8.896774193548387,9.529092
2015-05-30,8.680645161290322,9.327097
2015-05-31,8.464516129032258,9.124148
2015-06-01,8.248387096774193,8.920327
2015-06-02,8.032258064516128,8.715703
2015-06-03,7.816129032258063,8.510302
2015-06-04,7.6,8.304198
2015-06-05,7.5,8.097567
2015-06-06,7.3999999999999995,7.9835463
2015-06-07,7.3,7.8674574
2015-06-08,7.2,7.756478
2015-06-09,7.1,7.64972
2015-06-10,7.0,7.545168
2015-06-11,6.8999999999999995,7.442194
2015-06-12,6.8,7.340383
2015-06-13,6.7,7.239441
2015-06-14,6.6,7.1391697
2015-06-15,6.5,7.03943
2015-06-16,6.3999999999999995,6.9400816
2015-06-17,6.3,6.841047
2015-06-18,6.2,6.7422576
2015-06-19,6.1,6.6436396
2015-06-20,6.0,6.5451565
2015-06-21,5.8999999999999995,6.446776
2015-06-22,5.8,6.348456
2015-06-23,5.7,6.2501926
2015-06-24,5.6,6.151952
