Tanggal,Actual,Predicted
2015-04-14,3.0,3.9707305
2015-04-15,3.0,3.7638762
2015-04-16,4.0,3.5993502
2015-04-17,3.0,3.6918757
2015-04-18,3.0,3.5569723
2015-04-19,3.0,3.4564247
2015-04-20,4.0,3.3827193
2015-04-21,3.0,3.5465686
2015-04-22,3.0,3.4659061
2015-04-23,4.0,3.402822
2015-04-24,3.0,3.565837
2015-04-25,3.0,3.4813437
2015-04-26,3.0,3.4135573
2015-04-27,2.0,3.359718
2015-04-28,4.0,3.1193566
2015-04-29,3.0,3.349041
2015-04-30,3.0,3.3246732
2015-05-01,2.0,3.3073153
2015-05-02,3.0,3.0898926
2015-05-03,3.5,3.1235223
2015-05-04,4.0,3.2571177
2015-05-05,4.0,3.471589
2015-05-06,4.0,3.63637
2015-05-07,5.999999999999999,3.7553005
2015-05-08,3.0,4.2688746
2015-05-09,5.0,4.00703
2015-05-10,5.999999999999999,4.2185774
2015-05-11,4.0,4.587639
2015-05-12,4.0,4.4342036
2015-05-13,4.0,4.29592
2015-05-14,4.0,4.181793
2015-05-15,4.0,4.1003165
2015-05-16,5.0,4.0467763
2015-05-17,5.999999999999999,4.2358665
2015-05-18,4.0,4.6028094
2015-05-19,3.0,4.4511147
2015-05-20,3.0,4.092475
2015-05-21,2.0,3.8090148
2015-05-22,4.0,3.3935847
2015-05-23,3.0,3.524035
2015-05-24,3.0,3.4355297
2015-05-25,4.0,3.3797674
2015-05-26,3.0,3.5587513
2015-05-27,4.0,3.4868693
2015-05-28,4.0,3.6449816
2015-05-29,3.0,3.7651129
2015-05-30,3.0,3.635964
2015-05-31,3.0,3.5271418
2015-06-01,3.0,3.4420843
2015-06-02,4.0,3.380445
2015-06-03,3.0,3.552203
2015-06-04,4.0,3.4750316
2015-06-05,4.0,3.626956
2015-06-06,4.0,3.7431586
2015-06-07,5.0,3.827847
2015-06-08,5.0,4.1068344
2015-06-09,5.0,4.3141356
2015-06-10,5.0,4.459828
2015-06-11,3.0,4.55581
2015-06-12,5.0,4.1748333
2015-06-13,4.0,4.3125257
2015-06-14,5.999999999999999,4.2058754
2015-06-15,5.0,4.564971
2015-06-16,3.0,4.628419
2015-06-17,5.999999999999999,4.226896
2015-06-18,4.0,4.5652633
2015-06-19,4.0,4.401839
2015-06-20,4.0,4.271679
2015-06-21,5.0,4.171608
2015-06-22,4.0,4.324353
2015-06-23,5.0,4.232398
2015-06-24,5.0,4.380889
2015-06-25,5.0,4.495885
2015-06-26,5.0,4.5807605
2015-06-27,5.0,4.636876
2015-06-28,5.0,4.671652
2015-06-29,4.0,4.6921873
2015-06-30,5.999999999999999,4.4861326
2015-07-01,4.0,4.7555475
2015-07-02,4.0,4.5413704
2015-07-03,4.0,4.3687162
2015-07-04,3.0,4.2383423
2015-07-05,4.0,3.9278798
2015-07-06,4.0,3.9216428
2015-07-07,4.0,3.9371185
2015-07-08,3.0,3.9612067
2015-07-09,4.0,3.7620904
2015-07-10,5.0,3.828441
2015-07-11,5.0,4.1096334
2015-07-12,5.0,4.3312955
2015-07-13,8.0,4.4882545
2015-07-14,4.0,5.1788874
2015-07-15,4.0,4.8918457
2015-07-16,4.0,4.62957
2015-07-17,5.0,4.413701
2015-07-18,4.0,4.477803
2015-07-19,8.0,4.324914
2015-07-20,5.999999999999999,5.031531
2015-07-21,3.0,5.17849
2015-07-22,3.0,4.6411967
2015-07-23,3.0,4.1953635
2015-07-24,3.0,3.8600016
2015-07-25,3.0,3.6315162
2015-07-26,4.0,3.4863138
2015-07-27,4.0,3.6197066
2015-07-28,4.0,3.7437544
2015-07-29,4.0,3.8441296
2015-07-30,5.0,3.9166727
2015-07-31,5.0,4.184931
2015-08-01,3.0,4.3856635
2015-08-02,4.0,4.0847244
2015-08-03,5.0,4.0539284
2015-08-04,4.0,4.253619
2015-08-05,5.0,4.192901
2015-08-06,5.0,4.360607
2015-08-07,4.0,4.485829
2015-08-08,4.0,4.356266
2015-08-09,4.0,4.244438
2015-08-10,4.0,4.156814
2015-08-11,3.0,4.0956335
2015-08-12,3.0,3.8341274
2015-08-13,4.0,3.6373763
2015-08-14,4.0,3.7198827
2015-08-15,5.0,3.8012273
2015-08-16,4.0,4.091894
2015-08-17,3.0,4.09381
2015-08-18,3.0,3.8606048
2015-08-19,4.0,3.6690497
2015-08-20,3.0,3.7458434
2015-08-21,4.0,3.6005058
2015-08-22,5.0,3.7105665
2015-08-23,3.0,4.022524
2015-08-24,5.0,3.8251126
2015-08-25,4.0,4.098921
2015-08-26,4.0,4.086694
2015-08-27,4.0,4.068924
2015-08-28,4.0,4.047605
2015-08-29,4.0,4.029334
2015-08-30,4.0,4.015048
2015-08-31,5.0,4.0050817
2015-09-01,4.0,4.221239
2015-09-02,4.0,4.168366
2015-09-03,5.0,4.1186113
2015-09-04,5.0,4.297889
2015-09-05,5.0,4.4371285
2015-09-06,4.0,4.5385113
2015-09-07,3.0,4.387302
2015-09-08,4.0,4.0388227
2015-09-09,5.999999999999999,3.9920483
2015-09-10,4.0,4.412302
2015-09-11,4.0,4.315798
2015-09-12,5.0,4.2273593
2015-09-13,8.0,4.372716
2015-09-14,4.0,5.081202
2015-09-15,5.999999999999999,4.818191
2015-09-16,3.0,5.002356
2015-09-17,3.0,4.4887943
2015-09-18,4.0,4.0831666
2015-09-19,4.0,4.004892
2015-09-20,5.0,3.9762504
2015-09-21,5.0,4.196671
2015-09-22,4.0,4.3765097
2015-09-23,4.0,4.2917686
2015-09-24,3.0,4.2117715
2015-09-25,4.0,3.9251711
2015-09-26,4.0,3.9283376
2015-09-27,4.0,3.944993
2015-09-28,4.0,3.9672194
2015-09-29,5.0,3.9864187
2015-09-30,3.0,4.222268
2015-10-01,8.0,3.9606643
2015-10-02,4.0,4.8087945
2015-10-03,5.999999999999999,4.6342783
2015-10-04,5.0,4.892132
2015-10-05,3.0,4.8585224
2015-10-06,3.0,4.3834343
2015-10-07,4.0,4.007728
2015-10-08,4.0,3.9553764
2015-10-09,3.0,3.9439344
2015-10-10,4.0,3.7312953
2015-10-11,4.0,3.7957227
2015-10-12,4.0,3.8580606
2015-10-13,4.0,3.911183
2015-10-14,4.0,3.9492338
2015-10-15,5.0,3.9769607
2015-10-16,4.0,4.2149825
2015-10-17,3.0,4.1768765
2015-10-18,4.0,3.9142513
2015-10-19,4.0,3.9241114
2015-10-20,4.0,3.9398315
2015-10-21,4.0,3.9581296
2015-10-22,4.0,3.973357
2015-10-23,3.0,3.9849482
2015-10-24,4.0,3.7721236
2015-10-25,4.0,3.8264885
2015-10-26,3.0,3.8753428
2015-10-27,4.0,3.6973655
2015-10-28,5.0,3.77684
2015-10-29,3.0,4.064915
2015-10-30,4.0,3.848982
2015-10-31,4.0,3.8900032
2015-11-01,4.0,3.917766
2015-11-02,4.0,3.9433467
2015-11-03,4.0,3.960772
2015-11-04,4.0,3.972815
2015-11-05,3.0,3.9813752
2015-11-06,4.0,3.7665582
2015-11-07,3.0,3.8182454
2015-11-08,4.0,3.6463728
2015-11-09,5.0,3.7367928
2015-11-10,4.0,4.0345
2015-11-11,4.0,4.047657
2015-11-12,4.0,4.0451946
2015-11-13,4.0,4.0334077
2015-11-14,5.999999999999999,4.0210214
2015-11-15,4.0,4.448309
2015-11-16,4.0,4.3440704
2015-11-17,5.0,4.24599
