Tanggal,Actual,Predicted
2015-04-14,1.0,1.1360135
2015-04-15,2.0,1.1263978
2015-04-16,1.0,1.6548429
2015-04-17,1.0,1.228306
2015-04-18,1.0,1.1550053
2015-04-19,1.0,1.1371378
2015-04-20,1.0,1.1269524
2015-04-21,1.0,1.1201866
2015-04-22,1.0,1.1150986
2015-04-23,1.0,1.1108544
2015-04-24,1.0,1.1072017
2015-04-25,1.0,1.1041907
2015-04-26,1.0,1.1015766
2015-04-27,1.0,1.0993154
2015-04-28,1.0,1.0973723
2015-04-29,1.0,1.095714
2015-04-30,1.0,1.0943065
2015-05-01,1.0,1.0931176
2015-05-02,1.0,1.0921171
2015-05-03,1.0,1.0912764
2015-05-04,1.0,1.0905704
2015-05-05,1.0,1.0899775
2015-05-06,1.0,1.0894789
2015-05-07,2.0,1.0890572
2015-05-08,1.5000000000000002,1.6182783
2015-05-09,1.0,1.4497346
2015-05-10,2.0,1.1871887
2015-05-11,1.0,1.67342
2015-05-12,1.0,1.2382214
2015-05-13,1.0,1.1610382
2015-05-14,1.0,1.1416833
2015-05-15,2.0,1.130793
2015-05-16,3.0000000000000004,1.6587348
2015-05-17,2.0,2.3508615
2015-05-18,1.5000000000000002,1.8688287
2015-05-19,1.0,1.5558242
2015-05-20,1.0,1.2813213
2015-05-21,1.0,1.2213957
2015-05-22,1.0,1.1939301
2015-05-23,1.0,1.1754066
2015-05-24,1.0,1.1616157
2015-05-25,1.0,1.1505073
2015-05-26,1.0,1.1411172
2015-05-27,1.0,1.1330138
2015-05-28,1.0,1.1259815
2015-05-29,1.0,1.1198945
2015-05-30,1.0,1.1146576
2015-05-31,1.0,1.1101823
2015-06-01,1.0,1.1063806
2015-06-02,1.3333333333333333,1.103167
2015-06-03,1.6666666666666665,1.265375
2015-06-04,2.0,1.4810656
2015-06-05,2.0,1.7192447
2015-06-06,1.0,1.7713633
2015-06-07,2.0,1.2695496
2015-06-08,3.0000000000000004,1.7240363
2015-06-09,2.0,2.4000597
2015-06-10,2.0,1.9017237
2015-06-11,1.5000000000000002,1.865758
2015-06-12,1.0,1.6087077
2015-06-13,1.0,1.3148946
2015-06-14,2.0,1.2498509
2015-06-15,1.0,1.7688298
2015-06-16,1.0,1.3059412
2015-06-17,1.0,1.2216462
2015-06-18,1.0,1.1953319
2015-06-19,2.0,1.1765888
2015-06-20,2.0,1.7056829
2015-06-21,2.0,1.7981305
2015-06-22,1.0,1.8236122
2015-06-23,2.0,1.3082749
2015-06-24,3.0000000000000004,1.766609
2015-06-25,2.0,2.4410148
2015-06-26,2.0,1.9292654
2015-06-27,1.5000000000000002,1.8900639
2015-06-28,1.0,1.6282177
2015-06-29,2.0,1.3302174
2015-06-30,4.0,1.8182439
2015-07-01,2.0,3.0234098
2015-07-02,2.0,2.0387793
2015-07-03,2.0,1.9296627
2015-07-04,1.0,1.9739467
2015-07-05,1.0,1.4230838
2015-07-06,1.0,1.3190739
2015-07-07,1.0,1.2766471
2015-07-08,1.0,1.243868
2015-07-09,1.0,1.2184651
2015-07-10,1.0,1.1980693
2015-07-11,1.0,1.1809256
2015-07-12,1.0,1.166368
2015-07-13,2.0,1.1539292
2015-07-14,2.0,1.6843094
2015-07-15,2.0,1.7801119
2015-07-16,2.0,1.807897
2015-07-17,2.0,1.8301411
2015-07-18,2.0,1.8494103
2015-07-19,2.0,1.8653326
2015-07-20,2.0,1.8788463
2015-07-21,1.0,1.8907462
2015-07-22,1.0,1.3584311
2015-07-23,1.0,1.2646756
2015-07-24,1.0,1.2300478
2015-07-25,1.0,1.2046864
2015-07-26,2.0,1.1857206
2015-07-27,1.0,1.7157156
2015-07-28,1.0,1.2692347
2015-07-29,1.0,1.1900808
2015-07-30,2.0,1.1670362
2015-07-31,2.0,1.6923726
2015-08-01,1.0,1.7861357
2015-08-02,1.0,1.2804025
2015-08-03,2.0,1.1963216
2015-08-04,1.0,1.713037
2015-08-05,2.0,1.2671983
2015-08-06,1.0,1.7291927
2015-08-07,1.0,1.2767762
2015-08-08,1.0,1.1943184
2015-08-09,1.0,1.170335
2015-08-10,1.0,1.1549017
2015-08-11,1.0,1.143772
2015-08-12,1.0,1.1350052
2015-08-13,1.0,1.127524
2015-08-14,1.0,1.1211447
2015-08-15,1.0,1.1156594
2015-08-16,2.0,1.1109478
2015-08-17,1.0,1.6403304
2015-08-18,1.0,1.2171896
2015-08-19,1.0,1.1446253
2015-08-20,1.0,1.127478
2015-08-21,1.0,1.1184543
2015-08-22,1.0,1.1128292
2015-08-23,1.0,1.108799
2015-08-24,1.0,1.105556
2015-08-25,1.0,1.1028075
2015-08-26,1.0,1.1003066
2015-08-27,1.0,1.0982789
2015-08-28,1.0,1.0965052
2015-08-29,1.0,1.0949568
2015-08-30,1.0,1.0935044
2015-08-31,1.0,1.0923051
2015-09-01,1.0,1.0914268
2015-09-02,1.0,1.09068
2015-09-03,3.0000000000000004,1.0899341
2015-09-04,3.0000000000000004,2.196757
2015-09-05,1.0,2.3941529
2015-09-06,1.0,1.3638495
2015-09-07,1.0,1.2160438
2015-09-08,1.0,1.1886206
2015-09-09,1.0,1.1685898
2015-09-10,1.0,1.1550145
2015-09-11,1.0,1.1448909
2015-09-12,1.0,1.1366148
2015-09-13,2.0,1.1295536
2015-09-14,1.0,1.659471
2015-09-15,2.0,1.2310802
2015-09-16,1.0,1.6935927
2015-09-17,1.0,1.2513303
2015-09-18,1.0,1.1718783
2015-09-19,1.0,1.1505625
2015-09-20,1.0,1.1380262
2015-09-21,1.0,1.1295483
2015-09-22,1.0,1.1231222
2015-09-23,1.0,1.1178161
2015-09-24,1.0,1.1132761
2015-09-25,1.0,1.1093317
2015-09-26,1.0,1.1058998
2015-09-27,1.0,1.1029265
2015-09-28,1.0,1.100366
2015-09-29,1.0,1.0981759
2015-09-30,1.0,1.0963097
2015-10-01,1.0,1.094729
2015-10-02,1.0,1.0933862
2015-10-03,1.0,1.0922291
2015-10-04,1.0,1.091023
2015-10-05,1.0,1.090091
2015-10-06,1.0,1.0895976
2015-10-07,1.0,1.0891848
2015-10-08,1.0,1.0888379
2015-10-09,1.0,1.0885468
2015-10-10,1.0,1.0883
2015-10-11,1.0,1.0880928
2015-10-12,1.0,1.0879097
2015-10-13,1.0,1.0877501
2015-10-14,1.0,1.0875005
2015-10-15,1.0,1.087428
2015-10-16,1.0,1.087259
2015-10-17,1.0,1.087259
2015-10-18,1.0,1.087259
2015-10-19,1.0,1.087259
2015-10-20,1.0,1.087259
2015-10-21,1.0,1.087259
2015-10-22,1.0,1.087259
2015-10-23,1.0,1.087259
2015-10-24,1.0,1.087259
2015-10-25,1.0,1.087259
2015-10-26,1.0,1.087259
2015-10-27,1.0,1.087259
2015-10-28,1.0,1.087259
2015-10-29,1.0,1.087259
2015-10-30,1.0,1.087259
2015-10-31,1.0,1.087259
2015-11-01,1.0,1.087259
2015-11-02,1.0,1.087259
2015-11-03,1.0,1.087259
2015-11-04,1.0,1.087259
2015-11-05,1.0,1.087259
2015-11-06,1.0,1.087259
2015-11-07,1.0,1.087259
2015-11-08,1.0,1.087259
2015-11-09,1.0,1.087259
2015-11-10,1.0,1.087259
2015-11-11,1.0,1.087259
2015-11-12,1.0,1.087259
2015-11-13,1.0,1.087259
2015-11-14,1.0,1.087259
2015-11-15,1.0,1.087259
2015-11-16,1.0,1.087259
2015-11-17,1.0,1.087259
2015-11-18,1.0,1.087259
2015-11-19,1.0,1.087259
2015-11-20,2.0,1.087259
2015-11-21,1.0,1.6165166
2015-11-22,1.0,1.2014647
2015-11-23,1.0,1.1313831
2015-11-24,1.0,1.1163028
2015-11-25,1.0,1.109128
2015-11-26,1.0,1.1051121
2015-11-27,1.0,1.1024362
2015-11-28,1.0,1.100334
2015-11-29,1.0,1.0985461
2015-11-30,1.0,1.0969665
2015-12-01,1.0,1.095559
2015-12-02,1.0,1.0943125
2015-12-03,1.0,1.0932193
2015-12-04,1.0,1.0922716
2015-12-05,1.0,1.0914583
2015-12-06,1.0,1.0907664
2015-12-07,1.0,1.0901812
2015-12-08,1.0,1.0896893
2015-12-09,1.0,1.0892768
2015-12-10,1.0,1.0889316
2015-12-11,1.0,1.0886427
2015-12-12,1.0,1.0884019
2015-12-13,1.0,1.0881997
2015-12-14,1.0,1.0880307
2015-12-15,1.0,1.0878882
2015-12-16,1.0,1.0877686
2015-12-17,1.5000000000000002,1.0876657
2015-12-18,2.0,1.3388216
2015-12-19,1.0,1.6757705
2015-12-20,1.0,1.2222168
2015-12-21,1.0,1.1455861
2015-12-22,1.0,1.1276037
2015-12-23,3.0000000000000004,1.1184242
2015-12-24,4.0,2.2264972
2015-12-25,4.0,2.958732
2015-12-26,5.0,3.0853283
2015-12-27,4.0,3.6158085
2015-12-28,3.0000000000000004,3.2592044
2015-12-29,2.5,2.6791146
2015-12-30,2.0,2.433391
2015-12-31,1.0,2.1527174
2016-01-01,1.0,1.5545156
2016-01-02,1.0,1.4397722
