Tanggal,Actual,Predicted
2015-04-14,85.0,78.34932
2015-04-15,78.0,82.50797
2015-04-16,84.0,79.683655
2015-04-17,89.50000000000001,82.48955
2015-04-18,95.0,85.071556
2015-04-19,85.0,87.70506
2015-04-20,87.0,84.469
2015-04-21,87.0,85.09148
2015-04-22,87.0,84.95559
2015-04-23,85.0,85.03787
2015-04-24,82.0,84.28616
2015-04-25,88.0,82.909935
2015-04-26,89.50000000000001,85.28271
2015-04-27,90.99999999999999,86.17784
2015-04-28,85.0,87.094124
2015-04-29,83.0,85.01946
2015-04-30,78.0,83.96748
2015-05-01,88.0,81.268295
2015-05-02,84.0,85.26272
2015-05-03,83.0,83.98666
2015-05-04,88.0,83.68517
2015-05-05,78.0,85.648186
2015-05-06,76.0,81.347015
2015-05-07,74.0,79.91126
2015-05-08,73.0,78.147835
2015-05-09,77.0,77.09734
2015-05-10,72.0,78.734276
2015-05-11,78.0,76.17305
2015-05-12,76.0,78.81881
2015-05-13,73.0,77.888916
2015-05-14,73.0,76.269325
2015-05-15,73.0,75.7198
2015-05-16,67.0,75.3061
2015-05-17,60.0,72.18664
2015-05-18,74.0,68.63363
2015-05-19,75.0,72.65436
2015-05-20,81.0,74.117
2015-05-21,79.0,77.61906
2015-05-22,81.0,77.54757
2015-05-23,79.0,78.71734
2015-05-24,77.0,77.9117
2015-05-25,81.0,76.853905
2015-05-26,81.0,78.55022
2015-05-27,81.0,78.84178
2015-05-28,73.0,79.11721
2015-05-29,75.0,75.25023
2015-05-30,77.0,75.63982
2015-05-31,84.0,76.409615
2015-06-01,76.0,80.057304
2015-06-02,80.0,76.92184
2015-06-03,89.0,78.73666
2015-06-04,81.0,83.02614
2015-06-05,73.0,80.28522
2015-06-06,67.0,76.239685
2015-06-07,75.0,72.40641
2015-06-08,70.0,75.11164
2015-06-09,69.0,72.972305
2015-06-10,61.99999999999999,72.30158
2015-06-11,77.0,69.12666
2015-06-12,74.0,74.12211
2015-06-13,76.0,74.05921
2015-06-14,70.0,75.367485
2015-06-15,73.0,72.83771
2015-06-16,65.0,73.54822
2015-06-17,72.0,70.1622
2015-06-18,75.0,71.943535
2015-06-19,68.0,73.52306
2015-06-20,71.0,71.15613
2015-06-21,76.0,71.75398
2015-06-22,71.0,73.83657
2015-06-23,63.0,72.31804
2015-06-24,71.0,69.05096
2015-06-25,66.0,70.694275
2015-06-26,68.33333333333333,69.25679
2015-06-27,70.66666666666667,69.67673
2015-06-28,73.0,70.56648
2015-06-29,61.99999999999999,71.81548
2015-06-30,70.0,68.421776
2015-07-01,61.99999999999999,69.80604
2015-07-02,71.0,67.64759
2015-07-03,69.0,69.613716
2015-07-04,79.0,69.670845
2015-07-05,75.0,73.67438
2015-07-06,76.0,73.43359
2015-07-07,73.0,74.14809
2015-07-08,70.0,72.99937
2015-07-09,75.0,71.51238
2015-07-10,85.0,73.10656
2015-07-11,83.0,78.08356
2015-07-12,81.0,78.71414
2015-07-13,83.0,78.41921
2015-07-14,81.0,79.468285
2015-07-15,71.0,78.78535
2015-07-16,67.0,73.91051
2015-07-17,68.0,71.25337
2015-07-18,58.0,70.76644
2015-07-19,68.0,67.01228
2015-07-20,69.0,68.994576
2015-07-21,74.0,69.945244
2015-07-22,73.0,72.39468
2015-07-23,79.0,72.82743
2015-07-24,81.0,75.731834
2015-07-25,76.0,77.46964
2015-07-26,73.0,75.73526
2015-07-27,75.0,74.08125
2015-07-28,75.0,74.46886
2015-07-29,75.0,74.45238
2015-07-30,61.99999999999999,74.54758
2015-07-31,66.0,69.16561
2015-08-01,77.0,69.20652
2015-08-02,69.0,73.26731
2015-08-03,68.0,71.26692
2015-08-04,70.0,70.63065
2015-08-05,66.0,70.98158
2015-08-06,71.0,69.55356
2015-08-07,72.0,70.8573
2015-08-08,77.0,71.59878
2015-08-09,81.0,74.025314
