Tanggal,Actual,Predicted
2015-04-14,7.300000000000001,6.7463694
2015-04-15,3.9,6.874568
2015-04-16,8.0,5.6025825
2015-04-17,7.7,6.974314
2015-04-18,7.4,7.108257
2015-04-19,7.1,6.999745
2015-04-20,6.8,6.883926
2015-04-21,6.000000000000001,6.749785
2015-04-22,7.4,6.367433
2015-04-23,3.8,6.859999
2015-04-24,8.0,5.531842
2015-04-25,6.5,6.9193616
2015-04-26,3.8,6.552827
2015-04-27,6.5,5.362937
2015-04-28,5.55,6.189522
2015-04-29,4.6,5.8442106
2015-04-30,8.0,5.3298426
2015-05-01,7.1,6.6617856
2015-05-02,3.7,6.57818
2015-05-03,8.0,5.25927
2015-05-04,3.2,6.722918
2015-05-05,6.7,5.16054
2015-05-06,7.0,6.078632
2015-05-07,8.0,6.3590784
2015-05-08,8.0,6.8149304
2015-05-09,8.0,6.9950223
2015-05-10,8.0,7.098535
2015-05-11,8.0,7.1814785
2015-05-12,8.0,7.258113
2015-05-13,6.8,7.3183856
2015-05-14,8.0,6.8957367
2015-05-15,7.7,7.269411
2015-05-16,6.7,7.2817006
2015-05-17,8.0,6.8719788
2015-05-18,8.0,7.302993
2015-05-19,7.9,7.422145
2015-05-20,7.6,7.4222574
2015-05-21,8.0,7.325498
2015-05-22,7.8,7.487832
2015-05-23,8.0,7.4557652
2015-05-24,6.4,7.5531287
2015-05-25,6.8,6.9477634
2015-05-26,8.0,6.930435
2015-05-27,8.0,7.4138675
2015-05-28,6.8,7.516504
2015-05-29,7.05,7.0671544
2015-05-30,7.300000000000001,7.0636396
2015-05-31,7.1,7.1592145
2015-06-01,7.0,7.066077
2015-06-02,5.2,7.015331
2015-06-03,7.1,6.2296233
2015-06-04,1.6,6.8340287
2015-06-05,7.5,4.9405565
2015-06-06,7.5,6.7472124
2015-06-07,4.4,6.9451776
2015-06-08,6.1000000000000005,5.731335
2015-06-09,6.2,6.0878024
2015-06-10,8.0,6.141987
2015-06-11,8.0,6.8718
2015-06-12,6.9,7.078337
2015-06-13,8.0,6.7370462
2015-06-14,8.0,7.127738
2015-06-15,7.8,7.2657547
2015-06-16,7.200000000000001,7.252494
2015-06-17,7.8,7.0384765
2015-06-18,6.6,7.2422276
2015-06-19,8.0,6.8220787
2015-06-20,8.0,7.2772636
2015-06-21,7.65,7.4032164
2015-06-22,7.300000000000001,7.30668
2015-06-23,8.0,7.157154
2015-06-24,8.0,7.4169745
2015-06-25,4.8,7.4999385
2015-06-26,8.0,6.275152
2015-06-27,7.65,7.256705
2015-06-28,7.300000000000001,7.3012195
2015-06-29,7.300000000000001,7.134674
2015-06-30,7.200000000000001,7.1079082
2015-07-01,7.8,7.0722156
2015-07-02,7.65,7.2945495
2015-07-03,7.5,7.317031
2015-07-04,7.9,7.2518353
2015-07-05,7.9,7.4364986
2015-07-06,8.0,7.4956975
2015-07-07,8.0,7.5524163
2015-07-08,8.0,7.6010995
2015-07-09,8.0,7.6288238
2015-07-10,8.0,7.6560426
2015-07-11,0.6,7.6733065
2015-07-12,4.2,5.3102326
2015-07-13,8.0,5.6210027
2015-07-14,8.0,7.061461
2015-07-15,5.6,7.2393036
2015-07-16,8.0,6.3308787
2015-07-17,8.0,7.0977936
2015-07-18,8.0,7.288198
2015-07-19,7.8,7.345241
2015-07-20,8.0,7.3210216
2015-07-21,7.0,7.4245934
2015-07-22,8.0,7.079668
2015-07-23,6.6,7.394887
