Tanggal,Actual,Predicted
2015-04-14,31.2,32.20007
2015-04-15,33.6,31.689056
2015-04-16,31.4,32.70466
2015-04-17,32.8,31.887316
2015-04-18,29.4,32.432114
2015-04-19,30.6,30.933891
2015-04-20,31.0,31.190119
2015-04-21,31.2,31.320227
2015-04-22,31.3,31.394295
2015-04-23,32.0,31.433622
2015-04-24,32.4,31.76167
2015-04-25,31.4,32.016613
2015-04-26,30.8,31.628136
2015-04-27,28.4,31.302843
2015-04-28,30.8,30.205658
2015-04-29,30.8,30.924572
2015-04-30,33.0,30.990637
2015-05-01,32.4,32.008545
2015-05-02,31.7,31.949524
2015-05-03,33.0,31.695566
2015-05-04,30.8,32.297455
2015-05-05,31.7,31.41133
2015-05-06,31.65,31.708307
2015-05-07,31.6,31.709848
2015-05-08,31.0,31.690796
2015-05-09,32.0,31.404907
2015-05-10,32.3,31.814373
2015-05-11,31.2,32.01764
2015-05-12,32.6,31.562874
2015-05-13,33.3,32.155098
2015-05-14,32.5,32.576023
2015-05-15,31.6,32.35086
2015-05-16,32.4,31.943306
2015-05-17,31.2,32.253902
2015-05-18,32.4,31.7328
2015-05-19,32.2,32.203526
2015-05-20,32.4,32.172897
2015-05-21,31.5,32.27873
2015-05-22,31.8,31.88666
2015-05-23,31.0,31.959911
2015-05-24,30.8,31.56901
2015-05-25,31.3,31.38159
2015-05-26,32.0,31.53479
2015-05-27,32.8,31.854933
2015-05-28,32.8,32.280415
2015-05-29,32.5,32.389168
2015-05-30,32.5,32.325577
2015-05-31,32.5,32.353603
2015-06-01,32.3,32.38244
2015-06-02,31.4,32.31508
2015-06-03,30.4,31.89074
2015-06-04,31.9,31.328407
2015-06-05,32.2,31.88118
2015-06-06,32.2,32.06783
2015-06-07,32.2,32.11015
2015-06-08,31.4,32.135704
2015-06-09,32.8,31.77736
2015-06-10,32.4,32.36783
2015-06-11,32.5,32.286633
2015-06-12,32.3,32.353275
2015-06-13,31.5,32.29192
2015-06-14,31.85,31.919746
2015-06-15,32.2,32.011612
2015-06-16,32.6,32.166008
2015-06-17,32.8,32.37442
2015-06-18,33.2,32.516937
2015-06-19,33.0,32.747887
2015-06-20,32.8,32.74002
2015-06-21,32.0,32.69022
2015-06-22,30.2,32.34008
2015-06-23,32.0,31.418324
2015-06-24,31.4,32.05126
2015-06-25,31.5,31.802687
2015-06-26,31.8,31.790442
2015-06-27,32.1,31.899786
2015-06-28,32.4,32.04448
2015-06-29,32.4,32.21161
2015-06-30,31.7,32.257782
2015-07-01,31.0,31.961
2015-07-02,31.7,31.581749
2015-07-03,31.4,31.817932
2015-07-04,30.0,31.682573
2015-07-05,30.2,30.994005
2015-07-06,29.8,30.921078
2015-07-07,29.2,30.662155
2015-07-08,29.9,30.31336
2015-07-09,29.6,30.464125
2015-07-10,28.7,30.318554
2015-07-11,29.5,29.925169
2015-07-12,29.2,30.092506
2015-07-13,30.4,29.979439
2015-07-14,30.2,30.389606
2015-07-15,30.0,30.387466
2015-07-16,31.2,30.320883
2015-07-17,31.1,30.818384
2015-07-18,31.6,30.89302
2015-07-19,31.4,31.176933
2015-07-20,31.2,31.182888
2015-07-21,30.0,31.140581
2015-07-22,29.5,30.63149
2015-07-23,30.6,30.337437
2015-07-24,29.4,30.69923
2015-07-25,29.6,30.249153
2015-07-26,32.3,30.228922
2015-07-27,30.4,31.354465
2015-07-28,31.0,30.73515
2015-07-29,31.6,30.940254
2015-07-30,32.2,31.258705
2015-07-31,31.7,31.626675
2015-08-01,29.8,31.512732
2015-08-02,31.8,30.684557
2015-08-03,31.2,31.436047
2015-08-04,31.0,31.275135
2015-08-05,31.8,31.180796
2015-08-06,30.8,31.53923
2015-08-07,28.8,31.148506
2015-08-08,29.4,30.246458
2015-08-09,29.5,30.275043
2015-08-10,28.4,30.248505
2015-08-11,29.4,29.804935
2015-08-12,31.0,30.016212
2015-08-13,31.4,30.657154
2015-08-14,29.8,30.970915
2015-08-15,29.6,30.388367
2015-08-16,28.8,30.231295
2015-08-17,29.2,29.892254
2015-08-18,31.6,29.935608
2015-08-19,28.8,30.874832
2015-08-20,29.2,29.945345
2015-08-21,29.0,29.939861
2015-08-22,29.0,29.842096
2015-08-23,29.6,29.800804
2015-08-24,32.7,29.980276
2015-08-25,32.4,31.308594
2015-08-26,30.4,31.498909
2015-08-27,31.8,30.745186
2015-08-28,31.4,31.304272
2015-08-29,29.6,31.2437
2015-08-30,29.1,30.485294
2015-08-31,29.4,30.158184
2015-09-01,30.4,30.160082
2015-09-02,30.8,30.51062
2015-09-03,32.7,30.733004
2015-09-04,33.2,31.65126
2015-09-05,31.6,32.1064
2015-09-06,31.0,31.559752
2015-09-07,30.6,31.26607
2015-09-08,32.1,31.041151
2015-09-09,32.4,31.679096
2015-09-10,29.3,31.93409
2015-09-11,30.0,30.611227
2015-09-12,33.6,30.678734
2015-09-13,31.9,32.25391
2015-09-14,31.2,31.779766
2015-09-15,30.1,31.452547
2015-09-16,29.8,30.904907
2015-09-17,30.0,30.651035
2015-09-18,30.0,30.630873
2015-09-19,29.9,30.575481
2015-09-20,29.9,30.486153
2015-09-21,30.2,30.438166
2015-09-22,31.2,30.525175
2015-09-23,29.9,30.957481
2015-09-24,30.0,30.483658
2015-09-25,30.3,30.4498
2015-09-26,31.2,30.548374
2015-09-27,32.0,30.947908
2015-09-28,30.1,31.403484
2015-09-29,30.1,30.677084
2015-09-30,29.9,30.581516
2015-10-01,29.8,30.457413
2015-10-02,30.2,30.370249
2015-10-03,30.8,30.491108
2015-10-04,30.6,30.75295
2015-10-05,30.0,30.720333
2015-10-06,30.2,30.47589
2015-10-07,31.8,30.512691
2015-10-08,29.8,31.212542
2015-10-09,30.2,30.482605
2015-10-10,30.6,30.543634
2015-10-11,30.4,30.705109
2015-10-12,30.0,30.64624
2015-10-13,30.2,30.470583
2015-10-14,29.8,30.5133
2015-10-15,30.4,30.34641
2015-10-16,30.8,30.548082
2015-10-17,30.2,30.75015
2015-10-18,31.4,30.543324
2015-10-19,31.0,31.03886
2015-10-20,30.4,30.967554
2015-10-21,30.6,30.724998
2015-10-22,30.2,30.778019
2015-10-23,30.4,30.611046
2015-10-24,30.8,30.659744
2015-10-25,31.0,30.83192
2015-10-26,31.0,30.955297
2015-10-27,30.8,30.993404
2015-10-28,31.0,30.92916
2015-10-29,30.7,31.020031
2015-10-30,31.0,30.909933
2015-10-31,31.4,31.031704
2015-11-01,32.6,31.240047
2015-11-02,30.8,31.854164
2015-11-03,31.4,31.172003
2015-11-04,30.8,31.374336
2015-11-05,31.0,31.126688
2015-11-06,30.6,31.175962
2015-11-07,31.2,30.989271
2015-11-08,32.2,31.2179
2015-11-09,33.6,31.715601
2015-11-10,33.0,32.467846
2015-11-11,32.0,32.412964
2015-11-12,34.8,32.040245
2015-11-13,32.5,33.22268
2015-11-14,33.55,32.543182
2015-11-15,34.6,32.951515
2015-11-16,32.6,33.455906
2015-11-17,33.2,32.8246
2015-11-18,32.6,33.0044
2015-11-19,35.2,32.77904
2015-11-20,34.0,33.746834
2015-11-21,32.8,33.54214
2015-11-22,32.8,33.091972
2015-11-23,32.9,33.012634
2015-11-24,33.0,33.018852
2015-11-25,33.0,33.044594
2015-11-26,32.6,33.038986
2015-11-27,32.8,32.859764
2015-11-28,33.4,32.901646
2015-11-29,33.2,33.144703
2015-11-30,32.9,33.109165
2015-12-01,36.0,32.990387
2015-12-02,35.1,34.06228
2015-12-03,33.2,34.035233
2015-12-04,34.4,33.463287
2015-12-05,33.4,33.80238
2015-12-06,32.4,33.51364
2015-12-07,32.8,33.052338
2015-12-08,32.3,33.098576
2015-12-09,34.8,32.839973
2015-12-10,32.8,33.737324
2015-12-11,33.8,33.153427
2015-12-12,32.4,33.457672
2015-12-13,33.4,32.935543
2015-12-14,33.2,33.24933
2015-12-15,33.0,33.199947
2015-12-16,34.4,33.109764
2015-12-17,32.4,33.62628
2015-12-18,33.0,32.951813
2015-12-19,31.8,33.082474
2015-12-20,32.0,32.5407
2015-12-21,32.0,32.497795
2015-12-22,28.4,32.427452
2015-12-23,32.7,30.700256
2015-12-24,33.2,32.265427
2015-12-25,34.0,32.65417
2015-12-26,31.8,33.09577
2015-12-27,30.2,32.283035
2015-12-28,32.4,31.401913
2015-12-29,32.75,32.2247
2015-12-30,33.1,32.46295
2015-12-31,33.8,32.682137
2016-01-01,32.4,33.049667
2016-01-02,30.4,32.56915
2016-01-03,30.8,31.569082
2016-01-04,31.6,31.535559
2016-01-05,34.1,31.813564
2016-01-06,33.8,32.93201
2016-01-07,32.2,33.029293
2016-01-08,31.8,32.444008
2016-01-09,31.8,32.185738
2016-01-10,31.4,32.11893
2016-01-11,31.8,31.88478
2016-01-12,31.6,31.999458
2016-01-13,31.6,31.890444
2016-01-14,31.6,31.852259
2016-01-15,31.8,31.823343
2016-01-16,33.2,31.894573
2016-01-17,32.2,32.54116
2016-01-18,32.2,32.224003
2016-01-19,31.5,32.21064
2016-01-20,31.8,31.884403
2016-01-21,32.0,31.961304
2016-01-22,31.9,32.045982
2016-01-23,32.0,32.006554
2016-01-24,32.6,32.045414
2016-01-25,29.6,32.329353
2016-01-26,31.8,30.988346
2016-01-27,31.0,31.74991
2016-01-28,29.6,31.434483
2016-01-29,29.8,30.735336
2016-01-30,30.0,30.646168
2016-01-31,30.2,30.63828
2016-02-01,31.0,30.66761
2016-02-02,30.6,30.988379
2016-02-03,32.0,30.857727
2016-02-04,30.2,31.477367
2016-02-05,31.4,30.786665
2016-02-06,29.0,31.226425
2016-02-07,31.2,30.262934
2016-02-08,30.4,30.995888
2016-02-09,31.4,30.748903
2016-02-10,30.6,31.158918
2016-02-11,32.6,30.87832
