Tanggal,Actual,Predicted
2015-04-14,22.0,23.922798
2015-04-15,24.0,23.166199
2015-04-16,24.0,23.798868
2015-04-17,24.0,23.881542
2015-04-18,24.0,23.942245
2015-04-19,25.0,23.974972
2015-04-20,26.0,24.343262
2015-04-21,24.0,24.735909
2015-04-22,24.0,24.306787
2015-04-23,24.0,24.248655
2015-04-24,24.0,24.217882
2015-04-25,24.0,24.208706
2015-04-26,24.0,24.203697
2015-04-27,24.0,24.202908
2015-04-28,24.0,24.200493
2015-04-29,23.0,24.198828
2015-04-30,23.0,23.825224
2015-05-01,24.0,23.716326
2015-05-02,25.0,24.031391
2015-05-03,25.0,24.410759
2015-05-04,24.0,24.522331
2015-05-05,22.0,24.27872
2015-05-06,23.0,23.453287
2015-05-07,20.0,23.631304
2015-05-08,20.0,22.239178
2015-05-09,24.0,21.85119
2015-05-10,22.0,23.372574
2015-05-11,24.0,22.739576
2015-05-12,25.0,23.491674
2015-05-13,25.0,23.979433
2015-05-14,23.0,24.160233
2015-05-15,23.0,23.558561
2015-05-16,24.0,23.44429
2015-05-17,24.0,23.791359
2015-05-18,21.0,23.866058
2015-05-19,22.0,22.647968
2015-05-20,22.0,22.784927
2015-05-21,22.0,22.705006
2015-05-22,22.0,22.641708
2015-05-23,23.0,22.576807
2015-05-24,24.0,22.961409
2015-05-25,24.0,23.430092
2015-05-26,24.0,23.563232
2015-05-27,23.0,23.652895
2015-05-28,24.0,23.32273
2015-05-29,23.0,23.678213
2015-05-30,26.0,23.36481
2015-05-31,24.0,24.40029
2015-06-01,25.0,23.997551
2015-06-02,23.0,24.336205
2015-06-03,24.0,23.722715
2015-06-04,22.0,23.98839
2015-06-05,24.0,23.216154
2015-06-06,26.0,23.849903
2015-06-07,23.0,24.571613
2015-06-08,26.0,23.817705
2015-06-09,27.0,24.683563
2015-06-10,25.0,25.070137
2015-06-11,24.0,24.78684
2015-06-12,23.0,24.47491
2015-06-13,24.0,24.026705
2015-06-14,23.0,24.247013
2015-06-15,22.0,23.885063
2015-06-16,22.0,23.360054
2015-06-17,22.0,23.158657
2015-06-18,22.0,23.024395
2015-06-19,22.0,22.917221
2015-06-20,24.0,22.823935
2015-06-21,22.0,23.58942
2015-06-22,22.0,22.895523
2015-06-23,23.0,22.752008
2015-06-24,20.0,23.097794
2015-06-25,23.0,21.795221
2015-06-26,22.0,22.829433
2015-06-27,22.0,22.499367
2015-06-28,22.0,22.449373
2015-06-29,21.0,22.401587
2015-06-30,24.0,21.91751
2015-07-01,23.0,23.091343
2015-07-02,21.0,22.886894
2015-07-03,21.0,22.034466
2015-07-04,22.0,21.839817
2015-07-05,22.0,22.180902
2015-07-06,21.0,22.204803
2015-07-07,20.0,21.757648
2015-07-08,22.0,21.215384
2015-07-09,21.0,21.902765
2015-07-10,23.0,21.54776
2015-07-11,23.0,22.349367
2015-07-12,22.0,22.506348
2015-07-13,22.0,22.174822
2015-07-14,23.0,22.13906
2015-07-15,23.0,22.572926
2015-07-16,22.0,22.682358
2015-07-17,20.0,22.318727
2015-07-18,23.0,21.379341
2015-07-19,23.0,22.468777
2015-07-20,24.0,22.63324
2015-07-21,23.0,23.144905
2015-07-22,21.0,22.8969
2015-07-23,24.0,22.02402
2015-07-24,19.0,23.148003
2015-07-25,23.0,21.178926
2015-07-26,23.0,22.526655
2015-07-27,22.0,22.693295
2015-07-28,23.5,22.357357
2015-07-29,25.0,22.951239
2015-07-30,24.0,23.664816
2015-07-31,24.0,23.532133
2015-08-01,22.0,23.602657
2015-08-02,21.0,22.83713
2015-08-03,20.0,22.222723
2015-08-04,21.0,21.58061
2015-08-05,23.0,21.798729
2015-08-06,22.0,22.620056
2015-08-07,21.0,22.32519
2015-08-08,19.0,21.843672
2015-08-09,21.0,20.869377
2015-08-10,24.0,21.427135
2015-08-11,22.0,22.728535
2015-08-12,23.0,22.164358
2015-08-13,23.0,22.561821
2015-08-14,23.0,22.658077
2015-08-15,23.0,22.735699
2015-08-16,23.0,22.794445
2015-08-17,23.0,22.848627
2015-08-18,21.0,22.892563
2015-08-19,19.0,22.041504
2015-08-20,19.0,20.991142
2015-08-21,19.0,20.707098
2015-08-22,19.0,20.520025
2015-08-23,20.0,20.372633
2015-08-24,21.0,20.622295
2015-08-25,23.0,21.004683
2015-08-26,22.0,21.91181
2015-08-27,22.0,21.721752
2015-08-28,23.0,21.762913
2015-08-29,21.0,22.238897
2015-08-30,20.0,21.523354
2015-08-31,20.0,20.998169
2015-09-01,21.0,20.856405
2015-09-02,23.0,21.176441
2015-09-03,21.0,22.062328
2015-09-04,21.0,21.416965
2015-09-05,22.0,21.335072
2015-09-06,21.0,21.72943
2015-09-07,21.0,21.387814
2015-09-08,20.0,21.337093
2015-09-09,22.0,20.89541
2015-09-10,19.0,21.609957
2015-09-11,21.0,20.509588
2015-09-12,24.0,21.068207
2015-09-13,22.0,22.393442
2015-09-14,20.0,21.884968
2015-09-15,20.0,21.023968
2015-09-16,20.0,20.8489
2015-09-17,22.0,20.757963
2015-09-18,24.0,21.514492
2015-09-19,23.0,22.514978
2015-09-20,22.0,22.39324
2015-09-21,20.0,22.047731
2015-09-22,20.0,21.157183
2015-09-23,21.0,20.972073
2015-09-24,19.0,21.275072
2015-09-25,20.0,20.49119
2015-09-26,22.0,20.67569
2015-09-27,22.0,21.454004
2015-09-28,23.0,21.621445
2015-09-29,23.0,22.138792
2015-09-30,23.0,22.309378
2015-10-01,23.0,22.43362
2015-10-02,22.0,22.532646
