Tanggal,Actual,Predicted
2015-04-14,27.200000000000003,28.594994
2015-04-15,28.7,27.823719
2015-04-16,27.4,28.332886
2015-04-17,26.5,27.832102
2015-04-18,25.6,27.272242
2015-04-19,28.200000000000003,26.699497
2015-04-20,27.7,27.594141
2015-04-21,27.6,27.587019
2015-04-22,27.4,27.555677
2015-04-23,27.8,27.458147
2015-04-24,28.299999999999997,27.608541
2015-04-25,26.8,27.877485
2015-04-26,26.4,27.27522
2015-04-27,26.0,26.949684
2015-04-28,26.8,26.66121
2015-04-29,27.200000000000003,26.860283
2015-04-30,27.5,27.039934
2015-05-01,26.3,27.211226
2015-05-02,27.8,26.758047
2015-05-03,28.200000000000003,27.262589
2015-05-04,26.999999999999996,27.57566
2015-05-05,27.200000000000003,27.16563
2015-05-06,26.5,27.16643
2015-05-07,26.4,26.855692
2015-05-08,27.899999999999995,26.723354
2015-05-09,27.899999999999995,27.278154
2015-05-10,28.299999999999997,27.439646
2015-05-11,27.4,27.700367
2015-05-12,28.1,27.404522
2015-05-13,29.299999999999997,27.66732
2015-05-14,28.45,28.296953
2015-05-15,27.6,28.149448
2015-05-16,28.299999999999997,27.760359
2015-05-17,28.200000000000003,27.998932
2015-05-18,26.8,28.019028
2015-05-19,26.899999999999995,27.37957
2015-05-20,27.7,27.252571
2015-05-21,26.5,27.531572
2015-05-22,27.1,27.045017
2015-05-23,27.4,27.167454
2015-05-24,27.5,27.294724
2015-05-25,27.1,27.36558
2015-05-26,27.300000000000004,27.20937
2015-05-27,27.4,27.25343
2015-05-28,28.5,27.299793
2015-05-29,28.5,27.804152
2015-05-30,28.4,27.976479
2015-05-31,26.7,28.027395
2015-06-01,28.200000000000003,27.283125
2015-06-02,27.6,27.77833
2015-06-03,25.7,27.616283
2015-06-04,26.7,26.735365
2015-06-05,29.0,26.913605
2015-06-06,29.299999999999997,27.890308
2015-06-07,28.1,28.348085
2015-06-08,29.199999999999996,28.006903
2015-06-09,28.9,28.470974
2015-06-10,29.1,28.503166
2015-06-11,26.999999999999996,28.6532
2015-06-12,27.300000000000004,27.727633
2015-06-13,27.1,27.632845
2015-06-14,27.7,27.459307
2015-06-15,27.5,27.65438
2015-06-16,28.600000000000005,27.588955
2015-06-17,28.200000000000003,28.070866
2015-06-18,27.1,28.03343
2015-06-19,27.899999999999995,27.528515
2015-06-20,27.8,27.762806
2015-06-21,26.7,27.75751
2015-06-22,27.200000000000003,27.24626
2015-06-23,27.8,27.322128
2015-06-24,26.0,27.573004
2015-06-25,27.4,26.830584
2015-06-26,27.16666666666666,27.226603
2015-06-27,26.933333333333337,27.188614
2015-06-28,26.7,27.073828
2015-06-29,30.9,26.93252
2015-06-30,27.1,28.65814
2015-07-01,27.300000000000004,27.583012
2015-07-02,26.5,27.43962
2015-07-03,26.2,27.01972
2015-07-04,25.1,26.763489
2015-07-05,26.8,26.240688
2015-07-06,24.9,26.684082
2015-07-07,25.3,26.067867
2015-07-08,25.7,26.042568
2015-07-09,26.0,26.113564
2015-07-10,25.2,26.203676
2015-07-11,25.4,25.963158
2015-07-12,25.1,25.958212
2015-07-13,26.0,25.851818
2015-07-14,25.4,26.077454
2015-07-15,25.8,25.945461
2015-07-16,26.5,26.035292
2015-07-17,26.6,26.277527
2015-07-18,30.1,26.388123
2015-07-19,27.200000000000003,27.797617
2015-07-20,27.300000000000004,27.12009
2015-07-21,26.4,27.060917
2015-07-22,26.5,26.689272
2015-07-23,26.3,26.63743
2015-07-24,25.0,26.528772
2015-07-25,25.7,26.03816
2015-07-26,26.5,26.128195
2015-07-27,26.899999999999995,26.38139
2015-07-28,27.1,26.589432
2015-07-29,27.300000000000004,26.738377
2015-07-30,27.8,26.882051
2015-07-31,27.4,27.156363
2015-08-01,26.0,27.101068
2015-08-02,25.6,26.547422
2015-08-03,27.1,26.275465
2015-08-04,25.6,26.71877
2015-08-05,27.300000000000004,26.263948
2015-08-06,26.3,26.772133
2015-08-07,24.7,26.51948
2015-08-08,24.599999999999998,25.930546
2015-08-09,24.5,25.764723
2015-08-10,26.1,25.662237
2015-08-11,25.8,26.050274
2015-08-12,25.9,26.050642
2015-08-13,26.6,26.090963
2015-08-14,26.4,26.334402
2015-08-15,25.3,26.343426
2015-08-16,25.4,26.002897
2015-08-17,24.7,25.95711
2015-08-18,25.9,25.733444
2015-08-19,25.3,26.003273
2015-08-20,24.4,25.883806
2015-08-21,24.8,25.620684
2015-08-22,24.7,25.65403
2015-08-23,25.4,25.62084
2015-08-24,26.0,25.784649
2015-08-25,26.5,25.993616
2015-08-26,26.4,26.217348
2015-08-27,26.3,26.267872
2015-08-28,26.7,26.271784
2015-08-29,25.1,26.427143
2015-08-30,24.8,25.952374
2015-08-31,25.5,25.772179
2015-09-01,25.9,25.901804
2015-09-02,26.349999999999998,26.036741
2015-09-03,26.8,26.215834
2015-09-04,27.899999999999995,26.429955
2015-09-05,27.200000000000003,26.92648
2015-09-06,26.899999999999995,26.839458
2015-09-07,25.9,26.74425
2015-09-08,25.7,26.362337
2015-09-09,25.549999999999997,26.20345
2015-09-10,25.4,26.094551
2015-09-11,26.7,26.002226
2015-09-12,28.200000000000003,26.38226
2015-09-13,27.300000000000004,27.055782
2015-09-14,25.8,26.941753
2015-09-15,26.5,26.37824
2015-09-16,26.1,26.50647
2015-09-17,27.1,26.37242
2015-09-18,27.300000000000004,26.701569
2015-09-19,27.4,26.875404
2015-09-20,26.899999999999995,26.991482
2015-09-21,26.2,26.845839
2015-09-22,26.6,26.54934
2015-09-23,26.4,26.621418
2015-09-24,25.7,26.547548
2015-09-25,26.2,26.27022
2015-09-26,27.7,26.361511
2015-09-27,27.300000000000004,26.92709
2015-09-28,27.6,26.94908
2015-09-29,27.5,27.118134
2015-09-30,27.4,27.15339
2015-10-01,27.1,27.149609
2015-10-02,27.5,27.04031
2015-10-03,27.1,27.191805
2015-10-04,27.300000000000004,27.067747
2015-10-05,27.6,27.129896
2015-10-06,27.200000000000003,27.279043
2015-10-07,27.200000000000003,27.157406
2015-10-08,26.999999999999996,27.136324
2015-10-09,27.300000000000004,27.043745
2015-10-10,27.6,27.14412
2015-10-11,27.4,27.299402
2015-10-12,26.6,27.264717
2015-10-13,27.1,26.920654
2015-10-14,27.899999999999995,27.03672
2015-10-15,26.7,27.395218
2015-10-16,27.7,26.982523
2015-10-17,26.6,27.315258
2015-10-18,27.8,26.922546
2015-10-19,28.1,27.336178
2015-10-20,28.1,27.582447
2015-10-21,27.899999999999995,27.6862
2015-10-22,28.0,27.660282
2015-10-23,28.7,27.725872
2015-10-24,28.200000000000003,28.086338
2015-10-25,27.5,27.991562
2015-10-26,27.899999999999995,27.6698
2015-10-27,27.300000000000004,27.775545
2015-10-28,27.899999999999995,27.515026
2015-10-29,28.200000000000003,27.716951
2015-10-30,28.600000000000005,27.901787
2015-10-31,28.299999999999997,28.153957
2015-11-01,28.0,28.114058
2015-11-02,28.4,27.988377
2015-11-03,28.4,28.152922
2015-11-04,28.7,28.207157
2015-11-05,28.5,28.380283
2015-11-06,28.4,28.35683
2015-11-07,28.5,28.324324
2015-11-08,29.199999999999996,28.374012
2015-11-09,29.600000000000005,28.719591
2015-11-10,29.199999999999996,29.01706
2015-11-11,29.500000000000004,28.96785
2015-11-12,29.299999999999997,29.12233
2015-11-13,29.8,29.105633
2015-11-14,30.299999999999997,29.339914
2015-11-15,30.1,29.630404
2015-11-16,28.8,29.66879
2015-11-17,30.500000000000004,29.162254
2015-11-18,30.199999999999996,29.73731
2015-11-19,30.299999999999997,29.786165
2015-11-20,30.199999999999996,29.864725
2015-11-21,30.400000000000002,29.868813
2015-11-22,30.600000000000005,29.96034
2015-11-23,29.9,30.071434
2015-11-24,30.400000000000002,29.860016
2015-11-25,30.400000000000002,29.99627
2015-11-26,30.600000000000005,30.037304
2015-11-27,30.400000000000002,30.128937
2015-11-28,30.9,30.09303
2015-11-29,29.9,30.262978
2015-11-30,30.199999999999996,29.964207
2015-12-01,30.600000000000005,29.993994
2015-12-02,30.1,30.140297
2015-12-03,29.8,30.004333
2015-12-04,29.1,29.85218
2015-12-05,29.299999999999997,29.512083
2015-12-06,29.299999999999997,29.483751
2015-12-07,29.9,29.451685
2015-12-08,29.7,29.674139
2015-12-09,28.4,29.648485
2015-12-10,29.8,29.070301
2015-12-11,30.500000000000004,29.508316
2015-12-12,29.600000000000005,29.875492
2015-12-13,30.199999999999996,29.644722
2015-12-14,29.7,29.825876
2015-12-15,29.7,29.68368
2015-12-16,30.600000000000005,29.648172
2015-12-17,28.299999999999997,29.980452
2015-12-18,30.1,29.129204
2015-12-19,28.0,29.659983
2015-12-20,28.600000000000005,28.859118
2015-12-21,27.1,28.90311
2015-12-22,25.1,28.132765
2015-12-23,29.299999999999997,26.924294
2015-12-24,29.7,28.455997
2015-12-25,29.500000000000004,28.997242
2015-12-26,29.0,29.104843
2015-12-27,28.7,28.95384
2015-12-28,29.199999999999996,28.79441
2015-12-29,29.199999999999996,28.980875
2015-12-30,29.199999999999996,29.036383
2015-12-31,28.8,29.065289
2016-01-01,29.500000000000004,28.90366
2016-01-02,28.7,29.1751
2016-01-03,28.5,28.898792
2016-01-04,28.5,28.733303
2016-01-05,29.4,28.67318
2016-01-06,28.600000000000005,29.04975
2016-01-07,29.299999999999997,28.793653
2016-01-08,29.199999999999996,29.046995
2016-01-09,28.600000000000005,29.074081
2016-01-10,29.199999999999996,28.820026
2016-01-11,28.8,29.023144
2016-01-12,28.7,28.894833
2016-01-13,28.8,28.815374
2016-01-14,29.4,28.832577
2016-01-15,29.299999999999997,29.100435
2016-01-16,29.299999999999997,29.137983
2016-01-17,29.0,29.164644
2016-01-18,29.199999999999996,29.049902
2016-01-19,28.5,29.11279
2016-01-20,29.05,28.811255
2016-01-21,29.600000000000005,28.976217
2016-01-22,29.1,29.252419
2016-01-23,29.199999999999996,29.122322
2016-01-24,29.0,29.141098
2016-01-25,26.8,29.058966
2016-01-26,28.299999999999997,27.965649
2016-01-27,27.300000000000004,28.378342
2016-01-28,26.5,27.93362
2016-01-29,27.5,27.401096
2016-01-30,27.5,27.668772
2016-01-31,26.899999999999995,27.67629
2016-02-01,27.5,27.373213
2016-02-02,27.4,27.537735
2016-02-03,28.1,27.501919
2016-02-04,27.6,27.799631
2016-02-05,27.1,27.648388
2016-02-06,25.9,27.382244
2016-02-07,26.6,26.770823
2016-02-08,28.0,26.87106
2016-02-09,27.8,27.435097
2016-02-10,28.600000000000005,27.507254
2016-02-11,28.4,27.915941
2016-02-12,27.6,27.979025
2016-02-13,28.0,27.666746
2016-02-14,28.8,27.786161
2016-02-15,28.9,28.189362
2016-02-16,28.600000000000005,28.379995
2016-02-17,27.8,28.341694
2016-02-18,27.8,27.985912
2016-02-19,29.1,27.898056
2016-02-20,28.4,28.46476
2016-02-21,28.1,28.316439
2016-02-22,28.600000000000005,28.161224
2016-02-23,28.4,28.3593
2016-02-24,28.0,28.325441
2016-02-25,28.9,28.138958
2016-02-26,27.8,28.510124
2016-02-27,28.1,28.099415
2016-02-28,28.1,28.138405
2016-02-29,28.7,28.131763
2016-03-01,28.4,28.406206
2016-03-02,28.0,28.349665
2016-03-03,27.7,28.1572
2016-03-04,28.299999999999997,27.95819
2016-03-05,28.4,28.171389
2016-03-06,28.4,28.265375
2016-03-07,28.7,28.299429
2016-03-08,29.199999999999996,28.459227
2016-03-09,28.200000000000003,28.74622
2016-03-10,28.600000000000005,28.388567
2016-03-11,28.299999999999997,28.49488
2016-03-12,28.299999999999997,28.378689
2016-03-13,28.299999999999997,28.348066
2016-03-14,27.1,28.333923
2016-03-15,28.200000000000003,27.743916
2016-03-16,28.0,28.089336
2016-03-17,28.4,28.05311
2016-03-18,29.299999999999997,28.229261
2016-03-19,27.300000000000004,28.692461
2016-03-20,27.7,27.904593
2016-03-21,27.4,27.894072
2016-03-22,27.8,27.707655
2016-03-23,29.1,27.820057
2016-03-24,29.1,28.428997
2016-03-25,28.5,28.622738
2016-03-26,30.400000000000002,28.444893
2016-03-27,28.299999999999997,29.256413
2016-03-28,27.5,28.608818
2016-03-29,29.199999999999996,28.06829
2016-03-30,28.5,28.70208
2016-03-31,28.8,28.541685
2016-04-01,28.7,28.653532
2016-04-02,28.9,28.643602
2016-04-03,29.500000000000004,28.742453
2016-04-04,28.9,29.047493
2016-04-05,28.200000000000003,28.888092
2016-04-06,27.8,28.53343
2016-04-07,28.5,28.235205
2016-04-08,28.0,28.460049
2016-04-09,28.8,28.2596
2016-04-10,29.0,28.5721
2016-04-11,29.1,28.744482
2016-04-12,28.4,28.855253
2016-04-13,29.4,28.582048
2016-04-14,29.299999999999997,28.972818
2016-04-15,30.1,29.044931
2016-04-16,29.600000000000005,29.42834
2016-04-17,29.7,29.362036
2016-04-18,28.600000000000005,29.416233
2016-04-19,29.299999999999997,28.965714
2016-04-20,28.600000000000005,29.159002
2016-04-21,29.299999999999997,28.885698
2016-04-22,28.9,29.123013
2016-04-23,29.1,29.002441
2016-04-24,29.9,29.060774
2016-04-25,29.500000000000004,29.417418
2016-04-26,29.600000000000005,29.363523
2016-04-27,29.1,29.409513
2016-04-28,29.0,29.217634
2016-04-29,28.5,29.121847
2016-04-30,29.0,28.85685
2016-05-01,29.4,28.998302
2016-05-02,29.600000000000005,29.197649
2016-05-03,28.9,29.341612
2016-05-04,28.8,29.088238
2016-05-05,28.200000000000003,28.974707
2016-05-06,29.1,28.648623
2016-05-07,27.8,28.957521
2016-05-08,26.899999999999995,28.410797
2016-05-09,28.7,27.801735
2016-05-10,28.600000000000005,28.446928
2016-05-11,29.600000000000005,28.533434
2016-05-12,30.299999999999997,29.014238
2016-05-13,28.7,29.459097
2016-05-14,29.199999999999996,28.947323
2016-05-15,28.9,29.053574
2016-05-16,29.9,28.947147
2016-05-17,29.4,29.357971
2016-05-18,29.600000000000005,29.275894
2016-05-19,29.600000000000005,29.359837
2016-05-20,28.9,29.396376
