Tanggal,Actual,Predicted
2015-04-12,85.0,78.13984585681794
2015-04-13,78.0,81.87148044746603
2015-04-14,84.0,79.78137037848347
2015-04-15,89.50000000000001,81.8232481715963
2015-04-16,95.0,84.67249898103748
2015-04-17,85.0,88.53569359112309
2015-04-18,87.0,84.75215306429601
2015-04-19,87.0,85.50267162186883
2015-04-20,87.0,85.12788140623466
2015-04-21,85.0,85.29265751449037
2015-04-22,82.0,84.42077162398692
2015-04-23,88.0,83.04479762017495
2015-04-24,89.50000000000001,84.5205573405927
2015-04-25,90.99999999999999,86.83160600736916
2015-04-26,85.0,87.60211269375414
2015-04-27,83.0,85.20242475620341
2015-04-28,78.0,84.26758096785613
2015-04-29,88.0,81.79373221819304
2015-04-30,84.0,85.44929788831074
2015-05-01,83.0,83.86078809576948
2015-05-02,88.0,83.1639188669705
2015-05-03,78.0,85.14901799469862
2015-05-04,76.0,82.04524046413376
2015-05-05,74.0,79.12315373626987
2015-05-06,73.0,78.29868885719598
2015-05-07,77.0,77.19096813652672
2015-05-08,72.0,78.78859491402461
2015-05-09,78.0,75.97187127174557
2015-05-10,76.0,78.6529834683254
2015-05-11,73.0,78.0086504122455
2015-05-12,73.0,76.15475976255604
2015-05-13,73.0,76.01297734009506
2015-05-14,67.0,75.86114923378379
2015-05-15,60.0,72.64332417783653
2015-05-16,74.0,68.877048360873
2015-05-17,75.0,73.34222263193811
2015-05-18,81.0,74.74496599100408
2015-05-19,79.0,77.94216909948737
2015-05-20,81.0,77.63136208574001
2015-05-21,79.0,78.9621084717321
2015-05-22,77.0,78.00681888090175
2015-05-23,81.0,77.64409435121901
2015-05-24,81.0,79.1022410942118
2015-05-25,81.0,79.26450571820085
2015-05-26,73.0,78.82972144298662
2015-05-27,75.0,76.24318375908248
2015-05-28,77.0,75.49731520602394
2015-05-29,84.0,76.24278465218134
2015-05-30,76.0,80.10656136891528
2015-05-31,80.0,77.32118489116091
2015-06-01,89.0,78.56330212128825
2015-06-02,81.0,82.69376671429791
2015-06-03,73.0,80.50079547715418
2015-06-04,67.0,76.53801831888514
2015-06-05,75.0,72.71849436321006
2015-06-06,70.0,74.86648873281894
2015-06-07,69.0,73.75102038770159
2015-06-08,61.99999999999999,71.92134289721474
2015-06-09,77.0,68.11266130288526
2015-06-10,74.0,74.44602000460267
2015-06-11,76.0,74.92674816974287
2015-06-12,70.0,75.5052299846826
2015-06-13,73.0,72.56903914942542
2015-06-14,65.0,74.01755899882475
2015-06-15,72.0,70.60481415633733
2015-06-16,75.0,72.75872410639815
2015-06-17,68.0,73.36831943637826
2015-06-18,71.0,71.38662454327135
2015-06-19,76.0,71.78379752226863
2015-06-20,71.0,74.60776216848429
2015-06-21,63.0,71.81744158062219
2015-06-22,71.0,68.87958707566503
2015-06-23,66.0,71.85720502355892
2015-06-24,68.33333333333333,69.39065430428772
2015-06-25,70.66666666666667,69.56701337675085
2015-06-26,73.0,71.29536714926913
2015-06-27,61.99999999999999,72.32318970689404
2015-06-28,70.0,66.59796224382323
2015-06-29,61.99999999999999,70.26276459117035
2015-06-30,71.0,66.75371108127977
2015-07-01,69.0,70.1387780853788
2015-07-02,79.0,69.05112570016603
2015-07-03,75.0,74.33231452690409
2015-07-04,76.0,72.9908079283733
2015-07-05,73.0,74.51922430461632
2015-07-06,70.0,72.36440697214641
2015-07-07,75.0,71.72580784993242
2015-07-08,85.0,72.95365455144096
2015-07-09,83.0,78.42439937792466
2015-07-10,81.0,78.08751244205234
2015-07-11,83.0,78.4130212498487
2015-07-12,81.0,78.91352252956128
2015-07-13,71.0,78.40703456968404
2015-07-14,67.0,74.83158283418673
2015-07-15,68.0,71.53089593548403
2015-07-16,58.0,70.74610885989668
2015-07-17,68.0,66.18317980600098
2015-07-18,69.0,69.58481528483867
2015-07-19,74.0,69.5368569418748
2015-07-20,73.0,72.53769558072527
2015-07-21,79.0,72.65968505120202
2015-07-22,81.0,75.98923970013348
2015-07-23,76.0,76.89102896861986
2015-07-24,73.0,76.13901710076347
2015-07-25,75.0,73.8301457171326
2015-07-26,75.0,75.09680791390332
2015-07-27,75.0,74.17354942066581
2015-07-28,61.99999999999999,74.76466398555776
2015-07-29,66.0,68.48601700673501
2015-07-30,77.0,69.18585722948988
2015-07-31,69.0,73.97950948736018
2015-08-01,68.0,71.7441762572518
2015-08-02,70.0,70.99438190241491
2015-08-03,66.0,71.56271443092461
2015-08-04,71.0,69.30610824842667
2015-08-05,72.0,71.63003588369187
2015-08-06,77.0,72.20622698588896
2015-08-07,81.0,73.43711571725291
2015-08-08,82.0,76.49270363344185
2015-08-09,86.0,77.97844213203673
2015-08-10,80.0,79.92331059381067
2015-08-11,76.0,77.62855934669885
2015-08-12,78.0,76.64406505990978
2015-08-13,78.0,77.23260837101866
2015-08-14,77.0,76.73310243677906
2015-08-15,70.0,76.33056482020432
2015-08-16,68.0,73.73963651226536
2015-08-17,71.0,71.46006186595447
2015-08-18,75.0,72.56363714987081
2015-08-19,72.0,74.33792519849847
2015-08-20,75.0,73.51238608776559
2015-08-21,74.0,74.76044287302545
2015-08-22,76.0,73.93518390560479
2015-08-23,80.0,75.0978452439035
2015-08-24,76.0,77.7142569222834
2015-08-25,81.0,75.63975303274597
2015-08-26,80.0,77.43523233568283
2015-08-27,84.0,78.31945025027969
2015-08-28,80.0,79.8990072770734
2015-08-29,79.0,78.62609181706195
2015-08-30,74.0,78.29331454232148
2015-08-31,74.5,76.22696214822584
2015-09-01,75.0,76.13710524692942
2015-09-02,74.0,75.71971099249346
2015-09-03,74.0,75.61048854568358
2015-09-04,73.0,75.04228564549824
2015-09-05,76.0,74.62895997254579
2015-09-06,79.0,75.82301787693278
2015-09-07,77.5,77.51399210128703
2015-09-08,76.0,76.98481356480804
2015-09-09,72.0,76.338592255111
2015-09-10,69.0,74.21821703331975
2015-09-11,67.0,72.70756587549785
2015-09-12,73.0,71.14336186547982
2015-09-13,70.0,72.91399755322587
2015-09-14,74.0,72.02506906436571
2015-09-15,75.0,73.62555875677619
2015-09-16,78.0,74.53438929316609
2015-09-17,76.0,76.20815348270933
2015-09-18,75.0,75.74056660945033
2015-09-19,74.0,75.39315392448128
2015-09-20,68.0,75.02983402355756
2015-09-21,75.0,71.98594385774246
2015-09-22,80.0,74.21591608423319
2015-09-23,71.0,76.75074516382675
2015-09-24,70.0,73.09926831044673
2015-09-25,75.0,72.21871387645365
2015-09-26,74.0,74.45655283297812
2015-09-27,74.0,74.03265924072282
2015-09-28,76.0,74.19230194878735
2015-09-29,76.0,75.09953084520697
2015-09-30,76.0,75.30356950959143
2015-10-01,77.0,75.53044323065731
2015-10-02,73.0,76.04212523574034
2015-10-03,72.0,74.00196483375204
2015-10-04,78.0,73.24326962771475
2015-10-05,74.0,75.82837498259244
2015-10-06,77.0,74.7828166081755
2015-10-07,77.0,75.44170673249893
2015-10-08,77.0,76.00777343943277
2015-10-09,73.0,76.13671239065982
2015-10-10,80.0,74.65061936680641
2015-10-11,78.0,77.42747872324384
2015-10-12,72.0,76.86993870860844
2015-10-13,72.0,74.38125089840443
2015-10-14,72.0,73.89552015876473
2015-10-15,75.0,73.41657351055315
2015-10-16,66.0,74.35715174543596
2015-10-17,70.0,71.39914433744511
2015-10-18,69.0,71.49346626321167
2015-10-19,72.0,70.87459730681384
2015-10-20,73.0,72.70649467749917
2015-10-21,71.0,73.29088185113729
2015-10-22,74.0,72.19129658049968
2015-10-23,72.0,73.3590063664666
2015-10-24,77.0,73.32690610930786
2015-10-25,80.0,74.85870316196352
2015-10-26,80.0,76.91762993608593
2015-10-27,77.0,77.05305646047012
2015-10-28,76.0,76.36317885140222
2015-10-29,74.0,76.06962757118515
2015-10-30,74.0,74.7117812817385
2015-10-31,75.0,74.34123032266554
2015-11-01,75.0,75.13529968114045
2015-11-02,74.0,74.98950207281186
2015-11-03,76.0,74.29201346691545
2015-11-04,75.0,75.47915645405897
2015-11-05,76.0,75.29501897698557
2015-11-06,76.0,75.35905241316597
2015-11-07,73.0,75.41336562179067
2015-11-08,78.0,74.66521465253628
2015-11-09,77.0,76.22236705541548
2015-11-10,76.0,76.02483609777151
2015-11-11,76.0,75.49163974323484
2015-11-12,73.0,75.83003081549109
2015-11-13,70.0,74.39983997566765
2015-11-14,77.0,72.73720923453452
2015-11-15,71.0,75.46546263798874
2015-11-16,75.0,73.2184102341625
2015-11-17,75.0,74.71005072344596
2015-11-18,72.0,74.8894588924014
2015-11-19,71.0,73.98785241066021
2015-11-20,69.0,72.89199446019444
2015-11-21,72.0,71.8293042698175
2015-11-22,68.0,72.6722839625013
2015-11-23,69.0,71.2244102466788
2015-11-24,71.0,70.8121669946072
2015-11-25,72.0,71.92310285641571
2015-11-26,76.0,72.14738429304087
2015-11-27,82.0,74.09769481198745
2015-11-28,79.0,77.65596685358655
2015-11-29,73.0,76.75296493354
2015-11-30,77.0,74.57539072316895
2015-12-01,72.0,75.8760461194842
2015-12-02,80.0,73.64291674371603
2015-12-03,79.0,76.73548309575624
2015-12-04,80.0,77.23219436224761
2015-12-05,78.0,77.38516817071032
2015-12-06,76.0,77.12346032172857
2015-12-07,84.0,76.16392640739345
2015-12-08,77.0,79.48787255494071
2015-12-09,76.0,77.62045202284713
2015-12-10,80.0,76.4319745143383
2015-12-11,73.0,78.256737840808
2015-12-12,75.0,75.30911967142241
2015-12-13,78.0,75.35595739967255
2015-12-14,70.0,76.80581045492208
2015-12-15,86.0,73.29289440522868
2015-12-16,76.0,80.08084449182425
2015-12-17,83.0,77.04171643255357
2015-12-18,83.0,79.30200645932713
2015-12-19,86.0,80.4612480901235
2015-12-20,90.99999999999999,82.09048554357064
2015-12-21,77.0,84.7729166611853
2015-12-22,74.0,79.98702963268691
2015-12-23,76.0,76.55924679955935
2015-12-24,79.0,77.57326514911945
2015-12-25,75.0,78.0764830990276
2015-12-26,78.0,77.05720364385242
2015-12-27,77.5,77.68389694483668
2015-12-28,77.0,77.6990328463313
2015-12-29,79.0,78.0280444459769
2015-12-30,78.0,78.41075036121957
2015-12-31,83.0,78.22091718891949
2016-01-01,85.0,80.63042789399289
2016-01-02,84.0,82.10942635484615
2016-01-03,80.0,81.63502076158366
2016-01-04,83.0,80.27292797547078
2016-01-05,73.0,80.65551270104767
2016-01-06,85.0,77.2012895699548
2016-01-07,84.0,81.40291095572199
2016-01-08,77.0,81.59000390400656
2016-01-09,81.0,78.92920289463119
2016-01-10,81.0,80.37125037183043
2016-01-11,82.0,80.48965872275797
2016-01-12,78.0,80.96676270663819
2016-01-13,79.0,79.58639325818207
2016-01-14,81.0,79.62256274649242
2016-01-15,80.0,80.33547616191072
2016-01-16,81.0,79.36835936869352
2016-01-17,85.0,80.57825465728804
2016-01-18,82.5,82.32381726402849
2016-01-19,80.0,81.08396350831984
2016-01-20,82.0,80.63566846914082
2016-01-21,82.0,81.25788214127716
2016-01-22,83.0,80.96608637476122
2016-01-23,88.0,81.74247630893899
2016-01-24,79.0,84.35946812269886
2016-01-25,87.0,80.65615413776113
2016-01-26,89.0,83.9406130392049
2016-01-27,88.0,85.09102250205949
2016-01-28,90.99999999999999,85.4734963500081
2016-01-29,90.00000000000001,86.86349383552864
2016-01-30,86.0,86.86409914620599
2016-01-31,87.0,85.36201742734501
2016-02-01,87.0,86.12198319310309
2016-02-02,88.0,85.07839457396474
2016-02-03,91.99999999999999,85.93510061969688
2016-02-04,94.0,88.16443733665491
2016-02-05,91.99999999999999,89.5484650801485
2016-02-06,87.0,89.04714901125296
