Tanggal,Actual,Predicted
2015-04-12,7.300000000000001,6.638903744807872
2015-04-13,3.9,7.1056043506486555
2015-04-14,8.0,5.284563489217129
2015-04-15,7.7,7.0032822110018325
2015-04-16,7.4,7.054704845468917
2015-04-17,7.1,7.07845541987663
2015-04-18,6.8,7.013271051259626
2015-04-19,6.000000000000001,6.69152601024364
2015-04-20,7.4,6.597321129614888
2015-04-21,3.8,7.035543993243285
2015-04-22,8.0,5.465109120427648
2015-04-23,6.5,6.95949191472027
2015-04-24,3.8,6.416448716007623
2015-04-25,6.5,5.247113032917843
2015-04-26,5.55,6.218559076100276
2015-04-27,4.6,5.912054015058048
2015-04-28,8.0,5.46168143720824
2015-04-29,7.1,6.927131900482053
2015-04-30,3.7,6.769036493178794
2015-05-01,8.0,5.210832053968255
2015-05-02,3.2,6.712097969502883
2015-05-03,6.7,4.945163896007778
2015-05-04,7.0,6.037636083769536
2015-05-05,8.0,6.532864536920324
2015-05-06,8.0,7.082181843322132
2015-05-07,8.0,7.224054418791768
2015-05-08,8.0,7.295284045588921
2015-05-09,8.0,7.2829776909402675
2015-05-10,8.0,7.4217559163235185
2015-05-11,6.8,7.48361681200545
2015-05-12,8.0,6.883818113503078
2015-05-13,7.7,7.399724075059394
2015-05-14,6.7,7.368975638705039
2015-05-15,8.0,6.693738777415668
2015-05-16,8.0,7.588471924091108
2015-05-17,7.9,7.3099413559776245
2015-05-18,7.6,7.565391003810603
2015-05-19,8.0,7.324265123820467
2015-05-20,7.8,7.466235576417343
2015-05-21,8.0,7.411318642363501
2015-05-22,6.4,7.484416199027594
2015-05-23,6.8,6.845417431801292
2015-05-24,8.0,6.841854388922516
2015-05-25,8.0,7.3882716155078585
2015-05-26,6.8,7.434047015337783
2015-05-27,7.05,7.106626081025191
2015-05-28,7.300000000000001,6.996482073072284
2015-05-29,7.1,7.132598343029122
2015-05-30,7.0,6.972401343661726
2015-05-31,5.2,6.9811168128961585
2015-06-01,7.1,6.086534101409799
2015-06-02,1.6,6.8012555207548235
2015-06-03,7.5,4.413960118682468
2015-06-04,7.5,6.603585158357818
2015-06-05,4.4,6.844499570839106
2015-06-06,6.1000000000000005,5.620378219377314
2015-06-07,6.2,6.179819834661173
2015-06-08,8.0,6.196529450197663
2015-06-09,8.0,7.079119942828249
2015-06-10,6.9,7.09948667734766
2015-06-11,8.0,6.952308137720041
2015-06-12,8.0,7.294474144798325
2015-06-13,7.8,7.277602641382945
2015-06-14,7.200000000000001,7.485912677651124
2015-06-15,7.8,6.983151700131263
2015-06-16,6.6,7.498975428203502
2015-06-17,8.0,6.74924441979626
2015-06-18,8.0,7.50066285744356
2015-06-19,7.65,7.5267558041190465
2015-06-20,7.300000000000001,7.161283584494267
2015-06-21,8.0,7.216426449248488
2015-06-22,8.0,7.469456187335644
2015-06-23,4.8,7.519312358536949
2015-06-24,8.0,6.0821604478616615
2015-06-25,7.65,7.226932774915518
2015-06-26,7.300000000000001,7.206995376275732
2015-06-27,7.300000000000001,7.211968198561897
2015-06-28,7.200000000000001,7.06720564962139
2015-06-29,7.8,7.106321195815936
2015-06-30,7.65,7.274845126642207
2015-07-01,7.5,7.214174905598227
2015-07-02,7.9,7.353313507285565
2015-07-03,7.9,7.412411790098937
2015-07-04,8.0,7.43738634079002
2015-07-05,8.0,7.521697145828979
2015-07-06,8.0,7.534061445195558
2015-07-07,8.0,7.663556781437377
2015-07-08,8.0,7.541013634634932
2015-07-09,0.6,7.739888808562386
2015-07-10,4.2,4.335388220905901
2015-07-11,8.0,5.210727179020083
2015-07-12,8.0,6.83587485178515
2015-07-13,5.6,7.207125963870385
2015-07-14,8.0,6.250952778348928
2015-07-15,8.0,7.161761362465386
2015-07-16,8.0,7.262876985078692
2015-07-17,7.8,7.313629501752313
2015-07-18,8.0,7.479895740149809
2015-07-19,7.0,7.517560060202785
2015-07-20,8.0,7.091680070763114
2015-07-21,6.6,7.444868191444033
2015-07-22,7.6,6.854198605133678
2015-07-23,8.0,7.251979117702191
2015-07-24,8.0,7.346824045239902
2015-07-25,8.0,7.696928284772276
2015-07-26,8.0,7.69452051113335
2015-07-27,8.0,7.499830535282294
2015-07-28,6.4,7.476096288044976
2015-07-29,7.200000000000001,6.8653305074486735
2015-07-30,8.0,7.095320673758668
2015-07-31,6.9,7.424758549648411
2015-08-01,8.0,7.034293825019932
2015-08-02,8.0,7.469957653058643
2015-08-03,8.0,7.536402750879149
2015-08-04,8.0,7.629148540915388
2015-08-05,8.0,7.649423381131996
2015-08-06,8.0,7.59923638361166
2015-08-07,8.0,7.586003503183488
2015-08-08,8.0,7.470418678037605
2015-08-09,1.7,7.666467064009003
2015-08-10,4.4,4.774278718528482
2015-08-11,6.2,5.4451190657156
2015-08-12,7.5,6.080665755255199
2015-08-13,6.4,6.908499094994378
2015-08-14,6.4,6.565885626019653
2015-08-15,7.4,6.466222671747353
2015-08-16,8.0,6.891374547850115
2015-08-17,7.6,7.1735746178165405
2015-08-18,8.0,7.222868733092925
2015-08-19,8.0,7.41895710274334
2015-08-20,8.0,7.449374971984975
2015-08-21,8.0,7.532604347181897
2015-08-22,4.5,7.504078398319024
2015-08-23,8.0,6.054498935616295
2015-08-24,6.3,7.165808263659282
2015-08-25,7.6,6.752441901808252
2015-08-26,3.7,7.27573755563079
2015-08-27,6.4,5.412701559842279
2015-08-28,8.0,6.249933182659045
2015-08-29,8.0,7.021115893727653
