Tanggal,Actual,Predicted
2015-04-12,31.2,32.237619093626904
2015-04-13,33.6,31.608952660382407
2015-04-14,31.4,32.57006830577543
2015-04-15,32.8,31.850446284856048
2015-04-16,29.4,32.44973149168488
2015-04-17,30.6,30.85290867493199
2015-04-18,31.0,31.22466293878457
2015-04-19,31.2,31.198906446585525
2015-04-20,31.3,31.470086519999143
2015-04-21,32.0,31.362590778099516
2015-04-22,32.4,31.800719426064838
2015-04-23,31.4,31.86784984868177
2015-04-24,30.8,31.64118520140415
2015-04-25,28.4,31.27890512638981
2015-04-26,30.8,30.233581662981713
2015-04-27,30.8,30.96427706779175
2015-04-28,33.0,30.96104142202946
2015-04-29,32.4,31.96539493176015
2015-04-30,31.7,31.821350756057456
2015-05-01,33.0,31.757734065425225
2015-05-02,30.8,32.22517981580168
2015-05-03,31.7,31.514303218808806
2015-05-04,31.65,31.593102537499888
2015-05-05,31.6,31.74441002014005
2015-05-06,31.0,31.60799505915569
2015-05-07,32.0,31.37260256848871
2015-05-08,32.3,31.72022881504794
2015-05-09,31.2,31.991880668336776
2015-05-10,32.6,31.55818683068214
2015-05-11,33.3,32.036804232394694
2015-05-12,32.5,32.49338708509366
2015-05-13,31.6,32.3158517043309
2015-05-14,32.4,31.85148652651344
2015-05-15,31.2,32.13873428151638
2015-05-16,32.4,31.715959278956454
2015-05-17,32.2,32.09397079853221
2015-05-18,32.4,32.12324066635853
2015-05-19,31.5,32.2463734592662
2015-05-20,31.8,31.713306486694428
2015-05-21,31.0,31.87249205343287
2015-05-22,30.8,31.525150009557457
2015-05-23,31.3,31.434685304960745
2015-05-24,32.0,31.454928359734062
2015-05-25,32.8,31.83279118677634
2015-05-26,32.8,32.17168009740736
2015-05-27,32.5,32.27887233931373
2015-05-28,32.5,32.267993936559805
2015-05-29,32.5,32.339951003136825
2015-05-30,32.3,32.29295785643645
2015-05-31,31.4,32.274816421375554
2015-06-01,30.4,31.871429809750666
2015-06-02,31.9,31.311991376736813
2015-06-03,32.2,31.790121921255064
2015-06-04,32.2,31.961289555044097
2015-06-05,32.2,32.07899922779054
2015-06-06,31.4,32.05749898456681
2015-06-07,32.8,31.788485029825942
2015-06-08,32.4,32.24684442424065
2015-06-09,32.5,32.18595233385616
2015-06-10,32.3,32.294910405291404
2015-06-11,31.5,32.264724600244534
2015-06-12,31.85,31.889864425374277
2015-06-13,32.2,31.93661440801835
2015-06-14,32.6,32.08398821296111
2015-06-15,32.8,32.29720184019221
2015-06-16,33.2,32.440759429330214
2015-06-17,33.0,32.664300702745095
2015-06-18,32.8,32.65075211306556
2015-06-19,32.0,32.61463764875918
2015-06-20,30.2,32.25489614430441
2015-06-21,32.0,31.379253355049904
2015-06-22,31.4,31.969606887454702
2015-06-23,31.5,31.74543661434329
2015-06-24,31.8,31.779314453801383
2015-06-25,32.1,31.80055510462337
2015-06-26,32.4,31.9601999294048
2015-06-27,32.4,32.14484549649643
2015-06-28,31.7,32.22222008220236
2015-06-29,31.0,31.94860117315848
2015-06-30,31.7,31.61160491521904
2015-07-01,31.4,31.71209386041128
2015-07-02,30.0,31.649286806688842
2015-07-03,30.2,31.02119364269423
2015-07-04,29.8,30.94184838190086
2015-07-05,29.2,30.68449259923426
2015-07-06,29.9,30.289369052621886
2015-07-07,29.6,30.414531459194762
2015-07-08,28.7,30.31258451864224
2015-07-09,29.5,29.88561379769928
2015-07-10,29.2,30.00201123803855
2015-07-11,30.4,29.89415352658189
2015-07-12,30.2,30.40017975533111
2015-07-13,30.0,30.370643308255588
2015-07-14,31.2,30.307305968382984
2015-07-15,31.1,30.795100652864022
2015-07-16,31.6,30.89772629997183
2015-07-17,31.4,31.178238661757057
2015-07-18,31.2,31.19622871851832
2015-07-19,30.0,31.135857888547697
2015-07-20,29.5,30.593955022055866
2015-07-21,30.6,30.312529869081786
2015-07-22,29.4,30.644926656856995
2015-07-23,29.6,30.156845968221845
2015-07-24,32.3,30.110450809590795
2015-07-25,30.4,31.277933560150124
2015-07-26,31.0,30.715122874840503
2015-07-27,31.6,30.87707837271153
2015-07-28,32.2,31.145193425243264
2015-07-29,31.7,31.62478958334242
2015-07-30,29.8,31.41184879394566
2015-07-31,31.8,30.6800348652474
2015-08-01,31.2,31.399909472581577
2015-08-02,31.0,31.224724759902287
2015-08-03,31.8,31.070012299663972
2015-08-04,30.8,31.443885341937673
2015-08-05,28.8,31.19303255978366
2015-08-06,29.4,30.147070093491294
2015-08-07,29.5,30.151220435899496
2015-08-08,28.4,30.154420802646428
2015-08-09,29.4,29.626375940132654
2015-08-10,31.0,29.877793928593093
2015-08-11,31.4,30.642990362624026
2015-08-12,29.8,30.909584395102804
2015-08-13,29.6,30.29127149501341
2015-08-14,28.8,30.149993092253766
