Tanggal,Actual,Predicted
2015-04-14,4.0,5.2171917
2015-04-15,5.0,4.5119824
2015-04-16,5.0,4.791392
2015-04-17,8.0,4.843976
2015-04-18,5.0,6.2077723
2015-04-19,4.0,5.2105885
2015-04-20,4.0,4.6580863
2015-04-21,5.999999999999999,4.5351233
2015-04-22,4.0,5.2997026
2015-04-23,2.0,4.6114087
2015-04-24,2.9999999999999996,3.7489095
2015-04-25,2.9999999999999996,3.8800092
2015-04-26,2.9999999999999996,3.8233945
2015-04-27,5.999999999999999,3.7581644
2015-04-28,5.999999999999999,4.8567605
2015-04-29,9.0,5.134678
2015-04-30,5.999999999999999,6.6587124
2015-05-01,5.0,5.7221
2015-05-02,5.999999999999999,5.184794
2015-05-03,5.0,5.534157
2015-05-04,5.0,5.1703405
2015-05-05,4.0,5.1047807
2015-05-06,2.9999999999999996,4.664449
2015-05-07,2.9999999999999996,4.1703515
2015-05-08,5.0,4.0230746
2015-05-09,8.0,4.691605
2015-05-10,8.0,6.1423526
2015-05-11,7.0,6.5538645
2015-05-12,5.999999999999999,6.284601
2015-05-13,5.999999999999999,5.846371
2015-05-14,7.0,5.793545
2015-05-15,8.0,6.2564783
2015-05-16,7.0,6.8550625
2015-05-17,5.999999999999999,6.549666
2015-05-18,5.0,6.062166
2015-05-19,5.0,5.524651
2015-05-20,4.0,5.398252
2015-05-21,4.0,4.907737
2015-05-22,4.0,4.7678647
2015-05-23,5.0,4.6806316
2015-05-24,7.0,5.024068
2015-05-25,4.0,5.9551463
2015-05-26,5.0,4.8385987
2015-05-27,5.0,5.068623
2015-05-28,4.0,5.079944
2015-05-29,4.0,4.6535454
2015-05-30,5.0,4.5472045
2015-05-31,4.0,4.893009
2015-06-01,4.0,4.532509
2015-06-02,4.0,4.4504285
2015-06-03,8.0,4.4048867
2015-06-04,5.999999999999999,6.09958
2015-06-05,8.0,5.60927
2015-06-06,10.0,6.527659
2015-06-07,9.0,7.77304
2015-06-08,8.0,7.6813145
2015-06-09,7.0,7.2918944
2015-06-10,5.0,6.7949343
2015-06-11,5.0,5.7822776
2015-06-12,5.999999999999999,5.5701194
2015-06-13,8.0,5.9148345
2015-06-14,5.0,6.889639
2015-06-15,5.0,5.6820807
2015-06-16,5.0,5.473578
2015-06-17,5.0,5.388907
2015-06-18,5.0,5.3309727
2015-06-19,5.0,5.284774
2015-06-20,7.0,5.2477303
2015-06-21,8.0,6.119314
2015-06-22,5.999999999999999,6.7916813
2015-06-23,5.0,6.033485
2015-06-24,5.999999999999999,5.4761558
2015-06-25,5.0,5.8058376
2015-06-26,8.0,5.3990297
2015-06-27,9.0,6.692571
2015-06-28,5.999999999999999,7.472946
2015-06-29,7.0,6.258576
2015-06-30,5.0,6.549846
2015-07-01,4.0,5.6748
2015-07-02,5.999999999999999,5.0742764
2015-07-03,5.0,5.769163
2015-07-04,7.0,5.4049053
2015-07-05,5.999999999999999,6.2285976
2015-07-06,5.999999999999999,5.921398
2015-07-07,5.0,5.8792553
2015-07-08,4.0,5.418815
2015-07-09,2.9999999999999996,4.8932395
2015-07-10,4.0,4.362014
2015-07-11,5.0,4.580737
2015-07-12,9.0,4.9591174
2015-07-13,8.0,6.841392
2015-07-14,10.0,6.8426685
2015-07-15,8.0,7.9338903
2015-07-16,5.999999999999999,7.301093
2015-07-17,5.999999999999999,6.2997475
2015-07-18,8.0,6.1280003
2015-07-19,5.999999999999999,7.022175
2015-07-20,5.999999999999999,6.243787
2015-07-21,5.999999999999999,6.1081576
2015-07-22,5.0,6.056986
2015-07-23,5.999999999999999,5.5716968
2015-07-24,5.0,5.90036
2015-07-25,5.0,5.479642
2015-07-26,4.0,5.37967
2015-07-27,5.999999999999999,4.8960853
2015-07-28,5.0,5.615461
2015-07-29,8.0,5.282691
2015-07-30,8.0,6.5935264
2015-07-31,8.0,6.9030685
2015-08-01,5.999999999999999,7.0483994
2015-08-02,5.999999999999999,6.1810236
2015-08-03,5.0,6.04458
2015-08-04,5.999999999999999,5.5473013
2015-08-05,8.0,5.8738937
2015-08-06,7.0,6.855617
2015-08-07,7.0,6.599084
2015-08-08,5.999999999999999,6.5963306
2015-08-09,5.999999999999999,6.1452327
2015-08-10,5.999999999999999,6.0622334
2015-08-11,5.999999999999999,6.02639
2015-08-12,7.0,5.9976635
2015-08-13,5.999999999999999,6.4451675
2015-08-14,7.0,6.0603247
2015-08-15,7.0,6.464373
2015-08-16,7.0,6.549309
2015-08-17,8.0,6.586918
2015-08-18,7.0,7.096935
2015-08-19,7.0,6.7437305
2015-08-20,5.0,6.7053437
2015-08-21,5.999999999999999,5.7673874
2015-08-22,4.0,6.0301857
2015-08-23,5.0,5.148574
2015-08-24,5.999999999999999,5.3751397
2015-08-25,5.0,5.800363
2015-08-26,5.0,5.4132514
2015-08-27,5.0,5.32823
2015-08-28,5.0,5.2824216
2015-08-29,5.0,5.242151
2015-08-30,7.0,5.207707
2015-08-31,7.0,6.079454
2015-09-01,5.0,6.276235
2015-09-02,5.0,5.4419737
2015-09-03,5.999999999999999,5.3031373
2015-09-04,5.0,5.6902924
2015-09-05,4.0,5.30541
2015-09-06,4.0,4.8057466
