Tanggal,Actual,Predicted
2015-04-14,80.0,78.96765
2015-04-15,82.0,80.03612
2015-04-16,77.0,81.17708
2015-04-17,75.0,78.60823
2015-04-18,79.0,77.1639
2015-04-19,78.0,79.12186
2015-04-20,79.0,78.684265
2015-04-21,80.0,79.221054
2015-04-22,82.0,79.785576
2015-04-23,83.5,80.92719
2015-04-24,85.0,81.87757
2015-04-25,86.5,82.84277
2015-04-26,88.0,83.80697
2015-04-27,82.0,84.76795
2015-04-28,82.0,82.23299
2015-04-29,72.0,82.1173
2015-04-30,78.0,76.26406
2015-05-01,75.0,79.14494
2015-05-02,77.0,77.378365
2015-05-03,79.0,78.36672
2015-05-04,81.0,79.43061
2015-05-05,73.0,80.58075
2015-05-06,76.0,76.14099
2015-05-07,80.0,77.36604
2015-05-08,71.0,79.520164
2015-05-09,70.0,74.50657
2015-05-10,69.0,73.265205
2015-05-11,76.0,72.212555
2015-05-12,75.0,76.0339
2015-05-13,73.0,75.77478
2015-05-14,67.5,74.53017
2015-05-15,61.99999999999999,70.956955
2015-05-16,65.0,67.11471
2015-05-17,70.0,68.08987
2015-05-18,71.0,70.85826
2015-05-19,80.0,71.610405
2015-05-20,78.0,76.555626
2015-05-21,79.0,76.18614
2015-05-22,77.0,76.8568
2015-05-23,75.0,75.99104
2015-05-24,75.0,74.89889
2015-05-25,74.0,74.843544
2015-05-26,73.0,74.308716
2015-05-27,78.0,73.698204
2015-05-28,81.0,76.49121
2015-05-29,84.0,78.51136
2015-05-30,84.0,80.497925
2015-05-31,78.0,81.00652
2015-06-01,82.0,78.2023
2015-06-02,82.0,80.20941
2015-06-03,78.0,80.479225
2015-06-04,77.0,78.56076
2015-06-05,74.0,77.871666
2015-06-06,70.0,75.98178
2015-06-07,74.0,73.27684
2015-06-08,76.0,75.2294
2015-06-09,76.0,76.46799
2015-06-10,80.0,76.57471
2015-06-11,78.0,78.78775
2015-06-12,78.0,77.96366
2015-06-13,76.0,77.96027
2015-06-14,74.0,76.829735
2015-06-15,76.0,75.5397
2015-06-16,80.0,76.50613
2015-06-17,82.0,78.80872
2015-06-18,77.0,80.198555
2015-06-19,81.0,77.781494
2015-06-20,76.0,79.79663
2015-06-21,74.0,77.218765
2015-06-22,74.0,75.83424
2015-06-23,77.0,75.54992
2015-06-24,73.0,77.172104
2015-06-25,69.0,74.96564
2015-06-26,68.0,72.24861
2015-06-27,68.0,71.12354
2015-06-28,69.0,70.764435
2015-06-29,72.0,71.09994
2015-06-30,69.0,72.691444
2015-07-01,76.0,70.9892
2015-07-02,69.0,74.64818
2015-07-03,70.0,71.01743
2015-07-04,80.0,71.09877
2015-07-05,75.0,76.60985
2015-07-06,74.0,74.6609
2015-07-07,66.0,74.00001
2015-07-08,74.0,69.234375
2015-07-09,83.0,73.200905
2015-07-10,81.0,78.564316
2015-07-11,84.0,78.427986
2015-07-12,73.0,80.25834
2015-07-13,72.0,74.69349
2015-07-14,68.0,73.56633
2015-07-15,68.0,70.8871
2015-07-16,69.0,70.49174
2015-07-17,72.0,70.89276
2015-07-18,72.0,72.54611
2015-07-19,74.0,72.6391
2015-07-20,74.0,73.716324
2015-07-21,74.0,73.810745
2015-07-22,77.0,73.82987
2015-07-23,78.0,75.55554
2015-07-24,77.0,76.40895
2015-07-25,78.0,76.114845
2015-07-26,75.0,76.781586
2015-07-27,75.0,75.2793
2015-07-28,73.0,75.19677
2015-07-29,80.0,74.0315
2015-07-30,74.0,77.875984
2015-07-31,69.0,75.00817
2015-08-01,73.0,71.786415
2015-08-02,72.0,73.640526
2015-08-03,77.0,73.172554
2015-08-04,71.0,75.95392
2015-08-05,76.0,72.79913
2015-08-06,71.0,75.31042
2015-08-07,72.0,72.65263
2015-08-08,66.0,72.91004
2015-08-09,71.0,69.307365
2015-08-10,79.0,71.64896
2015-08-11,76.0,76.33987
2015-08-12,77.0,75.34449
2015-08-13,78.0,75.908585
2015-08-14,75.0,76.60474
2015-08-15,72.0,75.12086
2015-08-16,75.0,73.27865
2015-08-17,75.0,74.79494
2015-08-18,70.0,74.97456
2015-08-19,75.0,72.10021
2015-08-20,69.0,74.63488
