Tanggal,Actual,Predicted
2015-04-12,1.0,2.165125813498542
2015-04-13,2.0,1.5611773869107437
2015-04-14,3.0,2.146782824154942
2015-04-15,3.0,2.6303769978998313
2015-04-16,2.0,2.8424906537977406
2015-04-17,2.0,2.3387243914995826
2015-04-18,2.0,2.129612642073076
2015-04-19,2.0,2.2185399934027568
2015-04-20,2.0,2.128764073865168
2015-04-21,1.0,2.1884086820507003
2015-04-22,1.0,1.535498895444265
2015-04-23,1.0,1.6053233320804612
2015-04-24,1.0,1.4168621250975102
2015-04-25,3.0,1.398336771386707
2015-04-26,4.0,2.691211259086956
2015-04-27,4.0,3.35464935838294
2015-04-28,4.0,3.6212930949461595
2015-04-29,4.0,3.5780731430417414
2015-04-30,4.0,3.5120640946341357
2015-05-01,2.0,3.5980899261852057
2015-05-02,3.0,2.563968796266736
2015-05-03,2.0,2.9919093910848247
2015-05-04,2.0,2.394250116426042
2015-05-05,1.0,2.3391313274133956
2015-05-06,3.0,1.7035852160300977
2015-05-07,4.0,2.6964450824060515
2015-05-08,4.0,3.635938896949178
2015-05-09,5.0,3.4815236539688206
2015-05-10,4.0,4.312818513876971
2015-05-11,4.0,3.6135599765993267
2015-05-12,4.5,3.7231415923284525
2015-05-13,5.0,4.044812156676365
2015-05-14,4.0,4.515553232649145
2015-05-15,4.0,3.95406152499099
2015-05-16,2.0,3.798637731768044
2015-05-17,3.0,2.789882674544064
2015-05-18,2.0,3.048888384964052
2015-05-19,2.0,2.54820158067971
2015-05-20,3.0,2.3770274619222387
2015-05-21,4.0,3.014524324171504
2015-05-22,4.0,3.5071093447550123
2015-05-23,3.0,3.745754447288458
2015-05-24,3.0,3.1979733242914485
2015-05-25,2.0,3.100697823381442
2015-05-26,2.0,2.6010298072639872
2015-05-27,3.0,2.6157210144497927
2015-05-28,4.0,3.067439289438544
2015-05-29,2.0,3.6904265310131232
2015-05-30,2.0,2.6440700790894733
2015-05-31,3.0,2.4045957531127233
2015-06-01,5.0,2.966263992345016
2015-06-02,4.0,4.21197486406836
2015-06-03,5.0,3.786663994828945
2015-06-04,6.0,4.331066160261182
2015-06-05,5.0,5.112291693660851
2015-06-06,5.0,4.594111618615239
2015-06-07,4.0,4.68272964691953
2015-06-08,4.0,4.0575596755448355
2015-06-09,3.0,3.982254358509293
2015-06-10,4.0,3.4430851368298376
2015-06-11,4.0,3.9882454568883374
2015-06-12,3.0,3.964790401641794
2015-06-13,3.0,3.2330876449428003
2015-06-14,2.0,3.241532751638579
2015-06-15,4.0,2.6432963341262083
2015-06-16,4.0,3.665203129571267
2015-06-17,3.0,3.770479412434207
2015-06-18,3.0,3.275398677060506
2015-06-19,5.0,3.3021028678610613
2015-06-20,3.0,4.260440111042493
2015-06-21,3.0,3.57903642230375
2015-06-22,3.0,3.1764708381744193
2015-06-23,4.0,3.195812458298923
2015-06-24,4.0,3.715312208484112
2015-06-25,5.0,4.052945064845563
2015-06-26,4.0,4.361240237135117
2015-06-27,4.0,3.9721343144262202
2015-06-28,2.0,3.841463478731787
2015-06-29,2.0,2.760141420146121
2015-06-30,4.0,2.619181151694202
2015-07-01,3.0,3.820156200212225
2015-07-02,4.0,3.151360536740334
2015-07-03,4.0,4.002578966195529
2015-07-04,3.0,3.9073772077501476
2015-07-05,2.0,3.2933173722263027
2015-07-06,1.0,2.6234509037302236
2015-07-07,1.0,1.974602235147128
2015-07-08,1.0,1.7667839918468276
2015-07-09,2.0,1.801119429877582
2015-07-10,5.0,2.330954419228488
2015-07-11,5.0,4.07737998715762
2015-07-12,7.0,4.33067975493805
2015-07-13,5.0,5.6112307457172825
2015-07-14,4.0,4.6458028919129255
2015-07-15,4.0,4.008202663287664
2015-07-16,5.0,3.889544847496063
2015-07-17,5.0,4.428605022503845
2015-07-18,4.0,4.810854070159991
2015-07-19,4.0,3.9285287555813233
2015-07-20,2.0,4.029866738507213
2015-07-21,4.0,2.7588893814362634
2015-07-22,2.0,3.8167516112240185
2015-07-23,2.0,2.701085060845602
2015-07-24,3.0,2.610925439593386
2015-07-25,4.0,3.1185600778442395
2015-07-26,4.0,3.566734385730953
2015-07-27,5.0,4.001441226900793
2015-07-28,5.0,4.237069310628822
2015-07-29,5.0,4.585023917132894
2015-07-30,4.0,4.6724687620101815
2015-07-31,3.0,4.161722091253058
2015-08-01,4.0,3.371774198057721
2015-08-02,4.0,3.86469531779851
2015-08-03,4.0,3.9275388964685543
2015-08-04,5.0,3.8836106647688946
2015-08-05,5.0,4.55115359279273
2015-08-06,4.0,4.490895864910545
2015-08-07,4.0,3.938739524924975
2015-08-08,4.0,4.130778226014007
2015-08-09,4.0,3.9761063649642714
2015-08-10,5.0,4.09544866186191
2015-08-11,4.0,4.608755115263998
2015-08-12,5.0,4.165056468885691
2015-08-13,4.0,4.568235194435367
2015-08-14,4.0,4.217338321440534
2015-08-15,4.0,4.030806561104669
2015-08-16,5.0,4.144251233989662
2015-08-17,4.0,4.539673061648683
2015-08-18,3.0,4.140886023016181
2015-08-19,2.0,3.38024112476366
2015-08-20,2.0,2.7540657251781036
2015-08-21,2.0,2.4914663695261825
2015-08-22,3.0,2.6938895971375287
2015-08-23,3.0,3.1287554413855765
2015-08-24,3.0,3.255287757696435
2015-08-25,3.0,3.2334592573739154
2015-08-26,4.0,3.235622784696323
2015-08-27,3.0,3.7494475089836565
2015-08-28,4.0,3.362410797597423
2015-08-29,4.0,3.6924208848076634
2015-08-30,3.0,3.9486823732302025
2015-08-31,3.0,3.2890131096201567
2015-09-01,4.0,3.31057211529038
2015-09-02,3.0,3.692284614691441
2015-09-03,2.0,3.4721713567134187
2015-09-04,1.0,2.565644159772836
2015-09-05,2.0,1.9728320478091468
2015-09-06,2.0,2.3340129644864374
2015-09-07,2.0,2.449545199911466
2015-09-08,4.0,2.339956808880156
2015-09-09,5.0,3.643233861441305
2015-09-10,4.0,4.26838856242466
2015-09-11,3.0,3.8753765348271236
2015-09-12,4.0,3.2289743525934185
2015-09-13,3.0,3.7495526539885593
2015-09-14,3.0,3.194086510496637
2015-09-15,3.0,3.269060232116922
2015-09-16,4.0,3.1945100449759747
2015-09-17,4.0,3.607544290962681
2015-09-18,3.0,3.7696377461917936
2015-09-19,2.0,3.200744480367273
2015-09-20,3.0,2.5859438777313133
2015-09-21,4.0,2.9384402933135942
2015-09-22,4.0,3.6810998536231323
2015-09-23,4.0,3.815690656464127
2015-09-24,3.0,3.8188923256984846
2015-09-25,4.0,3.143558010289525
2015-09-26,3.0,3.784378401612035
2015-09-27,3.0,3.364857159711717
2015-09-28,3.0,3.1540741200432847
2015-09-29,4.0,3.1951323490546897
2015-09-30,4.0,3.733330591528531
