Tanggal,Actual,Predicted
2015-04-12,80.0,78.60305035284797
2015-04-13,82.0,79.34619488635623
2015-04-14,77.0,80.64690081449211
2015-04-15,75.0,78.3263950673886
2015-04-16,79.0,76.79220553694906
2015-04-17,78.0,78.475181299316
2015-04-18,79.0,78.50714136357004
2015-04-19,80.0,78.77459503863551
2015-04-20,82.0,79.17327472729094
2015-04-21,83.5,80.55573735704054
2015-04-22,85.0,81.70300275220876
2015-04-23,86.5,82.3087599356794
2015-04-24,88.0,83.60112952447254
2015-04-25,82.0,84.83783718758933
2015-04-26,82.0,81.75693872087085
2015-04-27,72.0,81.29635790733937
2015-04-28,78.0,76.10580437261872
2015-04-29,75.0,78.03613731199587
2015-04-30,77.0,76.7750895022055
2015-05-01,79.0,77.45660679221326
2015-05-02,81.0,78.7570936356998
2015-05-03,73.0,79.7660200874523
2015-05-04,76.0,76.06552345269137
2015-05-05,80.0,76.63981557363317
2015-05-06,71.0,79.0044067351249
2015-05-07,70.0,74.55359995847775
2015-05-08,69.0,73.11955684646968
2015-05-09,76.0,72.12584038798944
2015-05-10,75.0,75.73505671207045
2015-05-11,73.0,75.55899808939434
2015-05-12,67.5,74.13692841371089
2015-05-13,61.99999999999999,71.25786247567049
2015-05-14,65.0,67.86907474187741
2015-05-15,70.0,68.12482282216533
2015-05-16,71.0,71.02674006899413
2015-05-17,80.0,71.88171102446557
2015-05-18,78.0,76.42955517437892
2015-05-19,79.0,76.57377654130734
2015-05-20,77.0,77.30630011101596
2015-05-21,75.0,76.49993767266419
2015-05-22,75.0,75.17095342719699
2015-05-23,74.0,75.11413568106501
2015-05-24,73.0,74.36252922510056
2015-05-25,78.0,73.43333254967835
2015-05-26,81.0,75.95583625838233
2015-05-27,84.0,78.00145273910425
2015-05-28,84.0,79.94026306606682
2015-05-29,78.0,80.73781286416546
2015-05-30,82.0,77.94588633169452
2015-05-31,82.0,79.44817420424745
2015-06-01,78.0,80.04868280687982
2015-06-02,77.0,77.89214449366308
2015-06-03,74.0,76.77841097924215
2015-06-04,70.0,75.24126345555678
2015-06-05,74.0,72.69632842148924
2015-06-06,76.0,74.48234105298779
2015-06-07,76.0,75.64907006471651
2015-06-08,80.0,75.81932785430782
2015-06-09,78.0,77.90841099574617
2015-06-10,78.0,77.12478042956198
2015-06-11,76.0,77.37018579652667
2015-06-12,74.0,76.403603065514
2015-06-13,76.0,75.05025538390555
2015-06-14,80.0,76.28100814932317
2015-06-15,82.0,78.43504305061988
2015-06-16,77.0,79.72759833244884
2015-06-17,81.0,77.4617121415413
2015-06-18,76.0,79.05124278768487
2015-06-19,74.0,76.79908065783681
2015-06-20,74.0,75.37387542320504
2015-06-21,77.0,75.03796101596599
