Tanggal,Actual,Predicted
2015-04-12,8.799999999999999,9.130868234820273
2015-04-13,7.5,8.633790045177125
2015-04-14,8.75,7.951912508573689
2015-04-15,10.0,8.428647709120499
2015-04-16,9.25,9.121487083030265
2015-04-17,8.5,8.865780383067898
2015-04-18,9.3,8.377530863229941
2015-04-19,10.0,8.646285084688985
2015-04-20,9.2,9.151077786549912
2015-04-21,8.1,8.87191455886008
2015-04-22,6.85,8.170879001685394
2015-04-23,5.6,7.507498708724061
2015-04-24,5.6,6.833882936561799
2015-04-25,7.5,6.580941098389764
2015-04-26,5.2,7.283352390485218
2015-04-27,9.2,6.32074730095733
2015-04-28,9.6,8.090368395860931
2015-04-29,8.7,8.582905965429452
2015-04-30,8.733333333333333,8.238926977495627
2015-05-01,8.766666666666667,8.299678287449181
2015-05-02,8.8,8.213516899790326
2015-05-03,10.0,8.458486841668389
2015-05-04,10.1,8.994707993277919
2015-05-05,10.3,9.01020396400678
2015-05-06,10.26,9.146081213358363
2015-05-07,10.22,9.359255240078165
2015-05-08,10.18,9.285403865010128
2015-05-09,10.14,9.233154854969186
2015-05-10,10.1,9.281922077931513
2015-05-11,10.128571428571428,9.356008038114158
2015-05-12,10.157142857142857,9.446012023064334
2015-05-13,10.185714285714285,9.386300646875286
2015-05-14,10.214285714285715,9.364931496576947
2015-05-15,10.242857142857144,9.404208740937387
2015-05-16,10.271428571428572,9.50486037356877
2015-05-17,10.3,9.528993431536318
2015-05-18,10.3,9.586565517539693
2015-05-19,10.3,9.539373709621888
2015-05-20,10.175,9.540718931840274
2015-05-21,10.05,9.474248520816353
2015-05-22,9.925,9.32456313549848
2015-05-23,9.8,9.218735598417162
2015-05-24,9.75,9.294303552893025
2015-05-25,9.7,9.234799640737338
2015-05-26,9.65,9.224935026653904
2015-05-27,9.6,9.215231785955229
2015-05-28,10.0,9.148856126576275
2015-05-29,9.6,9.319433077697274
2015-05-30,8.4,9.181628902965203
2015-05-31,9.7,8.599795181999466
2015-06-01,9.8,9.11584937464504
2015-06-02,9.9,9.213802145080727
2015-06-03,9.9,9.288356103563535
2015-06-04,9.9,9.312717830488955
2015-06-05,8.1,9.290573496163143
2015-06-06,9.2,8.503236257600127
2015-06-07,5.6,8.830947724081323
2015-06-08,10.2,7.167484482157829
2015-06-09,9.3,9.010123833252461
2015-06-10,5.7,8.888482862086052
2015-06-11,6.466666666666667,7.11374829178113
2015-06-12,7.233333333333334,7.305019277686396
2015-06-13,8.0,7.409429867184647
2015-06-14,8.766666666666667,7.895578841767672
2015-06-15,9.533333333333335,8.250646038070256
2015-06-16,10.3,8.666635408712015
2015-06-17,10.3,9.186768382457904
2015-06-18,10.3,9.319401316257972
2015-06-19,10.3,9.248447090926451
2015-06-20,10.3,9.271791575847606
2015-06-21,10.3,9.424001554636995
2015-06-22,10.3,9.413404956701928
2015-06-23,10.3,9.511197768585022
2015-06-24,10.05,9.473364393581178
2015-06-25,9.8,9.32172709775759
2015-06-26,9.55,9.202708106888744
2015-06-27,9.3,9.162239515541215
2015-06-28,9.05,8.943722974491333
2015-06-29,8.8,8.833022859656552
2015-06-30,9.8,8.73827118173035
2015-07-01,9.775,9.197007635072474
2015-07-02,9.75,9.169956850323727
2015-07-03,9.725,9.059420322108796
2015-07-04,9.7,9.07043080981225
2015-07-05,9.666666666666666,9.231083051911392
2015-07-06,9.633333333333333,9.120279104783863
2015-07-07,9.6,9.036653623951967
2015-07-08,9.1,9.074871750887246
2015-07-09,8.6,8.79889269739503
2015-07-10,8.7,8.50584761163182
2015-07-11,10.2,8.486186397832416
2015-07-12,9.6,9.191970794728617
2015-07-13,9.299999999999999,9.058676285028845
2015-07-14,9.0,8.934220232582211
2015-07-15,8.7,8.812132531250839
2015-07-16,8.92,8.614193874684982
2015-07-17,9.14,8.686221384490922
2015-07-18,9.36,8.736527022467294
2015-07-19,9.58,8.888108141076076
2015-07-20,9.8,9.023352279271894
2015-07-21,10.1,9.134453177219202
2015-07-22,9.833333333333334,9.272392825454462
2015-07-23,9.566666666666666,9.203961043059907
2015-07-24,9.3,9.080334778444875
2015-07-25,9.0,8.933066484429922
2015-07-26,8.7,8.780926322129716
2015-07-27,8.4,8.594514995748037
2015-07-28,8.1,8.387872427113946
2015-07-29,8.55,8.214949632988064
2015-07-30,9.0,8.380329395527509
2015-07-31,9.333333333333334,8.568626667337206
2015-08-01,9.666666666666666,8.758995188077021
2015-08-02,10.0,8.988868875927624
2015-08-03,10.033333333333333,9.204030426368144
2015-08-04,10.066666666666666,9.235964526640087
2015-08-05,10.1,9.239412444549107
2015-08-06,9.857142857142858,9.290998275832655
2015-08-07,9.614285714285714,9.22964462815872
2015-08-08,9.371428571428572,9.112971574666307
2015-08-09,9.128571428571428,8.990854761196701
