Tanggal,Actual,Predicted
2015-04-14,28.8,29.02014
2015-04-15,28.7,29.018406
2015-04-16,29.6,28.941313
2015-04-17,30.1,29.380613
2015-04-18,29.6,29.674652
2015-04-19,29.2,29.498148
2015-04-20,29.5,29.280685
2015-04-21,28.7,29.396292
2015-04-22,28.4,28.99937
2015-04-23,28.25,28.777138
2015-04-24,28.1,28.640848
2015-04-25,27.95,28.513208
2015-04-26,27.8,28.383823
2015-04-27,28.8,28.25167
2015-04-28,28.1,28.751678
2015-04-29,29.8,28.396084
2015-04-30,29.5,29.268019
2015-05-01,30.0,29.217752
2015-05-02,29.0,29.503925
2015-05-03,28.7,29.06441
2015-05-04,28.5,28.863926
2015-05-05,28.6,28.723743
2015-05-06,26.4,28.751389
2015-05-07,25.7,27.500868
2015-05-08,28.3,26.98897
2015-05-09,28.8,28.248867
2015-05-10,28.9,28.553513
2015-05-11,28.6,28.684816
2015-05-12,29.1,28.558481
2015-05-13,29.6,28.836914
2015-05-14,29.05,29.145775
2015-05-15,28.5,28.935764
2015-05-16,27.7,28.645473
2015-05-17,26.8,28.171637
2015-05-18,26.8,27.601467
2015-05-19,27.2,27.510101
2015-05-20,27.8,27.64739
2015-05-21,28.4,27.936626
2015-05-22,28.5,28.269657
2015-05-23,28.8,28.362686
2015-05-24,28.9,28.56207
2015-05-25,28.6,28.661207
2015-05-26,28.4,28.541237
2015-05-27,28.1,28.444023
2015-05-28,28.4,28.276499
2015-05-29,27.7,28.427263
2015-05-30,28.2,28.044012
2015-05-31,28.2,28.288301
2015-06-01,27.7,28.28463
2015-06-02,26.9,28.010086
2015-06-03,28.6,27.527788
2015-06-04,28.7,28.39879
2015-06-05,28.7,28.495964
2015-06-06,28.5,28.553467
2015-06-07,28.5,28.471872
2015-06-08,28.2,28.48208
2015-06-09,27.7,28.326122
2015-06-10,27.3,28.03709
2015-06-11,27.3,27.775055
2015-06-12,27.7,27.722364
2015-06-13,28.3,27.90018
2015-06-14,27.5,28.221485
2015-06-15,27.2,27.801226
2015-06-16,27.5,27.610634
2015-06-17,27.8,27.729544
2015-06-18,28.3,27.877218
2015-06-19,27.6,28.162594
2015-06-20,28.2,27.803968
2015-06-21,27.3,28.129192
2015-06-22,26.7,27.637335
2015-06-23,25.4,27.281757
2015-06-24,25.6,26.523544
2015-06-25,26.7,26.527672
2015-06-26,27.5,26.9776
2015-06-27,27.1,27.383068
2015-06-28,27.0,27.19556
2015-06-29,26.8,27.1534
2015-06-30,26.9,27.031054
2015-07-01,27.049999999999997,27.070427
2015-07-02,27.2,27.138527
2015-07-03,26.9,27.22181
2015-07-04,26.0,27.067091
2015-07-05,27.6,26.586287
2015-07-06,26.9,27.388231
2015-07-07,26.6,27.017788
2015-07-08,25.7,26.886776
2015-07-09,24.6,26.390106
2015-07-10,25.6,25.822042
2015-07-11,25.3,26.185047
2015-07-12,28.0,25.971825
2015-07-13,27.8,27.297441
2015-07-14,27.9,27.266037
2015-07-15,26.5,27.437473
2015-07-16,26.0,26.730263
2015-07-17,26.3,26.487036
2015-07-18,26.5,26.588598
2015-07-19,26.5,26.66473
2015-07-20,25.9,26.662289
2015-07-21,26.5,26.353672
2015-07-22,26.9,26.63321
2015-07-23,27.1,26.82364
2015-07-24,26.4,26.958464
2015-07-25,26.3,26.61883
2015-07-26,26.7,26.571898
2015-07-27,27.2,26.753162
2015-07-28,27.3,27.021109
2015-07-29,26.5,27.110119
2015-07-30,26.7,26.721075
2015-07-31,27.0,26.829872
2015-08-01,26.9,26.973595
2015-08-02,26.9,26.937925
2015-08-03,26.5,26.952751
2015-08-04,26.6,26.746508
2015-08-05,26.3,26.791388
2015-08-06,26.8,26.619394
2015-08-07,26.2,26.86605
2015-08-08,26.6,26.547081
2015-08-09,26.9,26.74877
2015-08-10,27.0,26.888054
2015-08-11,27.3,26.960575
2015-08-12,26.7,27.142176
2015-08-13,27.1,26.84691
2015-08-14,26.9,27.07111
2015-08-15,27.0,26.966425
2015-08-16,26.7,27.037024
2015-08-17,25.7,26.880606
2015-08-18,27.0,26.361664
2015-08-19,24.7,26.984459
2015-08-20,25.9,25.813307
2015-08-21,26.6,26.35334
2015-08-22,26.4,26.616436
2015-08-23,24.5,26.540369
2015-08-24,26.3,25.637947
2015-08-25,26.7,26.418474
2015-08-26,26.5,26.576033
2015-08-27,26.3,26.524902
2015-08-28,27.7,26.440025
2015-08-29,26.6,27.173668
2015-08-30,27.4,26.637753
2015-08-31,27.4,27.113264
2015-09-01,26.7,27.132513
2015-09-02,26.6,26.813646
2015-09-03,25.4,26.77239
2015-09-04,25.474999999999998,26.1499
2015-09-05,25.549999999999997,26.149714
2015-09-06,25.625,26.113155
2015-09-07,25.7,26.111887
2015-09-08,25.4,26.114859
2015-09-09,25.2,25.949425
2015-09-10,27.5,25.830048
2015-09-11,27.5,26.90951
2015-09-12,28.0,26.972183
2015-09-13,27.3,27.353228
2015-09-14,27.2,27.048185
2015-09-15,27.9,27.05638
2015-09-16,28.2,27.463608
2015-09-17,28.6,27.697178
2015-09-18,28.4,28.010216
2015-09-19,28.4,27.996695
2015-09-20,28.4,28.071726
2015-09-21,27.1,28.130444
2015-09-22,27.5,27.451012
2015-09-23,26.8,27.65436
2015-09-24,27.9,27.245497
2015-09-25,28.5,27.825315
2015-09-26,28.3,28.172182
2015-09-27,28.2,28.135235
2015-09-28,27.8,28.118406
2015-09-29,28.5,27.91573
2015-09-30,28.5,28.303612
2015-10-01,28.6,28.3446
2015-10-02,28.4,28.442059
2015-10-03,28.9,28.36603
2015-10-04,28.2,28.657095
2015-10-05,28.9,28.321007
2015-10-06,28.1,28.697598
2015-10-07,28.2,28.298975
2015-10-08,28.9,28.337507
2015-10-09,29.0,28.70911
2015-10-10,29.2,28.811762
2015-10-11,29.1,28.95788
2015-10-12,28.8,28.946188
2015-10-13,28.6,28.808868
2015-10-14,29.1,28.69755
2015-10-15,29.5,28.954483
2015-10-16,29.2,29.196753
2015-10-17,28.4,29.096762
2015-10-18,28.2,28.675575
2015-10-19,30.0,28.513823
2015-10-20,29.6,29.414654
2015-10-21,29.2,29.33723
2015-10-22,29.3,29.162708
2015-10-23,27.8,29.199156
2015-10-24,29.4,28.400028
2015-10-25,29.1,29.158163
2015-10-26,28.8,29.065666
2015-10-27,28.8,28.918774
2015-10-28,28.5,28.895048
2015-10-29,29.4,28.723225
2015-10-30,30.0,29.170383
2015-10-31,30.3,29.521185
2015-11-01,29.1,29.740307
2015-11-02,28.2,29.219454
2015-11-03,27.9,28.66985
2015-11-04,29.6,28.416855
2015-11-05,29.3,29.257568
2015-11-06,29.4,29.193842
2015-11-07,28.9,29.26195
2015-11-08,29.8,29.01553
2015-11-09,30.900000000000002,29.444653
2015-11-10,30.0,30.01272
2015-11-11,30.0,29.738026
2015-11-12,29.2,29.714724
2015-11-13,29.2,29.33181
2015-11-14,29.5,29.2737
2015-11-15,29.6,29.406868
2015-11-16,29.9,29.47402
2015-11-17,30.6,29.631996
2015-11-18,30.0,29.981194
2015-11-19,30.3,29.787985
2015-11-20,30.2,29.902527
2015-11-21,29.9,29.885462
2015-11-22,31.300000000000004,29.755922
2015-11-23,31.5,30.336212
2015-11-24,29.8,30.530724
2015-11-25,30.5,29.897425
2015-11-26,30.399999999999995,30.070164
2015-11-27,31.099999999999998,30.061487
2015-11-28,30.799999999999997,30.354212
2015-11-29,31.4,30.301155
2015-11-30,30.699999999999996,30.52827
2015-12-01,31.5,30.31635
2015-12-02,30.5,30.579496
2015-12-03,30.1,30.2611
2015-12-04,28.6,30.019835
2015-12-05,29.9,29.242779
2015-12-06,30.699999999999996,29.726404
2015-12-07,30.0,30.134504
2015-12-08,29.4,29.910978
2015-12-09,30.900000000000002,29.583088
2015-12-10,31.5,30.185995
2015-12-11,30.999999999999996,30.523935
2015-12-12,31.5,30.41967
2015-12-13,31.5,30.591251
2015-12-14,30.999999999999996,30.637253
2015-12-15,30.399999999999995,30.474031
2015-12-16,30.5,30.200521
2015-12-17,30.3,30.179718
2015-12-18,29.3,30.09044
2015-12-19,27.7,29.613665
2015-12-20,28.9,28.66634
2015-12-21,26.2,29.139362
2015-12-22,29.7,27.636665
2015-12-23,29.5,29.34991
2015-12-24,30.6,29.35704
2015-12-25,29.8,29.918335
2015-12-26,29.8,29.646091
2015-12-27,30.0,29.617603
2015-12-28,30.2,29.710363
2015-12-29,29.5,29.827496
2015-12-30,30.6,29.52923
2015-12-31,30.5,29.990778
2016-01-01,30.399999999999995,30.031843
2016-01-02,29.9,30.013222
2016-01-03,29.4,29.793846
2016-01-04,29.7,29.517878
2016-01-05,30.1,29.609234
2016-01-06,30.1,29.803984
2016-01-07,29.7,29.839012
2016-01-08,29.9,29.663137
2016-01-09,30.699999999999996,29.724424
2016-01-10,29.3,30.087944
2016-01-11,29.9,29.52301
2016-01-12,29.4,29.707638
2016-01-13,28.6,29.488287
2016-01-14,29.3,29.039705
2016-01-15,29.8,29.315315
2016-01-16,29.6,29.577173
2016-01-17,30.699999999999996,29.522308
2016-01-18,31.5,30.022005
2016-01-19,28.8,30.437386
2016-01-20,30.5,29.347792
2016-01-21,30.2,29.946152
2016-01-22,30.1,29.906136
2016-01-23,30.1,29.869255
2016-01-24,28.3,29.86286
2016-01-25,27.9,28.968899
2016-01-26,27.7,28.588226
2016-01-27,28.8,28.382755
2016-01-28,29.3,28.909233
2016-01-29,29.5,29.189428
2016-01-30,29.8,29.32959
2016-01-31,29.2,29.503513
2016-02-01,29.7,29.240358
2016-02-02,28.8,29.460613
2016-02-03,28.1,29.036097
2016-02-04,27.9,28.598776
2016-02-05,29.0,28.408855
2016-02-06,28.2,28.94603
2016-02-07,29.2,28.549084
2016-02-08,29.4,29.042858
2016-02-09,28.6,29.185005
2016-02-10,28.9,28.80277
2016-02-11,30.1,28.91989
2016-02-12,30.0,29.530731
2016-02-13,29.6,29.586712
2016-02-14,29.0,29.43485
2016-02-15,27.7,29.122126
2016-02-16,29.7,28.370562
2016-02-17,29.1,29.325153
2016-02-18,30.0,29.111677
2016-02-19,30.5,29.558765
2016-02-20,30.2,29.858774
2016-02-21,29.5,29.802265
2016-02-22,29.9,29.483055
2016-02-23,30.3,29.63144
2016-02-24,29.0,29.845762
2016-02-25,28.2,29.27225
2016-02-26,27.4,28.751923
2016-02-27,27.9,28.208479
2016-02-28,27.5,28.385206
2016-02-29,28.2,28.113623
2016-03-01,29.0,28.440714
2016-03-02,26.5,28.85916
2016-03-03,29.3,27.499842
2016-03-04,29.7,28.915422
2016-03-05,29.9,29.198206
2016-03-06,30.0,29.401257
2016-03-07,29.6,29.514593
2016-03-08,29.1,29.372154
2016-03-09,29.0,29.12318
2016-03-10,27.0,29.046656
2016-03-11,27.8,27.927208
2016-03-12,27.9,28.244616
2016-03-13,27.9,28.247557
2016-03-14,28.9,28.226501
2016-03-15,29.7,28.743484
2016-03-16,30.900000000000002,29.206425
2016-03-17,29.9,29.869324
2016-03-18,27.5,29.558334
2016-03-19,29.0,28.272669
2016-03-20,28.7,28.930622
2016-03-21,28.2,28.804296
2016-03-22,28.3,28.532509
2016-03-23,28.8,28.540354
2016-03-24,29.7,28.788258
2016-03-25,30.1,29.276386
2016-03-26,30.1,29.55383
2016-03-27,28.7,29.63111
2016-03-28,29.2,28.969557
2016-03-29,28.8,29.146303
2016-03-30,29.5,28.950663
2016-03-31,29.5,29.291311
2016-04-01,29.4,29.334383
2016-04-02,29.2,29.306032
2016-04-03,30.3,29.206179
2016-04-04,30.0,29.731201
2016-04-05,28.4,29.683537
2016-04-06,30.2,28.88739
2016-04-07,29.5,29.673832
2016-04-08,29.5,29.442999
2016-04-09,30.2,29.42719
2016-04-10,30.0,29.75678
2016-04-11,30.399999999999995,29.727444
2016-04-12,29.4,29.919233
2016-04-13,30.3,29.49727
2016-04-14,30.399999999999995,29.853949
2016-04-15,30.399999999999995,29.959032
2016-04-16,30.0,29.99302
2016-04-17,29.4,29.830044
2016-04-18,28.8,29.520535
2016-04-19,29.1,29.157284
2016-04-20,29.1,29.240023
2016-04-21,29.0,29.230743
2016-04-22,30.0,29.165806
2016-04-23,28.8,29.638256
2016-04-24,28.7,29.106562
2016-04-25,30.5,28.974318
