Tanggal,Actual,Predicted
2015-04-14,320.0,221.14966
2015-04-15,160.0,239.5583
2015-04-16,200.0,222.58827
2015-04-17,230.00000000000003,221.29417
2015-04-18,20.0,222.4045
2015-04-19,349.99999999999994,201.98209
2015-04-20,330.0,233.33478
2015-04-21,50.0,250.2758
2015-04-22,340.0,221.72414
2015-04-23,239.99999999999997,240.70178
2015-04-24,349.99999999999994,232.81349
2015-04-25,300.0,253.00452
2015-04-26,100.0,251.40184
2015-04-27,29.999999999999996,228.68126
2015-04-28,340.0,215.6317
2015-04-29,349.99999999999994,236.75995
2015-04-30,20.0,255.49176
2015-05-01,80.0,223.48409
2015-05-02,40.0,214.90298
2015-05-03,170.0,199.63817
2015-05-04,349.99999999999994,193.46306
2015-05-05,200.0,229.4089
2015-05-06,210.0,218.39095
2015-05-07,220.0,216.22447
2015-05-08,190.0,214.55727
2015-05-09,239.99999999999997,209.04222
2015-05-10,210.0,213.70985
2015-05-11,170.0,211.71484
2015-05-12,150.0,204.74057
2015-05-13,180.0,196.92673
2015-05-14,190.0,194.13495
2015-05-15,200.0,192.6735
2015-05-16,150.0,194.09065
2015-05-17,190.0,186.4093
2015-05-18,210.0,186.71469
2015-05-19,200.0,191.48433
2015-05-20,230.00000000000003,192.81516
2015-05-21,220.0,199.99492
2015-05-22,220.0,203.70375
2015-05-23,230.00000000000003,205.73862
2015-05-24,210.0,209.17456
2015-05-25,220.0,207.99348
2015-05-26,40.0,209.2783
2015-05-27,160.0,190.50804
2015-05-28,210.0,186.2243
2015-05-29,220.0,188.40402
2015-05-30,160.0,193.8661
2015-05-31,200.0,187.77492
2015-06-01,200.0,190.2035
2015-06-02,160.0,191.7775
2015-06-03,210.0,186.03639
2015-06-04,200.0,189.73027
2015-06-05,220.0,191.0775
2015-06-06,190.0,196.67676
2015-06-07,260.0,194.90654
2015-06-08,190.0,208.05388
2015-06-09,230.00000000000003,203.23877
2015-06-10,220.0,207.84871
2015-06-11,220.0,208.81154
2015-06-12,210.0,210.1732
2015-06-13,230.00000000000003,209.49364
2015-06-14,200.0,212.73808
2015-06-15,160.0,209.82364
2015-06-16,220.0,202.7113
2015-06-17,220.0,205.99518
2015-06-18,210.0,208.19856
2015-06-19,210.0,208.50246
2015-06-20,210.0,208.7261
2015-06-21,210.0,208.8091
2015-06-22,230.00000000000003,208.90779
2015-06-23,200.0,212.60112
2015-06-24,200.0,209.98952
2015-06-25,210.0,208.44545
2015-06-26,220.0,209.14497
2015-06-27,160.0,211.20483
2015-06-28,200.0,203.15811
2015-06-29,220.0,203.32898
2015-06-30,210.0,206.55289
2015-07-01,220.0,207.27686
2015-07-02,210.0,209.78972
2015-07-03,230.00000000000003,209.72101
2015-07-04,220.0,213.28258
2015-07-05,230.00000000000003,213.84259
2015-07-06,200.0,216.22435
2015-07-07,190.0,212.91536
2015-07-08,210.0,209.31587
2015-07-09,349.99999999999994,209.6481
2015-07-10,220.0,241.55673
2015-07-11,29.999999999999996,230.0584
2015-07-12,349.99999999999994,211.86133
2015-07-13,340.0,235.71773
2015-07-14,210.0,250.29222
2015-07-15,200.0,235.00832
2015-07-16,210.0,229.01752
2015-07-17,220.0,225.23856
2015-07-18,230.00000000000003,223.89491
2015-07-19,230.00000000000003,224.6748
2015-07-20,220.0,225.27994
2015-07-21,210.0,224.08194
2015-07-22,360.0,221.82819
2015-07-23,210.0,251.86366
2015-07-24,230.00000000000003,235.41386
2015-07-25,150.0,233.9517
2015-07-26,220.0,222.0489
2015-07-27,210.0,222.95197
2015-07-28,210.0,220.815
2015-07-29,239.99999999999997,219.83612
2015-07-30,160.0,224.14279
