Tanggal,Actual,Predicted
2015-04-14,3.0,4.021384
2015-04-15,4.0,3.671163
2015-04-16,4.0,3.951809
2015-04-17,6.0,3.9859433
2015-04-18,3.0,4.806267
2015-04-19,3.0,3.8463418
2015-04-20,5.0,3.7249808
2015-04-21,4.0,4.3726077
2015-04-22,3.0,4.107506
2015-04-23,3.0,3.747058
2015-04-24,3.0,3.6485372
2015-04-25,3.0,3.5801737
2015-04-26,5.0,3.535532
2015-04-27,5.0,4.237611
2015-04-28,4.0,4.4107194
2015-04-29,3.0,4.14298
2015-04-30,3.0,3.7536077
2015-05-01,4.0,3.6506994
2015-05-02,3.0,3.9373298
2015-05-03,5.0,3.61969
2015-05-04,3.0,4.3131895
2015-05-05,6.0,3.6955235
2015-05-06,6.0,4.7671566
2015-05-07,5.0,5.0051293
2015-05-08,4.0,4.778002
2015-05-09,4.0,4.3924904
2015-05-10,6.0,4.30801
2015-05-11,4.0,5.0721917
2015-05-12,5.0,4.421836
2015-05-13,5.0,4.776433
2015-05-14,5.0,4.814513
2015-05-15,5.0,4.8675814
2015-05-16,5.0,4.8981614
2015-05-17,6.0,4.9294133
2015-05-18,6.0,5.3617644
2015-05-19,6.0,5.4858956
2015-05-20,5.0,5.5892076
2015-05-21,3.0,5.225976
2015-05-22,4.0,4.3301225
2015-05-23,4.0,4.5122137
2015-05-24,4.0,4.453714
2015-05-25,3.0,4.4290156
2015-05-26,3.0,4.0095515
2015-05-27,5.0,3.8880267
2015-05-28,6.0,4.5848923
2015-05-29,6.0,5.143488
2015-05-30,4.0,5.3556013
2015-05-31,7.0,4.644787
2015-06-01,7.0,5.772834
2015-06-02,5.0,5.997981
2015-06-03,4.0,5.337301
2015-06-04,5.0,4.8400526
2015-06-05,6.0,5.103609
2015-06-06,5.0,5.523666
2015-06-07,5.0,5.212952
2015-06-08,6.0,5.1978106
2015-06-09,7.0,5.609375
2015-06-10,8.0,6.0875473
2015-06-11,6.0,6.599725
2015-06-12,5.0,6.0386105
2015-06-13,5.0,5.590869
2015-06-14,7.0,5.4658446
2015-06-15,6.0,6.2104425
2015-06-16,6.0,5.962456
2015-06-17,7.0,5.9883738
2015-06-18,5.0,6.3791065
2015-06-19,6.0,5.6524067
2015-06-20,8.0,5.9748297
2015-06-21,7.0,6.7249556
2015-06-22,6.0,6.56151
2015-06-23,7.0,6.2426305
2015-06-24,7.0,6.5740924
2015-06-25,6.0,6.621696
2015-06-26,8.0,6.294786
2015-06-27,4.0,6.959167
2015-06-28,5.0,5.4869328
2015-06-29,7.0,5.689616
2015-06-30,8.0,6.4111047
2015-07-01,6.0,6.878078
2015-07-02,5.0,6.315998
2015-07-03,5.0,5.852934
2015-07-04,5.0,5.71442
2015-07-05,4.0,5.6258802
2015-07-06,5.0,5.1209474
2015-07-07,5.0,5.42333
2015-07-08,6.0,5.4239354
2015-07-09,3.0,5.855907
2015-07-10,7.0,4.624567
2015-07-11,3.0,6.067216
2015-07-12,4.0,4.571064
2015-07-13,3.0,4.7888913
2015-07-14,5.0,4.277562
2015-07-15,4.0,4.971212
2015-07-16,5.0,4.630097
2015-07-17,7.0,5.028556
2015-07-18,5.0,5.898405
2015-07-19,6.0,5.308312
2015-07-20,8.0,5.7123947
2015-07-21,5.0,6.503339
2015-07-22,3.0,5.5356364
2015-07-23,4.0,4.570565
2015-07-24,6.0,4.697789
2015-07-25,6.0,5.4496226
2015-07-26,8.0,5.6182547
2015-07-27,6.0,6.460839
2015-07-28,5.0,5.9443417
2015-07-29,5.0,5.5311327
2015-07-30,5.0,5.4141746
2015-07-31,5.0,5.333426
2015-08-01,4.0,5.2943425
2015-08-02,8.0,4.8362193
2015-08-03,7.0,6.3306313
2015-08-04,7.0,6.2618747
2015-08-05,6.0,6.4086504
2015-08-06,5.0,6.084027
2015-08-07,4.0,5.6342
2015-08-08,4.0,5.0640535
2015-08-09,4.0,4.902865
2015-08-10,4.0,4.770071
2015-08-11,3.0,4.702643
2015-08-12,8.0,4.226684
2015-08-13,5.0,6.1079535
2015-08-14,4.0,5.3057766
2015-08-15,4.0,4.883296
2015-08-16,4.0,4.7395062
2015-08-17,4.0,4.632214
2015-08-18,6.0,4.5721416
2015-08-19,6.0,5.3797092
2015-08-20,5.0,5.538596
2015-08-21,4.0,5.231526
2015-08-22,5.0,4.776617
2015-08-23,5.0,5.089299
2015-08-24,5.0,5.0993605
2015-08-25,9.0,5.122627
2015-08-26,4.0,6.604973
2015-08-27,7.0,5.0125127
2015-08-28,6.0,6.1144114
2015-08-29,4.0,5.846796
2015-08-30,4.0,5.0257263
2015-08-31,5.0,4.835813
2015-09-01,6.0,5.1473274
2015-09-02,7.0,5.5852404
2015-09-03,7.0,6.098134
2015-09-04,8.0,6.2576118
2015-09-05,8.0,6.712221
2015-09-06,9.0,6.849752
2015-09-07,6.0,7.2391033
2015-09-08,5.0,6.371
2015-09-09,7.0,5.8683352
2015-09-10,4.0,6.498084
2015-09-11,5.0,5.329644
2015-09-12,6.0,5.561534
2015-09-13,5.0,5.9200287
2015-09-14,4.0,5.57005
