Tanggal,Actual,Predicted
2015-04-14,1.0,1.9199929
2015-04-15,2.0,1.5083525
2015-04-16,2.0,1.8340924
2015-04-17,2.0,1.9172084
2015-04-18,1.0,1.9339173
2015-04-19,1.0,1.519207
2015-04-20,2.0,1.433342
2015-04-21,2.0,1.8099486
2015-04-22,1.0,1.9037418
2015-04-23,1.0,1.5002437
2015-04-24,1.0,1.4186134
2015-04-25,1.0,1.3924096
2015-04-26,2.0,1.3747631
2015-04-27,2.0,1.7602987
2015-04-28,2.0,1.8657678
2015-04-29,2.0,1.8935527
2015-04-30,1.0,1.9140984
2015-05-01,2.0,1.5042826
2015-05-02,2.0,1.8300185
2015-05-03,2.0,1.9138288
2015-05-04,2.0,1.9320134
2015-05-05,4.0,1.9453869
2015-05-06,3.0,3.0067964
2015-05-07,3.0,2.672527
2015-05-08,2.0,2.6674738
2015-05-09,2.0,2.1674194
2015-05-10,3.0,2.1076353
2015-05-11,2.0,2.619033
2015-05-12,3.0,2.172637
2015-05-13,3.0,2.6414049
2015-05-14,2.5,2.7317457
2015-05-15,2.0,2.4767478
2015-05-16,3.0,2.1933591
2015-05-17,3.0,2.6855552
2015-05-18,3.0,2.769294
2015-05-19,2.0,2.791868
2015-05-20,2.0,2.2595582
2015-05-21,2.0,2.1926131
2015-05-22,2.0,2.1680872
2015-05-23,2.0,2.1487381
2015-05-24,2.0,2.1337838
2015-05-25,2.0,2.1210918
2015-05-26,2.0,2.1105566
2015-05-27,2.0,2.100241
2015-05-28,3.0,2.091286
2015-05-29,4.0,2.6108456
2015-05-30,2.0,3.2887387
2015-05-31,3.0,2.2643929
2015-06-01,3.0,2.7179902
2015-06-02,3.0,2.7945867
2015-06-03,1.0,2.8120883
2015-06-04,2.0,1.792634
2015-06-05,2.0,2.0968544
2015-06-06,2.0,2.13533
2015-06-07,3.0,2.1199417
2015-06-08,3.0,2.6403248
2015-06-09,3.0,2.736968
2015-06-10,4.0,2.7625017
2015-06-11,3.0,3.3761444
2015-06-12,4.0,2.8839858
2015-06-13,3.0,3.4589603
2015-06-14,4.0,2.9487236
2015-06-15,3.0,3.5230129
2015-06-16,4.0,2.9983447
2015-06-17,4.0,3.569157
2015-06-18,3.0,3.644136
2015-06-19,3.0,3.061255
2015-06-20,4.0,3.0333974
2015-06-21,4.0,3.6312695
2015-06-22,3.0,3.697095
2015-06-23,4.0,3.1056476
2015-06-24,4.0,3.6820014
2015-06-25,4.0,3.7406821
2015-06-26,3.0,3.7580447
2015-06-27,2.0,3.16296
2015-06-28,3.0,2.5355384
2015-06-29,4.0,3.0236943
2015-06-30,4.0,3.6618772
2015-07-01,4.0,3.7239482
2015-07-02,3.0,3.7431297
2015-07-03,3.0,3.1499026
2015-07-04,3.0,3.117729
2015-07-05,2.0,3.105317
2015-07-06,2.0,2.5052085
2015-07-07,3.0,2.4206648
2015-07-08,3.0,2.9414766
2015-07-09,2.0,2.9930916
2015-07-10,3.0,2.4133081
2015-07-11,1.0,2.899276
2015-07-12,2.0,1.8818243
2015-07-13,1.0,2.1948583
2015-07-14,2.0,1.7495188
2015-07-15,2.0,2.0886328
2015-07-16,4.0,2.1426694
2015-07-17,4.0,3.2350926
2015-07-18,3.0,3.4361966
2015-07-19,3.0,2.8877819
2015-07-20,3.0,2.877263
2015-07-21,2.0,2.8879404
2015-07-22,2.0,2.3282816
2015-07-23,2.0,2.2542756
2015-07-24,2.0,2.2199757
2015-07-25,3.0,2.190709
2015-07-26,4.0,2.7071147
2015-07-27,3.0,3.3763523
2015-07-28,3.0,2.8872104
2015-07-29,2.0,2.8671181
2015-07-30,3.0,2.315937
2015-07-31,3.0,2.7918158
2015-08-01,2.0,2.8564806
2015-08-02,4.0,2.3040776
2015-08-03,3.0,3.3646002
2015-08-04,4.0,2.9307616
2015-08-05,3.0,3.4966187
2015-08-06,3.0,2.980908
2015-08-07,2.0,2.9518528
2015-08-08,2.0,2.3831937
2015-08-09,2.0,2.3050728
2015-08-10,2.0,2.2666225
2015-08-11,2.0,2.2372382
2015-08-12,3.0,2.2113986
2015-08-13,3.0,2.735478
2015-08-14,3.0,2.8185213
2015-08-15,2.0,2.8370652
2015-08-16,2.0,2.2914853
2015-08-17,2.0,2.2201238
2015-08-18,4.0,2.192611
2015-08-19,3.0,3.2831597
2015-08-20,2.0,2.8772259
2015-08-21,2.0,2.2899668
2015-08-22,2.0,2.2266536
2015-08-23,3.0,2.19771
2015-08-24,3.0,2.716011
2015-08-25,4.0,2.7994077
2015-08-26,2.0,3.404635
2015-08-27,3.0,2.3396678
