Tanggal,Actual,Predicted
2015-04-14,83.0,77.16454
2015-04-15,72.0,80.86798
2015-04-16,78.0,75.86555
2015-04-17,92.0,77.84149
2015-04-18,96.0,85.019844
2015-04-19,82.0,88.12747
2015-04-20,86.0,82.94277
2015-04-21,81.0,84.037994
2015-04-22,81.0,81.99826
2015-04-23,89.0,81.61819
2015-04-24,93.0,85.41853
2015-04-25,93.0,87.87692
2015-04-26,84.0,88.52527
2015-04-27,86.0,85.08762
2015-04-28,78.0,85.37261
2015-04-29,80.0,81.59198
2015-04-30,79.0,81.76218
2015-05-01,91.0,81.15251
2015-05-02,82.0,86.6237
2015-05-03,90.0,83.541954
2015-05-04,79.0,86.6403
2015-05-05,72.0,82.17523
2015-05-06,67.0,77.47887
2015-05-07,68.0,73.84975
2015-05-08,74.0,73.17548
2015-05-09,75.0,75.44501
2015-05-10,68.0,76.10278
2015-05-11,74.0,72.56581
2015-05-12,72.0,74.40389
2015-05-13,73.0,73.6694
2015-05-14,70.0,73.77698
2015-05-15,67.0,72.2803
2015-05-16,65.0,70.503395
2015-05-17,68.0,69.109276
2015-05-18,74.0,69.6481
2015-05-19,68.0,72.07665
2015-05-20,72.0,70.148285
2015-05-21,71.0,71.2222
2015-05-22,69.0,71.09276
2015-05-23,76.0,70.206985
2015-05-24,77.0,72.90012
2015-05-25,78.0,74.16902
2015-05-26,77.0,75.07164
2015-05-27,75.0,75.0211
2015-05-28,72.0,74.24863
2015-05-29,70.0,72.811554
2015-05-30,72.0,71.62287
2015-05-31,72.0,72.14508
2015-06-01,76.0,72.19509
2015-06-02,73.0,73.97101
2015-06-03,92.0,73.04452
2015-06-04,69.0,81.96054
2015-06-05,73.0,73.06788
2015-06-06,62.99999999999999,73.35948
2015-06-07,69.0,69.162834
2015-06-08,74.0,70.2968
2015-06-09,72.0,72.5693
2015-06-10,70.0,72.17973
2015-06-11,74.0,71.18477
2015-06-12,71.0,72.65069
2015-06-13,70.0,71.69691
2015-06-14,70.0,71.01848
2015-06-15,67.0,70.82134
2015-06-16,74.0,69.51201
2015-06-17,76.0,71.908485
2015-06-18,70.0,73.4906
2015-06-19,62.0,71.26965
2015-06-20,69.0,67.77536
2015-06-21,66.0,69.27459
2015-06-22,65.0,68.515785
2015-06-23,67.0,67.82614
2015-06-24,68.0,68.21974
2015-06-25,61.0,68.61719
2015-06-26,71.0,66.394066
2015-06-27,72.0,68.89284
2015-06-28,66.0,70.166245
2015-06-29,68.0,68.30176
2015-06-30,67.0,68.53572
2015-07-01,67.0,68.269936
2015-07-02,70.0,68.162796
2015-07-03,58.00000000000001,69.184875
2015-07-04,73.0,65.60938
2015-07-05,75.0,69.206
2015-07-06,66.0,71.42761
2015-07-07,66.0,68.57223
2015-07-08,67.0,67.94949
2015-07-09,72.0,68.11802
2015-07-10,78.0,69.95044
2015-07-11,82.0,73.09022
2015-07-12,75.0,76.0415
2015-07-13,75.0,73.76169
2015-07-14,71.0,73.58561
2015-07-15,68.0,71.93132
2015-07-16,66.0,70.325325
2015-07-17,62.99999999999999,69.10396
2015-07-18,66.0,67.60841
2015-07-19,71.0,68.037094
2015-07-20,74.0,69.86162
2015-07-21,72.0,71.60031
2015-07-22,61.0,71.283134
2015-07-23,70.0,67.18403
2015-07-24,70.0,69.175156
2015-07-25,72.0,69.78109
2015-07-26,59.0,70.68811
2015-07-27,69.0,66.36325
2015-07-28,71.0,68.353004
2015-07-29,69.0,69.74809
2015-07-30,68.0,69.36011
2015-07-31,70.0,68.910736
2015-08-01,71.0,69.54797
2015-08-02,60.0,70.140785
2015-08-03,66.0,66.49249
2015-08-04,60.0,67.33228
2015-08-05,62.99999999999999,65.74101
2015-08-06,59.0,65.973694
2015-08-07,65.0,64.92659
2015-08-08,65.0,66.0595
2015-08-09,74.0,66.44168
2015-08-10,77.0,69.52636
2015-08-11,75.0,71.98078
2015-08-12,69.0,72.04801
2015-08-13,71.0,69.87061
2015-08-14,75.0,70.28446
2015-08-15,72.0,72.146996
2015-08-16,71.0,71.4579
2015-08-17,68.0,70.96532
2015-08-18,61.0,69.70837
2015-08-19,66.0,66.93445
2015-08-20,66.0,67.68343
2015-08-21,67.0,67.816055
2015-08-22,67.0,68.08688
2015-08-23,66.0,68.120964
2015-08-24,72.0,67.76082
2015-08-25,71.0,69.75678
2015-08-26,78.0,70.051506
2015-08-27,64.0,73.12541
2015-08-28,64.0,68.411
2015-08-29,74.0,67.41403
2015-08-30,71.0,70.684685
2015-08-31,67.0,70.526634
2015-09-01,66.0,68.950195
2015-09-02,69.0,68.22124
2015-09-03,66.0,69.03889
2015-09-04,64.0,68.17254
2015-09-05,66.0,67.21981
2015-09-06,73.0,67.52714
2015-09-07,69.0,70.07071
2015-09-08,61.0,69.37346
2015-09-09,62.0,66.51973
2015-09-10,65.0,66.04792
2015-09-11,67.0,66.69043
2015-09-12,57.0,67.460045
2015-09-13,65.0,64.81134
2015-09-14,66.0,66.036934
2015-09-15,64.0,66.76558
2015-09-16,70.0,66.36965
2015-09-17,70.0,68.114655
2015-09-18,75.0,68.78818
2015-09-19,71.0,70.98513
2015-09-20,71.0,70.21264
2015-09-21,72.0,70.15978
2015-09-22,64.0,70.68224
2015-09-23,66.0,67.903305
2015-09-24,69.0,67.86307
2015-09-25,70.0,68.853165
2015-09-26,69.0,69.48779
2015-09-27,71.0,69.30105
2015-09-28,72.0,70.0385
2015-09-29,70.0,70.702194
2015-09-30,73.0,70.144745
2015-10-01,72.0,71.269516
2015-10-02,70.0,71.241425
2015-10-03,67.0,70.47248
2015-10-04,69.0,69.15492
2015-10-05,71.0,69.52956
2015-10-06,75.0,70.37767
2015-10-07,73.0,72.28287
2015-10-08,73.0,72.00917
2015-10-09,77.0,72.04094
2015-10-10,75.0,73.95984
2015-10-11,70.0,73.6474
2015-10-12,73.0,71.46293
2015-10-13,74.0,72.31366
2015-10-14,73.0,72.98378
2015-10-15,69.0,72.701996
2015-10-16,66.0,70.9255
2015-10-17,72.0,69.28507
2015-10-18,67.0,71.1165
2015-10-19,59.0,69.53144
2015-10-20,72.0,66.34614
2015-10-21,72.0,69.636925
2015-10-22,73.0,70.74593
