Tanggal,Actual,Predicted
2015-04-14,7.8,8.1031885
2015-04-15,7.0,8.086158
2015-04-16,10.7,7.913919
2015-04-17,1.0,8.473075
2015-04-18,7.500000000000001,6.9138985
2015-04-19,8.0,7.2028103
2015-04-20,8.5,7.4955087
2015-04-21,9.2,7.779844
2015-04-22,9.5,8.096075
2015-04-23,10.0,8.358414
2015-04-24,5.5,8.618701
2015-04-25,4.3,7.9799123
2015-04-26,3.2,7.2868924
2015-04-27,9.2,6.5323343
2015-04-28,9.5,7.279454
2015-04-29,9.8,7.820333
2015-04-30,10.2,8.219912
2015-05-01,9.3,8.550203
2015-05-02,4.6,8.622918
2015-05-03,10.1,7.8054276
2015-05-04,2.5,8.317191
2015-05-05,3.6,7.1379185
2015-05-06,10.4,6.5098104
2015-05-07,9.3,7.499606
2015-05-08,10.4,7.926143
2015-05-09,8.5,8.39223
2015-05-10,10.0,8.373247
2015-05-11,10.4,8.635913
2015-05-12,10.5,8.871433
2015-05-13,9.6,9.040783
2015-05-14,9.85,9.014928
2015-05-15,10.1,9.049841
2015-05-16,11.0,9.114849
2015-05-17,10.9,9.293048
2015-05-18,10.5,9.386338
2015-05-19,9.95,9.390593
2015-05-20,9.4,9.317848
2015-05-21,11.0,9.191911
2015-05-22,10.9,9.359978
2015-05-23,10.3,9.438262
2015-05-24,8.3,9.399936
2015-05-25,10.1,9.066307
2015-05-26,10.6,9.1522875
2015-05-27,10.4,9.269596
2015-05-28,9.0,9.306462
2015-05-29,10.0,9.113328
2015-05-30,10.0,9.156943
2015-05-31,8.0,9.178216
2015-06-01,10.0,8.862705
2015-06-02,9.5,8.998514
2015-06-03,9.5,8.991409
2015-06-04,4.2,8.986258
2015-06-05,10.9,8.008089
2015-06-06,7.500000000000001,8.610281
2015-06-07,9.2,8.37277
2015-06-08,10.7,8.523798
2015-06-09,5.4,8.862384
2015-06-10,8.5,8.141687
2015-06-11,9.0,8.25511
2015-06-12,9.5,8.408502
2015-06-13,6.800000000000001,8.588015
2015-06-14,10.0,8.219538
2015-06-15,10.5,8.561563
2015-06-16,10.7,8.848124
2015-06-17,10.2,9.057447
2015-06-18,10.4,9.117804
2015-06-19,10.2,9.196979
2015-06-20,9.6,9.221889
2015-06-21,9.0,9.150178
2015-06-22,10.1,9.013124
2015-06-23,10.1,9.1051655
2015-06-24,10.5,9.1558485
2015-06-25,10.8,9.2479925
2015-06-26,10.8,9.349167
2015-06-27,10.0,9.412763
2015-06-28,9.5,9.337351
2015-06-29,9.1,9.219583
2015-06-30,10.5,9.083069
2015-07-01,10.5,9.21695
2015-07-02,9.5,9.289631
2015-07-03,10.2,9.180745
2015-07-04,10.5,9.226899
2015-07-05,10.1,9.297887
2015-07-06,9.1,9.28018
2015-07-07,11.0,9.115213
2015-07-08,10.5,9.310693
2015-07-09,10.8,9.345992
2015-07-10,10.0,9.415117
2015-07-11,6.5,9.3404455
2015-07-12,2.4,8.713688
2015-07-13,10.2,7.4458385
2015-07-14,10.1,8.133376
2015-07-15,9.4,8.515367
2015-07-16,10.0,8.630559
2015-07-17,10.0,8.809211
2015-07-18,10.7,8.927002
2015-07-19,9.1,9.116546
2015-07-20,10.2,8.988053
2015-07-21,7.2,9.094265
2015-07-22,8.0,8.658268
2015-07-23,8.6,8.519859
2015-07-24,9.2,8.528192
2015-07-25,10.3,8.629332
2015-07-26,9.0,8.870249
2015-07-27,11.0,8.806935
2015-07-28,9.0,9.095112
2015-07-29,11.0,8.956668
2015-07-30,10.3,9.196243
2015-07-31,10.2,9.233201
2015-08-01,10.0,9.248114
2015-08-02,9.1,9.231477
2015-08-03,10.3,9.082125
2015-08-04,10.1,9.181781
2015-08-05,10.4,9.20604
2015-08-06,9.8,9.267349
2015-08-07,9.2,9.21348
2015-08-08,8.3,9.088224
2015-08-09,10.5,8.859489
2015-08-10,10.4,9.074678
2015-08-11,6.5,9.178482
2015-08-12,6.5,8.588774
2015-08-13,10.6,8.194412
2015-08-14,9.2,8.66761
2015-08-15,6.6,8.709263
2015-08-16,10.3,8.271739
2015-08-17,9.3,8.65347
2015-08-18,10.7,8.714364
2015-08-19,11.1,8.98294
2015-08-20,10.3,9.207573
2015-08-21,10.3,9.232172
2015-08-22,9.8,9.259461
2015-08-23,10.6,9.206113
2015-08-24,9.4,9.300288
2015-08-25,10.3,9.172315
2015-08-26,7.9,9.237984
2015-08-27,8.0,8.886173
2015-08-28,9.5,8.67752
2015-08-29,10.2,8.794595
2015-08-30,10.9,8.969835
2015-08-31,11.3,9.180763
2015-09-01,11.0,9.367702
2015-09-02,11.4,9.443104
2015-09-03,7.500000000000001,9.554606
2015-09-04,10.0,9.028605
2015-09-05,10.5,9.118088
2015-09-06,10.3,9.235232
2015-09-07,10.3,9.270309
2015-09-08,10.5,9.293014
2015-09-09,10.3,9.338811
2015-09-10,10.3,9.337996
2015-09-11,10.4,9.340017
2015-09-12,10.1,9.357345
2015-09-13,10.3,9.323105
2015-09-14,10.2,9.333794
2015-09-15,10.4,9.324258
2015-09-16,9.4,9.348666
2015-09-17,9.0,9.20934
2015-09-18,7.500000000000001,9.0598955
2015-09-19,9.0,8.704035
2015-09-20,10.2,8.732375
2015-09-21,10.4,8.936051
2015-09-22,10.2,9.084477
2015-09-23,9.3,9.146139
2015-09-24,10.3,9.048297
2015-09-25,10.1,9.15192
2015-09-26,10.5,9.182622
2015-09-27,10.0,9.264934
2015-09-28,10.3,9.240497
2015-09-29,10.2,9.275623
2015-09-30,9.1,9.282486
2015-10-01,10.1,9.116171
2015-10-02,10.3,9.174146
2015-10-03,10.3,9.234646
2015-10-04,10.5,9.270149
2015-10-05,10.45,9.3231325
2015-10-06,10.4,9.349212
2015-10-07,10.1,9.36014
2015-10-08,10.3,9.323862
2015-10-09,10.4,9.3339405
2015-10-10,9.2,9.354324
2015-10-11,9.466666666666667,9.181437
2015-10-12,9.733333333333333,9.118588
2015-10-13,10.0,9.117382
2015-10-14,10.3,9.153909
2015-10-15,8.3,9.219855
2015-10-16,11.0,8.938905
2015-10-17,10.5,9.20114
2015-10-18,9.3,9.272581
2015-10-19,9.5,9.134763
2015-10-20,11.1,9.0865755
2015-10-21,11.049999999999999,9.3018055
2015-10-22,11.0,9.41695
2015-10-23,11.0,9.482884
2015-10-24,11.0,9.528348
2015-10-25,9.2,9.560657
2015-10-26,11.0,9.316895
2015-10-27,11.0,9.446175
2015-10-28,9.0,9.51344
2015-10-29,10.5,9.253768
2015-10-30,10.4,9.331611
2015-10-31,10.4,9.354829
2015-11-01,11.4,9.367535
2015-11-02,9.2,9.520159
2015-11-03,11.0,9.284649
2015-11-04,10.5,9.421886
2015-11-05,11.1,9.423108
2015-11-06,10.3,9.51294
2015-11-07,11.1,9.450542
2015-11-08,10.55,9.533869
2015-11-09,10.0,9.502798
2015-11-10,9.4,9.406078
2015-11-11,4.3,9.255687
2015-11-12,7.500000000000001,8.240148
2015-11-13,6.3,8.164744
2015-11-14,9.0,7.852274
2015-11-15,11.1,8.149178
2015-11-16,10.05,8.682986
2015-11-17,9.0,8.839278
2015-11-18,7.500000000000001,8.778123
2015-11-19,8.5,8.487943
2015-11-20,8.0,8.483255
2015-11-21,7.3,8.384742
2015-11-22,8.0,8.185813
2015-11-23,8.5,8.1817045
2015-11-24,9.0,8.265582
2015-11-25,9.5,8.406172
2015-11-26,10.0,8.582296
2015-11-27,11.0,8.77896
2015-11-28,11.0,9.062075
2015-11-29,11.0,9.238905
2015-11-30,11.0,9.356531
2015-12-01,11.0,9.437998
2015-12-02,11.2,9.495689
2015-12-03,10.3,9.565151
2015-12-04,5.0,9.482522
2015-12-05,8.3,8.538195
2015-12-06,7.0,8.521054
2015-12-07,7.0,8.242893
2015-12-08,7.3,8.041545
2015-12-09,5.65,7.9520144
2015-12-10,4.0,7.54812
2015-12-11,5.0,6.896663
2015-12-12,8.3,6.637752
2015-12-13,2.9999999999999996,7.156693
2015-12-14,8.0,6.363116
2015-12-15,9.0,6.8875427
2015-12-16,8.0,7.450785
2015-12-17,9.5,7.633791
2015-12-18,6.3,8.04357
2015-12-19,10.3,7.7183027
2015-12-20,5.999999999999999,8.263361
2015-12-21,1.7000000000000002,7.8227777
2015-12-22,1.0,6.5830207
2015-12-23,1.3,5.49115
2015-12-24,7.3,4.7292023
2015-12-25,4.3,5.532684
2015-12-26,5.999999999999999,5.4420557
2015-12-27,1.4999999999999998,5.7474995
2015-12-28,1.0,4.92691
2015-12-29,4.3,4.192803
2015-12-30,7.2,4.393969
2015-12-31,7.3,5.2330184
2016-01-01,7.0,5.880795
2016-01-02,8.85,6.28009
2016-01-03,10.7,6.960148
2016-01-04,9.8,7.7792335
2016-01-05,9.3,8.163863
2016-01-06,10.0,8.347445
2016-01-07,10.0,8.60456
2016-01-08,11.3,8.780219
2016-01-09,9.5,9.102824
2016-01-10,8.0,9.032779
2016-01-11,10.0,8.753957
2016-01-12,10.0,8.919834
2016-01-13,5.0,9.015105
2016-01-14,8.3,8.1857395
2016-01-15,11.5,8.260687
2016-01-16,11.999999999999998,8.837581
2016-01-17,8.0,9.239451
2016-01-18,6.5,8.874323
2016-01-19,10.0,8.381201
2016-01-20,11.1,8.68775
2016-01-21,11.3,9.034738
2016-01-22,11.5,9.269054
2016-01-23,7.0,9.445144
2016-01-24,6.650000000000001,8.857618
2016-01-25,6.3,8.414546
2016-01-26,1.3,8.036498
2016-01-27,5.0,6.6737437
2016-01-28,0.3,6.4866443
2016-01-29,5.0,5.246902
2016-01-30,9.5,5.388831
2016-01-31,8.0,6.5070214
2016-02-01,4.3,6.969211
2016-02-02,4.5,6.494
2016-02-03,7.500000000000001,6.194608
2016-02-04,2.5,6.6525054
2016-02-05,0.5,5.862387
2016-02-06,5.999999999999999,4.801295
2016-02-07,6.35,5.2745137
2016-02-08,6.700000000000001,5.7214546
2016-02-09,7.3,6.1175246
2016-02-10,7.500000000000001,6.5322356
2016-02-11,11.0,6.872692
2016-02-12,7.500000000000001,7.7887745
2016-02-13,4.3,7.756229
2016-02-14,1.1,7.0889454
2016-02-15,5.5,5.882548
2016-02-16,7.0,5.9941673
2016-02-17,7.1,6.4131837
2016-02-18,10.0,6.7241344
2016-02-19,9.5,7.5181193
2016-02-20,11.0,7.950307
2016-02-21,10.3,8.495067
2016-02-22,10.3,8.737086
2016-02-23,8.1,8.909084
2016-02-24,4.3,8.671102
2016-02-25,9.2,7.7949576
2016-02-26,9.3,8.160355
2016-02-27,2.1,8.394657
2016-02-28,6.3,7.1049457
2016-02-29,9.3,7.085336
2016-03-01,5.0,7.673801
2016-03-02,5.0,7.1935763
2016-03-03,5.5,6.84471
2016-03-04,5.999999999999999,6.7023144
2016-03-05,8.5,6.705895
2016-03-06,11.0,7.231365
2016-03-07,11.0,8.04153
2016-03-08,8.2,8.549957
2016-03-09,10.7,8.419947
