Tanggal,Actual,Predicted
2015-04-14,32.2,33.492737
2015-04-15,33.8,32.90428
2015-04-16,33.6,33.350628
2015-04-17,33.2,33.456387
2015-04-18,29.5,33.33719
2015-04-19,31.4,31.599213
2015-04-20,31.0,31.69106
2015-04-21,31.8,31.528173
2015-04-22,31.6,31.772148
2015-04-23,30.6,31.77325
2015-04-24,31.1,31.320503
2015-04-25,31.8,31.316187
2015-04-26,31.2,31.599947
2015-04-27,32.2,31.466785
2015-04-28,31.8,31.82963
2015-04-29,31.4,31.824654
2015-04-30,33.2,31.642181
2015-05-01,32.0,32.361023
2015-05-02,32.8,32.166412
2015-05-03,31.4,32.440704
2015-05-04,30.4,31.938404
2015-05-05,32.4,31.282131
2015-05-06,31.2,31.850483
2015-05-07,31.8,31.58978
2015-05-08,32.5,31.721247
2015-05-09,32.0,32.094074
2015-05-10,32.6,32.04371
2015-05-11,31.6,32.292526
2015-05-12,32.9,31.958681
2015-05-13,32.8,32.40006
2015-05-14,32.7,32.568237
2015-05-15,32.6,32.60316
2015-05-16,31.8,32.583363
2015-05-17,30.4,32.21651
2015-05-18,31.6,31.426147
2015-05-19,32.1,31.597654
2015-05-20,32.6,31.890514
2015-05-21,31.8,32.24455
2015-05-22,32.4,32.038986
2015-05-23,32.2,32.216496
2015-05-24,31.8,32.213207
2015-05-25,32.4,32.030617
2015-05-26,32.2,32.2225
2015-05-27,32.4,32.222977
2015-05-28,33.9,32.314426
2015-05-29,32.8,33.027607
2015-05-30,32.2,32.8716
2015-05-31,32.0,32.538677
2015-06-01,32.0,32.310013
2015-06-02,33.0,32.210484
2015-06-03,32.0,32.61894
2015-06-04,32.4,32.346138
2015-06-05,32.8,32.401844
2015-06-06,33.0,32.61138
2015-06-07,33.0,32.796017
2015-06-08,32.2,32.88126
2015-06-09,33.2,32.564247
2015-06-10,31.6,32.880917
2015-06-11,31.6,32.298473
2015-06-12,32.4,32.033806
2015-06-13,32.4,32.275417
2015-06-14,31.4,32.378723
2015-06-15,31.8,31.957441
2015-06-16,32.1,31.942942
2015-06-17,32.4,32.06754
2015-06-18,33.4,32.25499
2015-06-19,33.0,32.78749
2015-06-20,31.4,32.852795
2015-06-21,31.4,32.156532
2015-06-22,31.2,31.853788
2015-06-23,30.6,31.628588
2015-06-24,30.8,31.261856
2015-06-25,30.9,31.169346
2015-06-26,32.0,31.153133
2015-06-27,32.4,31.589521
2015-06-28,31.4,31.97383
2015-06-29,31.6,31.704018
2015-06-30,31.0,31.668161
2015-07-01,30.4,31.396849
2015-07-02,31.7,31.032442
2015-07-03,31.8,31.38865
2015-07-04,31.4,31.602974
2015-07-05,30.8,31.525467
2015-07-06,31.8,31.234457
2015-07-07,31.0,31.51959
2015-07-08,31.1,31.317081
2015-07-09,31.2,31.263098
2015-07-10,31.0,31.278143
2015-07-11,30.2,31.201908
2015-07-12,31.0,30.853247
2015-07-13,30.8,30.997267
2015-07-14,31.0,30.984295
2015-07-15,31.0,31.051258
2015-07-16,31.1,31.079243
2015-07-17,31.6,31.130173
2015-07-18,31.6,31.357279
2015-07-19,30.6,31.468891
2015-07-20,31.2,31.107716
2015-07-21,31.0,31.1884
2015-07-22,32.0,31.148233
2015-07-23,31.8,31.542696
2015-07-24,31.6,31.652016
2015-07-25,30.6,31.61607
2015-07-26,31.8,31.180466
2015-07-27,32.0,31.48538
2015-07-28,32.8,31.724628
2015-07-29,32.0,32.19672
2015-07-30,32.4,32.063244
2015-07-31,32.6,32.189278
2015-08-01,31.9,32.35222
2015-08-02,31.4,32.116646
2015-08-03,31.4,31.789585
2015-08-04,31.7,31.647486
2015-08-05,32.6,31.714256
2015-08-06,32.0,32.14517
2015-08-07,30.8,32.07495
2015-08-08,30.4,31.502596
2015-08-09,30.5,31.092678
2015-08-10,31.4,30.95218
2015-08-11,31.0,31.232264
2015-08-12,32.2,31.194666
2015-08-13,32.8,31.670197
2015-08-14,31.3,32.172146
2015-08-15,30.5,31.73597
2015-08-16,30.2,31.204004
2015-08-17,30.8,30.869001
2015-08-18,32.8,30.945217
2015-08-19,31.6,31.797153
2015-08-20,30.2,31.700478
2015-08-21,30.9,31.05612
2015-08-22,30.6,31.059608
2015-08-23,31.0,30.94487
2015-08-24,33.4,31.042477
2015-08-25,32.1,32.09508
2015-08-26,31.2,32.05338
2015-08-27,32.8,31.623093
2015-08-28,32.8,32.150307
2015-08-29,31.0,32.416862
2015-08-30,31.0,31.723608
2015-08-31,30.9,31.427399
2015-09-01,32.5,31.25826
2015-09-02,33.1,31.86043
2015-09-03,32.0,32.42467
2015-09-04,32.8,32.18627
2015-09-05,33.6,32.446144
2015-09-06,32.9,32.935944
2015-09-07,33.8,32.858574
2015-09-08,32.2,33.23025
2015-09-09,34.2,32.71027
2015-09-10,31.6,33.36889
2015-09-11,32.8,32.527477
2015-09-12,34.4,32.70427
2015-09-13,32.0,33.47063
2015-09-14,33.4,32.77109
2015-09-15,31.8,33.091873
2015-09-16,32.8,32.52118
2015-09-17,33.0,32.719086
2015-09-18,31.6,32.89406
2015-09-19,32.2,32.326042
2015-09-20,31.9,32.342278
2015-09-21,34.2,32.20516
2015-09-22,32.2,33.15648
2015-09-23,33.0,32.699196
2015-09-24,32.2,32.85457
2015-09-25,31.7,32.57104
2015-09-26,34.8,32.211952
2015-09-27,31.3,33.41034
2015-09-28,32.2,32.40871
2015-09-29,32.0,32.36932
2015-09-30,32.2,32.261826
2015-10-01,32.2,32.2951
2015-10-02,32.1,32.301407
2015-10-03,32.6,32.250565
2015-10-04,32.2,32.45055
2015-10-05,32.2,32.356358
2015-10-06,32.2,32.310658
2015-10-07,34.4,32.289722
2015-10-08,31.6,33.248272
2015-10-09,32.8,32.443584
2015-10-10,32.2,32.634995
2015-10-11,32.4,32.45764
2015-10-12,34.2,32.466805
2015-10-13,32.2,33.2617
2015-10-14,32.4,32.742508
2015-10-15,32.6,32.605076
2015-10-16,33.8,32.642696
2015-10-17,33.0,33.187164
2015-10-18,32.2,33.08106
2015-10-19,34.6,32.681416
2015-10-20,32.6,33.545586
2015-10-21,32.4,33.085487
2015-10-22,32.2,32.797188
2015-10-23,32.4,32.583008
2015-10-24,34.6,32.572754
2015-10-25,32.8,33.50619
2015-10-26,33.0,33.152527
2015-10-27,32.8,33.09093
2015-10-28,33.6,32.986835
2015-10-29,34.4,33.289238
2015-10-30,33.3,33.732918
2015-10-31,33.6,33.489563
2015-11-01,34.6,33.525143
2015-11-02,33.6,33.929916
2015-11-03,34.4,33.72673
2015-11-04,33.2,33.95806
2015-11-05,33.0,33.608498
2015-11-06,33.6,33.38643
2015-11-07,34.0,33.5381
2015-11-08,34.2,33.748356
2015-11-09,36.4,33.901844
2015-11-10,33.8,34.64182
2015-11-11,34.2,34.13376
2015-11-12,35.6,34.10579
2015-11-13,34.9,34.53851
2015-11-14,34.65,34.48567
2015-11-15,34.4,34.411877
2015-11-16,34.2,34.319935
2015-11-17,34.3,34.225986
2015-11-18,33.6,34.223217
2015-11-19,35.3,33.976013
2015-11-20,35.0,34.440266
2015-11-21,34.4,34.498184
2015-11-22,33.6,34.347355
2015-11-23,33.6,34.032646
2015-11-24,34.2,33.904972
2015-11-25,34.3,34.05807
2015-11-26,34.8,34.135963
2015-11-27,34.6,34.322063
2015-11-28,34.8,34.326134
2015-11-29,34.8,34.396618
2015-11-30,35.6,34.427532
2015-12-01,35.85,34.66991
2015-12-02,36.1,34.814285
2015-12-03,34.2,34.929874
2015-12-04,35.9,34.493504
2015-12-05,34.6,34.822018
2015-12-06,34.0,34.578995
2015-12-07,33.8,34.318436
2015-12-08,34.6,34.14612
2015-12-09,33.6,34.329117
2015-12-10,34.8,34.044666
2015-12-11,34.7,34.331757
2015-12-12,34.8,34.387657
2015-12-13,34.4,34.436954
2015-12-14,34.5,34.335293
2015-12-15,34.6,34.333603
2015-12-16,34.8,34.36309
2015-12-17,34.0,34.433388
2015-12-18,34.2,34.206905
2015-12-19,31.0,34.19008
2015-12-20,31.0,32.887104
2015-12-21,30.9,32.256355
2015-12-22,30.6,31.877455
2015-12-23,31.4,31.519005
2015-12-24,30.9,31.65528
2015-12-25,31.2,31.458332
2015-12-26,31.2,31.464083
2015-12-27,29.4,31.442905
2015-12-28,29.8,30.706089
2015-12-29,31.2,30.540619
2015-12-30,31.5,30.939438
2015-12-31,31.2,31.24802
2016-01-01,30.6,31.264061
2016-01-02,33.8,31.024712
2016-01-03,33.7,32.255592
2016-01-04,33.6,32.843124
2016-01-05,31.8,33.061707
2016-01-06,34.2,32.378876
2016-01-07,32.8,33.16937
2016-01-08,35.0,32.93493
2016-01-09,33.7,33.748955
2016-01-10,32.8,33.599266
2016-01-11,33.2,33.188065
2016-01-12,32.6,33.20416
2016-01-13,33.6,32.956375
2016-01-14,33.2,33.283916
2016-01-15,33.8,33.253876
2016-01-16,33.4,33.49159
2016-01-17,31.8,33.43397
2016-01-18,32.4,32.71403
2016-01-19,32.2,32.667187
2016-01-20,32.6,32.54473
2016-01-21,33.0,32.656216
2016-01-22,33.9,32.873352
2016-01-23,32.8,33.345608
2016-01-24,32.0,33.08172
2016-01-25,31.4,32.610428
2016-01-26,31.0,32.122856
2016-01-27,30.2,31.714014
2016-01-28,30.8,31.175652
2016-01-29,32.0,31.16425
2016-01-30,31.3,31.636631
2016-01-31,31.8,31.544136
2016-02-01,31.8,31.701794
2016-02-02,31.2,31.771265
2016-02-03,30.8,31.53667
2016-02-04,30.8,31.260084
2016-02-05,31.2,31.134819
2016-02-06,29.0,31.233185
2016-02-07,33.4,30.455599
2016-02-08,31.6,31.76434
2016-02-09,31.0,31.689596
2016-02-10,31.6,31.37572
2016-02-11,31.9,31.49175
2016-02-12,31.7,31.683632
2016-02-13,31.0,31.689327
2016-02-14,31.4,31.389915
2016-02-15,31.6,31.425676
2016-02-16,31.8,31.52966
2016-02-17,32.1,31.665194
2016-02-18,31.5,31.861856
2016-02-19,31.9,31.689474
2016-02-20,31.8,31.789108
2016-02-21,31.8,31.796467
2016-02-22,33.6,31.802052
2016-02-23,33.0,32.614464
2016-02-24,31.9,32.734215
2016-02-25,31.8,32.292725
2016-02-26,30.7,32.06302
2016-02-27,32.6,31.475927
2016-02-28,30.8,32.04885
2016-02-29,30.6,31.511793
2016-03-01,31.5,31.183743
2016-03-02,32.0,31.400671
2016-03-03,32.2,31.713978
2016-03-04,33.0,31.947039
2016-03-05,32.8,32.41505
2016-03-06,32.1,32.549465
2016-03-07,32.4,32.30057
2016-03-08,34.0,32.338238
2016-03-09,32.2,33.077568
2016-03-10,33.6,32.62165
2016-03-11,32.4,33.053036
2016-03-12,32.0,32.72805
2016-03-13,30.8,32.404797
2016-03-14,30.6,31.713034
2016-03-15,31.4,31.32175
2016-03-16,32.0,31.470886
2016-03-17,31.8,31.7859
2016-03-18,32.4,31.832228
2016-03-19,30.8,32.113136
2016-03-20,31.8,31.524712
2016-03-21,32.0,31.695477
2016-03-22,32.2,31.86539
2016-03-23,32.0,32.03202
2016-03-24,35.0,32.01796
2016-03-25,34.2,33.320744
2016-03-26,34.6,33.563057
2016-03-27,33.2,33.828606
2016-03-28,34.2,33.434696
2016-03-29,32.2,33.701923
2016-03-30,33.4,33.005077
2016-03-31,33.2,33.23489
2016-04-01,33.0,33.24968
2016-04-02,33.2,33.166733
2016-04-03,33.8,33.217274
2016-04-04,33.4,33.487713
2016-04-05,34.7,33.43868
2016-04-06,32.6,33.924885
2016-04-07,31.8,33.31078
2016-04-08,33.0,32.687878
2016-04-09,32.8,32.94993
2016-04-10,34.3,32.960907
2016-04-11,32.8,33.580254
2016-04-12,31.9,33.21974
2016-04-13,33.0,32.660282
2016-04-14,33.2,32.909386
2016-04-15,34.2,33.097263
2016-04-16,34.2,33.580826
2016-04-17,34.0,33.77471
2016-04-18,34.4,33.790085
2016-04-19,34.1,33.961235
2016-04-20,33.2,33.9363
2016-04-21,34.4,33.6008
2016-04-22,33.4,33.932167
2016-04-23,34.2,33.689377
2016-04-24,34.2,33.898777
2016-04-25,34.0,33.980316
2016-04-26,34.6,33.944942
2016-04-27,34.0,34.147514
2016-04-28,33.8,34.0236
2016-04-29,32.2,33.91264
2016-04-30,32.8,33.224613
2016-05-01,33.8,33.173172
2016-05-02,34.0,33.54818
2016-05-03,33.6,33.756134
2016-05-04,33.6,33.679974
2016-05-05,32.4,33.65279
2016-05-06,34.2,33.143368
2016-05-07,32.0,33.67061
2016-05-08,32.4,32.961517
2016-05-09,32.6,32.81536
2016-05-10,32.6,32.82691
2016-05-11,33.2,32.812454
2016-05-12,33.4,33.056973
2016-05-13,32.0,33.238995
2016-05-14,33.6,32.695553
2016-05-15,33.0,33.16659
2016-05-16,32.7,33.109936
2016-05-17,33.7,32.950073
2016-05-18,32.9,33.314987
2016-05-19,34.0,33.132008
2016-05-20,33.0,33.517193
2016-05-21,32.2,33.27284
2016-05-22,32.4,32.818077
2016-05-23,33.4,32.70687
2016-05-24,33.2,33.09474
2016-05-25,33.2,33.166725
2016-05-26,33.2,33.194214
2016-05-27,33.1,33.209686
2016-05-28,32.8,33.177486
2016-05-29,32.4,33.035946
2016-05-30,32.2,32.79494
2016-05-31,32.0,32.591526
2016-06-01,32.8,32.39843
2016-06-02,32.2,32.66481
2016-06-03,32.0,32.500397
2016-06-04,33.3,32.32328
2016-06-05,33.6,32.826847
2016-06-06,32.2,33.17532
2016-06-07,33.2,32.711086
2016-06-08,33.4,32.961475
2016-06-09,32.4,33.16415
2016-06-10,33.2,32.815407
2016-06-11,33.8,33.023163
2016-06-12,34.4,33.370953
