Tanggal,Actual,Predicted
2015-04-14,24.0,24.987997
2015-04-15,25.0,24.6986
2015-04-16,23.0,24.877605
2015-04-17,25.0,24.321112
2015-04-18,25.0,24.724033
2015-04-19,24.0,24.83865
2015-04-20,25.0,24.572783
2015-04-21,24.0,24.776726
2015-04-22,24.0,24.553434
2015-04-23,24.0,24.464249
2015-04-24,25.0,24.424723
2015-04-25,24.0,24.694902
2015-04-26,24.0,24.481833
2015-04-27,25.0,24.401451
2015-04-28,23.0,24.67495
2015-04-29,23.0,24.132677
2015-04-30,23.0,23.924067
2015-05-01,24.0,23.824926
2015-05-02,24.0,24.08456
2015-05-03,25.0,24.142448
2015-05-04,24.0,24.468466
2015-05-05,23.0,24.280174
2015-05-06,25.0,23.88227
2015-05-07,20.0,24.409771
2015-05-08,24.0,22.895214
2015-05-09,24.0,23.689241
2015-05-10,23.0,23.932419
2015-05-11,22.0,23.61617
2015-05-12,25.0,23.1605
2015-05-13,26.0,24.0286
2015-05-14,25.0,24.599085
2015-05-15,24.0,24.535007
2015-05-16,22.0,24.250982
2015-05-17,23.0,23.490242
2015-05-18,22.0,23.569977
2015-05-19,23.0,23.200497
2015-05-20,24.0,23.369177
2015-05-21,20.0,23.743725
2015-05-22,23.0,22.492682
2015-05-23,23.0,23.015474
2015-05-24,24.0,23.171625
2015-05-25,24.0,23.535513
2015-05-26,24.0,23.675037
2015-05-27,24.0,23.747492
2015-05-28,25.0,23.804707
2015-05-29,26.0,24.190695
2015-05-30,26.0,24.647186
2015-05-31,25.0,24.845272
2015-06-01,25.0,24.699749
2015-06-02,25.0,24.696274
2015-06-03,25.0,24.729605
2015-06-04,24.0,24.761982
2015-06-05,26.0,24.48995
2015-06-06,26.0,24.975012
2015-06-07,25.0,25.145565
2015-06-08,26.0,24.971762
2015-06-09,26.0,25.184183
2015-06-10,25.0,25.275787
2015-06-11,24.0,25.086239
2015-06-12,25.0,24.75082
2015-06-13,24.0,24.917316
2015-06-14,23.0,24.675726
2015-06-15,24.0,24.247383
2015-06-16,22.0,24.40289
2015-06-17,22.0,23.737242
2015-06-18,22.0,23.453325
2015-06-19,24.0,23.285872
2015-06-20,25.0,23.840473
2015-06-21,24.0,24.31025
2015-06-22,23.0,24.147835
2015-06-23,23.0,23.768805
2015-06-24,23.0,23.64534
2015-06-25,23.0,23.580256
2015-06-26,23.0,23.524698
2015-06-27,20.0,23.477884
2015-06-28,22.0,22.446108
2015-06-29,24.0,22.669397
2015-06-30,24.0,23.389362
2015-07-01,23.0,23.595015
2015-07-02,23.0,23.321898
2015-07-03,22.0,23.258453
2015-07-04,24.0,22.889717
2015-07-05,22.0,23.454866
2015-07-06,21.666666666666668,22.923893
2015-07-07,21.333333333333332,22.62815
2015-07-08,21.0,22.408302
2015-07-09,22.0,22.19058
2015-07-10,23.0,22.373924
2015-07-11,24.0,22.7409
2015-07-12,22.0,23.216
2015-07-13,21.0,22.681974
2015-07-14,23.0,22.225231
2015-07-15,23.0,22.711962
2015-07-16,23.0,22.865002
2015-07-17,23.0,22.913015
2015-07-18,23.0,22.952713
2015-07-19,23.0,22.983395
2015-07-20,23.0,23.005215
2015-07-21,23.0,23.022697
2015-07-22,22.0,23.038548
2015-07-23,24.0,22.702055
2015-07-24,20.0,23.29494
2015-07-25,21.0,22.165936
2015-07-26,22.0,22.0898
2015-07-27,24.0,22.33299
2015-07-28,24.0,23.06655
2015-07-29,25.0,23.32188
2015-07-30,22.0,23.799463
2015-07-31,23.0,22.951302
2015-08-01,22.0,23.060286
2015-08-02,22.0,22.758955
2015-08-03,23.0,22.637228
2015-08-04,23.0,22.920929
2015-08-05,23.0,23.003832
2015-08-06,22.5,23.032284
2015-08-07,22.0,22.878256
2015-08-08,21.5,22.661459
2015-08-09,21.0,22.419008
2015-08-10,21.0,22.164982
2015-08-11,23.0,22.04688
2015-08-12,23.0,22.599419
2015-08-13,22.0,22.778978
2015-08-14,24.0,22.497517
2015-08-15,21.0,23.126314
2015-08-16,20.0,22.321974
2015-08-17,21.0,21.824665
