Tanggal,Actual,Predicted
2015-04-12,1.0,2.2443856519602816
2015-04-13,2.0,1.5336722380406755
2015-04-14,2.0,1.580858855214727
2015-04-15,2.0,1.8274511754710088
2015-04-16,1.0,1.7756440506569857
2015-04-17,1.0,1.308515079679128
2015-04-18,2.0,1.4160974672600155
2015-04-19,2.0,1.5789070083898384
2015-04-20,1.0,1.6353103281240664
2015-04-21,1.0,1.2849692217965132
2015-04-22,1.0,1.4385920238435863
2015-04-23,1.0,1.444360736619861
2015-04-24,2.0,1.4537469653571617
2015-04-25,2.0,1.6896686040192785
2015-04-26,2.0,1.9764367060506538
2015-04-27,2.0,1.7960283947371283
2015-04-28,1.0,1.7155278992868683
2015-04-29,2.0,1.70400172137848
2015-04-30,2.0,1.7614007826555342
2015-05-01,2.0,1.9221292109755606
2015-05-02,2.0,1.8765037488996412
2015-05-03,4.0,1.5635039885067439
2015-05-04,3.0,2.9680430937349036
2015-05-05,3.0,2.6794292980004393
2015-05-06,2.0,2.6823207662877007
2015-05-07,2.0,2.481479364505596
2015-05-08,3.0,2.1457231682286806
2015-05-09,2.0,2.253399473082341
2015-05-10,3.0,2.262224614736049
2015-05-11,3.0,2.5188548681662994
2015-05-12,2.5,2.3531225174733
2015-05-13,2.0,2.6847830795220067
2015-05-14,3.0,2.4395265402197936
2015-05-15,3.0,2.972212783377254
2015-05-16,3.0,3.0824322978503997
2015-05-17,2.0,2.4722503243729363
2015-05-18,2.0,2.4164753294725854
2015-05-19,2.0,2.5431532593627217
2015-05-20,2.0,2.4829770704216996
2015-05-21,2.0,2.5410155939827366
2015-05-22,2.0,2.5228869642939102
2015-05-23,2.0,2.6573191523641997
2015-05-24,2.0,2.3079084568519757
2015-05-25,2.0,2.460063156059471
2015-05-26,3.0,1.9948632268372772
2015-05-27,4.0,2.9311974315090685
2015-05-28,2.0,3.0236717835866123
2015-05-29,3.0,2.0526605783098097
2015-05-30,3.0,2.4451135979839287
2015-05-31,3.0,3.129403651499688
2015-06-01,1.0,3.278641318468167
2015-06-02,2.0,2.1837753828373585
2015-06-03,2.0,2.6082876069317678
2015-06-04,2.0,2.4994400003155772
2015-06-05,3.0,2.3221927132407214
2015-06-06,3.0,2.772292095325152
2015-06-07,3.0,2.5316694922252374
2015-06-08,4.0,2.615501184461725
2015-06-09,3.0,3.6376754886243328
2015-06-10,4.0,3.541048780372134
2015-06-11,3.0,3.2537894487068124
2015-06-12,4.0,3.1787402112149907
2015-06-13,3.0,3.2367728380990903
2015-06-14,4.0,3.1562555982993286
2015-06-15,4.0,2.9008786022646262
2015-06-16,3.0,3.57857700235531
2015-06-17,3.0,2.6054018193376023
2015-06-18,4.0,3.4492160154847715
2015-06-19,4.0,3.657140047645953
2015-06-20,3.0,4.147046240888612
2015-06-21,4.0,2.992995330046377
2015-06-22,4.0,3.79510534181863
2015-06-23,4.0,3.5959378528004833
2015-06-24,3.0,4.1216452074601655
2015-06-25,2.0,3.666665775547944
2015-06-26,3.0,3.3440100514947386
2015-06-27,4.0,3.209677590964272
2015-06-28,4.0,3.5160283466226097
2015-06-29,4.0,3.400603898834865
2015-06-30,3.0,3.3443573745298645
2015-07-01,3.0,3.0709091425957866
2015-07-02,3.0,3.368642538696226
2015-07-03,2.0,2.8804887784786937
2015-07-04,2.0,2.8675871868169
2015-07-05,3.0,2.754447388014137
2015-07-06,3.0,3.238494075558077
2015-07-07,2.0,2.793258336369972
2015-07-08,3.0,2.622237746707056
2015-07-09,1.0,2.7975077517560876
2015-07-10,2.0,1.9329947667620693
2015-07-11,1.0,2.1340178341667397
2015-07-12,2.0,1.5194990206602286
2015-07-13,2.0,2.2133829131020497
2015-07-14,4.0,2.221525505858388
2015-07-15,4.0,3.1465610231109675
2015-07-16,3.0,3.5504242836757576
2015-07-17,3.0,2.9568352979779102
2015-07-18,3.0,2.920265683384391
2015-07-19,2.0,2.912776801867348
2015-07-20,2.0,1.9225087870387367
2015-07-21,2.0,2.39858731834534
2015-07-22,2.0,2.498114948390104
2015-07-23,3.0,2.354980849213368
2015-07-24,4.0,3.371180232173985
2015-07-25,3.0,3.4375602625538475
2015-07-26,3.0,2.6742836944653594
2015-07-27,2.0,3.091130768105061
2015-07-28,3.0,2.5419457740024898
2015-07-29,3.0,2.440450359074942
2015-07-30,2.0,3.135397401764
2015-07-31,4.0,2.134950296508426
2015-08-01,3.0,3.26215661175964
2015-08-02,4.0,2.7744299604971183
2015-08-03,3.0,3.147171601724969
2015-08-04,3.0,2.8925186774201173
2015-08-05,2.0,3.264546031595856
2015-08-06,2.0,2.514561329978274
2015-08-07,2.0,2.357410036612989
2015-08-08,2.0,2.3948238643356112
2015-08-09,2.0,2.2340118679014633
2015-08-10,3.0,2.1983875041324983
2015-08-11,3.0,2.8341455559348834
2015-08-12,3.0,3.132468463229484
2015-08-13,2.0,2.612114025936352
2015-08-14,2.0,2.6380989763480627
2015-08-15,2.0,2.4695364783801246
2015-08-16,4.0,2.109168785918505
2015-08-17,3.0,3.2029037084157443
2015-08-18,2.0,2.9836947280578383
2015-08-19,2.0,2.2196947065794843
2015-08-20,2.0,1.9670218816632845
2015-08-21,3.0,2.4519353871500202
2015-08-22,3.0,2.901417992868848
2015-08-23,4.0,2.680155652361973
2015-08-24,2.0,3.1128016829063974
2015-08-25,3.0,2.402921904998833
2015-08-26,3.0,3.1660374781213023
2015-08-27,2.0,3.0494859595097594
2015-08-28,2.0,2.7243965677713424
2015-08-29,3.0,2.0625366881479983
2015-08-30,3.0,3.5838587545954073
2015-08-31,4.0,3.123534283901871
2015-09-01,4.0,2.979866103707066
2015-09-02,4.0,3.2010754944530784
2015-09-03,4.0,2.7988278858768108
2015-09-04,4.0,3.5389296976234164
2015-09-05,3.0,3.898607238891006
2015-09-06,3.0,3.3588384592595184
2015-09-07,3.0,3.196939453867124
2015-09-08,2.0,3.0529247319015824
2015-09-09,2.0,2.6886761742886134
2015-09-10,4.0,2.662320834482931
2015-09-11,3.0,3.2666235792199734
2015-09-12,3.0,2.6804547733669253
2015-09-13,3.0,2.8575298145319836
2015-09-14,1.0,2.676735256767651
2015-09-15,2.0,2.132691414335886
2015-09-16,2.0,2.2782872859782257
2015-09-17,3.0,2.5537835502893764
2015-09-18,2.0,2.860737204887333
2015-09-19,3.0,2.2253891265670256
2015-09-20,2.0,2.9144734751593355
2015-09-21,4.0,2.6974604940148454
2015-09-22,2.0,3.170288673935842
2015-09-23,3.0,3.1404067828967355
2015-09-24,3.0,2.7343393816970267
2015-09-25,2.0,2.6729898321526475
2015-09-26,2.0,2.5331708990638933
2015-09-27,2.0,2.2687947150534704
2015-09-28,2.0,2.642513041815153
2015-09-29,2.0,2.3715255243155617
2015-09-30,2.0,2.869451394613903
2015-10-01,2.0,2.570711944534773
2015-10-02,2.0,2.461986366336727
2015-10-03,2.0,1.9861040964147858
2015-10-04,2.0,1.8886153507439958
2015-10-05,2.0,2.429002862788891
2015-10-06,2.0,2.089175965917588
2015-10-07,2.0,2.5030186940422716
2015-10-08,2.0,2.264188937163459
2015-10-09,2.0,2.5202279165649606
2015-10-10,2.0,1.983901235696208
2015-10-11,2.0,2.393637568261411
2015-10-12,2.0,2.149244174352877
2015-10-13,2.0,2.3963870779493184
2015-10-14,2.0,2.0969941044282128
2015-10-15,2.0,2.353227265997226
2015-10-16,2.0,2.141673833349678
2015-10-17,2.0,2.462590003862292
2015-10-18,1.0,2.2989187260529205
2015-10-19,2.0,2.00213270165403
2015-10-20,2.0,2.268735202056803
2015-10-21,2.0,2.1713378524820373
2015-10-22,2.0,2.2041515302591215
2015-10-23,2.0,2.1884480258445302
2015-10-24,2.0,2.2749326151224447
2015-10-25,2.0,2.0801206849989105
2015-10-26,1.0,2.171842651073071
2015-10-27,2.0,1.8653348516209196
2015-10-28,1.0,1.9792271643071229
2015-10-29,2.0,1.6094672396705734
2015-10-30,2.0,1.7811464864588074
2015-10-31,2.0,2.04726383158527
2015-11-01,2.0,1.991606148248359
2015-11-02,2.0,1.9002903276766097
2015-11-03,2.0,2.1975818191651477
2015-11-04,2.0,2.0086602600972143
2015-11-05,2.0,1.9681986003347547
2015-11-06,4.0,2.1839498862980506
2015-11-07,2.0,2.9809044320389995
2015-11-08,1.0,2.2363684776260127
2015-11-09,2.0,1.9481857852234161
2015-11-10,2.0,2.041551085005817
2015-11-11,3.0,1.811682267752009
2015-11-12,3.0,2.4505601557511882
2015-11-13,2.0,2.4118566749636265
2015-11-14,2.0,2.2797689226696325
2015-11-15,1.0,1.941882369753446
2015-11-16,3.0,2.29978669855996
2015-11-17,4.0,2.411404878914436
2015-11-18,4.0,3.263746031624641
2015-11-19,3.0,3.3201872165131405
2015-11-20,2.0,3.202377996748393
2015-11-21,2.0,1.954010426129042
2015-11-22,4.0,2.4030476848550135
2015-11-23,2.0,3.2338044231656893
2015-11-24,1.0,2.5969722751472184
2015-11-25,2.0,2.433254739934053
2015-11-26,2.0,2.5980305607299243
2015-11-27,2.0,2.4247190600505206
2015-11-28,2.0,2.511074246741503
