Tanggal,Actual,Predicted
2015-04-12,83.0,78.05074018402237
2015-04-13,72.0,81.24857095039603
2015-04-14,78.0,75.96608552395807
2015-04-15,92.0,77.77848075026606
2015-04-16,96.0,84.20027375771512
2015-04-17,82.0,88.30400956920485
2015-04-18,86.0,83.04363679995893
2015-04-19,81.0,84.01605350659226
2015-04-20,81.0,82.0224767134752
2015-04-21,89.0,81.49573096484093
2015-04-22,93.0,85.21344428845534
2015-04-23,93.0,87.6602023229665
2015-04-24,84.0,89.2766831367233
2015-04-25,86.0,85.29294179744228
2015-04-26,78.0,85.6235225663307
2015-04-27,80.0,81.85914358339255
2015-04-28,79.0,80.98403710459785
2015-04-29,91.0,80.40487825411728
2015-04-30,82.0,86.98286408800818
2015-05-01,90.0,83.28103015164432
2015-05-02,79.0,86.31290452642115
2015-05-03,72.0,82.42095040800538
2015-05-04,67.0,77.7932222042762
2015-05-05,68.0,74.11736174783097
2015-05-06,74.0,74.02859744442671
2015-05-07,75.0,76.00928980045906
2015-05-08,68.0,76.21188815783762
2015-05-09,74.0,73.82068836598631
2015-05-10,72.0,74.5995791379994
2015-05-11,73.0,74.39955461067906
2015-05-12,70.0,73.43399041248401
2015-05-13,67.0,73.60630693153138
2015-05-14,65.0,70.95877973296918
2015-05-15,68.0,70.13143666398736
2015-05-16,74.0,70.23008540138017
2015-05-17,68.0,73.37202470534926
2015-05-18,72.0,70.0807679966357
2015-05-19,71.0,72.09876003801864
2015-05-20,69.0,72.16597755083116
2015-05-21,76.0,71.0805170070797
2015-05-22,77.0,73.47864245876612
2015-05-23,78.0,74.6962455314328
2015-05-24,77.0,74.96220950515544
2015-05-25,75.0,75.90230060574325
2015-05-26,72.0,74.6497365359668
2015-05-27,70.0,73.3418562617881
2015-05-28,72.0,72.22106224615146
2015-05-29,72.0,72.38044611077228
2015-05-30,76.0,73.15137146412006
2015-05-31,73.0,74.24137131440405
2015-06-01,92.0,73.19712302909348
2015-06-02,69.0,81.34296039474053
2015-06-03,73.0,74.10056811986586
2015-06-04,62.99999999999999,73.21138187204066
2015-06-05,69.0,69.46871611479773
2015-06-06,74.0,70.54398002662556
2015-06-07,72.0,72.88587312181306
2015-06-08,70.0,73.07391808089402
2015-06-09,74.0,71.6088306510411
2015-06-10,71.0,72.97568494433527
2015-06-11,70.0,72.4422770821796
2015-06-12,70.0,70.92479475271327
2015-06-13,67.0,71.44277037437405
2015-06-14,74.0,69.06781614590632
2015-06-15,76.0,73.06935641376387
2015-06-16,70.0,73.94620852420188
2015-06-17,62.0,72.24031415914511
2015-06-18,69.0,66.64454344706458
2015-06-19,66.0,70.35291772908131
2015-06-20,65.0,68.4261127347827
2015-06-21,67.0,68.14616463522907
2015-06-22,68.0,68.35572417863783
2015-06-23,61.0,68.33765916068532
2015-06-24,71.0,65.65477778274759
2015-06-25,72.0,69.50028780663304
2015-06-26,66.0,70.02368135353251
2015-06-27,68.0,67.74991405435537
2015-06-28,67.0,68.51183852813439
2015-06-29,67.0,68.50663939615332
2015-06-30,70.0,68.66604793267513
2015-07-01,58.00000000000001,68.6700148332965
2015-07-02,73.0,64.13163296440116
2015-07-03,75.0,69.21093710259684
2015-07-04,66.0,72.44449371130395
2015-07-05,66.0,68.0594765402734
2015-07-06,67.0,67.75176282381294
2015-07-07,72.0,67.6590608657116
2015-07-08,78.0,69.74483705672755
2015-07-09,82.0,73.60161098673215
2015-07-10,75.0,76.24283647592767
2015-07-11,75.0,73.27336532442466
2015-07-12,71.0,74.14360863693568
2015-07-13,68.0,72.56026271139703
2015-07-14,66.0,70.33211024338374
2015-07-15,62.99999999999999,68.69130430411944
2015-07-16,66.0,67.20329786845477
2015-07-17,71.0,67.70672634742604
2015-07-18,74.0,70.95367889541863
2015-07-19,72.0,71.54542868707645
2015-07-20,61.0,70.86832877839194
2015-07-21,70.0,66.60718694264767
2015-07-22,70.0,68.69282020522843
2015-07-23,72.0,70.4895375062881
2015-07-24,59.0,70.80190862383466
2015-07-25,69.0,65.10917284258927
2015-07-26,71.0,68.55163042510497
2015-07-27,69.0,70.62968892026521
2015-07-28,68.0,69.38581172466657
2015-07-29,70.0,68.82472434653116
2015-07-30,71.0,69.51398296205426
2015-07-31,60.0,70.48605500127931
2015-08-01,66.0,66.00337998428756
2015-08-02,60.0,67.06610304554796
2015-08-03,62.99999999999999,63.86092210853385
2015-08-04,59.0,64.88831065887936
2015-08-05,65.0,63.302475682534265
2015-08-06,65.0,66.10887109381585
2015-08-07,74.0,65.1476329115992
2015-08-08,77.0,69.60264422430963
2015-08-09,75.0,71.97697802268469
2015-08-10,69.0,72.36257398155429
2015-08-11,71.0,69.53278699492478
2015-08-12,75.0,69.93452288411571
2015-08-13,72.0,72.37905612718221
2015-08-14,71.0,71.52623869628628
2015-08-15,68.0,71.61655938409365
2015-08-16,61.0,69.62449809063575
2015-08-17,66.0,66.44664065995843
2015-08-18,66.0,66.95466166333719
2015-08-19,67.0,68.02407074048621
2015-08-20,67.0,67.02212465525064
2015-08-21,66.0,67.59325509948975
2015-08-22,72.0,67.14375956875558
2015-08-23,71.0,70.03958745818343
2015-08-24,78.0,69.66663497737153
2015-08-25,64.0,72.9166792594562
2015-08-26,64.0,68.25011513027569
2015-08-27,74.0,67.128541075019
2015-08-28,71.0,71.1836097927597
2015-08-29,67.0,70.89076268380545
2015-08-30,66.0,68.72901366565081
2015-08-31,69.0,68.09379087920175
2015-09-01,66.0,69.05825887681472
2015-09-02,64.0,68.07779832338159
2015-09-03,66.0,66.54983187928775
2015-09-04,73.0,66.75756356244756
2015-09-05,69.0,70.47215597903389
2015-09-06,61.0,69.19951145205673
2015-09-07,62.0,65.95244628521628
2015-09-08,65.0,64.64896027473023
2015-09-09,67.0,65.83981933832945
2015-09-10,57.0,66.89615093963853
2015-09-11,65.0,63.387191078953414
2015-09-12,66.0,65.17385337201776
2015-09-13,64.0,65.68068800015259
2015-09-14,70.0,65.50014920593362
2015-09-15,70.0,67.88006075743293
2015-09-16,75.0,68.43425464344583
2015-09-17,71.0,70.71565501326242
2015-09-18,71.0,70.17151862176108
2015-09-19,72.0,70.22366767563447
2015-09-20,64.0,70.89325166479252
2015-09-21,66.0,67.34619844059253
2015-09-22,69.0,67.1031372662934
2015-09-23,70.0,69.0480661546224
2015-09-24,69.0,69.39210454138124
2015-09-25,71.0,69.24322496884496
2015-09-26,72.0,69.80203084890852
2015-09-27,70.0,70.63189854935584
2015-09-28,73.0,69.94083192306373
2015-09-29,72.0,71.04936201460238
2015-09-30,70.0,71.1243713553158
2015-10-01,67.0,70.12537527151711
2015-10-02,69.0,69.44953803207942
2015-10-03,71.0,69.76358323587866
2015-10-04,75.0,70.21191310354004
2015-10-05,73.0,72.54129306011392
2015-10-06,73.0,72.22296752961394
2015-10-07,77.0,72.49479791293787
2015-10-08,75.0,74.09454700055754
2015-10-09,70.0,73.68746900967112
2015-10-10,73.0,71.81419498871561
2015-10-11,74.0,72.29808449111592
2015-10-12,73.0,73.2566097864046
2015-10-13,69.0,73.20586285234454
2015-10-14,66.0,71.47204700825009
2015-10-15,72.0,69.27400922681255
2015-10-16,67.0,71.45453494318845
2015-10-17,59.0,69.77191315143733
2015-10-18,72.0,65.4418707889626
2015-10-19,72.0,69.80625105878521
2015-10-20,73.0,71.17019268972042
2015-10-21,72.0,71.4580145447138
2015-10-22,59.0,71.93394246902405
2015-10-23,75.0,65.78910846082425
2015-10-24,67.0,70.93465341870322
2015-10-25,75.0,69.73717859407866
2015-10-26,68.0,72.11795052685936
2015-10-27,68.0,70.15420709837174
2015-10-28,71.0,69.44107539712898
2015-10-29,71.0,70.47092031945185
2015-10-30,71.0,71.20273528841837
2015-10-31,74.0,70.63033375096772
2015-11-01,62.0,71.92674437453091
2015-11-02,73.0,67.52530963176685
2015-11-03,74.0,71.05423006342225
2015-11-04,72.0,72.67725007130545
2015-11-05,65.0,71.19007570937683
2015-11-06,74.0,68.55556930385443
2015-11-07,71.0,71.2110883067343
2015-11-08,83.0,72.32911788888013
2015-11-09,80.0,75.81251832879721
2015-11-10,74.0,76.89034286045694
2015-11-11,70.0,73.82421079414286
2015-11-12,55.0,72.39378961317522
2015-11-13,66.0,65.22326775528592
2015-11-14,75.0,67.394873306307
2015-11-15,77.0,71.7132839855483
2015-11-16,73.0,74.42721824218096
2015-11-17,69.0,72.55476197514736
2015-11-18,68.0,71.97684246521064
2015-11-19,71.0,68.98644765079278
2015-11-20,73.0,70.76495878110168
2015-11-21,69.0,71.8761028021743
2015-11-22,69.0,70.4612110116038
2015-11-23,70.0,70.42178415919557
2015-11-24,67.0,71.21524958175225
2015-11-25,70.0,69.19866524688638
2015-11-26,75.0,69.99696278078397
2015-11-27,78.0,72.66214672337196
2015-11-28,62.99999999999999,74.21337998114298
2015-11-29,66.0,69.27840896979254
2015-11-30,61.0,68.26583392663862
2015-12-01,70.0,65.98271102896963
2015-12-02,70.0,68.93163744441885
2015-12-03,75.0,69.62776567739358
2015-12-04,76.0,72.14139178871963
2015-12-05,72.0,73.5678005570449
2015-12-06,77.0,71.97039301721965
2015-12-07,86.0,74.32763859680314
2015-12-08,72.0,78.81603655947838
2015-12-09,76.0,73.70201485284622
2015-12-10,85.0,74.00023357664675
2015-12-11,79.0,79.70781711609821
2015-12-12,74.0,77.78279336756698
2015-12-13,73.0,75.71824529276638
2015-12-14,70.0,74.20539232414872
2015-12-15,75.0,72.82093569523371
2015-12-16,72.0,74.10137839940997
2015-12-17,85.0,74.0934241085762
2015-12-18,84.0,78.38125430393943
2015-12-19,89.0,79.96634468139361
2015-12-20,84.0,82.42872047847055
2015-12-21,84.0,81.82782246555439
2015-12-22,86.0,81.31937471184293
2015-12-23,83.0,82.35001695022099
2015-12-24,82.0,81.88366122861714
2015-12-25,85.0,82.40037797798554
2015-12-26,89.0,82.84464318811813
2015-12-27,86.0,84.87198819111538
2015-12-28,91.0,84.51551427730588
2015-12-29,86.0,86.52262610440026
2015-12-30,85.0,84.90823697762254
2015-12-31,70.0,84.86316585789012
2016-01-01,82.0,77.20240016852517
2016-01-02,81.0,81.22495341467162
2016-01-03,77.0,81.39811573384529
2016-01-04,80.0,79.62576995253895
2016-01-05,76.0,80.21426256687663
2016-01-06,76.0,78.78279462164984
2016-01-07,80.0,78.18083238188716
2016-01-08,76.0,79.69824814135144
2016-01-09,74.0,78.14710248994541
2016-01-10,78.0,76.35049296862675
2016-01-11,68.0,78.41895294445165
2016-01-12,66.0,73.79627022107
2016-01-13,75.0,72.06561491406605
2016-01-14,83.0,74.52068697266157
2016-01-15,89.0,79.43366077549122
2016-01-16,86.0,82.72736878474922
2016-01-17,82.0,83.35454159788335
2016-01-18,73.0,80.80627198056557
2016-01-19,76.0,77.04083813562892
2016-01-20,90.0,77.24042684624949
2016-01-21,80.0,83.04779206352814
2016-01-22,84.0,80.9826164925561
