Tanggal,Actual,Predicted
2015-04-12,24.0,25.290198807492857
2015-04-13,25.0,25.141257221874113
2015-04-14,23.0,24.243702867208135
2015-04-15,25.0,23.998554934138326
2015-04-16,25.0,24.342714562306533
2015-04-17,24.0,24.57715499652602
2015-04-18,25.0,24.339264839438346
2015-04-19,24.0,24.27107274003822
2015-04-20,24.0,24.428105585401802
2015-04-21,24.0,24.60238467736898
2015-04-22,25.0,24.691848157105337
2015-04-23,24.0,24.148318336627856
2015-04-24,24.0,24.469894539339826
2015-04-25,25.0,24.103875346935467
2015-04-26,23.0,24.7307667003304
2015-04-27,23.0,24.03601320842113
2015-04-28,23.0,23.946283158035143
2015-04-29,24.0,24.286836180451758
2015-04-30,24.0,23.943598028682516
2015-05-01,25.0,24.30276925325554
2015-05-02,24.0,24.639374386780933
2015-05-03,23.0,24.42025038040944
2015-05-04,25.0,23.826904087416132
2015-05-05,20.0,24.006522043228284
2015-05-06,24.0,23.18504250843761
2015-05-07,24.0,23.934938955764878
2015-05-08,23.0,23.327058857330904
2015-05-09,22.0,23.647033134945787
2015-05-10,25.0,22.901177350141626
2015-05-11,26.0,22.990103978239087
2015-05-12,25.0,25.218925493059775
2015-05-13,24.0,23.93365895185238
2015-05-14,22.0,23.908854134660892
2015-05-15,23.0,23.746435823269756
2015-05-16,22.0,22.693927656647528
2015-05-17,23.0,22.566778136719087
2015-05-18,24.0,23.607088711421213
2015-05-19,20.0,24.28125136436588
2015-05-20,23.0,21.307379749226833
2015-05-21,23.0,23.20236001459968
2015-05-22,24.0,23.32875039899635
2015-05-23,24.0,24.377599557903196
2015-05-24,24.0,23.737219277248737
2015-05-25,24.0,23.516359423359635
2015-05-26,25.0,23.553200167985704
2015-05-27,26.0,24.62805749957358
2015-05-28,26.0,24.87627089152439
2015-05-29,25.0,24.713952772783394
2015-05-30,25.0,24.119972534779127
2015-05-31,25.0,23.59569445065432
2015-06-01,25.0,23.453309488604507
2015-06-02,24.0,24.677209038302507
2015-06-03,26.0,23.945707435528963
2015-06-04,26.0,23.90604409067974
2015-06-05,25.0,24.415146409914414
2015-06-06,26.0,23.843229344638416
2015-06-07,26.0,25.059752660096358
2015-06-08,25.0,24.987486382526868
2015-06-09,24.0,25.556644554669177
2015-06-10,25.0,24.08770863230495
2015-06-11,24.0,25.76984007594595
2015-06-12,23.0,24.866076310143768
2015-06-13,24.0,24.001365492537673
2015-06-14,22.0,23.903706104722033
2015-06-15,22.0,23.732703340670984
2015-06-16,22.0,23.614106587601334
2015-06-17,24.0,23.88239345906972
2015-06-18,25.0,23.730061785903352
2015-06-19,24.0,24.8890928586492
2015-06-20,23.0,24.683407360085525
2015-06-21,23.0,23.81035029051564
2015-06-22,23.0,23.53630771607498
2015-06-23,23.0,22.86608493344182
2015-06-24,23.0,23.147660094257805
2015-06-25,20.0,23.074622152800625
2015-06-26,22.0,21.553139536945597
2015-06-27,24.0,21.996016992733047
2015-06-28,24.0,22.40212590271947
2015-06-29,23.0,22.602994001219134
2015-06-30,23.0,22.752646351529155
2015-07-01,22.0,23.35322556759124
2015-07-02,24.0,23.74206916672516
2015-07-03,22.0,23.684650081846456
2015-07-04,21.666666666666668,22.4407935373255
2015-07-05,21.333333333333332,23.50153851126093
2015-07-06,21.0,22.221479397494143
2015-07-07,22.0,21.247998352048384
2015-07-08,23.0,22.002282957609538
2015-07-09,24.0,22.266996310463327
2015-07-10,22.0,22.99334747471017
2015-07-11,21.0,22.17487220358615
2015-07-12,23.0,21.888787662333744
2015-07-13,23.0,22.95738541831336
2015-07-14,23.0,22.40567482579431
2015-07-15,23.0,22.55898422355967
2015-07-16,23.0,23.344092811067142
2015-07-17,23.0,22.343715011325546
2015-07-18,23.0,22.126147761157714
2015-07-19,23.0,22.777879650600244
2015-07-20,22.0,22.023476407987445
2015-07-21,24.0,22.387422097682048
2015-07-22,20.0,23.13848154503513
2015-07-23,21.0,22.471140344361796
2015-07-24,22.0,21.301300387209988
2015-07-25,24.0,22.571567608146218
2015-07-26,24.0,22.53114115624062
2015-07-27,25.0,24.437366277921303
2015-07-28,22.0,23.00521552531484
2015-07-29,23.0,23.18616500440624
2015-07-30,22.0,22.925650490555974
2015-07-31,22.0,22.671608072502444
2015-08-01,23.0,21.83199699192515
2015-08-02,23.0,23.347065906719394
2015-08-03,23.0,22.771657837093475
2015-08-04,22.5,23.494415117466524
2015-08-05,22.0,22.41902929722922
2015-08-06,21.5,22.90555368902666
2015-08-07,21.0,22.707649537421332
2015-08-08,21.0,22.215963736593267
2015-08-09,23.0,21.241728138370817
2015-08-10,23.0,22.47134886605064
2015-08-11,22.0,22.795544490782763
2015-08-12,24.0,22.24425748476112
2015-08-13,21.0,22.50565552254927
2015-08-14,20.0,22.3471684171238
2015-08-15,21.0,22.138472474300656
2015-08-16,22.0,21.490181336272148
2015-08-17,23.0,20.991587542928215
2015-08-18,20.0,23.43119838621872
2015-08-19,20.0,21.725145131832598
2015-08-20,20.0,21.47205297034102
2015-08-21,21.0,21.052201461215738
2015-08-22,23.0,21.053770306863253
2015-08-23,22.0,22.807818403238187
2015-08-24,22.0,22.494983708245467
2015-08-25,23.0,21.687775789323073
2015-08-26,23.0,21.550638044087684
2015-08-27,23.0,21.51706146166291
2015-08-28,23.0,22.172897619843035
2015-08-29,21.0,22.876222001645136
2015-08-30,21.0,21.326698084401496
2015-08-31,23.0,20.526864198017552
2015-09-01,23.0,22.93606733280364
2015-09-02,24.0,22.065858078433394
2015-09-03,24.0,22.627938033008956
2015-09-04,20.0,23.191891872559193
2015-09-05,24.0,21.96899248220761
2015-09-06,21.0,22.828316749154606
