Tanggal,Actual,Predicted
2015-04-14,310.0,149.24033
2015-04-15,140.0,214.36769
2015-04-16,80.0,173.5745
2015-04-17,80.0,143.20227
2015-04-18,70.0,129.29099
2015-04-19,280.0,117.83408
2015-04-20,180.0,186.33672
2015-04-21,70.0,173.63683
2015-04-22,80.0,134.75316
2015-04-23,160.0,122.89994
2015-04-24,310.0,142.38171
2015-04-25,260.0,207.26491
2015-04-26,320.0,212.231
2015-04-27,90.0,242.53566
2015-04-28,100.0,168.78076
2015-04-29,120.0,148.9632
2015-04-30,100.0,144.66904
2015-05-01,90.0,134.40778
2015-05-02,70.0,126.07473
2015-05-03,90.0,115.10571
2015-05-04,110.0,115.403336
2015-05-05,80.0,120.50821
2015-05-06,90.0,112.35335
2015-05-07,320.0,111.804886
2015-05-08,120.0,196.15977
2015-05-09,110.0,150.61641
2015-05-10,90.0,137.0916
2015-05-11,80.0,124.4002
2015-05-12,90.0,115.26413
2015-05-13,110.0,113.578674
2015-05-14,80.0,118.155014
2015-05-15,90.0,109.730576
2015-05-16,100.0,109.29121
2015-05-17,110.0,111.80805
2015-05-18,100.0,115.743965
2015-05-19,80.0,114.08351
2015-05-20,80.0,106.97927
2015-05-21,330.0,103.931496
2015-05-22,70.0,194.60814
2015-05-23,110.0,130.4161
2015-05-24,100.0,126.992546
2015-05-25,100.0,120.56382
2015-05-26,70.0,117.275696
2015-05-27,100.0,106.090515
2015-05-28,100.0,110.33307
2015-05-29,90.0,111.481316
2015-05-30,80.0,108.63796
2015-05-31,90.0,104.36072
2015-06-01,70.0,105.3988
2015-06-02,120.0,99.52181
2015-06-03,110.0,112.31552
2015-06-04,110.0,114.136444
2015-06-05,80.0,115.34485
2015-06-06,70.0,106.64393
2015-06-07,100.0,100.08703
2015-06-08,110.0,106.12506
2015-06-09,110.0,111.46361
2015-06-10,80.0,113.79539
2015-06-11,90.0,105.633385
2015-06-12,110.0,105.56847
2015-06-13,100.0,111.547356
2015-06-14,110.0,110.74118
2015-06-15,120.0,113.8637
2015-06-16,120.0,118.525024
2015-06-17,110.0,120.641396
2015-06-18,80.0,118.55353
2015-06-19,100.0,108.508675
2015-06-20,70.0,110.60521
2015-06-21,120.0,101.68692
2015-06-22,100.0,113.465866
2015-06-23,110.0,111.54512
2015-06-24,60.0,114.332664
2015-06-25,100.0,100.16884
2015-06-26,120.0,106.45709
