Tanggal,Actual,Predicted
2015-04-14,5.0,5.612249
2015-04-15,5.0,5.427685
2015-04-16,7.0,5.3362126
2015-04-17,7.0,6.0117364
2015-04-18,4.0,6.3158746
2015-04-19,2.9999999999999996,5.3546424
2015-04-20,5.999999999999999,4.755816
2015-04-21,5.0,5.3140445
2015-04-22,5.0,5.278071
2015-04-23,7.0,5.276425
2015-04-24,5.0,5.963844
2015-04-25,5.999999999999999,5.533987
2015-04-26,4.0,5.745332
2015-04-27,2.9999999999999996,5.14558
2015-04-28,7.0,4.649172
2015-04-29,7.0,5.5607443
2015-04-30,8.0,6.0802402
2015-05-01,5.999999999999999,6.741889
2015-05-02,5.999999999999999,6.163558
2015-05-03,5.999999999999999,6.0333853
2015-05-04,5.0,5.9817753
2015-05-05,5.999999999999999,5.604186
2015-05-06,5.0,5.8261347
2015-05-07,4.0,5.5426817
2015-05-08,8.0,5.1209598
2015-05-09,9.0,6.3288755
2015-05-10,9.0,7.3222165
2015-05-11,5.999999999999999,7.7074847
2015-05-12,5.999999999999999,6.517466
2015-05-13,8.0,6.2804203
2015-05-14,8.0,7.0405383
2015-05-15,8.0,7.297183
2015-05-16,7.0,7.426125
2015-05-17,7.0,7.0273595
2015-05-18,5.999999999999999,6.9620075
2015-05-19,5.999999999999999,6.50165
2015-05-20,5.999999999999999,6.391454
2015-05-21,2.9999999999999996,6.335537
2015-05-22,5.0,5.2122254
2015-05-23,5.999999999999999,5.4413905
2015-05-24,7.0,5.8538413
2015-05-25,5.999999999999999,6.4344535
2015-05-26,5.999999999999999,6.22647
2015-05-27,7.0,6.1730514
2015-05-28,7.0,6.5571146
2015-05-29,7.0,6.6806173
2015-05-30,7.0,6.7403116
2015-05-31,5.999999999999999,6.7666597
2015-06-01,7.0,6.358525
2015-06-02,5.0,6.674626
2015-06-03,8.0,5.9301543
2015-06-04,9.0,6.9546294
2015-06-05,11.0,7.732969
2015-06-06,9.0,8.88749
2015-06-07,9.0,8.295888
2015-06-08,8.0,8.28271
2015-06-09,9.0,7.8160934
2015-06-10,10.0,8.248635
2015-06-11,8.0,8.804249
2015-06-12,8.0,8.02175
2015-06-13,9.0,7.948699
2015-06-14,5.999999999999999,8.395592
2015-06-15,9.0,7.0465074
2015-06-16,4.0,8.2511
2015-06-17,10.0,6.123889
2015-06-18,9.0,8.372764
2015-06-19,9.0,8.429721
2015-06-20,9.0,8.546314
2015-06-21,8.0,8.560312
2015-06-22,7.0,8.101002
2015-06-23,9.0,7.5515947
2015-06-24,7.0,8.395767
2015-06-25,9.0,7.57537
2015-06-26,9.0,8.433123
2015-06-27,9.0,8.553368
2015-06-28,7.0,8.615285
2015-06-29,9.0,7.660093
2015-06-30,7.0,8.470416
2015-07-01,5.999999999999999,7.6154575
2015-07-02,7.0,7.029771
2015-07-03,7.0,7.33861
2015-07-04,7.0,7.3670893
2015-07-05,7.0,7.3678646
2015-07-06,8.0,7.336865
2015-07-07,5.999999999999999,7.7849855
2015-07-08,4.0,6.9078984
2015-07-09,5.999999999999999,5.878977
