Tanggal,Actual,Predicted
2015-04-14,2.0,2.1479406
2015-04-15,2.0,2.1408439
2015-04-16,3.0,2.1344786
2015-04-17,2.0,2.6857858
2015-04-18,1.0,2.2409825
2015-04-19,2.0,1.6577461
2015-04-20,2.0,2.0214632
2015-04-21,2.0,2.105321
2015-04-22,1.0,2.106962
2015-04-23,1.0,1.6161294
2015-04-24,2.0,1.4957073
2015-04-25,1.0,1.9421614
2015-04-26,1.0,1.5588012
2015-04-27,1.0,1.4522475
2015-04-28,4.0,1.4221942
2015-04-29,3.0,2.960545
2015-04-30,4.0,2.762578
2015-05-01,3.0,3.3059754
2015-05-02,3.0,2.8582206
2015-05-03,3.0,2.8090453
2015-05-04,2.0,2.8397353
2015-05-05,2.0,2.2935748
2015-05-06,2.0,2.2056031
2015-05-07,2.0,2.1976967
2015-05-08,4.0,2.188366
2015-05-09,4.0,3.3393273
2015-05-10,5.0,3.5557213
2015-05-11,4.0,4.208187
2015-05-12,4.0,3.7119296
2015-05-13,4.0,3.6834908
2015-05-14,4.0,3.7334921
2015-05-15,4.0,3.7677767
2015-05-16,4.0,3.796315
2015-05-17,4.0,3.8215435
2015-05-18,3.0,3.8433707
2015-05-19,3.0,3.2145054
2015-05-20,2.0,3.1491978
2015-05-21,2.0,2.543242
2015-05-22,3.0,2.4345758
2015-05-23,4.0,2.998734
2015-05-24,3.0,3.6916816
2015-05-25,3.0,3.1409745
2015-05-26,3.0,3.0524535
2015-05-27,4.0,3.0519738
2015-05-28,4.0,3.6764824
2015-05-29,4.0,3.7607577
2015-05-30,4.0,3.7689965
2015-05-31,3.0,3.7885056
2015-06-01,3.0,3.1687038
2015-06-02,3.0,3.1040304
2015-06-03,5.0,3.1086447
2015-06-04,6.0,4.378772
2015-06-05,6.0,5.1570034
2015-06-06,7.0,5.243217
2015-06-07,6.0,5.8750854
2015-06-08,5.0,5.3864994
2015-06-09,4.0,4.7368298
2015-06-10,4.0,4.0864925
2015-06-11,5.0,4.096031
2015-06-12,4.0,4.801777
2015-06-13,4.0,4.167059
2015-06-14,3.0,4.098716
2015-06-15,4.0,3.4334729
2015-06-16,3.0,4.0257635
2015-06-17,4.0,3.4112394
2015-06-18,4.0,3.9702399
2015-06-19,5.0,4.0228553
2015-06-20,4.0,4.6560354
2015-06-21,4.0,4.051032
2015-06-22,2.0,3.984938
2015-06-23,4.0,2.7201543
2015-06-24,4.0,3.8360982
2015-06-25,5.0,3.9817736
2015-06-26,5.0,4.6030064
2015-06-27,5.0,4.665056
2015-06-28,4.0,4.6689453
2015-06-29,5.0,4.0230265
2015-06-30,4.0,4.663189
2015-07-01,4.0,4.0718794
2015-07-02,4.0,4.0148735
2015-07-03,4.0,4.0316954
2015-07-04,4.0,4.02851
2015-07-05,5.0,4.020602
2015-07-06,4.0,4.679018
2015-07-07,3.0,4.067874
2015-07-08,2.0,3.3386903
2015-07-09,2.0,2.6542702
2015-07-10,1.0,2.5535336
2015-07-11,2.0,1.9622936
2015-07-12,5.0,2.3449492
2015-07-13,4.0,4.2063575
2015-07-14,8.0,3.8617578
2015-07-15,5.0,6.0424967
2015-07-16,4.0,4.7328987
2015-07-17,4.0,3.90464
2015-07-18,4.0,3.9302652
2015-07-19,5.0,3.966067
2015-07-20,5.0,4.638834
2015-07-21,3.0,4.7040777
2015-07-22,4.0,3.3820834
2015-07-23,5.0,3.9383016
2015-07-24,4.0,4.6849585
2015-07-25,3.0,4.0629435
2015-07-26,4.0,3.3318632
2015-07-27,4.0,3.936767
2015-07-28,6.0,4.000636
2015-07-29,6.0,5.263584
2015-07-30,6.0,5.392823
2015-07-31,5.0,5.39186
2015-08-01,5.0,4.776133
2015-08-02,4.0,4.779075
2015-08-03,4.0,4.1381583
2015-08-04,4.0,4.11043
2015-08-05,5.0,4.1258106
2015-08-06,5.0,4.7921476
2015-08-07,5.0,4.8314943
2015-08-08,4.0,4.813788
2015-08-09,3.0,4.1411037
2015-08-10,4.0,3.4254026
2015-08-11,5.0,4.047983
2015-08-12,4.0,4.7662115
2015-08-13,4.0,4.125477
2015-08-14,4.0,4.046632
2015-08-15,4.0,4.0540395
2015-08-16,5.0,4.045314
2015-08-17,5.0,4.7020903
2015-08-18,5.0,4.754152
