Tanggal,Actual,Predicted
2015-04-14,79.0,78.20651
2015-04-15,72.0,78.790855
2015-04-16,75.0,76.06612
2015-04-17,68.0,76.19277
2015-04-18,96.0,73.10155
2015-04-19,83.0,83.177635
2015-04-20,94.0,81.818375
2015-04-21,82.0,86.11461
2015-04-22,82.0,83.29602
2015-04-23,94.0,82.62432
2015-04-24,82.0,86.93979
2015-04-25,95.0,84.0506
2015-04-26,91.0,88.14974
2015-04-27,92.0,88.12572
2015-04-28,75.0,88.79954
2015-04-29,77.0,82.81645
2015-04-30,76.0,81.34587
2015-05-01,78.0,79.93532
2015-05-02,80.0,79.93342
2015-05-03,83.0,80.50501
2015-05-04,78.0,81.81264
2015-05-05,70.0,80.25774
2015-05-06,71.0,76.32372
2015-05-07,76.0,75.002464
2015-05-08,75.0,76.2246
2015-05-09,70.0,76.07375
2015-05-10,75.0,73.85255
2015-05-11,74.0,74.94377
2015-05-12,77.0,74.78003
2015-05-13,77.0,75.938705
2015-05-14,64.0,76.363556
2015-05-15,71.0,71.150024
2015-05-16,71.0,71.9433
2015-05-17,71.0,71.95074
2015-05-18,71.0,71.878876
2015-05-19,75.0,71.76629
2015-05-20,88.0,73.31449
2015-05-21,83.0,79.25343
2015-05-22,73.0,79.7285
2015-05-23,72.0,76.20577
2015-05-24,70.0,74.55661
2015-05-25,74.0,72.94659
2015-05-26,77.0,73.84047
2015-05-27,70.0,75.30904
2015-05-28,72.0,72.977295
2015-05-29,77.0,72.91616
2015-05-30,77.0,74.83935
2015-05-31,77.0,75.591965
2015-06-01,74.0,75.99273
2015-06-02,77.0,74.980446
2015-06-03,74.0,75.88754
2015-06-04,73.0,74.98155
2015-06-05,71.0,74.2522
2015-06-06,72.0,73.078705
2015-06-07,74.0,72.95565
2015-06-08,79.0,73.63466
2015-06-09,74.0,75.94014
2015-06-10,76.0,74.81669
2015-06-11,72.0,75.3327
2015-06-12,73.0,73.855
2015-06-13,74.0,73.71032
2015-06-14,72.0,73.991745
2015-06-15,77.0,73.239655
2015-06-16,80.0,75.00415
2015-06-17,74.0,76.926155
2015-06-18,69.0,75.308945
2015-06-19,69.0,72.70628
2015-06-20,73.0,71.60626
2015-06-21,66.0,72.6482
2015-06-22,76.0,70.070816
2015-06-23,66.0,73.09515
2015-06-24,66.0,70.056366
2015-06-25,64.0,68.93182
2015-06-26,69.0,67.5198
2015-06-27,72.0,68.79289
2015-06-28,73.0,70.36631
2015-06-29,67.0,71.41494
2015-06-30,67.0,69.471344
2015-07-01,69.0,68.765656
2015-07-02,64.0,69.200165
2015-07-03,66.0,67.3448
2015-07-04,74.0,67.37182
2015-07-05,64.0,70.425606
2015-07-06,63.0,67.65218
2015-07-07,70.0,66.304184
2015-07-08,76.0,68.35239
2015-07-09,76.0,71.50514
2015-07-10,80.0,72.89181
2015-07-11,83.0,75.315575
2015-07-12,65.0,77.73578
2015-07-13,70.0,71.494
2015-07-14,61.99999999999999,71.34123
2015-07-15,63.0,67.81964
2015-07-16,63.0,66.775826
2015-07-17,70.0,66.11923
2015-07-18,72.0,68.39363
2015-07-19,69.0,69.99858
2015-07-20,67.0,69.50017
2015-07-21,71.0,68.582535
2015-07-22,70.0,69.8111
2015-07-23,59.00000000000001,69.87753
2015-07-24,71.0,65.654015
2015-07-25,74.0,68.625305
2015-07-26,69.0,70.84393
2015-07-27,68.0,69.82891
2015-07-28,63.0,69.142914
2015-07-29,64.0,66.90249
2015-07-30,70.0,66.386734
2015-07-31,63.0,68.36981
2015-08-01,67.0,66.37733
2015-08-02,64.0,67.17271
2015-08-03,60.0,66.23924
2015-08-04,57.99999999999999,64.394035
2015-08-05,60.0,62.920452
2015-08-06,64.0,62.940575
2015-08-07,57.0,64.23692
2015-08-08,63.0,62.20581
2015-08-09,68.0,63.52916
2015-08-10,70.0,65.76626
2015-08-11,59.00000000000001,67.47282
2015-08-12,65.0,64.12944
2015-08-13,71.0,65.16713
2015-08-14,63.0,67.75217
2015-08-15,70.0,65.77829
2015-08-16,59.00000000000001,67.803345
2015-08-17,61.99999999999999,64.3985
2015-08-18,64.0,64.3036
2015-08-19,60.0,64.85616
2015-08-20,63.0,63.585335
2015-08-21,71.0,64.16058
2015-08-22,68.0,67.2926
2015-08-23,75.0,67.42973
2015-08-24,72.0,70.39817
2015-08-25,59.00000000000001,70.496376
2015-08-26,74.0,65.647224
2015-08-27,72.0,69.65879
2015-08-28,73.0,70.34084
2015-08-29,72.0,71.20562
2015-08-30,71.0,71.2408
2015-08-31,73.0,70.96206
2015-09-01,69.0,71.73414
2015-09-02,72.0,70.44949
2015-09-03,73.0,71.223274
2015-09-04,72.0,71.91452
2015-09-05,73.0,71.83489
2015-09-06,76.0,72.27196
2015-09-07,72.0,73.72097
2015-09-08,79.0,72.71101
2015-09-09,61.0,75.31916
2015-09-10,67.0,68.94692
2015-09-11,65.0,69.00171
2015-09-12,52.0,67.91993
2015-09-13,61.0,62.57959
2015-09-14,72.0,63.622017
2015-09-15,71.0,67.78273
2015-09-16,76.0,69.04855
2015-09-17,69.0,71.708435
2015-09-18,76.0,70.073845
2015-09-19,75.0,72.469734
2015-09-20,74.0,73.06374
2015-09-21,74.0,73.08332
2015-09-22,69.0,73.21346
2015-09-23,63.0,71.280075
2015-09-24,60.0,68.141884
2015-09-25,72.0,65.68609
2015-09-26,67.0,69.14308
2015-09-27,66.0,68.375206
2015-09-28,67.0,67.74404
2015-09-29,68.0,67.82613
2015-09-30,72.0,68.201294
2015-10-01,66.0,69.92033
2015-10-02,61.0,68.23684
2015-10-03,59.00000000000001,65.73305
2015-10-04,64.0,63.97933
2015-10-05,78.0,64.97582
2015-10-06,72.0,70.62605
2015-10-07,75.0,70.58428
2015-10-08,76.0,72.06701
2015-10-09,75.0,73.20114
2015-10-10,69.0,73.44203
