Tanggal,Actual,Predicted
2015-04-14,10.0,8.00553
2015-04-15,10.0,8.629537
2015-04-16,9.7,8.697284
2015-04-17,6.4,8.671069
2015-04-18,9.4,7.662666
2015-04-19,6.900000000000001,8.485865
2015-04-20,7.4,7.73385
2015-04-21,6.4,7.8162923
2015-04-22,7.8999999999999995,7.388317
2015-04-23,4.2,7.863981
2015-04-24,6.0,6.3542247
2015-04-25,5.6,6.873707
2015-04-26,2.2,6.6327963
2015-04-27,6.0,4.912787
2015-04-28,2.9,6.3888803
2015-04-29,9.2,4.9127164
2015-04-30,9.4,7.608757
2015-05-01,9.7,7.874087
2015-05-02,6.7,8.163351
2015-05-03,9.7,7.243133
2015-05-04,8.5,8.233359
2015-05-05,9.7,7.9723735
2015-05-06,9.8,8.389432
2015-05-07,9.7,8.498902
2015-05-08,9.7,8.542241
2015-05-09,10.0,8.587057
2015-05-10,9.9,8.698866
2015-05-11,9.9,8.712621
2015-05-12,8.6,8.739508
2015-05-13,2.9,8.41433
2015-05-14,9.9,6.1499805
2015-05-15,10.0,8.4603195
2015-05-16,9.9,8.6008
2015-05-17,9.4,8.674176
2015-05-18,10.8,8.588328
2015-05-19,9.3,8.938074
2015-05-20,9.5,8.632875
2015-05-21,6.3,8.675916
2015-05-22,4.4,7.6746297
2015-05-23,9.8,6.659161
2015-05-24,9.8,8.458559
2015-05-25,9.8,8.57602
2015-05-26,8.6,8.660427
2015-05-27,9.9,8.372246
2015-05-28,9.8,8.705587
2015-05-29,9.6,8.717654
2015-05-30,8.1,8.692018
2015-05-31,9.8,8.281764
2015-06-01,7.3,8.701959
2015-06-02,9.7,8.002788
2015-06-03,9.4,8.638789
2015-06-04,4.1,8.602436
2015-06-05,9.7,6.732903
2015-06-06,9.6,8.485706
2015-06-07,8.8,8.54642
2015-06-08,9.3,8.394252
2015-06-09,2.8,8.53504
2015-06-10,9.4,6.068295
2015-06-11,9.3,8.288312
2015-06-12,5.9,8.363628
2015-06-13,9.5,7.2783966
2015-06-14,8.5,8.392535
2015-06-15,9.7,8.169672
2015-06-16,10.1,8.546502
2015-06-17,9.0,8.704061
2015-06-18,9.7,8.467856
2015-06-19,8.8,8.652074
2015-06-20,9.1,8.433621
2015-06-21,9.2,8.505002
2015-06-22,3.8,8.538393
2015-06-23,8.3,6.562938
2015-06-24,8.5,7.994746
2015-06-25,9.7,8.116044
2015-06-26,9.6,8.53393
2015-06-27,9.9,8.57398
2015-06-28,9.1,8.6909
2015-06-29,6.5,8.516274
2015-06-30,9.6,7.669947
2015-07-01,7.8999999999999995,8.534418
