Tanggal,Actual,Predicted
2015-04-14,33.2,33.700996
2015-04-15,34.2,33.519127
2015-04-16,33.4,33.89391
2015-04-17,34.6,33.673786
2015-04-18,34.2,34.090355
2015-04-19,33.4,34.0793
2015-04-20,32.8,33.75607
2015-04-21,32.8,33.391937
2015-04-22,31.4,33.277542
2015-04-23,32.4,32.49241
2015-04-24,31.5,32.760185
2015-04-25,31.799999999999997,32.301422
2015-04-26,32.1,32.279022
2015-04-27,31.4,32.398003
2015-04-28,33.2,32.000435
2015-04-29,32.0,32.828964
2015-04-30,32.4,32.407654
2015-05-01,32.6,32.49309
2015-05-02,32.2,32.637913
2015-05-03,33.4,32.45943
2015-05-04,33.0,33.027782
2015-05-05,32.0,32.99516
2015-05-06,31.5,32.476967
2015-05-07,32.0,32.077747
2015-05-08,32.2,32.24433
2015-05-09,32.4,32.362328
2015-05-10,32.1,32.47248
2015-05-11,32.5,32.335297
2015-05-12,30.6,32.514156
2015-05-13,31.6,31.513208
2015-05-14,32.8,31.810545
2015-05-15,31.4,32.509033
2015-05-16,30.8,31.893915
2015-05-17,30.299999999999997,31.396034
2015-05-18,31.799999999999997,31.006224
2015-05-19,32.0,31.7103
2015-05-20,31.799999999999997,31.941477
2015-05-21,31.5,31.87024
2015-05-22,33.8,31.705002
2015-05-23,33.2,32.890785
2015-05-24,33.0,32.91262
2015-05-25,32.6,32.84949
2015-05-26,33.1,32.69073
2015-05-27,32.4,32.935856
2015-05-28,33.9,32.665863
2015-05-29,32.8,33.33754
2015-05-30,33.6,33.02288
2015-05-31,32.2,33.325603
2015-06-01,32.5,32.756977
2015-06-02,33.3,32.74994
2015-06-03,31.4,33.15315
2015-06-04,32.4,32.26503
2015-06-05,32.4,32.547424
2015-06-06,33.2,32.61384
2015-06-07,31.6,33.005417
2015-06-08,29.2,32.278893
2015-06-09,31.3,30.73216
2015-06-10,31.4,31.512924
2015-06-11,31.0,31.671728
2015-06-12,31.799999999999997,31.409233
2015-06-13,31.4,31.779016
2015-06-14,32.7,31.635414
2015-06-15,32.5,32.30227
2015-06-16,32.1,32.37329
2015-06-17,32.6,32.193382
2015-06-18,32.4,32.450356
2015-06-19,32.4,32.432205
2015-06-20,32.3,32.439384
2015-06-21,31.1,32.406197
2015-06-22,31.2,31.74344
2015-06-23,31.4,31.629925
2015-06-24,31.4,31.695124
2015-06-25,30.9,31.671085
2015-06-26,32.4,31.360203
2015-06-27,31.1,32.101017
2015-06-28,29.8,31.550064
2015-06-29,30.6,30.688797
2015-06-30,30.2,30.935965
2015-07-01,30.9,30.73058
2015-07-02,32.3,31.018442
2015-07-03,31.799999999999997,31.832146
2015-07-04,32.0,31.743832
2015-07-05,32.6,31.857206
2015-07-06,31.799999999999997,32.253067
2015-07-07,30.6,31.944695
2015-07-08,29.900000000000002,31.220293
2015-07-09,29.6,30.687088
2015-07-10,30.2,30.392393
2015-07-11,31.0,30.591133
2015-07-12,32.4,31.012405
2015-07-13,33.6,31.84273
2015-07-14,31.799999999999997,32.665615
2015-07-15,30.2,31.980993
2015-07-16,30.0,30.965916
2015-07-17,31.4,30.675306
2015-07-18,31.4,31.349384
2015-07-19,30.299999999999997,31.450691
2015-07-20,30.0,30.845499
2015-07-21,30.6,30.561872
2015-07-22,31.4,30.812506
2015-07-23,32.0,31.272917
2015-07-24,32.2,31.691086
2015-07-25,32.3,31.913633
2015-07-26,32.0,32.058372
2015-07-27,32.0,31.97272
2015-07-28,33.1,31.987211
2015-07-29,31.3,32.603607
2015-07-30,30.2,31.812359
2015-07-31,31.4,31.008152
2015-08-01,32.2,31.503355
2015-08-02,31.5,32.018017
2015-08-03,32.05,31.725058
2015-08-04,32.6,31.96753
2015-08-05,31.2,32.343285
2015-08-06,30.4,31.679138
2015-08-07,30.4,31.080376
2015-08-08,31.2,30.947697
2015-08-09,32.6,31.318884
2015-08-10,33.0,32.128548
2015-08-11,33.3,32.52257
2015-08-12,32.8,32.806705
2015-08-13,31.4,32.689426
2015-08-14,31.7,31.951391
2015-08-15,32.5,31.95824
2015-08-16,32.2,32.395103
2015-08-17,32.3,32.323044
2015-08-18,31.799999999999997,32.357307
2015-08-19,31.7,32.10914
2015-08-20,31.799999999999997,31.992105
2015-08-21,31.1,32.01413
2015-08-22,31.0,31.613346
2015-08-23,32.1,31.442226
2015-08-24,32.6,31.992212
2015-08-25,33.1,32.36753
2015-08-26,31.3,32.719387
2015-08-27,32.4,31.8789
2015-08-28,33.2,32.29244
2015-08-29,32.0,32.825726
2015-08-30,32.0,32.337875
2015-08-31,32.6,32.222668
2015-09-01,32.3,32.536457
2015-09-02,32.6,32.45244
2015-09-03,32.4,32.58852
2015-09-04,33.7,32.532116
2015-09-05,33.8,33.174004
2015-09-06,30.6,33.406902
2015-09-07,34.7,31.836136
2015-09-08,32.2,33.52784
2015-09-09,34.6,32.80481
2015-09-10,33.1,33.69005
2015-09-11,33.4,33.33199
2015-09-12,33.2,33.367455
2015-09-13,33.6,33.322483
2015-09-14,29.8,33.499104
2015-09-15,32.6,31.55286
2015-09-16,31.2,32.554317
2015-09-17,33.0,32.002472
2015-09-18,33.6,32.74516
2015-09-19,34.4,33.211025
2015-09-20,34.4,33.681694
2015-09-21,32.0,33.854618
2015-09-22,35.3,32.850906
2015-09-23,33.7,34.06186
2015-09-24,34.3,33.80058
2015-09-25,32.6,33.95512
2015-09-26,34.5,33.30601
2015-09-27,33.8,33.94712
2015-09-28,32.9,33.86092
2015-09-29,32.0,33.42574
2015-09-30,34.1,32.8489
2015-10-01,32.4,33.674202
2015-10-02,34.3,33.100357
2015-10-03,35.6,33.769222
2015-10-04,34.5,34.419586
2015-10-05,32.0,34.26231
2015-10-06,31.5,33.149124
2015-10-07,33.2,32.532017
2015-10-08,32.6,33.219944
2015-10-09,33.1,33.0469
2015-10-10,34.0,33.195576
2015-10-11,33.6,33.641113
2015-10-12,35.3,33.596767
2015-10-13,33.4,34.254528
2015-10-14,34.8,33.765385
2015-10-15,35.0,34.176216
2015-10-16,34.0,34.39747
2015-10-17,34.8,34.125076
2015-10-18,31.2,34.347218
2015-10-19,35.0,32.855312
2015-10-20,35.8,34.10823
2015-10-21,31.799999999999997,34.65215
2015-10-22,33.6,33.263245
2015-10-23,31.799999999999997,33.63056
2015-10-24,35.0,32.88869
2015-10-25,31.9,34.059124
2015-10-26,32.6,33.026867
2015-10-27,32.0,33.001965
2015-10-28,32.8,32.694565
2015-10-29,33.4,32.971497
2015-10-30,34.3,33.303593
2015-10-31,35.2,33.766964
2015-11-01,33.6,34.241814
2015-11-02,32.0,33.819874
2015-11-03,32.2,32.943615
2015-11-04,31.9,32.800102
2015-11-05,32.8,32.57513
2015-11-06,32.2,32.924644
2015-11-07,32.4,32.671432
2015-11-08,35.6,32.676105
2015-11-09,36.1,34.06854
2015-11-10,35.5,34.57104
2015-11-11,35.1,34.59151
2015-11-12,35.2,34.537457
2015-11-13,34.63333333333333,34.60298
2015-11-14,34.06666666666667,34.476624
2015-11-15,33.5,34.25162
2015-11-16,35.7,33.964146
2015-11-17,35.6,34.645344
2015-11-18,34.1,34.806774
2015-11-19,35.0,34.39324
2015-11-20,36.4,34.570362
2015-11-21,36.4,35.02101
2015-11-22,35.0,35.160583
2015-11-23,34.2,34.8688
2015-11-24,34.5,34.525387
2015-11-25,34.2,34.51953
2015-11-26,33.5,34.40718
2015-11-27,36.6,34.086613
2015-11-28,34.4,34.958153
2015-11-29,35.8,34.602085
2015-11-30,36.2,34.88087
2015-12-01,34.4,35.086914
2015-12-02,33.8,34.669495
2015-12-03,32.4,34.308735
2015-12-04,33.4,33.597164
2015-12-05,34.0,33.785324
2015-12-06,33.7,34.04112
2015-12-07,33.8,33.954712
2015-12-08,32.2,33.949142
2015-12-09,33.8,33.21726
2015-12-10,34.2,33.715046
2015-12-11,35.2,33.994183
2015-12-12,34.0,34.40837
2015-12-13,34.3,34.13131
2015-12-14,34.5,34.16633
2015-12-15,33.4,34.27247
2015-12-16,33.8,33.884747
2015-12-17,32.2,33.92232
2015-12-18,31.6,33.20781
2015-12-19,29.7,32.63131
2015-12-20,31.4,31.358402
2015-12-21,29.4,31.907568
2015-12-22,27.599999999999998,30.812626
2015-12-23,30.0,29.602442
2015-12-24,30.9,30.421717
2015-12-25,30.4,30.972092
2015-12-26,30.6,30.742592
2015-12-27,29.2,30.794886
2015-12-28,30.6,30.07954
2015-12-29,31.1,30.640942
2015-12-30,30.2,31.013216
2015-12-31,30.5,30.587112
2016-01-01,31.2,30.671219
2016-01-02,31.2,31.078606
2016-01-03,33.0,31.163311
2016-01-04,33.4,32.17473
2016-01-05,33.0,32.65109
2016-01-06,33.5,32.625008
2016-01-07,34.0,32.944294
2016-01-08,32.1,33.329617
2016-01-09,32.3,32.555733
2016-01-10,32.5,32.48022
2016-01-11,31.5,32.597748
2016-01-12,35.0,32.07215
2016-01-13,34.0,33.643642
2016-01-14,33.0,33.640087
2016-01-15,33.4,33.20268
2016-01-16,36.0,33.32385
2016-01-17,34.0,34.385128
2016-01-18,35.7,34.02434
2016-01-19,35.3,34.5222
2016-01-20,35.4,34.60268
2016-01-21,35.7,34.683777
2016-01-22,35.0,34.828648
2016-01-23,36.3,34.70178
2016-01-24,34.8,35.030132
2016-01-25,33.8,34.755676
2016-01-26,32.5,34.320557
2016-01-27,32.95,33.62846
2016-01-28,33.4,33.585934
2016-01-29,34.7,33.72837
2016-01-30,34.7,34.22969
2016-01-31,32.6,34.356598
2016-02-01,33.0,33.552902
2016-02-02,33.4,33.469578
2016-02-03,31.799999999999997,33.62102
2016-02-04,33.0,32.84937
2016-02-05,32.5,33.191887
2016-02-06,32.6,33.012012
2016-02-07,31.7,32.964073
2016-02-08,33.5,32.457436
2016-02-09,35.0,33.211193
2016-02-10,33.0,34.003197
2016-02-11,32.9,33.41448
