Tanggal,Actual,Predicted
2015-04-14,24.0,23.469908
2015-04-15,24.0,23.87986
2015-04-16,24.0,23.969885
2015-04-17,24.0,24.005318
2015-04-18,25.0,24.024273
2015-04-19,23.0,24.295292
2015-04-20,23.0,23.850864
2015-04-21,24.0,23.709713
2015-04-22,23.0,23.941498
2015-04-23,24.0,23.702026
2015-04-24,23.0,23.924358
2015-04-25,23.0,23.682621
2015-04-26,23.0,23.602322
2015-04-27,23.0,23.554964
2015-04-28,23.0,23.521587
2015-04-29,22.0,23.493753
2015-04-30,22.0,23.1221
2015-05-01,24.0,22.961397
2015-05-02,24.0,23.56008
2015-05-03,24.0,23.729454
2015-05-04,23.0,23.809452
2015-05-05,22.0,23.547636
2015-05-06,20.0,23.119038
2015-05-07,19.0,22.169537
2015-05-08,22.0,21.375713
2015-05-09,23.0,22.121782
2015-05-10,24.0,22.645252
2015-05-11,23.5,23.178879
2015-05-12,23.0,23.221243
2015-05-13,24.0,23.111649
2015-05-14,22.0,23.44763
2015-05-15,21.333333333333332,22.883171
2015-05-16,20.666666666666668,22.435158
2015-05-17,20.0,21.970352
2015-05-18,22.0,21.488634
2015-05-19,22.0,22.009937
2015-05-20,22.0,22.119293
2015-05-21,22.0,22.153027
2015-05-22,23.0,22.161217
2015-05-23,22.0,22.546703
2015-05-24,25.0,22.30716
2015-05-25,22.0,23.341827
2015-05-26,23.0,22.660048
2015-05-27,23.0,22.850832
2015-05-28,24.0,22.916195
2015-05-29,25.0,23.312502
2015-05-30,25.0,23.784803
2015-05-31,23.0,23.98142
2015-06-01,23.0,23.51289
2015-06-02,22.0,23.385805
2015-06-03,25.0,22.980341
2015-06-04,25.0,23.837477
2015-06-05,26.0,24.080523
2015-06-06,26.0,24.438732
2015-06-07,23.0,24.574347
2015-06-08,25.0,23.938124
2015-06-09,25.0,24.295824
2015-06-10,23.0,24.38163
2015-06-11,23.0,23.90916
2015-06-12,24.0,23.756348
2015-06-13,23.0,23.976372
2015-06-14,22.0,23.735786
2015-06-15,21.0,23.321892
2015-06-16,23.0,22.772524
2015-06-17,24.0,23.24829
2015-06-18,23.0,23.674105
2015-06-19,22.0,23.496399
2015-06-20,23.0,23.102398
2015-06-21,23.0,23.29916
2015-06-22,20.0,23.334213
2015-06-23,19.0,22.220976
2015-06-24,19.0,21.38924
2015-06-25,19.0,21.003881
2015-06-26,23.0,20.758087
2015-06-27,23.0,22.017054
2015-06-28,20.0,22.37291
2015-06-29,22.0,21.397928
2015-06-30,23.0,21.845034
2015-07-01,20.0,22.33067
2015-07-02,23.0,21.371988
2015-07-03,22.0,22.208813
2015-07-04,22.0,22.06841
2015-07-05,23.0,22.054548
2015-07-06,22.0,22.438232
2015-07-07,19.0,22.203285
2015-07-08,20.0,21.024406
2015-07-09,20.0,20.995031
2015-07-10,21.0,20.902096
2015-07-11,21.0,21.17742
2015-07-12,21.0,21.229925
2015-07-13,21.0,21.243166
2015-07-14,22.5,21.245775
2015-07-15,24.0,21.800209
2015-07-16,21.0,22.554743
2015-07-17,21.0,21.740757
2015-07-18,21.0,21.526482
2015-07-19,23.0,21.437614
2015-07-20,22.0,22.145395
2015-07-21,22.0,22.00189
2015-07-22,22.0,21.996498
2015-07-23,22.0,22.010012
2015-07-24,21.0,22.026922
2015-07-25,22.0,21.658642
2015-07-26,21.0,21.917286
2015-07-27,23.0,21.600288
2015-07-28,21.0,22.259876
2015-07-29,23.0,21.711817
2015-07-30,23.0,22.319916
2015-07-31,21.0,22.518597
2015-08-01,22.0,21.866413
2015-08-02,21.0,22.045374
2015-08-03,21.0,21.695457
2015-08-04,19.0,21.571827
2015-08-05,20.0,20.787338
2015-08-06,21.0,20.865107
2015-08-07,22.0,21.165522
2015-08-08,20.0,21.594896
2015-08-09,22.0,21.009382
2015-08-10,21.0,21.566895
2015-08-11,22.0,21.35225
2015-08-12,22.0,21.677603
2015-08-13,22.0,21.786205
2015-08-14,22.0,21.847795
2015-08-15,21.0,21.890606
2015-08-16,20.0,21.545706
2015-08-17,21.0,21.078556
2015-08-18,22.0,21.269917
2015-08-19,23.0,21.65933
2015-08-20,21.0,22.165682
2015-08-21,19.0,21.609564
2015-08-22,24.0,20.755186
2015-08-23,20.0,22.280952
2015-08-24,22.0,21.241543
2015-08-25,20.0,21.705345
2015-08-26,19.0,21.084867
2015-08-27,21.0,20.578903
2015-08-28,22.0,21.059135
2015-08-29,22.0,21.515045
2015-08-30,21.0,21.673836
2015-08-31,22.0,21.387972
2015-09-01,21.0,21.69078
2015-09-02,20.0,21.416367
2015-09-03,21.0,20.989508
2015-09-04,20.0,21.201105
2015-09-05,21.0,20.885
2015-09-06,21.0,21.131727
2015-09-07,20.0,21.182644
2015-09-08,19.0,20.85484
2015-09-09,19.0,20.446236
2015-09-10,21.0,20.325
2015-09-11,23.0,20.878775
2015-09-12,24.0,21.73159
2015-09-13,21.0,22.41443
2015-09-14,20.0,21.610481
2015-09-15,22.0,21.056984
2015-09-16,22.0,21.5984
2015-09-17,22.0,21.745201
2015-09-18,23.0,21.820377
2015-09-19,22.0,22.250198
2015-09-20,21.0,22.045952
2015-09-21,20.0,21.635677
2015-09-22,22.0,21.134655
2015-09-23,19.0,21.684492
2015-09-24,20.0,20.742058
2015-09-25,21.0,20.811142
2015-09-26,21.0,21.112617
2015-09-27,22.0,21.179821
2015-09-28,22.0,21.5687
2015-09-29,23.0,21.704124
2015-09-30,21.0,22.161034
2015-10-01,22.0,21.592836
2015-10-02,21.0,21.823353
2015-10-03,24.0,21.513443
2015-10-04,23.0,22.555973
2015-10-05,22.0,22.54657
2015-10-06,19.0,22.24036
2015-10-07,19.5,21.037498
2015-10-08,20.0,20.834026
2015-10-09,23.0,20.860651
2015-10-10,23.0,21.895182
2015-10-11,22.0,22.222569
2015-10-12,21.0,22.017584
2015-10-13,20.0,21.611916
2015-10-14,21.0,21.120045
2015-10-15,21.0,21.301897
2015-10-16,22.0,21.315472
2015-10-17,21.0,21.68014
2015-10-18,20.0,21.42278
2015-10-19,22.0,20.998535
2015-10-20,22.0,21.5751
2015-10-21,21.0,21.736382
2015-10-22,20.0,21.44299
2015-10-23,19.0,21.00696
2015-10-24,20.0,20.54255
2015-10-25,22.0,20.699675
2015-10-26,20.0,21.38414
2015-10-27,20.0,20.87815
2015-10-28,20.0,20.762035
2015-10-29,23.0,20.710287
2015-10-30,22.0,21.730806
2015-10-31,22.0,21.692085
2015-11-01,20.0,21.746464
2015-11-02,20.0,21.061108
2015-11-03,21.0,20.872498
2015-11-04,22.0,21.1282
2015-11-05,22.0,21.544939
2015-11-06,22.0,21.690298
2015-11-07,22.0,21.771889
2015-11-08,23.0,21.828062
2015-11-09,24.0,22.251472
2015-11-10,25.0,22.795372
2015-11-11,26.0,23.37629
2015-11-12,25.0,23.930622
2015-11-13,24.0,23.927301
2015-11-14,24.0,23.734732
2015-11-15,23.0,23.729183
2015-11-16,24.0,23.438425
2015-11-17,24.0,23.68449
2015-11-18,25.0,23.771519
2015-11-19,25.0,24.105984
2015-11-20,25.0,24.230234
2015-11-21,24.0,24.305159
2015-11-22,24.0,24.109257
2015-11-23,25.0,24.072487
2015-11-24,24.0,24.321934
2015-11-25,24.0,24.15148
2015-11-26,24.0,24.118011
2015-11-27,25.0,24.108356
2015-11-28,25.0,24.35727
2015-11-29,25.0,24.427118
2015-11-30,25.0,24.4627
2015-12-01,27.0,24.485626
2015-12-02,25.0,24.878403
2015-12-03,27.0,24.621021
2015-12-04,25.0,24.937069
2015-12-05,25.0,24.664324
2015-12-06,24.0,24.612255
2015-12-07,25.0,24.374033
2015-12-08,25.0,24.527597
2015-12-09,25.0,24.552532
2015-12-10,24.0,24.559795
2015-12-11,26.0,24.33863
2015-12-12,26.0,24.706652
2015-12-13,25.0,24.780367
2015-12-14,24.0,24.624542
2015-12-15,24.0,24.374743
2015-12-16,25.0,24.295757
2015-12-17,25.0,24.489426
2015-12-18,25.0,24.528704
2015-12-19,26.0,24.542835
2015-12-20,25.0,24.745558
2015-12-21,24.0,24.60638
2015-12-22,24.0,24.361137
2015-12-23,23.0,24.284725
2015-12-24,21.0,23.977737
2015-12-25,26.0,23.206673
2015-12-26,25.0,24.404297
2015-12-27,24.0,24.423866
2015-12-28,25.0,24.225523
2015-12-29,25.0,24.420183
2015-12-30,25.0,24.469528
2015-12-31,24.0,24.49311
2016-01-01,25.0,24.276466
2016-01-02,24.0,24.454578
2016-01-03,24.0,24.261429
2016-01-04,24.0,24.208437
2016-01-05,24.0,24.182486
2016-01-06,24.0,24.166367
2016-01-07,25.0,24.154396
2016-01-08,25.0,24.392235
2016-01-09,24.0,24.45455
2016-01-10,24.0,24.249529
2016-01-11,24.0,24.194054
2016-01-12,24.0,24.168287
2016-01-13,24.0,24.153244
2016-01-14,25.0,24.143095
2016-01-15,23.0,24.38364
2016-01-16,25.0,23.937777
2016-01-17,25.0,24.336002
2016-01-18,24.0,24.42574
2016-01-19,24.0,24.227312
2016-01-20,24.0,24.176565
2016-01-21,24.0,24.154434
2016-01-22,24.0,24.141926
2016-01-23,25.0,24.133905
2016-01-24,24.0,24.377605
2016-01-25,25.0,24.202705
2016-01-26,24.0,24.405956
2016-01-27,25.0,24.221527
2016-01-28,23.0,24.418127
2016-01-29,26.0,23.963015
2016-01-30,25.0,24.573915
2016-01-31,25.0,24.500921
2016-02-01,26.0,24.505066
2016-02-02,24.0,24.714409
2016-02-03,25.0,24.357601
2016-02-04,25.0,24.497826
2016-02-05,25.0,24.523785
2016-02-06,25.0,24.534473
2016-02-07,26.0,24.54058
2016-02-08,23.0,24.741486
2016-02-09,24.0,24.1371
2016-02-10,25.0,24.214941
2016-02-11,24.0,24.446087
2016-02-12,25.0,24.266912
2016-02-13,25.0,24.457397
2016-02-14,25.0,24.500782
2016-02-15,25.0,24.519667
2016-02-16,25.0,24.530048
2016-02-17,23.0,24.53697
2016-02-18,23.0,24.058432
2016-02-19,25.0,23.894617
2016-02-20,26.0,24.345535
2016-02-21,25.0,24.653357
2016-02-22,25.0,24.542526
2016-02-23,24.0,24.533506
2016-02-24,25.0,24.308544
2016-02-25,23.0,24.478218
2016-02-26,24.0,24.021526
2016-02-27,24.0,24.147459
2016-02-28,24.0,24.157757
2016-02-29,25.0,24.1534
2016-03-01,25.0,24.393845
2016-03-02,24.0,24.45673
2016-03-03,24.0,24.251621
2016-03-04,24.0,24.196945
2016-03-05,24.0,24.171408
2016-03-06,24.0,24.156107
2016-03-07,24.0,24.14534
