Tanggal,Actual,Predicted
2015-04-14,28.8,28.530529
2015-04-15,28.8,28.624977
2015-04-16,29.1,28.640743
2015-04-17,29.2,28.783443
2015-04-18,25.1,28.854647
2015-04-19,27.3,26.784475
2015-04-20,25.2,27.738174
2015-04-21,28.0,26.502384
2015-04-22,27.4,27.865376
2015-04-23,24.6,27.572145
2015-04-24,28.1,26.021364
2015-04-25,25.6,27.725908
2015-04-26,25.8,26.432549
2015-04-27,24.7,26.428349
2015-04-28,28.0,25.778112
2015-04-29,28.2,27.411684
2015-04-30,28.1,27.637594
2015-05-01,27.7,27.674934
2015-05-02,27.9,27.53264
2015-05-03,27.6,27.665154
2015-05-04,27.0,27.548225
2015-05-05,25.8,27.234863
2015-05-06,25.9,26.536491
2015-05-07,26.4,26.492514
2015-05-08,27.4,26.696321
2015-05-09,27.8,27.222855
2015-05-10,27.9,27.480762
2015-05-11,28.1,27.590923
2015-05-12,27.5,27.747423
2015-05-13,27.4,27.490305
2015-05-14,28.1,27.441118
2015-05-15,26.8,27.814758
2015-05-16,25.8,27.168898
2015-05-17,25.8,26.557665
2015-05-18,27.0,26.456598
2015-05-19,27.4,27.040257
2015-05-20,25.9,27.273909
2015-05-21,26.5,26.480556
2015-05-22,27.9,26.732613
2015-05-23,28.0,27.480944
2015-05-24,28.3,27.611584
2015-05-25,27.8,27.831846
2015-05-26,27.7,27.651228
2015-05-27,28.4,27.624023
2015-05-28,28.9,28.004324
2015-05-29,28.4,28.308006
2015-05-30,28.0,28.156794
2015-05-31,27.6,27.99156
2015-06-01,28.4,27.788082
2015-06-02,28.7,28.174103
2015-06-03,28.6,28.35427
2015-06-04,28.5,28.356388
2015-06-05,28.7,28.342339
2015-06-06,27.9,28.45679
2015-06-07,28.3,28.103762
2015-06-08,27.0,28.27052
2015-06-09,27.2,27.605795
2015-06-10,27.1,27.62339
2015-06-11,27.1,27.513151
2015-06-12,27.3,27.459526
2015-06-13,27.2,27.52432
2015-06-14,27.1,27.446163
2015-06-15,27.5,27.364365
2015-06-16,27.4,27.552538
2015-06-17,27.9,27.501963
2015-06-18,27.7,27.762152
2015-06-19,28.0,27.687885
2015-06-20,27.6,27.85373
2015-06-21,26.8,27.675117
2015-06-22,25.8,27.23412
2015-06-23,25.7,26.615793
2015-06-24,26.5,26.45094
