Tanggal,Actual,Predicted
2015-04-12,2.0,1.9898952184151872
2015-04-13,2.0,2.0456874786851653
2015-04-14,3.0,2.081851958877637
2015-04-15,2.0,2.6356894260670334
2015-04-16,1.0,2.122284720195852
2015-04-17,2.0,1.4759874648268172
2015-04-18,2.0,1.9697480382166808
2015-04-19,2.0,1.9677546433681121
2015-04-20,1.0,2.119148992031926
2015-04-21,1.0,1.5037344365701293
2015-04-22,2.0,1.2967309390675317
2015-04-23,1.0,1.948772163203602
2015-04-24,1.0,1.4062440551145008
2015-04-25,1.0,1.2845619867533051
2015-04-26,4.0,1.3537362190792719
2015-04-27,3.0,3.2028151009555423
2015-04-28,4.0,2.7875011863285923
2015-04-29,3.0,3.313844767746789
2015-04-30,3.0,2.848984325480304
2015-05-01,3.0,2.811226810213464
2015-05-02,2.0,2.9246838988519475
2015-05-03,2.0,2.1504850523498025
2015-05-04,2.0,2.1053539405745543
2015-05-05,2.0,2.115467307870654
2015-05-06,4.0,2.1693461863390215
2015-05-07,4.0,3.3675137800938963
2015-05-08,5.0,3.5573417721484497
2015-05-09,4.0,4.1773846909676084
2015-05-10,4.0,3.6405963860899484
2015-05-11,4.0,3.6425502861723893
2015-05-12,4.0,3.6567447366426458
2015-05-13,4.0,3.5796734975439812
2015-05-14,4.0,3.7479391844091787
2015-05-15,4.0,3.623980669075453
2015-05-16,3.0,3.7750189456250802
2015-05-17,3.0,3.0692077583528055
2015-05-18,2.0,3.0599279421057894
2015-05-19,2.0,2.4371493162075257
2015-05-20,3.0,2.404790992854773
2015-05-21,4.0,2.9052359190106944
2015-05-22,3.0,3.6158404456499533
2015-05-23,3.0,3.0444062147159934
2015-05-24,3.0,3.01895993565009
2015-05-25,4.0,2.9787154947250247
2015-05-26,4.0,3.6908650629319646
2015-05-27,4.0,3.726355829400591
2015-05-28,4.0,3.7588772246630406
2015-05-29,3.0,3.746427580128073
2015-05-30,3.0,3.2432570217723815
2015-05-31,3.0,3.1016023245442903
2015-06-01,5.0,3.0379804264826924
2015-06-02,6.0,4.305895388081796
2015-06-03,6.0,5.0976103157375
2015-06-04,7.0,5.243588954571253
2015-06-05,6.0,5.911530094179456
2015-06-06,5.0,5.4307061723783665
2015-06-07,4.0,4.822133317856357
2015-06-08,4.0,4.114193846164939
2015-06-09,5.0,3.980404935300785
2015-06-10,4.0,4.645719284335742
2015-06-11,4.0,4.072189455978021
2015-06-12,3.0,4.065262652839438
2015-06-13,4.0,3.4060258205489213
2015-06-14,3.0,3.9829802924639233
2015-06-15,4.0,3.34768426358089
2015-06-16,4.0,3.821517967002182
2015-06-17,5.0,3.9284165871556973
2015-06-18,4.0,4.531904433990137
2015-06-19,4.0,4.060250338378596
2015-06-20,2.0,3.9397446030988044
2015-06-21,4.0,2.7046500412048164
2015-06-22,4.0,3.751566444957748
2015-06-23,5.0,3.9216557173027433
2015-06-24,5.0,4.580890016230713
2015-06-25,5.0,4.688026942104161
2015-06-26,4.0,4.683097630215203
2015-06-27,5.0,4.138156259881415
2015-06-28,4.0,4.580555014825622
2015-06-29,4.0,4.0848871832819516
2015-06-30,4.0,3.954638521492202
2015-07-01,4.0,4.082724097468246
2015-07-02,4.0,4.036048811926536
2015-07-03,5.0,4.1198551353903685
2015-07-04,4.0,4.619997433652417
2015-07-05,3.0,4.159080341906163
2015-07-06,2.0,3.346599423122742
2015-07-07,2.0,2.744266126046357
2015-07-08,1.0,2.466905930762623
2015-07-09,2.0,1.982225694276041
2015-07-10,5.0,2.3797707176470215
2015-07-11,4.0,4.288750935612869
2015-07-12,8.0,3.8359358540424915
2015-07-13,5.0,6.344246617069702
2015-07-14,4.0,4.660638386463718
2015-07-15,4.0,4.120837514845876
