Tanggal,Actual,Predicted
2015-04-12,10.0,7.940953584440406
2015-04-13,10.0,7.4196387910446155
2015-04-14,9.7,8.431291894097352
2015-04-15,6.4,6.775428219493692
2015-04-16,9.4,7.791645192527585
2015-04-17,6.900000000000001,7.844146664123996
2015-04-18,7.4,7.506254211247441
2015-04-19,6.4,8.328544433318076
2015-04-20,7.8999999999999995,7.468372804639284
2015-04-21,4.2,6.32672148377075
2015-04-22,6.0,6.716736764625346
2015-04-23,5.6,6.060218764680573
2015-04-24,2.2,7.006406566223832
2015-04-25,6.0,5.488877695084845
2015-04-26,2.9,6.427006031396282
2015-04-27,9.2,5.022293323022962
2015-04-28,9.4,7.691537523164744
2015-04-29,9.7,6.523641522535947
2015-04-30,6.7,8.304370073518117
2015-05-01,9.7,7.888512136222133
2015-05-02,8.5,6.495601098489401
2015-05-03,9.7,7.3150955285218044
2015-05-04,9.8,6.400272704074948
2015-05-05,9.7,7.688488297604503
2015-05-06,9.7,7.862499237377333
2015-05-07,10.0,8.446685967804347
2015-05-08,9.9,6.902775071184192
2015-05-09,9.9,7.415081693826257
2015-05-10,8.6,7.054539983475767
2015-05-11,2.9,6.987054774115132
2015-05-12,9.9,5.584350243026099
2015-05-13,10.0,6.969774848969651
2015-05-14,9.9,7.53816549308839
2015-05-15,9.4,8.095956159698364
2015-05-16,10.8,8.056426854775241
2015-05-17,9.3,7.701250712807597
2015-05-18,9.5,8.585341714846832
2015-05-19,6.3,7.403262040788151
2015-05-20,4.4,7.021732503581313
2015-05-21,9.8,7.036415855425205
2015-05-22,9.8,6.678975631001055
2015-05-23,9.8,6.289506817151255
2015-05-24,8.6,7.088491248354792
2015-05-25,9.9,7.502733463420222
2015-05-26,9.8,8.274008104308358
2015-05-27,9.6,8.146546176400426
2015-05-28,8.1,8.005558647362939
2015-05-29,9.8,7.031898997863601
2015-05-30,7.3,7.263228902380912
2015-05-31,9.7,6.8897747981150035
2015-06-01,9.4,7.847521718083194
2015-06-02,4.1,8.277852922643028
2015-06-03,9.7,8.076508544080639
2015-06-04,9.6,7.456090488773239
2015-06-05,8.8,8.062770531674605
2015-06-06,9.3,8.29076159647581
2015-06-07,2.8,6.474417458268066
2015-06-08,9.4,5.950120320676214
2015-06-09,9.3,7.154256125990957
2015-06-10,5.9,7.0269491837278535
2015-06-11,9.5,7.675521236708589
2015-06-12,8.5,7.0128208980652875
2015-06-13,9.7,7.090048280431814
2015-06-14,10.1,7.905416190478618
2015-06-15,9.0,7.703578763522072
2015-06-16,9.7,7.3660274141550275
2015-06-17,8.8,7.89304610133513
2015-06-18,9.1,7.1725358554365615
2015-06-19,9.2,7.696701328298329
2015-06-20,3.8,7.618437357606927
2015-06-21,8.3,7.148746808897563
2015-06-22,8.5,6.926596305250216
2015-06-23,9.7,6.954317385896238
2015-06-24,9.6,7.2817085558342285
2015-06-25,9.9,6.720783864117566
2015-06-26,9.1,8.484323089640837
2015-06-27,6.5,7.527660948480731
2015-06-28,9.6,8.354081594468191
2015-06-29,7.8999999999999995,8.686443097679586
2015-06-30,9.8,7.198571816437249
2015-07-01,9.8,7.206992136622601
2015-07-02,9.7,7.688102195676908
2015-07-03,7.4,8.193694484872958
2015-07-04,7.500000000000001,7.836627571608478
2015-07-05,9.5,8.306757683493501
2015-07-06,6.3,7.3061033600587635
2015-07-07,9.8,7.01741954584079
2015-07-08,9.7,7.3719207681206464
2015-07-09,8.5,8.118726553849253
2015-07-10,8.1,7.674124927170783
2015-07-11,9.5,8.343690116536383
2015-07-12,9.3,8.814819460318853
2015-07-13,9.4,8.077229897929895
2015-07-14,9.8,8.350500197667408
2015-07-15,6.6,8.899151506314324
2015-07-16,9.8,7.919322134108757
2015-07-17,6.4,8.212978147256246
2015-07-18,9.8,7.800993313334574
2015-07-19,9.7,8.399444791501185
2015-07-20,6.4,7.201100453237193
2015-07-21,9.1,8.16710062515932
2015-07-22,7.8,7.838727540417514
2015-07-23,9.6,7.926508631461192
2015-07-24,9.7,8.240062522088744
2015-07-25,9.4,8.356856041088678
2015-07-26,9.5,7.8855726785768345
2015-07-27,6.2,7.915966320523149
2015-07-28,9.0,7.6465292420426865
2015-07-29,9.2,8.098949541098325
2015-07-30,9.7,8.298022757459542
2015-07-31,9.5,8.307128767771843
2015-08-01,9.7,8.471674880686889
2015-08-02,9.0,8.312879424270857
2015-08-03,9.5,8.526611897906166
2015-08-04,9.7,8.658889500318395
2015-08-05,9.3,8.871770083567545
2015-08-06,9.3,7.860382357704188
2015-08-07,9.5,8.077078566348572
2015-08-08,9.3,8.611297895959488
2015-08-09,7.700000000000001,8.5546227903659
2015-08-10,9.6,8.966788833098235
2015-08-11,9.5,9.073551186215079
2015-08-12,4.0,8.646825725392388
2015-08-13,9.5,7.926425747234993
2015-08-14,9.5,7.61167884120661
2015-08-15,9.5,8.547202337611083
2015-08-16,9.4,7.795461509726998
2015-08-17,9.6,8.141993405879793
2015-08-18,9.8,8.80811785624195
2015-08-19,9.6,8.061683444517032
2015-08-20,9.7,8.850992807948998
2015-08-21,8.3,9.310853716921569
2015-08-22,8.2,8.272975202018168
2015-08-23,9.9,7.960987122888484
2015-08-24,8.7,8.890177803619117
2015-08-25,10.1,8.354943783424401
2015-08-26,7.6,8.36893661257172
2015-08-27,10.2,9.474156727947651
2015-08-28,10.2,8.602394876081489
2015-08-29,10.1,8.874903468791969
2015-08-30,10.4,9.214138722987911
2015-08-31,10.1,9.248331326375476
2015-09-01,9.2,8.244735812252397
2015-09-02,10.3,8.344582229622857
2015-09-03,9.5,9.040893628690752
2015-09-04,8.7,8.899362663103187
2015-09-05,9.7,9.07943443035032
2015-09-06,9.8,9.042798724248199
2015-09-07,10.4,8.971206651974866
2015-09-08,10.0,9.27601773158883
2015-09-09,10.3,9.154033836616083
2015-09-10,10.0,8.87226739379146
2015-09-11,10.2,8.92749492252465
2015-09-12,10.5,9.558064275760152
2015-09-13,5.3,10.093332003519373
2015-09-14,10.0,8.098483017378785
2015-09-15,7.2,8.176592208154362
2015-09-16,7.8,8.243336617272796
2015-09-17,9.8,8.135661006795049
2015-09-18,10.0,8.06642982408929
2015-09-19,10.5,9.229144022478623
2015-09-20,10.3,8.505380072129347
2015-09-21,10.4,9.24959567319708
2015-09-22,10.4,9.401381799037251
2015-09-23,10.2,9.144846378374437
2015-09-24,9.7,8.4595368815409
2015-09-25,10.2,8.76169004815811
2015-09-26,10.4,8.544704511397514
2015-09-27,10.2,8.497538850984434
2015-09-28,10.3,10.249051514145172
2015-09-29,10.4,9.173937094726252
2015-09-30,10.3,9.352869842630527
2015-10-01,10.3,10.143003306731828
2015-10-02,10.3,9.573491974220312
2015-10-03,10.3,9.172607926157493
2015-10-04,10.3,9.064853450226005
2015-10-05,10.1,8.820417091772374
2015-10-06,10.4,8.519730485160158
2015-10-07,10.2,9.131500871591731
2015-10-08,8.6,9.208548516749632
2015-10-09,10.4,9.236561074096
2015-10-10,10.5,9.236676764567001
2015-10-11,10.2,9.633842597223646
2015-10-12,10.2,8.979276207980819
2015-10-13,8.4,9.220329332069841
2015-10-14,8.0,8.230252619521936
2015-10-15,10.6,8.070039372123258
2015-10-16,10.6,9.562265952934498
2015-10-17,10.3,10.04532760492272
2015-10-18,10.3,9.415231806811779
2015-10-19,10.4,9.103181916772792
2015-10-20,10.4,9.470660152132176
2015-10-21,10.5,9.737134700497112
2015-10-22,10.2,9.743199745092385
2015-10-23,10.1,9.542010724887362
2015-10-24,10.3,8.466648692150992
2015-10-25,10.0,8.907542004614067
2015-10-26,10.0,9.854300977894567
2015-10-27,10.1,9.728663157312864
2015-10-28,1.7,9.541031439317127
2015-10-29,9.5,7.76977489266079
