Tanggal,Actual,Predicted
2015-04-14,4.0,4.976632
2015-04-15,5.0,4.761446
2015-04-16,5.0,4.8094397
2015-04-17,4.0,4.842994
2015-04-18,4.0,4.682716
2015-04-19,3.0,4.5839257
2015-04-20,4.0,4.3595304
2015-04-21,5.0,4.3623433
2015-04-22,6.0,4.5270333
2015-04-23,6.0,4.8413305
2015-04-24,6.0,5.065585
2015-04-25,5.0,5.221638
2015-04-26,5.0,5.1266294
2015-04-27,6.0,5.073726
2015-04-28,3.0,5.2496967
2015-04-29,3.0,4.7685213
2015-04-30,5.0,4.5040236
2015-05-01,4.0,4.648871
2015-05-02,7.0,4.56669
2015-05-03,5.0,5.1011424
2015-05-04,4.0,5.045644
2015-05-05,6.0,4.8282623
2015-05-06,5.0,5.0825686
2015-05-07,6.0,5.039402
2015-05-08,6.0,5.2352085
2015-05-09,5.0,5.3642445
2015-05-10,6.0,5.24578
2015-05-11,6.0,5.395242
2015-05-12,4.0,5.485906
2015-05-13,6.0,5.1271973
2015-05-14,6.0,5.3341403
2015-05-15,6.0,5.458229
2015-05-16,5.0,5.5494595
2015-05-17,5.0,5.3970065
2015-05-18,5.0,5.311828
2015-05-19,5.0,5.25306
2015-05-20,4.0,5.2161045
2015-05-21,4.0,4.983207
2015-05-22,4.0,4.8343344
2015-05-23,4.0,4.72609
2015-05-24,6.0,4.648286
2015-05-25,6.0,4.9782033
2015-05-26,5.0,5.204738
2015-05-27,5.0,5.148003
2015-05-28,5.0,5.1144156
2015-05-29,6.0,5.093326
2015-05-30,7.0,5.293373
2015-05-31,6.0,5.634318
2015-06-01,5.0,5.6461735
2015-06-02,6.0,5.452153
2015-06-03,5.0,5.557097
2015-06-04,8.0,5.40112
2015-06-05,9.0,5.9438124
2015-06-06,8.0,6.398676
2015-06-07,8.0,6.501155
2015-06-08,9.0,6.5891447
2015-06-09,8.0,6.792079
2015-06-10,8.0,6.750629
2015-06-11,7.0,6.755205
2015-06-12,7.0,6.5989323
2015-06-13,6.0,6.5299463
2015-06-14,8.0,6.2982635
2015-06-15,7.0,6.548474
2015-06-16,6.0,6.4765286
2015-06-17,7.0,6.2694497
2015-06-18,6.0,6.354272
2015-06-19,7.0,6.186394
2015-06-20,7.0,6.301548
2015-06-21,6.0,6.34601
2015-06-22,6.0,6.181068
2015-06-23,8.0,6.096561
2015-06-24,8.0,6.4203315
2015-06-25,8.0,6.563819
2015-06-26,3.0,6.651471
2015-06-27,6.0,5.7214675
2015-06-28,8.0,5.8630495
2015-06-29,6.0,6.274626
2015-06-30,7.0,6.1129904
2015-07-01,8.0,6.250706
2015-07-02,6.0,6.4838943
2015-07-03,6.0,6.24248
2015-07-04,7.0,6.1330237
2015-07-05,4.0,6.2578793
2015-07-06,5.0,5.689214
2015-07-07,7.0,5.592853
2015-07-08,6.0,5.9262795
2015-07-09,5.0,5.899496
2015-07-10,5.0,5.6865616
2015-07-11,5.0,5.5568075
2015-07-12,6.0,5.464084
2015-07-13,5.0,5.616115
2015-07-14,6.0,5.482776
2015-07-15,5.0,5.624029
2015-07-16,7.0,5.480666
2015-07-17,5.0,5.8292665
2015-07-18,7.0,5.5967827
2015-07-19,7.0,5.9062443
2015-07-20,6.0,6.0648546
2015-07-21,6.0,5.9691286
2015-07-22,5.0,5.927438
2015-07-23,6.0,5.6838336
2015-07-24,6.0,5.757647
2015-07-25,6.0,5.7872076
2015-07-26,6.0,5.8091745
2015-07-27,7.0,5.826555
2015-07-28,6.0,6.0418324
2015-07-29,7.0,5.956762
2015-07-30,8.0,6.128041
2015-07-31,6.0,6.393446
2015-08-01,6.0,6.1695065
2015-08-02,9.0,6.0717072
2015-08-03,8.0,6.5516324
2015-08-04,8.0,6.609642
2015-08-05,6.0,6.673981
2015-08-06,5.0,6.3628526
2015-08-07,6.0,6.0020237
2015-08-08,6.0,5.999366
2015-08-09,5.0,5.973534
2015-08-10,5.0,5.743695
2015-08-11,5.666666666666667,5.6080813
2015-08-12,6.333333333333333,5.6557026
2015-08-13,7.0,5.815767
2015-08-14,7.0,6.041171
2015-08-15,5.0,6.1689143
2015-08-16,7.0,5.8378415
2015-08-17,6.0,6.0809417
2015-08-18,6.0,5.9886703
2015-08-19,6.0,5.9538937
2015-08-20,6.0,5.9292545
2015-08-21,6.0,5.913503
2015-08-22,7.0,5.903566
2015-08-23,6.0,6.100896
2015-08-24,6.0,6.0049086
2015-08-25,7.0,5.96472
2015-08-26,7.0,6.13966
2015-08-27,6.0,6.2285094
2015-08-28,7.0,6.0900245
2015-08-29,6.0,6.222615
2015-08-30,8.0,6.0849085
2015-08-31,6.0,6.403607
2015-09-01,7.0,6.1831193
2015-09-02,8.0,6.2868967
2015-09-03,8.0,6.500845
2015-09-04,8.0,6.6069417
2015-09-05,7.0,6.672947
2015-09-06,7.0,6.5498433
2015-09-07,6.0,6.4993744
2015-09-08,8.0,6.2777724
2015-09-09,9.0,6.534644
2015-09-10,7.0,6.7796865
2015-09-11,7.0,6.600472
2015-09-12,7.0,6.53699
2015-09-13,6.0,6.495209
2015-09-14,6.0,6.279911
2015-09-15,7.0,6.166382
2015-09-16,6.0,6.2889924
2015-09-17,6.0,6.1452875
2015-09-18,5.0,6.075898
2015-09-19,6.0,5.8133674
2015-09-20,6.0,5.874505
2015-09-21,6.0,5.889733
2015-09-22,6.0,5.8992205
2015-09-23,7.0,5.902523
2015-09-24,7.0,6.106307
2015-09-25,7.0,6.2118044
2015-09-26,6.0,6.2784452
2015-09-27,8.0,6.1242766
2015-09-28,6.0,6.427971
2015-09-29,6.0,6.1993046
2015-09-30,6.0,6.1006174
2015-10-01,6.0,6.033439
2015-10-02,8.0,5.9904556
2015-10-03,6.0,6.348474
2015-10-04,6.0,6.1513953
2015-10-05,6.0,6.070109
2015-10-06,4.0,6.01278
2015-10-07,6.0,5.5438886
2015-10-08,7.0,5.701621
2015-10-09,6.0,5.9726057
2015-10-10,6.0,5.925733
2015-10-11,7.0,5.9137435
2015-10-12,5.0,6.1058526
2015-10-13,6.0,5.793476
2015-10-14,6.0,5.844123
2015-10-15,7.0,5.8533854
2015-10-16,9.0,6.0666904
2015-10-17,7.5,6.5202966
2015-10-18,6.0,6.5111175
2015-10-19,7.0,6.265508
2015-10-20,6.0,6.336829
2015-10-21,8.0,6.1624346
2015-10-22,7.0,6.4557447
2015-10-23,7.0,6.4108706
2015-10-24,7.0,6.4102793
2015-10-25,8.0,6.4085884
2015-10-26,6.0,6.5807285
2015-10-27,6.0,6.305613
2015-10-28,7.0,6.1774797
2015-10-29,6.0,6.290271
2015-10-30,6.0,6.141712
2015-10-31,7.0,6.0700884
2015-11-01,7.0,6.221031
2015-11-02,6.0,6.291085
2015-11-03,6.0,6.141051
2015-11-04,6.0,6.065454
2015-11-05,6.0,6.0138144
2015-11-06,4.0,5.980238
2015-11-07,7.0,5.5249934
2015-11-08,6.0,5.902018
2015-11-09,7.0,5.8800416
2015-11-10,6.0,6.0925465
2015-11-11,7.0,6.001939
2015-11-12,7.0,6.1667585
2015-11-13,7.0,6.2462673
2015-11-14,7.0,6.2982616
2015-11-15,6.0,6.331118
2015-11-16,6.0,6.1579804
2015-11-17,7.0,6.070238
2015-11-18,7.0,6.2139344
2015-11-19,6.0,6.2815886
2015-11-20,8.0,6.130781
2015-11-21,6.0,6.4349875
2015-11-22,5.0,6.20626
2015-11-23,5.0,5.895727
2015-11-24,6.0,5.7069454
2015-11-25,7.0,5.7938952
2015-11-26,6.0,6.037426
2015-11-27,6.0,5.9708796
2015-11-28,8.0,5.946561
2015-11-29,8.0,6.31563
2015-11-30,6.0,6.491818
2015-12-01,7.0,6.2425356
2015-12-02,6.0,6.323311
2015-12-03,7.0,6.1534634
2015-12-04,6.0,6.2697034
2015-12-05,5.0,6.121978
2015-12-06,5.0,5.8385935
2015-12-07,8.0,5.669384
2015-12-08,4.0,6.1707397
