Tanggal,Actual,Predicted
2015-04-14,1.0,1.4496264
2015-04-15,1.0,1.4262414
2015-04-16,1.0,1.4144216
2015-04-17,1.0,1.4071188
2015-04-18,1.0,1.402223
2015-04-19,1.0,1.3988364
2015-04-20,1.0,1.3964224
2015-04-21,1.0,1.3947059
2015-04-22,1.0,1.393475
2015-04-23,2.0,1.3926133
2015-04-24,2.0,1.681694
2015-04-25,1.0,1.8072419
2015-04-26,1.0,1.5520654
2015-04-27,1.0,1.4684043
2015-04-28,1.0,1.4377308
2015-04-29,1.0,1.4218477
2015-04-30,2.0,1.4120278
2015-05-01,1.0,1.6957469
2015-05-02,1.0,1.5100217
2015-05-03,1.0,1.4450611
2015-05-04,1.0,1.4229364
2015-05-05,2.0,1.4119626
2015-05-06,2.0,1.6956353
2015-05-07,2.0,1.817327
2015-05-08,1.0,1.8705837
2015-05-09,2.0,1.590766
2015-05-10,2.0,1.7924604
2015-05-11,2.0,1.8804951
2015-05-12,1.0,1.9151075
2015-05-13,3.0,1.6213286
2015-05-14,2.0,2.1979446
2015-05-15,2.0,2.0349424
2015-05-16,2.0,1.9985901
2015-05-17,2.0,1.9926199
2015-05-18,2.0,1.9908096
2015-05-19,2.0,1.9904592
2015-05-20,1.0,1.9905105
2015-05-21,1.0,1.672503
2015-05-22,1.0,1.5510625
2015-05-23,1.0,1.4952283
2015-05-24,2.0,1.4623095
2015-05-25,1.0,1.732314
2015-05-26,2.0,1.536756
2015-05-27,1.0,1.7587922
2015-05-28,2.0,1.5490506
2015-05-29,3.0,1.7671981
2015-05-30,3.0,2.2527835
2015-05-31,4.0,2.4359217
2015-06-01,2.0,2.9136658
2015-06-02,2.0,2.3738985
2015-06-03,2.0,2.215252
2015-06-04,3.0,2.1416442
2015-06-05,4.0,2.495432
2015-06-06,4.0,2.9805722
2015-06-07,4.0,3.1603332
2015-06-08,4.0,3.2879243
2015-06-09,4.0,3.3808112
2015-06-10,3.0,3.452763
2015-06-11,2.0,3.2013195
2015-06-12,2.0,2.7272725
2015-06-13,2.0,2.5134254
2015-06-14,3.0,2.375758
2015-06-15,3.0,2.68637
2015-06-16,2.0,2.7646346
2015-06-17,2.0,2.4096515
2015-06-18,2.0,2.2805948
2015-06-19,2.0,2.2062466
2015-06-20,3.0,2.1565158
2015-06-21,2.0,2.5188322
2015-06-22,2.0,2.244587
2015-06-23,3.0,2.1608198
2015-06-24,4.0,2.5156727
2015-06-25,3.0,3.000291
2015-06-26,1.0,2.8474863
2015-06-27,2.0,2.1055565
2015-06-28,2.0,2.1458762
2015-06-29,2.0,2.1312785
2015-06-30,3.0,2.0996892
2015-07-01,2.0,2.4699805
2015-07-02,2.0,2.2044158
2015-07-03,2.0,2.1259983
2015-07-04,3.0,2.0890913
2015-07-05,2.0,2.4596086
2015-07-06,2.0,2.1936371
2015-07-07,2.0,2.1154554
2015-07-08,1.0,2.0792606
2015-07-09,2.0,1.7331829
2015-07-10,2.0,1.8981285
2015-07-11,2.0,1.958503
2015-07-12,2.0,1.9741399
2015-07-13,2.0,1.982183
2015-07-14,2.0,1.9870274
2015-07-15,2.0,1.9899583
2015-07-16,4.0,1.9919713
2015-07-17,2.0,2.7723565
2015-07-18,3.0,2.2841167
2015-07-19,3.0,2.5547354
2015-07-20,2.0,2.6506083
2015-07-21,2.0,2.3086236
2015-07-22,1.0,2.1943965
2015-07-23,2.0,1.8052922
2015-07-24,2.0,1.9492496
2015-07-25,2.0,1.99371
2015-07-26,2.0,1.9986472
2015-07-27,4.0,1.99986
2015-07-28,2.0,2.7770948
2015-07-29,3.0,2.2894118
2015-07-30,4.0,2.558571
2015-07-31,3.0,3.0203958
2015-08-01,3.0,2.8514266
2015-08-02,4.0,2.843234
2015-08-03,4.0,3.2049859
2015-08-04,3.0,3.3295321
2015-08-05,2.0,3.1043916
2015-08-06,2.0,2.6495478
2015-08-07,2.0,2.4546926
2015-08-08,2.0,2.3335614
2015-08-09,2.0,2.2480536
2015-08-10,2.0,2.1863384
2015-08-11,4.0,2.1410537
2015-08-12,4.0,2.8872256
2015-08-13,4.0,3.1135163
2015-08-14,3.0,3.264029
2015-08-15,2.0,3.054875
2015-08-16,3.0,2.613084
2015-08-17,2.0,2.8361146
2015-08-18,2.0,2.4734745
2015-08-19,2.0,2.332757
2015-08-20,2.0,2.2469106
2015-08-21,2.0,2.1865342
2015-08-22,2.0,2.1438007
2015-08-23,2.0,2.1106088
2015-08-24,3.0,2.085604
2015-08-25,3.0,2.4615045
2015-08-26,3.0,2.5932288
2015-08-27,3.0,2.6686382
2015-08-28,3.0,2.7248347
2015-08-29,4.0,2.7657824
2015-08-30,4.0,3.1528966
2015-08-31,4.0,3.2940192
2015-09-01,4.0,3.3962724
2015-09-02,3.0,3.4717076
2015-09-03,4.0,3.2299376
2015-09-04,4.0,3.4778724
2015-09-05,4.0,3.5479975
2015-09-06,4.0,3.6038098
2015-09-07,3.0,3.6460638
2015-09-08,3.0,3.4084387
2015-09-09,3.0,3.3219995
2015-09-10,2.0,3.2665408
2015-09-11,4.0,2.8350813
2015-09-12,4.0,3.3826053
2015-09-13,2.0,3.4884589
2015-09-14,2.0,2.9177346
2015-09-15,2.0,2.6759546
2015-09-16,3.0,2.5195131
2015-09-17,2.0,2.8128772
2015-09-18,2.0,2.4782782
2015-09-19,3.0,2.3518786
2015-09-20,2.0,2.6739917
2015-09-21,3.0,2.3667414
2015-09-22,2.0,2.6604598
2015-09-23,4.0,2.351583
2015-09-24,4.0,3.016633
2015-09-25,3.0,3.2088103
2015-09-26,4.0,3.019925
2015-09-27,4.0,3.3222477
2015-09-28,3.0,3.4264603
2015-09-29,3.0,3.202195
2015-09-30,2.0,3.1347532
2015-10-01,4.0,2.7035303
2015-10-02,4.0,3.2775912
2015-10-03,3.0,3.4019845
2015-10-04,3.0,3.1923828
2015-10-05,3.0,3.1316757
2015-10-06,2.0,3.0981982
2015-10-07,3.0,2.681264
2015-10-08,3.0,2.905991
2015-10-09,3.0,2.9380283
2015-10-10,3.0,2.9524055
2015-10-11,3.0,2.9621549
2015-10-12,2.0,2.9653234
2015-10-13,3.0,2.572959
2015-10-14,2.0,2.8205407
2015-10-15,3.0,2.474866
2015-10-16,4.0,2.746042
2015-10-17,3.0,3.1665125
2015-10-18,3.0,2.9951887
2015-10-19,3.0,2.9774513
2015-10-20,2.0,2.9732387
2015-10-21,3.0,2.5783484
2015-10-22,3.0,2.8195906
2015-10-23,2.0,2.8680732
2015-10-24,3.0,2.493439
2015-10-25,3.0,2.7506075
2015-10-26,3.0,2.8125587
2015-10-27,2.0,2.844283
2015-10-28,3.0,2.4709594
2015-10-29,3.0,2.73126
2015-10-30,2.0,2.7968016
2015-10-31,4.0,2.4365926
2015-11-01,3.0,3.075646
2015-11-02,3.0,2.9166312
2015-11-03,3.0,2.9106524
2015-11-04,2.0,2.9154458
2015-11-05,2.0,2.5250614
2015-11-06,2.0,2.3702755
2015-11-07,2.0,2.2729135
2015-11-08,3.0,2.2042441
2015-11-09,3.0,2.5535047
2015-11-10,3.0,2.6636372
2015-11-11,2.0,2.7267601
2015-11-12,3.0,2.3779325
2015-11-13,4.0,2.654581
2015-11-14,3.0,3.0964231
2015-11-15,2.0,2.923717
2015-11-16,2.0,2.513649
2015-11-17,2.0,2.3517008
2015-11-18,2.0,2.254987
2015-11-19,2.0,2.1887574
2015-11-20,2.0,2.1419613
2015-11-21,3.0,2.1065648
2015-11-22,2.0,2.4762044
2015-11-23,2.0,2.2099571
2015-11-24,3.0,2.1302402
2015-11-25,3.0,2.4888375
2015-11-26,1.0,2.6106703
2015-11-27,1.0,1.9477952
2015-11-28,2.0,1.7131766
2015-11-29,2.0,1.9058523
2015-11-30,3.0,1.9681542
2015-12-01,3.0,2.37213
2015-12-02,2.0,2.5236506
2015-12-03,2.0,2.2188914
2015-12-04,2.0,2.1291018
2015-12-05,2.0,2.0879261
2015-12-06,1.0,2.062245
2015-12-07,1.0,1.7229016
2015-12-08,1.0,1.5870833
2015-12-09,1.0,1.5206773
2015-12-10,2.0,1.4804235
2015-12-11,2.0,1.7459717
2015-12-12,1.0,1.8550832
2015-12-13,1.0,1.5878532
