Tanggal,Actual,Predicted
2015-04-14,88.66666666666667,86.8062
2015-04-15,90.0,87.55249
2015-04-16,85.0,88.30445
2015-04-17,84.0,86.31746
2015-04-18,85.5,85.33802
2015-04-19,87.0,85.88262
2015-04-20,86.0,86.6423
2015-04-21,86.0,86.3175
2015-04-22,87.0,86.258156
2015-04-23,86.0,86.702126
2015-04-24,84.0,86.32205
2015-04-25,89.0,85.23058
2015-04-26,93.0,87.361755
2015-04-27,90.0,89.30201
2015-04-28,89.0,88.798584
2015-04-29,90.0,88.34294
2015-04-30,87.0,88.67757
2015-05-01,86.0,87.52614
2015-05-02,90.0,86.78766
2015-05-03,91.0,88.35798
2015-05-04,86.0,89.08232
2015-05-05,91.0,87.219696
2015-05-06,85.0,88.89485
2015-05-07,83.0,86.7347
2015-05-08,83.0,85.136055
2015-05-09,80.0,84.75176
2015-05-10,82.0,82.89852
2015-05-11,84.0,83.56894
2015-05-12,87.0,84.623055
2015-05-13,84.0,86.22598
2015-05-14,83.0,85.07678
2015-05-15,83.0,84.304085
2015-05-16,84.0,84.115364
2015-05-17,82.0,84.5596
2015-05-18,81.0,83.51723
2015-05-19,77.0,82.71791
2015-05-20,81.0,80.185135
2015-05-21,84.0,81.958626
2015-05-22,84.0,83.70802
2015-05-23,72.0,83.97536
2015-05-24,84.0,77.30379
2015-05-25,85.0,82.907486
2015-05-26,85.0,84.071526
2015-05-27,84.0,84.32194
2015-05-28,82.0,83.91394
2015-05-29,84.0,82.795166
2015-05-30,86.0,83.69322
2015-05-31,88.0,84.86531
2015-06-01,83.0,86.09121
2015-06-02,88.0,83.894104
2015-06-03,88.0,86.04775
2015-06-04,86.0,86.50551
2015-06-05,82.0,85.71866
2015-06-06,84.0,83.50363
2015-06-07,84.0,84.19796
2015-06-08,90.0,84.26472
2015-06-09,84.0,87.11962
2015-06-10,84.0,84.9486
2015-06-11,84.0,84.52981
2015-06-12,83.0,84.44884
2015-06-13,84.0,83.871254
2015-06-14,84.0,84.27437
2015-06-15,82.0,84.32235
2015-06-16,82.0,83.22655
2015-06-17,87.0,83.01166
2015-06-18,86.0,85.52183
2015-06-19,83.0,85.52629
2015-06-20,86.0,84.02887
2015-06-21,82.0,85.33878
2015-06-22,83.0,83.45299
2015-06-23,81.0,83.69032
2015-06-24,80.0,82.56098
2015-06-25,81.0,81.729675
2015-06-26,80.0,82.0679
2015-06-27,79.0,81.44677
2015-06-28,78.0,80.70533
2015-06-29,82.0,79.92558
2015-06-30,81.0,81.95979
2015-07-01,84.0,81.603775
2015-07-02,81.0,83.21851
2015-07-03,83.0,81.8289
2015-07-04,80.0,82.73926
2015-07-05,81.0,81.18543
2015-07-06,82.0,81.513145
2015-07-07,79.0,82.066124
2015-07-08,79.0,80.43556
2015-07-09,81.0,80.14495
2015-07-10,81.0,81.15281
2015-07-11,84.0,81.24106
2015-07-12,85.0,82.907455
2015-07-13,83.0,83.74436
2015-07-14,84.0,82.91061
2015-07-15,80.0,83.39043
2015-07-16,83.0,81.28791
2015-07-17,80.0,82.65451
2015-07-18,82.0,81.13403
2015-07-19,81.0,82.00391
2015-07-20,81.0,81.54324
2015-07-21,82.0,81.44958
2015-07-22,84.0,81.98181
2015-07-23,83.0,83.14786
2015-07-24,84.0,82.835976
2015-07-25,83.0,83.393295
2015-07-26,82.0,82.99362
2015-07-27,85.0,82.41774
2015-07-28,82.0,83.96445
2015-07-29,82.0,82.63909
2015-07-30,82.0,82.440544
2015-07-31,85.0,82.405785
2015-08-01,82.0,83.99045
2015-08-02,80.0,82.66669
2015-08-03,82.0,81.33247
2015-08-04,77.0,82.23265
