Tanggal,Actual,Predicted
2015-04-14,30.8,32.266415
2015-04-15,32.2,31.74682
2015-04-16,32.4,32.09725
2015-04-17,33.0,32.22513
2015-04-18,32.8,32.477665
2015-04-19,30.2,32.48727
2015-04-20,31.0,31.505838
2015-04-21,32.2,31.505758
2015-04-22,31.4,31.914913
2015-04-23,32.6,31.700922
2015-04-24,32.0,32.11781
2015-04-25,30.6,32.00247
2015-04-26,30.8,31.413736
2015-04-27,30.2,31.286198
2015-04-28,31.4,30.940678
2015-04-29,29.400000000000002,31.285137
2015-04-30,32.0,30.546833
2015-05-01,31.8,31.338943
2015-05-02,32.2,31.489893
2015-05-03,31.0,31.74468
2015-05-04,30.4,31.344305
2015-05-05,30.8,30.974667
2015-05-06,30.8,30.986828
2015-05-07,30.6,30.959713
2015-05-08,31.4,30.855152
2015-05-09,31.4,31.139862
2015-05-10,31.4,31.230585
2015-05-11,31.8,31.276134
2015-05-12,31.6,31.469843
2015-05-13,31.8,31.46143
2015-05-14,31.6,31.561651
2015-05-15,31.4,31.520844
2015-05-16,30.6,31.435059
2015-05-17,30.4,31.069117
2015-05-18,30.6,30.853245
2015-05-19,30.8,30.830112
2015-05-20,31.2,30.880436
2015-05-21,31.6,31.052984
2015-05-22,31.8,31.28094
2015-05-23,31.8,31.455807
2015-05-24,32.0,31.5345
2015-05-25,32.2,31.665335
2015-05-26,32.4,31.809473
2015-05-27,32.0,31.958658
2015-05-28,32.2,31.87147
2015-05-29,31.2,31.947336
2015-05-30,31.0,31.570124
2015-05-31,30.2,31.36665
2015-06-01,30.6,30.937256
2015-06-02,30.2,30.926296
2015-06-03,31.2,30.71752
2015-06-04,31.6,31.032053
2015-06-05,31.0,31.290668
2015-06-06,30.8,31.137554
2015-06-07,30.8,31.01228
2015-06-08,31.0,30.957636
2015-06-09,30.8,31.01006
2015-06-10,30.6,30.936611
2015-06-11,30.6,30.825195
2015-06-12,30.6,30.775928
2015-06-13,30.4,30.745382
2015-06-14,30.8,30.644201
2015-06-15,30.0,30.760202
2015-06-16,30.2,30.473505
2015-06-17,30.6,30.448675
2015-06-18,30.8,30.571634
2015-06-19,30.6,30.68869
2015-06-20,30.4,30.652843
2015-06-21,31.2,30.5649
2015-06-22,29.400000000000002,30.8538
2015-06-23,29.6,30.251074
2015-06-24,29.6,30.134953
2015-06-25,29.6,30.0572
2015-06-26,31.0,30.012833
2015-06-27,32.4,30.487698
2015-06-28,30.2,31.25465
2015-06-29,30.6,30.642975
2015-06-30,30.2,30.642187
2015-07-01,29.400000000000002,30.46464
2015-07-02,30.0,30.119349
2015-07-03,30.2,30.192682
2015-07-04,30.0,30.265903
2015-07-05,30.6,30.217316
2015-07-06,30.6,30.421585
2015-07-07,30.0,30.494003
2015-07-08,30.0,30.303623
2015-07-09,29.5,30.242273
2015-07-10,29.0,30.039495
2015-07-11,29.0,29.812359
2015-07-12,30.8,29.721085
2015-07-13,32.2,30.248785
2015-07-14,31.0,31.02879
2015-07-15,31.0,30.851322
2015-07-16,29.6,30.841837
2015-07-17,30.4,30.299927
2015-07-18,30.4,30.41392
2015-07-19,30.0,30.429996
2015-07-20,30.2,30.290665
2015-07-21,29.6,30.313488
2015-07-22,30.4,30.100155
2015-07-23,30.6,30.30423
2015-07-24,31.0,30.44308
2015-07-25,30.6,30.664312
2015-07-26,29.8,30.594868
2015-07-27,29.2,30.282467
2015-07-28,30.1,29.977915
2015-07-29,31.0,30.149746
2015-07-30,30.6,30.532063
2015-07-31,30.6,30.525745
2015-08-01,30.2,30.546041
2015-08-02,30.0,30.40325
2015-08-03,29.8,30.283606
2015-08-04,29.6,30.164286
2015-08-05,30.8,30.046469
2015-08-06,31.0,30.421753
2015-08-07,30.0,30.639074
2015-08-08,30.2,30.34844
2015-08-09,30.6,30.33672
2015-08-10,30.8,30.471735
2015-08-11,31.0,30.60149
2015-08-12,30.6,30.739803
2015-08-13,30.6,30.638617
2015-08-14,30.6,30.615225
2015-08-15,31.6,30.606289
2015-08-16,31.4,31.018223
2015-08-17,31.6,31.091
2015-08-18,29.6,31.232746
2015-08-19,30.8,30.479233
2015-08-20,29.400000000000002,30.699749
2015-08-21,29.8,30.212109
2015-08-22,29.400000000000002,30.190475
2015-08-23,29.8,30.014618
2015-08-24,30.2,30.071615
2015-08-25,30.4,30.212128
2015-08-26,30.2,30.334057
2015-08-27,29.8,30.308405
2015-08-28,30.4,30.161154
2015-08-29,31.6,30.321335
2015-08-30,31.4,30.853952
2015-08-31,30.4,30.985575
2015-09-01,30.8,30.655508
2015-09-02,29.2,30.71789
2015-09-03,29.0,30.13381
2015-09-04,30.2,29.890507
2015-09-05,30.2,30.152493
2015-09-06,30.8,30.228977
2015-09-07,31.2,30.49287
2015-09-08,32.2,30.7589
2015-09-09,31.6,31.300116
2015-09-10,31.4,31.266642
2015-09-11,31.4,31.214975
2015-09-12,32.4,31.214
2015-09-13,32.2,31.649302
2015-09-14,30.2,31.730536
2015-09-15,30.4,30.95287
2015-09-16,31.0,30.787125
2015-09-17,31.0,30.933964
2015-09-18,32.8,30.973465
2015-09-19,33.2,31.747437
2015-09-20,33.2,32.164692
2015-09-21,32.2,32.3489
2015-09-22,32.6,32.089417
2015-09-23,32.2,32.20228
2015-09-24,31.8,32.092953
2015-09-25,31.6,31.921122
2015-09-26,32.0,31.787268
2015-09-27,31.8,31.898605
2015-09-28,32.2,31.844717
2015-09-29,32.6,31.991566
2015-09-30,32.6,32.189487
2015-10-01,31.2,32.263283
2015-10-02,33.2,31.760387
2015-10-03,34.2,32.382576
2015-10-04,29.2,32.836304
2015-10-05,34.2,31.168392
2015-10-06,32.8,32.59344
2015-10-07,33.6,32.443104
2015-10-08,32.0,32.733387
2015-10-09,31.8,32.29136
2015-10-10,32.8,32.109547
2015-10-11,33.6,32.399277
2015-10-12,33.800000000000004,32.721703
2015-10-13,34.0,32.87696
2015-10-14,34.2,32.99718
2015-10-15,32.0,33.09958
2015-10-16,32.0,32.501396
2015-10-17,32.8,32.345085
2015-10-18,33.7,32.537823
2015-10-19,33.85,32.841965
2015-10-20,34.0,32.961056
2015-10-21,33.7,33.05006
2015-10-22,33.6,33.010773
2015-10-23,34.0,32.99064
2015-10-24,34.2,33.094532
2015-10-25,34.4,33.16854
2015-10-26,34.06666666666666,33.240562
2015-10-27,33.733333333333334,33.18931
2015-10-28,33.4,33.107826
2015-10-29,33.8,33.004017
2015-10-30,34.4,33.080208
2015-10-31,34.4,33.231606
2015-11-01,34.0,33.265144
2015-11-02,33.6,33.192497
2015-11-03,33.4,33.08546
2015-11-04,32.8,33.006485
2015-11-05,33.2,32.80774
2015-11-06,33.8,32.865257
2015-11-07,34.4,33.022926
2015-11-08,34.4,33.200012
2015-11-09,34.4,33.24531
2015-11-10,33.6,33.270287
2015-11-11,33.8,33.095768
2015-11-12,33.0,33.114265
2015-11-13,33.0,32.893867
2015-11-14,33.4,32.837086
2015-11-15,33.6,32.918434
2015-11-16,33.8,32.980232
2015-11-17,34.2,33.046963
2015-11-18,34.0,33.16367
2015-11-19,33.2,33.146988
2015-11-20,33.0,32.9472
2015-11-21,33.07272727272727,32.84411
2015-11-22,33.14545454545455,32.825233
