Tanggal,Actual,Predicted
2015-04-14,300.0,197.48836
2015-04-15,160.0,223.68753
2015-04-16,210.0,201.79866
2015-04-17,140.0,201.78255
2015-04-18,130.0,187.57681
2015-04-19,290.0,176.43622
2015-04-20,240.0,209.60875
2015-04-21,300.0,215.55104
2015-04-22,310.0,230.83636
2015-04-23,290.0,242.17104
2015-04-24,300.0,243.94002
2015-04-25,150.0,249.54404
2015-04-26,110.0,218.29355
2015-04-27,300.0,192.60025
2015-04-28,80.0,228.74158
2015-04-29,250.0,191.33672
2015-04-30,220.0,210.55025
2015-05-01,130.0,215.68088
2015-05-02,340.0,193.25595
2015-05-03,340.0,233.41226
2015-05-04,140.0,253.89146
2015-05-05,189.99999999999997,215.46988
2015-05-06,140.0,208.86122
2015-05-07,140.0,195.56114
2015-05-08,150.0,186.23094
2015-05-09,160.0,182.3422
2015-05-10,150.0,182.31607
2015-05-11,140.0,178.42583
2015-05-12,170.0,173.07565
2015-05-13,150.0,176.18344
2015-05-14,130.0,172.9331
2015-05-15,150.0,165.01839
2015-05-16,150.0,164.87032
2015-05-17,160.0,164.3183
2015-05-18,150.0,165.33003
2015-05-19,160.0,163.87462
2015-05-20,160.0,163.72456
2015-05-21,130.0,163.7073
2015-05-22,179.99999999999997,156.95485
2015-05-23,130.0,162.49422
2015-05-24,140.0,156.18295
2015-05-25,150.0,153.21475
2015-05-26,150.0,153.90988
2015-05-27,150.0,154.66551
2015-05-28,140.0,153.8629
2015-05-29,170.0,152.06744
2015-05-30,160.0,156.26982
2015-05-31,150.0,156.97845
2015-06-01,130.0,155.35254
2015-06-02,160.0,150.19565
2015-06-03,120.0,152.52438
2015-06-04,150.0,147.24635
2015-06-05,160.0,148.64357
2015-06-06,150.0,152.07996
2015-06-07,140.0,151.98358
2015-06-08,150.0,149.7788
2015-06-09,160.0,150.3728
2015-06-10,150.0,152.88698
2015-06-11,150.0,152.51703
2015-06-12,160.0,152.05627
2015-06-13,160.0,153.9173
2015-06-14,140.0,155.29471
2015-06-15,140.0,152.12854
2015-06-16,130.0,150.1426
2015-06-17,179.99999999999997,147.29144
2015-06-18,150.0,154.9063
2015-06-19,150.0,154.20001
2015-06-20,150.0,152.89868
2015-06-21,140.0,152.65665
2015-06-22,179.99999999999997,150.56415
2015-06-23,140.0,157.12674
2015-06-24,150.0,153.665
2015-06-25,150.0,152.77158
2015-06-26,120.0,152.83224
2015-06-27,150.0,147.17401
2015-06-28,170.0,148.917
2015-06-29,160.0,154.30725
2015-06-30,140.0,155.4762
2015-07-01,150.0,151.94788
2015-07-02,140.0,151.8923
2015-07-03,140.0,150.23766
2015-07-04,150.0,149.09344
2015-07-05,189.99999999999997,150.23282
2015-07-06,170.0,158.97987
2015-07-07,140.0,160.62352
2015-07-08,170.0,155.06796
2015-07-09,150.0,157.9743
2015-07-10,140.0,156.4927
2015-07-11,179.99999999999997,153.19958
2015-07-12,150.0,159.33572
2015-07-13,150.0,157.4456
2015-07-14,150.0,155.5998
2015-07-15,120.0,154.9388
2015-07-16,140.0,148.86499
2015-07-17,140.0,148.60757
2015-07-18,140.0,148.58731
2015-07-19,170.0,148.17967
2015-07-20,160.0,153.47278
2015-07-21,150.0,155.00533
2015-07-22,140.0,153.6405
2015-07-23,150.0,150.93544
2015-07-24,160.0,151.38759
2015-07-25,170.0,153.80107
2015-07-26,170.0,157.24663
2015-07-27,140.0,159.5005
2015-07-28,130.0,154.81612
2015-07-29,170.0,150.07019
2015-07-30,150.0,155.1426
2015-07-31,140.0,154.7621
2015-08-01,150.0,151.8742
2015-08-02,150.0,152.17981
2015-08-03,150.0,152.54707
2015-08-04,150.0,152.59845
2015-08-05,150.0,152.48596
2015-08-06,120.0,152.38968
2015-08-07,150.0,146.82729
2015-08-08,150.0,148.54356
2015-08-09,140.0,150.07867
2015-08-10,140.0,148.77008
2015-08-11,130.0,147.69304
2015-08-12,179.99999999999997,145.35352
2015-08-13,140.0,153.15382
2015-08-14,150.0,150.7821
2015-08-15,120.0,150.44626
2015-08-16,150.0,145.33788
2015-08-17,150.0,147.28233
2015-08-18,150.0,149.00658
2015-08-19,160.0,149.61623
2015-08-20,189.99999999999997,151.88612
2015-08-21,150.0,159.64474
2015-08-22,189.99999999999997,156.59491
2015-08-23,170.0,162.52887
2015-08-24,120.0,163.17093
2015-08-25,160.0,153.15593
2015-08-26,140.0,154.9607
2015-08-27,150.0,153.09831
2015-08-28,170.0,153.22806
2015-08-29,160.0,157.37534
2015-08-30,140.0,157.95677
2015-08-31,150.0,154.05414
2015-09-01,160.0,153.6693
2015-09-02,170.0,155.73866
2015-09-03,170.0,158.98343
2015-09-04,150.0,160.97514
2015-09-05,150.0,158.02472
2015-09-06,160.0,156.34897
2015-09-07,150.0,157.62106
2015-09-08,170.0,156.43768
2015-09-09,150.0,159.57465
2015-09-10,150.0,157.64346
2015-09-11,150.0,156.21451
2015-09-12,140.0,155.44994
2015-09-13,140.0,153.1032
2015-09-14,160.0,151.44986
2015-09-15,189.99999999999997,154.3667
2015-09-16,150.0,162.43562
2015-09-17,160.0,159.01521
2015-09-18,170.0,158.44905
2015-09-19,170.0,160.98637
2015-09-20,150.0,162.51447
2015-09-21,150.0,159.33127
2015-09-22,160.0,157.33644
2015-09-23,150.0,158.40495
2015-09-24,150.0,157.20753
2015-09-25,160.0,156.12674
2015-09-26,150.0,157.57147
2015-09-27,160.0,156.46202
2015-09-28,150.0,157.50342
2015-09-29,150.0,156.29013
2015-09-30,160.0,155.39436
2015-10-01,150.0,156.91089
2015-10-02,140.0,155.86134
2015-10-03,150.0,153.02617
2015-10-04,150.0,153.20471
2015-10-05,130.0,153.45276
2015-10-06,179.99999999999997,149.60248
2015-10-07,150.0,156.61774
2015-10-08,140.0,155.61658
2015-10-09,189.99999999999997,152.19862
2015-10-10,170.0,160.48918
2015-10-11,140.0,162.19775
2015-10-12,160.0,156.4045
2015-10-13,150.0,157.15413
2015-10-14,150.0,156.25444
2015-10-15,179.99999999999997,155.36908
2015-10-16,150.0,160.8979
2015-10-17,160.0,158.41243
2015-10-18,170.0,158.39018
2015-10-19,170.0,160.97557
2015-10-20,140.0,162.5978
2015-10-21,160.0,157.37282
2015-10-22,150.0,158.16365
2015-10-23,120.0,157.12769
2015-10-24,150.0,150.4033
2015-10-25,150.0,151.7431
2015-10-26,150.0,152.90645
2015-10-27,160.0,153.10683
2015-10-28,179.99999999999997,155.01714
2015-10-29,150.0,160.41551
2015-10-30,189.99999999999997,157.66481
2015-10-31,179.99999999999997,163.95845
2015-11-01,179.99999999999997,166.69681
2015-11-02,189.99999999999997,168.04523
2015-11-03,200.0,171.55711
2015-11-04,200.0,176.42044
2015-11-05,189.99999999999997,179.76813
2015-11-06,179.99999999999997,179.6225
2015-11-07,150.0,177.69324
2015-11-08,170.0,170.40015
2015-11-09,179.99999999999997,170.60457
2015-11-10,200.0,173.42375
2015-11-11,179.99999999999997,179.48473
2015-11-12,150.0,178.30699
2015-11-13,150.0,170.68454
2015-11-14,189.99999999999997,166.64632
2015-11-15,189.99999999999997,173.2879
