Tanggal,Actual,Predicted
2015-04-14,9.357142857142858,8.584407
2015-04-15,11.128571428571428,10.457082
2015-04-16,12.9,12.324002
2015-04-17,9.8,13.935915
2015-04-18,6.699999999999999,7.781578
2015-04-19,3.5999999999999996,6.4701524
2015-04-20,0.5000000000000001,4.869179
2015-04-21,0.43333333333333335,3.651539
2015-04-22,0.36666666666666664,3.430668
2015-04-23,0.3,2.939872
2015-04-24,3.8999999999999995,2.591112
2015-04-25,7.5,6.139526
2015-04-26,6.699999999999999,9.3521595
2015-04-27,4.75,5.939738
2015-04-28,2.8000000000000003,4.704427
2015-04-29,33.0,3.47319
2015-04-30,0.5000000000000001,17.71196
2015-05-01,2.0,8.639602
2015-05-02,3.5,5.6794724
2015-05-03,6.2,5.8162494
2015-05-04,3.5,7.3970094
2015-05-05,8.8,4.8365345
2015-05-06,14.1,12.56919
2015-05-07,14.08,16.127422
2015-05-08,14.06,12.578481
2015-05-09,14.04,13.684065
2015-05-10,14.02,13.779329
2015-05-11,14.0,13.807446
2015-05-12,13.98,13.839665
2015-05-13,13.959999999999999,13.8564415
2015-05-14,13.94,13.862634
2015-05-15,13.92,13.861195
2015-05-16,13.9,13.857779
2015-05-17,13.879999999999999,13.850075
2015-05-18,13.86,13.839994
2015-05-19,13.84,13.828219
2015-05-20,13.82,13.815646
2015-05-21,13.799999999999999,13.802393
2015-05-22,13.78,13.788023
2015-05-23,13.76,13.773298
2015-05-24,13.74,13.75725
2015-05-25,13.719999999999999,13.74121
2015-05-26,13.7,13.724334
2015-05-27,13.68,13.707161
2015-05-28,13.66,13.689736
2015-05-29,13.64,13.672372
2015-05-30,13.62,13.654034
2015-05-31,13.6,13.636937
2015-06-01,1.0,13.619325
2015-06-02,1.12,5.9514093
2015-06-03,1.24,5.2828426
2015-06-04,1.36,4.6189513
2015-06-05,1.48,4.2291427
2015-06-06,1.6,3.9388688
2015-06-07,1.1666666666666667,3.666699
2015-06-08,0.7333333333333333,3.1306283
2015-06-09,0.3,2.7054381
2015-06-10,0.4454545454545455,2.2500026
2015-06-11,0.590909090909091,2.1802733
2015-06-12,0.7363636363636364,2.0013487
2015-06-13,0.8818181818181817,1.9277647
2015-06-14,1.0272727272727273,1.8761046
2015-06-15,1.1727272727272728,1.8599534
2015-06-16,1.3181818181818186,1.8705543
2015-06-17,1.463636363636364,1.9014596
2015-06-18,1.6090909090909091,1.9494948
2015-06-19,1.7545454545454546,2.0106692
2015-06-20,1.9000000000000004,2.0828662
2015-06-21,2.0454545454545454,2.1641576
2015-06-22,2.190909090909091,2.2533505
2015-06-23,2.3363636363636364,2.3494143
2015-06-24,2.481818181818182,2.4517992
2015-06-25,2.6272727272727274,2.5599759
2015-06-26,2.772727272727273,2.6743789
2015-06-27,2.9181818181818184,2.7913237
2015-06-28,3.063636363636364,2.9197383
2015-06-29,3.2090909090909094,3.0473645
2015-06-30,3.3545454545454545,3.1841269
2015-07-01,3.5,3.2898417
2015-07-02,3.5,3.434808
2015-07-03,3.357142857142857,3.3724988
2015-07-04,3.2142857142857144,3.235653
2015-07-05,3.0714285714285716,3.1554375
2015-07-06,2.928571428571429,3.040059
2015-07-07,2.785714285714285,2.9351375
2015-07-08,2.6428571428571432,2.8229911
2015-07-09,2.5,2.7110283
2015-07-10,2.357142857142857,2.5976725
2015-07-11,2.2142857142857144,2.483183
2015-07-12,2.071428571428571,2.367642
2015-07-13,1.9285714285714286,2.2514234
2015-07-14,1.7857142857142858,2.134768
2015-07-15,1.642857142857143,2.0179718
2015-07-16,1.5,1.9012824
2015-07-17,1.3571428571428572,1.7849406
2015-07-18,1.2142857142857144,1.6691642
2015-07-19,1.0714285714285716,1.554163
2015-07-20,0.9285714285714288,1.4401138
2015-07-21,0.785714285714286,1.3271858
2015-07-22,0.6428571428571428,1.2155172
2015-07-23,0.5000000000000001,1.1052307
2015-07-24,0.5833333333333334,0.9964326
