Tanggal,Actual,Predicted
2015-04-14,6.0,7.274237
2015-04-15,1.5,6.6880956
2015-04-16,3.0,4.5842347
2015-04-17,6.999999999999999,4.7855763
2015-04-18,6.199999999999999,6.4090223
2015-04-19,4.0,6.2626643
2015-04-20,2.9,5.315631
2015-04-21,3.4999999999999996,4.652682
2015-04-22,6.8,4.7012496
2015-04-23,5.0,6.1214905
2015-04-24,8.0,5.489844
2015-04-25,8.5,6.8259773
2015-04-26,3.0,7.1992607
2015-04-27,2.5,4.9980903
2015-04-28,3.0,4.4723864
2015-04-29,3.0,4.396094
2015-04-30,2.0,4.289381
2015-05-01,6.0,3.776633
2015-05-02,6.999999999999999,5.4229445
2015-05-03,6.0,6.083754
2015-05-04,6.999999999999999,5.8325806
2015-05-05,4.2,6.33073
2015-05-06,6.999999999999999,5.165249
2015-05-07,6.999999999999999,6.3188143
2015-05-08,11.0,6.42489
2015-05-09,10.25,8.044141
2015-05-10,9.5,8.11958
2015-05-11,10.5,8.083737
2015-05-12,7.5,8.482566
2015-05-13,10.0,7.5883613
2015-05-14,10.8,8.413957
2015-05-15,10.15,8.751487
2015-05-16,9.5,8.731601
2015-05-17,10.8,8.605415
2015-05-18,10.0,8.994888
2015-05-19,10.5,8.864787
2015-05-20,10.5,9.0452175
2015-05-21,10.0,9.091355
2015-05-22,10.5,9.007415
2015-05-23,10.0,9.148899
2015-05-24,8.4,9.050894
2015-05-25,9.0,8.578964
2015-05-26,7.3,8.688007
2015-05-27,6.999999999999999,8.079495
2015-05-28,9.5,7.869536
2015-05-29,10.2,8.630388
2015-05-30,10.0,8.920613
2015-05-31,9.0,8.966072
2015-06-01,6.0,8.711269
2015-06-02,9.0,7.583175
2015-06-03,7.6,8.486428
2015-06-04,7.5,8.025786
2015-06-05,7.799999999999999,7.9785037
2015-06-06,10.0,8.012177
2015-06-07,9.0,8.728912
2015-06-08,10.0,8.5256195
2015-06-09,6.999999999999999,8.855469
2015-06-10,9.0,7.8909254
2015-06-11,7.5,8.481933
2015-06-12,8.5,7.9568787
2015-06-13,10.0,8.280002
2015-06-14,6.75,8.742877
2015-06-15,3.4999999999999996,7.72642
2015-06-16,5.333333333333333,6.156887
2015-06-17,7.166666666666665,6.6096706
2015-06-18,9.0,7.273908
2015-06-19,9.6,8.037941
2015-06-20,9.5,8.37139
2015-06-21,9.8,8.459741
2015-06-22,5.5,8.617506
2015-06-23,10.2,7.075937
2015-06-24,8.0,8.593825
2015-06-25,7.5,7.986323
2015-06-26,6.999999999999999,7.8306866
2015-06-27,6.5,7.539675
2015-06-28,10.7,7.27312
2015-06-29,10.3,8.660686
2015-06-30,10.0,8.741529
2015-07-01,9.8,8.785929
2015-07-02,9.0,8.772275
2015-07-03,11.0,8.558902
2015-07-04,10.0,9.112704
2015-07-05,10.5,8.940225
2015-07-06,9.7,9.112302
2015-07-07,10.0,8.922146
2015-07-08,10.0,9.008627
2015-07-09,10.4,9.014803
2015-07-10,6.999999999999999,9.14351
2015-07-11,5.6,8.089179
2015-07-12,5.5,7.349057
2015-07-13,9.0,7.0475974
2015-07-14,8.0,8.26171
2015-07-15,8.0,8.027717
2015-07-16,9.6,8.069196
2015-07-17,8.0,8.580627
2015-07-18,9.3,8.137532
2015-07-19,9.5,8.54792
2015-07-20,9.5,8.640389
2015-07-21,9.4,8.69962
2015-07-22,5.5,8.692857
2015-07-23,5.0,7.263527
2015-07-24,6.0,6.789526
2015-07-25,9.5,6.98044
2015-07-26,8.6,8.264347
2015-07-27,7.699999999999999,8.131247
2015-07-28,8.0,7.879154
2015-07-29,11.0,7.9360623
2015-07-30,9.9,8.877187
2015-07-31,10.5,8.735392
2015-08-01,10.0,8.974733
2015-08-02,10.3,8.891075
2015-08-03,10.8,9.006721
2015-08-04,9.5,9.168816
2015-08-05,10.0,8.873403
2015-08-06,10.0,8.996354
2015-08-07,9.0,9.002392
2015-08-08,8.0,8.732677
2015-08-09,8.0,8.360388
2015-08-10,8.0,8.273187
2015-08-11,7.799999999999999,8.216445
2015-08-12,9.0,8.113572
2015-08-13,10.0,8.485488
2015-08-14,10.0,8.827235
2015-08-15,9.0,8.910632
2015-08-16,6.999999999999999,8.6627
2015-08-17,10.5,7.9361978
2015-08-18,9.0,8.943622
2015-08-19,10.0,8.603636
2015-08-20,10.5,8.929006
2015-08-21,10.5,9.089197
2015-08-22,9.5,9.15946
2015-08-23,9.0,8.924233
2015-08-24,7.799999999999999,8.755122
2015-08-25,10.5,8.307199
2015-08-26,10.0,9.0500965
2015-08-27,9.5,8.991604
2015-08-28,4.0,8.903553
2015-08-29,6.5,6.777185
2015-08-30,10.0,7.493267
2015-08-31,10.0,8.605155
2015-09-01,10.0,8.789864
2015-09-02,10.0,8.885823
2015-09-03,9.0,8.928587
2015-09-04,6.5,8.664776
2015-09-05,5.3,7.7336884
2015-09-06,9.0,7.032713
2015-09-07,10.0,8.2627945
2015-09-08,10.5,8.678855
2015-09-09,10.0,8.955748
2015-09-10,10.2,8.905976
2015-09-11,10.0,8.999158
2015-09-12,10.0,8.973847
2015-09-13,10.0,8.993984
2015-09-14,10.0,9.007509
2015-09-15,10.0,9.022835
2015-09-16,10.5,9.037912
2015-09-17,8.5,9.180698
2015-09-18,10.0,8.635263
2015-09-19,10.0,9.0110035
2015-09-20,9.0,9.023687
2015-09-21,8.0,8.7704
2015-09-22,9.5,8.3982525
2015-09-23,9.5,8.794131
2015-09-24,10.2,8.81961
2015-09-25,10.0,9.047549
2015-09-26,10.5,9.032603
2015-09-27,10.1,9.188887
2015-09-28,10.5,9.119923
2015-09-29,8.0,9.236476
2015-09-30,8.0,8.51624
2015-10-01,10.0,8.40564
2015-10-02,9.5,8.934336
2015-10-03,10.0,8.858138
2015-10-04,8.0,9.023542
2015-10-05,8.0,8.427215
2015-10-06,8.0,8.34656
2015-10-07,10.0,8.262277
2015-10-08,9.5,8.86467
2015-10-09,9.0,8.7934
2015-10-10,9.0,8.678396
2015-10-11,8.0,8.651497
2015-10-12,9.0,8.305857
2015-10-13,9.0,8.576582
2015-10-14,10.0,8.581829
2015-10-15,10.2,8.899627
2015-10-16,8.7,9.005497
2015-10-17,9.0,8.612977
2015-10-18,10.5,8.658764
2015-10-19,10.0,9.066039
2015-10-20,11.0,9.004611
2015-10-21,11.0,9.2912445
2015-10-22,11.6,9.344859
2015-10-23,11.4,9.527335
2015-10-24,11.0,9.532116
2015-10-25,11.9,9.474335
2015-10-26,11.0,9.672367
2015-10-27,11.3,9.518143
2015-10-28,11.3,9.586932
2015-10-29,11.3,9.591555
2015-10-30,11.0,9.60693
2015-10-31,11.2,9.549204
2015-11-01,11.8,9.590089
2015-11-02,12.0,9.721526
2015-11-03,11.0,9.7894945
2015-11-04,12.599999999999998,9.610525
2015-11-05,11.8,9.911493
2015-11-06,8.9,9.7997875
2015-11-07,6.0,9.11864
2015-11-08,6.8,7.9743776
2015-11-09,10.1,8.003387
2015-11-10,9.5,8.96048
2015-11-11,5.6,8.902501
2015-11-12,5.4,7.5550175
2015-11-13,6.5,7.2101984
2015-11-14,11.8,7.4530754
2015-11-15,10.4,9.1223955
2015-11-16,12.0,9.01091
2015-11-17,12.499999999999998,9.494335
2015-11-18,9.8,9.680992
2015-11-19,8.6,9.160385
2015-11-20,6.5,8.749344
2015-11-21,8.6,7.872629
2015-11-22,11.5,8.451538
2015-11-23,10.4,9.257511
2015-11-24,8.0,9.141088
2015-11-25,12.499999999999998,8.469731
2015-11-26,12.299999999999999,9.55693
2015-11-27,3.8,9.645105
2015-11-28,7.5,6.9873066
2015-11-29,6.199999999999999,8.044506
2015-11-30,8.1,7.3866835
2015-12-01,10.8,8.086021
2015-12-02,10.5,8.921486
2015-12-03,11.8,9.01101
2015-12-04,10.6,9.407559
2015-12-05,5.5,9.219763
2015-12-06,4.1,7.5189567
2015-12-07,4.2,6.563763
2015-12-08,4.8,6.245372
2015-12-09,5.8,6.3133526
2015-12-10,7.6,6.645256
2015-12-11,6.199999999999999,7.3888755
2015-12-12,5.5,6.891933
2015-12-13,6.1,6.540711
2015-12-14,4.4,6.6879215
2015-12-15,6.4,5.865633
2015-12-16,1.5,6.620086
2015-12-17,4.5,4.426957
2015-12-18,4.2,5.3914704
2015-12-19,2.8,5.1687446
2015-12-20,1.6,4.5045624
2015-12-21,2.2,3.8090444
2015-12-22,2.8,3.8206506
2015-12-23,2.8,3.961535
2015-12-24,10.0,3.9277375
2015-12-25,10.0,7.046673
2015-12-26,8.5,7.5126343
2015-12-27,4.2,7.2577577
2015-12-28,4.8,5.5066285
2015-12-29,8.8,5.5472665
2015-12-30,12.299999999999999,7.1546946
2015-12-31,11.0,8.5321665
2016-01-01,8.2,8.531864
2016-01-02,8.5,7.8058605
2016-01-03,8.0,7.871942
2016-01-04,2.0,7.6889453
2016-01-05,8.6,5.103358
2016-01-06,7.5,7.5071583
2016-01-07,9.8,7.243788
2016-01-08,4.5,8.202269
2016-01-09,11.0,6.2224255
2016-01-10,13.0,8.499604
2016-01-11,8.2,9.218068
2016-01-12,8.5,8.190476
2016-01-13,9.5,8.223134
2016-01-14,9.0,8.502795
2016-01-15,8.0,8.417329
2016-01-16,6.999999999999999,8.099332
2016-01-17,8.5,7.671386
2016-01-18,9.0,8.140186
2016-01-19,9.0,8.345352
2016-01-20,9.0,8.418059
2016-01-21,6.999999999999999,8.455767
2016-01-22,7.5,7.7604613
2016-01-23,5.0,7.851044
2016-01-24,4.5,6.7305226
2016-01-25,6.199999999999999,6.301904
2016-01-26,8.0,6.8395605
2016-01-27,6.999999999999999,7.5785074
2016-01-28,6.0,7.290395
2016-01-29,5.0,6.8596697
2016-01-30,4.0,6.294733
2016-01-31,6.199999999999999,5.6747684
2016-02-01,8.0,6.4895864
2016-02-02,6.6,7.2793865
2016-02-03,6.999999999999999,6.847299
2016-02-04,6.1,7.0252404
2016-02-05,5.2,6.627748
2016-02-06,4.3,6.176843
2016-02-07,0.8,5.6332235
2016-02-08,5.7,3.964412
2016-02-09,3.6,5.7031164
2016-02-10,1.8,4.8375163
2016-02-11,3.4999999999999996,3.9787433
2016-02-12,1.7,4.447095
2016-02-13,2.6,3.6504276
2016-02-14,1.85,3.8500423
2016-02-15,1.1,3.4824893
2016-02-16,7.5,3.0963435
2016-02-17,10.6,5.766469
2016-02-18,6.6,7.415441
2016-02-19,8.3,6.2303977
2016-02-20,11.9,6.9982095
2016-02-21,11.8,8.329784
2016-02-22,7.5,8.635811
2016-02-23,7.2,7.4646873
2016-02-24,6.8,7.261655
2016-02-25,7.3,7.007535
2016-02-26,6.199999999999999,7.1864834
2016-02-27,7.2,6.7253156
2016-02-28,1.6,7.103264
2016-02-29,2.5,4.650176
2016-03-01,6.8,4.605417
2016-03-02,5.3,6.292156
2016-03-03,0.4,5.8200536
2016-03-04,0.95,3.712581
2016-03-05,1.5,3.4637187
2016-03-06,5.8,3.4181347
2016-03-07,8.5,5.2341137
2016-03-08,6.0,6.6913867
2016-03-09,8.0,5.918524
2016-03-10,6.0,6.838535
2016-03-11,6.999999999999999,6.1092157
2016-03-12,5.0,6.564759
2016-03-13,5.4,5.715079
2016-03-14,5.6,5.8296204
2016-03-15,6.8,5.87077
2016-03-16,5.8,6.4246597
2016-03-17,6.199999999999999,6.0670004
2016-03-18,9.5,6.245186
2016-03-19,6.8,7.5925574
2016-03-20,10.0,6.7790117
2016-03-21,10.1,8.014966
2016-03-22,9.2,8.226323
2016-03-23,8.5,8.114234
2016-03-24,9.4,7.9278812
2016-03-25,5.1,8.255216
2016-03-26,4.3,6.634297
2016-03-27,7.2,6.044857
2016-03-28,6.999999999999999,7.0676594
2016-03-29,7.4,7.0634007
2016-03-30,5.5,7.2820616
2016-03-31,4.6,6.4948516
2016-04-01,6.4,5.9751205
2016-04-02,7.5,6.6168995
2016-04-03,7.2,7.1198153
2016-04-04,6.8999999999999995,7.105237
2016-04-05,8.0,7.023667
2016-04-06,7.799999999999999,7.4679017
2016-04-07,6.4,7.4605713
2016-04-08,5.0,6.935627
2016-04-09,4.65,6.2350607
2016-04-10,4.3,5.9102736
2016-04-11,5.5,5.5990653
2016-04-12,8.0,6.0284348
2016-04-13,4.6,7.1114674
2016-04-14,7.3,5.7947917
2016-04-15,4.5,6.8810954
2016-04-16,6.5,5.6866026
2016-04-17,6.999999999999999,6.493208
2016-04-18,5.9,6.7130923
2016-04-19,9.5,6.325454
2016-04-20,10.5,7.739879
2016-04-21,7.35,8.277536
2016-04-22,4.2,7.3943763
2016-04-23,9.3,5.966273
2016-04-24,9.5,7.8095865
2016-04-25,8.5,8.069404
2016-04-26,0.2,7.9093084
2016-04-27,9.0,4.4663315
2016-04-28,9.0,7.539444
2016-04-29,9.7,7.7812867
2016-04-30,10.4,8.244732
2016-05-01,6.0,8.573713
2016-05-02,6.199999999999999,7.121956
2016-05-03,5.0,7.023039
2016-05-04,6.6,6.331791
2016-05-05,7.3,6.909291
2016-05-06,10.2,7.189533
2016-05-07,6.299999999999999,8.304315
2016-05-08,7.049999999999999,7.066544
2016-05-09,7.799999999999999,7.302504
2016-05-10,7.5,7.5338902
2016-05-11,2.0,7.4818735
2016-05-12,4.5,5.072029
2016-05-13,5.6,5.76521
2016-05-14,7.4,6.116411
2016-05-15,8.5,6.956302
2016-05-16,9.3,7.5083365
2016-05-17,4.2,7.951805
