Tanggal,Actual,Predicted
2015-04-14,24.0,23.398117
2015-04-15,24.0,23.620117
2015-04-16,23.0,23.664448
2015-04-17,24.0,23.282223
2015-04-18,23.0,23.665546
2015-04-19,24.0,23.297476
2015-04-20,23.5,23.665182
2015-04-21,23.0,23.515827
2015-04-22,23.0,23.282852
2015-04-23,24.0,23.252525
2015-04-24,24.0,23.651203
2015-04-25,24.0,23.69363
2015-04-26,23.0,23.721758
2015-04-27,23.0,23.342457
2015-04-28,23.0,23.291172
2015-04-29,24.0,23.263569
2015-04-30,23.0,23.653652
2015-05-01,24.0,23.281353
2015-05-02,24.0,23.658266
2015-05-03,24.0,23.709644
2015-05-04,24.0,23.729897
2015-05-05,22.0,23.758907
2015-05-06,23.0,22.904022
2015-05-07,19.0,23.243647
2015-05-08,19.0,21.17467
2015-05-09,21.0,20.881315
2015-05-10,21.0,21.698734
2015-05-11,21.0,21.534323
2015-05-12,23.0,21.46709
2015-05-13,24.0,22.507963
2015-05-14,23.0,23.029188
2015-05-15,23.0,22.675276
2015-05-16,22.0,22.73454
2015-05-17,20.0,22.273317
2015-05-18,20.0,21.163807
2015-05-19,20.0,21.041739
2015-05-20,19.0,20.908476
2015-05-21,19.0,20.30896
2015-05-22,20.0,20.204878
2015-05-23,22.0,20.577673
2015-05-24,22.0,21.571974
2015-05-25,21.0,21.590513
2015-05-26,22.0,21.111765
2015-05-27,23.0,21.693815
2015-05-28,22.0,22.264187
2015-05-29,22.0,21.80341
2015-05-30,23.0,21.853813
2015-05-31,24.0,22.420265
2015-06-01,23.0,22.961079
2015-06-02,22.0,22.601254
2015-06-03,23.0,22.13928
2015-06-04,23.0,22.66
2015-06-05,24.0,22.689404
2015-06-06,23.0,23.188684
2015-06-07,23.0,22.833588
2015-06-08,22.0,22.851587
2015-06-09,25.0,22.37649
2015-06-10,23.0,23.697014
2015-06-11,22.0,23.008602
2015-06-12,20.0,22.467234
2015-06-13,20.0,21.367327
2015-06-14,20.0,21.194221
2015-06-15,21.0,21.033165
2015-06-16,20.5,21.419344
2015-06-17,20.0,21.083395
2015-06-18,19.0,20.772137
2015-06-19,21.0,20.23915
2015-06-20,19.0,21.141443
2015-06-21,21.0,20.116526
2015-06-22,20.0,21.042465
2015-06-23,19.0,20.52654
2015-06-24,19.0,20.037891
2015-06-25,20.0,20.01233
2015-06-26,21.0,20.41899
2015-06-27,21.0,20.899137
2015-06-28,21.0,20.91315
2015-06-29,19.0,20.951977
2015-06-30,21.0,20.0112
2015-07-01,21.0,20.958141
2015-07-02,20.0,20.96217
2015-07-03,19.5,20.457752
2015-07-04,19.0,20.23417
2015-07-05,19.0,19.991154
2015-07-06,19.0,19.950846
2015-07-07,19.0,19.91555
2015-07-08,19.0,19.885382
2015-07-09,19.0,19.86412
2015-07-10,21.0,19.84772
2015-07-11,21.0,20.780254
2015-07-12,20.0,20.803694
2015-07-13,22.0,20.342196
2015-07-14,22.0,21.430065
2015-07-15,23.0,21.478167
2015-07-16,21.0,22.089937
2015-07-17,20.0,21.120537
2015-07-18,20.0,20.631296
2015-07-19,21.0,20.613895
2015-07-20,20.0,21.071615
2015-07-21,23.0,20.536613
2015-07-22,20.0,22.118473
2015-07-23,20.0,20.57958
