Tanggal,Actual,Predicted
2015-04-14,26.266666666666666,26.688347
2015-04-15,26.100000000000005,26.57285
2015-04-16,26.699999999999996,26.452358
2015-04-17,26.9,26.71582
2015-04-18,26.699999999999996,26.833195
2015-04-19,26.499999999999996,26.761051
2015-04-20,27.2,26.662674
2015-04-21,26.6,26.989506
2015-04-22,26.4,26.741562
2015-04-23,26.6,26.627579
2015-04-24,27.1,26.700834
2015-04-25,26.300000000000004,26.943962
2015-04-26,25.400000000000002,26.588549
2015-04-27,25.400000000000002,26.092386
2015-04-28,26.4,25.977365
2015-04-29,25.6,26.41431
2015-04-30,25.9,26.03104
2015-05-01,26.4,26.123041
2015-05-02,26.699999999999996,26.365225
2015-05-03,26.2,26.54804
2015-05-04,26.4,26.331768
2015-05-05,25.099999999999998,26.41797
2015-05-06,25.9,25.760658
2015-05-07,24.5,26.04209
2015-05-08,24.8,25.351938
2015-05-09,25.8,25.337288
2015-05-10,25.299999999999997,25.759293
2015-05-11,25.7,25.553566
2015-05-12,26.699999999999996,25.713362
2015-05-13,27.0,26.255226
2015-05-14,26.9,26.514074
2015-05-15,26.100000000000005,26.55015
2015-05-16,25.6,26.188917
2015-05-17,25.0,25.897001
2015-05-18,24.1,25.533457
2015-05-19,25.0,25.033735
2015-05-20,24.2,25.26864
2015-05-21,24.4,24.919178
2015-05-22,24.6,24.894844
2015-05-23,28.3,24.92886
2015-05-24,25.7,26.795141
2015-05-25,25.400000000000002,25.764696
2015-05-26,26.300000000000004,25.552862
2015-05-27,26.9,25.959614
2015-05-28,26.100000000000005,26.353474
2015-05-29,25.7,26.031973
2015-05-30,26.2,25.816479
2015-05-31,26.499999999999996,26.03943
2015-06-01,27.0,26.233467
2015-06-02,25.6,26.549627
2015-06-03,26.0,25.9043
2015-06-04,26.300000000000004,26.032684
2015-06-05,26.499999999999996,26.192259
2015-06-06,26.499999999999996,26.328764
2015-06-07,25.8,26.370813
2015-06-08,25.5,26.035463
2015-06-09,27.1,25.83395
2015-06-10,25.8,26.616533
2015-06-11,25.299999999999997,26.05149
2015-06-12,24.3,25.745064
2015-06-13,24.6,25.193623
2015-06-14,24.4,25.169783
2015-06-15,24.8,25.019108
2015-06-16,23.3,25.114607
2015-06-17,24.0,24.53261
2015-06-18,23.9,24.606134
2015-06-19,24.8,24.546059
2015-06-20,24.2,24.83147
2015-06-21,24.4,24.654036
2015-06-22,23.85,24.67667
2015-06-23,23.3,24.476952
2015-06-24,23.6,24.256845
2015-06-25,23.9,24.266256
2015-06-26,24.066666666666666,24.337673
2015-06-27,24.23333333333333,24.396362
2015-06-28,24.4,24.459192
2015-06-29,24.65,24.528976
2015-06-30,24.9,24.635939
2015-07-01,24.1,24.761868
2015-07-02,24.1,24.508106
2015-07-03,23.75,24.452385
2015-07-04,23.4,24.325333
2015-07-05,23.3,24.191475
2015-07-06,24.0,24.124054
2015-07-07,23.7,24.284508
2015-07-08,23.5,24.23823
2015-07-09,23.75,24.171167
2015-07-10,24.0,24.21623
2015-07-11,23.9,24.296804
2015-07-12,24.0,24.28914
2015-07-13,26.0,24.31776
2015-07-14,26.100000000000005,25.086666
2015-07-15,25.9,25.371021
2015-07-16,24.5,25.377403
2015-07-17,24.1,24.801561
2015-07-18,23.8,24.5546
2015-07-19,24.0,24.39103
2015-07-20,24.8,24.400715
2015-07-21,25.299999999999997,24.668653
2015-07-22,24.1,24.944134
2015-07-23,23.8,24.556301
2015-07-24,23.6,24.385273
2015-07-25,23.8,24.276783
2015-07-26,24.0,24.296001
2015-07-27,23.5,24.351955
2015-07-28,24.9,24.218437
2015-07-29,25.5,24.619778
2015-07-30,26.100000000000005,24.987272
2015-07-31,24.1,25.384287
2015-08-01,24.3,24.64205
2015-08-02,23.7,24.581432
2015-08-03,24.35,24.363047
2015-08-04,25.0,24.506336
2015-08-05,24.3,24.779547
2015-08-06,23.6,24.588179
2015-08-07,23.6,24.329046
2015-08-08,23.4,24.261143
2015-08-09,23.4,24.17988
2015-08-10,24.3,24.149769
2015-08-11,24.6,24.38848
2015-08-12,26.0,24.555979
2015-08-13,26.2,25.192585
2015-08-14,26.2,25.47765
2015-08-15,25.9,25.583635
2015-08-16,24.9,25.49866
2015-08-17,23.9,25.048996
2015-08-18,24.0,24.589405
2015-08-19,24.4,24.507488
2015-08-20,23.85,24.603876
2015-08-21,23.3,24.431229
2015-08-22,23.55,24.22555
2015-08-23,23.8,24.228476
2015-08-24,23.7,24.285946
2015-08-25,24.6,24.264008
2015-08-26,24.7,24.534231
2015-08-27,24.0,24.646399
2015-08-28,25.400000000000002,24.439274
2015-08-29,24.9,24.90591
2015-08-30,26.8,24.827343
2015-08-31,25.099999999999998,25.732746
2015-09-01,25.299999999999997,25.11302
2015-09-02,24.7,25.132141
2015-09-03,25.6,24.880127
2015-09-04,25.8,25.219053
2015-09-05,25.7,25.39941
2015-09-06,25.7,25.412762
2015-09-07,25.0,25.441605
2015-09-08,24.7,25.136517
2015-09-09,24.6,24.954203
2015-09-10,24.4,24.86211
2015-09-11,25.200000000000003,24.74929
2015-09-12,25.400000000000002,25.03335
2015-09-13,24.8,25.185112
2015-09-14,24.7,24.96146
2015-09-15,23.6,24.878714
2015-09-16,23.6,24.461378
2015-09-17,24.9,24.356592
2015-09-18,26.0,24.748728
2015-09-19,26.4,25.345362
2015-09-20,26.699999999999996,25.713072
2015-09-21,26.2,25.997423
2015-09-22,25.299999999999997,25.841663
2015-09-23,26.499999999999996,25.412504
2015-09-24,25.8,25.95972
2015-09-25,25.099999999999998,25.700954
2015-09-26,26.0,25.34751
2015-09-27,26.6,25.723644
2015-09-28,25.400000000000002,26.10877
2015-09-29,26.8,25.581167
2015-09-30,26.6,26.247458
2015-10-01,26.9,26.258026
2015-10-02,27.2,26.47112
2015-10-03,26.2,26.697594
2015-10-04,26.300000000000004,26.261106
2015-10-05,26.6,26.28395
2015-10-06,27.2,26.443422
2015-10-07,26.6,26.787773
2015-10-08,26.9,26.563532
2015-10-09,26.499999999999996,26.725468
2015-10-10,26.9,26.560274
2015-10-11,26.9,26.760725
2015-10-12,26.8,26.794794
2015-10-13,27.1,26.772764
2015-10-14,27.599999999999998,26.933792
2015-10-15,27.2,27.20035
2015-10-16,26.6,27.080198
2015-10-17,26.0,26.816063
2015-10-18,26.6,26.48721
2015-10-19,27.150000000000002,26.71833
2015-10-20,27.700000000000003,26.986372
2015-10-21,28.1,27.27457
2015-10-22,27.599999999999998,27.498123
2015-10-23,26.6,27.35757
2015-10-24,26.9,26.930939
2015-10-25,27.0,27.018015
2015-10-26,26.499999999999996,27.05279
2015-10-27,27.799999999999997,26.81752
2015-10-28,27.4,27.376461
2015-10-29,28.1,27.259838
2015-10-30,28.800000000000004,27.56413
2015-10-31,27.500000000000004,27.85752
2015-11-01,28.900000000000002,27.452703
2015-11-02,28.0,27.939337
2015-11-03,27.700000000000003,27.69008
2015-11-04,28.3,27.580751
2015-11-05,27.899999999999995,27.787415
2015-11-06,27.799999999999997,27.669209
2015-11-07,29.3,27.631474
2015-11-08,28.7,28.115906
2015-11-09,28.900000000000002,27.992973
2015-11-10,28.3,28.06719
2015-11-11,28.3,27.904755
2015-11-12,27.799999999999997,27.89607
2015-11-13,28.5,27.724106
2015-11-14,29.4,27.935816
2015-11-15,28.3,28.205673
2015-11-16,28.800000000000004,27.932774
2015-11-17,28.999999999999996,28.06855
2015-11-18,27.599999999999998,28.134394
2015-11-19,28.1,27.715143
2015-11-20,26.9,27.836454
2015-11-21,28.7,27.382925
2015-11-22,28.0,27.970486
2015-11-23,29.5,27.771315
2015-11-24,29.4,28.218628
2015-11-25,29.199999999999996,28.231928
2015-11-26,29.1,28.206953
2015-11-27,28.800000000000004,28.191761
2015-11-28,29.199999999999996,28.117407
2015-11-29,28.7,28.22045
2015-11-30,28.800000000000004,28.098276
2015-12-01,29.3,28.118015
2015-12-02,28.600000000000005,28.249052
2015-12-03,28.800000000000004,28.077883
2015-12-04,28.0,28.120535
2015-12-05,27.4,27.879837
2015-12-06,26.4,27.636616
2015-12-07,26.100000000000005,27.175894
2015-12-08,27.500000000000004,26.929743
2015-12-09,28.3,27.44796
2015-12-10,27.799999999999997,27.755568
2015-12-11,28.4,27.615547
2015-12-12,27.799999999999997,27.828964
2015-12-13,26.8,27.643816
2015-12-14,27.1,27.233902
2015-12-15,25.8,27.29475
2015-12-16,27.500000000000004,26.669586
2015-12-17,28.1,27.34171
2015-12-18,28.3,27.602184
2015-12-19,26.8,27.721611
2015-12-20,25.400000000000002,27.1679
2015-12-21,26.699999999999996,26.437971
2015-12-22,26.9,26.915678
2015-12-23,27.899999999999995,26.995617
2015-12-24,28.7,27.440125
2015-12-25,28.0,27.790081
2015-12-26,26.4,27.610909
2015-12-27,27.599999999999998,26.956974
2015-12-28,27.700000000000003,27.399618
2015-12-29,28.2,27.455385
