Tanggal,Actual,Predicted
2015-04-12,300.0,254.76609361640283
2015-04-13,160.0,190.0585208683121
2015-04-14,210.0,182.0491298474633
2015-04-15,140.0,205.241239975873
2015-04-16,130.0,184.3492460327021
2015-04-17,290.0,175.19942166267845
2015-04-18,240.0,213.70713708120198
2015-04-19,300.0,154.16770169230801
2015-04-20,310.0,236.51292796299606
2015-04-21,290.0,253.95269497586992
2015-04-22,300.0,238.33449618024278
2015-04-23,150.0,244.42775972728884
2015-04-24,110.0,167.82131645300154
2015-04-25,300.0,210.6756809871683
2015-04-26,80.0,266.7332202622794
2015-04-27,250.0,146.61339251836165
2015-04-28,220.0,266.7639840276411
2015-04-29,130.0,223.86137379521597
2015-04-30,340.0,234.35195735320727
2015-05-01,340.0,263.0149279721633
2015-05-02,140.0,244.8515815622416
2015-05-03,189.99999999999997,187.4763801857612
2015-05-04,140.0,236.01699917766638
2015-05-05,140.0,211.01591647432252
2015-05-06,150.0,224.79972202936514
2015-05-07,160.0,174.17795020477357
2015-05-08,150.0,199.87652098643838
2015-05-09,140.0,190.35376393111886
2015-05-10,170.0,280.3811689176184
2015-05-11,150.0,199.277103320156
2015-05-12,130.0,179.34703398376297
2015-05-13,150.0,225.3668931145271
2015-05-14,150.0,175.1835848290094
2015-05-15,160.0,165.2627961165633
2015-05-16,150.0,183.78155229098707
2015-05-17,160.0,193.39968310522008
2015-05-18,160.0,152.27097993494294
2015-05-19,130.0,192.24319478971785
2015-05-20,179.99999999999997,211.66193675085162
2015-05-21,130.0,161.79116237402383
2015-05-22,140.0,173.20373180562424
2015-05-23,150.0,193.43485989675392
2015-05-24,150.0,162.64891541707374
2015-05-25,150.0,128.52005514482627
2015-05-26,140.0,195.02015982471224
2015-05-27,170.0,160.29199386616187
2015-05-28,160.0,167.17274873496842
2015-05-29,150.0,171.033650716103
2015-05-30,130.0,159.93005787438082
2015-05-31,160.0,167.744706132603
2015-06-01,120.0,158.91860251393612
2015-06-02,150.0,163.95264096506574
2015-06-03,160.0,162.2834684029517
2015-06-04,150.0,162.32174417911477
2015-06-05,140.0,156.22226935205953
2015-06-06,150.0,156.9774580985194
2015-06-07,160.0,163.66820095975493
2015-06-08,150.0,164.6890612294417
2015-06-09,150.0,161.0342053035023
2015-06-10,160.0,168.3068055614257
2015-06-11,160.0,158.54961452851109
2015-06-12,140.0,165.60105777621624
2015-06-13,140.0,164.7343081390166
2015-06-14,130.0,157.74080250798744
2015-06-15,179.99999999999997,158.87834068331836
2015-06-16,150.0,168.4130629208159
2015-06-17,150.0,170.37834765561945
2015-06-18,150.0,152.45891202341025
2015-06-19,140.0,161.0836803411778
2015-06-20,179.99999999999997,159.88185720715438
2015-06-21,140.0,183.96540389792136
2015-06-22,150.0,157.56867053672707
2015-06-23,150.0,165.448177857917
2015-06-24,120.0,164.50125539638316
