Tanggal,Actual,Predicted
2015-04-12,1.0,1.2749527053043723
2015-04-13,1.0,1.2708810538756279
2015-04-14,1.0,1.2149484320102362
2015-04-15,1.0,1.2202720846617683
2015-04-16,1.0,1.186513384919964
2015-04-17,1.0,1.175672088248616
2015-04-18,1.0,1.1424196148048869
2015-04-19,1.0,1.1802984134095074
2015-04-20,1.0,1.1718653665281809
2015-04-21,2.0,1.1733878723758409
2015-04-22,2.0,1.490188207975608
2015-04-23,1.0,1.558803033779785
2015-04-24,1.0,1.3471889716466727
2015-04-25,1.0,1.2945757351229807
2015-04-26,1.0,1.2678304631874482
2015-04-27,1.0,1.2632175639642136
2015-04-28,2.0,1.2423178618505868
2015-04-29,1.0,1.525306428711174
2015-04-30,1.0,1.2779025595928852
2015-05-01,1.0,1.190491271031029
2015-05-02,1.0,1.255974092242517
2015-05-03,2.0,1.2462537688814406
2015-05-04,2.0,1.5553919402258445
2015-05-05,2.0,1.634352046426283
2015-05-06,1.0,1.6530902947326451
2015-05-07,2.0,1.4215431218162555
2015-05-08,2.0,1.6963502222673679
2015-05-09,2.0,1.8315813971748023
2015-05-10,1.0,1.8408257668197274
2015-05-11,3.0,1.5043480790951458
2015-05-12,2.0,2.031340498547061
2015-05-13,2.0,1.9155753166402585
2015-05-14,2.0,1.9534047394133702
2015-05-15,2.0,2.019900833412115
2015-05-16,2.0,1.9705827705853696
2015-05-17,2.0,1.933630859422189
2015-05-18,1.0,1.9907972808682013
2015-05-19,1.0,1.616427935987349
2015-05-20,1.0,1.54698210320834
2015-05-21,1.0,1.4400398684727076
2015-05-22,2.0,1.4256037984536816
2015-05-23,1.0,1.686024759218995
2015-05-24,2.0,1.4590191610334589
2015-05-25,1.0,1.615445063647486
2015-05-26,2.0,1.4572036449186088
2015-05-27,3.0,1.7219927266386301
2015-05-28,3.0,2.225836789737145
2015-05-29,4.0,2.3304913390932485
2015-05-30,2.0,2.7319914728079553
2015-05-31,2.0,2.3012833473944476
2015-06-01,2.0,2.209487754414007
2015-06-02,3.0,2.225987719278626
2015-06-03,4.0,2.5293913035484232
2015-06-04,4.0,2.9875585339952258
2015-06-05,4.0,3.046153317156148
2015-06-06,4.0,3.195895107442401
2015-06-07,4.0,3.277892971406276
2015-06-08,3.0,3.504151908523969
2015-06-09,2.0,3.2449880615957527
2015-06-10,2.0,2.7550301464641036
2015-06-11,2.0,2.5389837075757207
2015-06-12,3.0,2.398487534095399
2015-06-13,3.0,2.760316308412479
2015-06-14,2.0,2.8392977883869825
2015-06-15,2.0,2.4886289432468627
2015-06-16,2.0,2.335138478377696
2015-06-17,2.0,2.2882097526099665
2015-06-18,3.0,2.2778191819664566
2015-06-19,2.0,2.6510464356647994
2015-06-20,2.0,2.339656862907954
2015-06-21,3.0,2.2824600535229673
2015-06-22,4.0,2.6207177903926864
2015-06-23,3.0,3.087254037896975
2015-06-24,1.0,2.942614413654348
2015-06-25,2.0,2.165151006325162
2015-06-26,2.0,2.2470656031337275
2015-06-27,2.0,2.2784123255450353
2015-06-28,3.0,2.309498041225781
2015-06-29,2.0,2.634456183370344
2015-06-30,2.0,2.308913195407039
2015-07-01,2.0,2.2100798179705152
2015-07-02,3.0,2.2147588086525727
2015-07-03,2.0,2.6032381794679997
2015-07-04,2.0,2.3380361524235442
2015-07-05,2.0,2.208757637587707
2015-07-06,1.0,2.1455455233798264
2015-07-07,2.0,1.7962023804965157
2015-07-08,2.0,2.0994474967377226
2015-07-09,2.0,2.1181453231028944
2015-07-10,2.0,2.0421646354250136
2015-07-11,2.0,2.039810685315067
2015-07-12,2.0,2.0120365745209665
2015-07-13,2.0,2.060303062499792
2015-07-14,4.0,2.077121916938576
2015-07-15,2.0,2.811430515082188
2015-07-16,3.0,2.3569123434841255
2015-07-17,3.0,2.534291987693989
2015-07-18,2.0,2.639512165288074
2015-07-19,2.0,2.37055990127901
2015-07-20,1.0,2.3335719754809925
2015-07-21,2.0,1.9321168924613819
2015-07-22,2.0,2.0514290080380806
2015-07-23,2.0,2.068309467581312
2015-07-24,2.0,2.0547027332308416
2015-07-25,4.0,2.0944329903729244
2015-07-26,2.0,2.761996937146631
2015-07-27,3.0,2.3370636071519777
2015-07-28,4.0,2.567384184090356
2015-07-29,3.0,3.029601694633943
2015-07-30,3.0,2.815469534814425
2015-07-31,4.0,2.861680044717345
2015-08-01,4.0,3.2129013864598024
2015-08-02,3.0,3.3277982316174723
2015-08-03,2.0,3.136100591851693
2015-08-04,2.0,2.6533384310872323
2015-08-05,2.0,2.5181019717296182
2015-08-06,2.0,2.459410974962347
2015-08-07,2.0,2.4214929025331386
2015-08-08,2.0,2.2858928895875783
2015-08-09,4.0,2.294760146620363
2015-08-10,4.0,2.864149890900502
2015-08-11,4.0,3.2003560029128746
2015-08-12,3.0,3.298616427823588
2015-08-13,2.0,3.0414568538015256
2015-08-14,3.0,2.6649170521488195
2015-08-15,2.0,2.8596633843766943
2015-08-16,2.0,2.6121632369598355
2015-08-17,2.0,2.5226536948780813
2015-08-18,2.0,2.3905813869967996
2015-08-19,2.0,2.2372734028677566
2015-08-20,2.0,2.305117461091385
2015-08-21,2.0,2.280510886944268
2015-08-22,3.0,2.26179571457977
2015-08-23,3.0,2.511267768783236
2015-08-24,3.0,2.6380179653933844
2015-08-25,3.0,2.7383360613820455
2015-08-26,3.0,2.8105155874611256
2015-08-27,4.0,2.8413356230076428
2015-08-28,4.0,3.18893495908347
2015-08-29,4.0,3.3766373894194412
2015-08-30,4.0,3.4022321800857167
2015-08-31,3.0,3.446198509512766
2015-09-01,4.0,3.1668347365152467
2015-09-02,4.0,3.5037397268411468
2015-09-03,4.0,3.643805753833192
2015-09-04,4.0,3.6704348789049153
2015-09-05,3.0,3.6088624544998655
2015-09-06,3.0,3.314055667047783
2015-09-07,3.0,3.2464446337052415
2015-09-08,2.0,3.242121376923646
2015-09-09,4.0,2.856685901987805
2015-09-10,4.0,3.3121731896154554
2015-09-11,2.0,3.452162957641841
2015-09-12,2.0,2.813136300327927
2015-09-13,2.0,2.6523336070254864
2015-09-14,3.0,2.6049649426185093
2015-09-15,2.0,2.870860627785852
2015-09-16,2.0,2.6147016179895024
2015-09-17,3.0,2.4132631596370815
2015-09-18,2.0,2.6533846505781815
2015-09-19,3.0,2.4574935236690867
2015-09-20,2.0,2.792065055525593
2015-09-21,4.0,2.5545618104725616
2015-09-22,4.0,3.1000469762909004
2015-09-23,3.0,3.2164893260288654
2015-09-24,4.0,3.0009987597710426
2015-09-25,4.0,3.3838967043388273
2015-09-26,3.0,3.5141261919863087
2015-09-27,3.0,3.2760537237753775
2015-09-28,2.0,3.145219633780818
2015-09-29,4.0,2.749673251411304
2015-09-30,4.0,3.2990788128594826
2015-10-01,3.0,3.399143060516077
2015-10-02,3.0,3.1773484683358335
2015-10-03,3.0,3.1103304518146073
2015-10-04,2.0,3.0958411709444107
2015-10-05,3.0,2.689174415428928
2015-10-06,3.0,2.9442033061539057
2015-10-07,3.0,2.976700866922214
2015-10-08,3.0,2.943214253116297
2015-10-09,3.0,2.9030069169048005
2015-10-10,2.0,2.963890098953195
2015-10-11,3.0,2.648228394141018
2015-10-12,2.0,2.939233810391241
2015-10-13,3.0,2.5175919863497214
2015-10-14,4.0,2.7487287575368198
2015-10-15,3.0,3.2230198320058046
2015-10-16,3.0,2.9899963580612887
2015-10-17,3.0,3.008399400431789
2015-10-18,2.0,3.0310783921101887
2015-10-19,3.0,2.657289869060331
2015-10-20,3.0,2.9394842582855976
2015-10-21,2.0,2.8704724522055463
2015-10-22,3.0,2.540290720166773
2015-10-23,3.0,2.818052921554578
2015-10-24,3.0,2.873622775950703
2015-10-25,2.0,2.907291035777498
2015-10-26,3.0,2.618710240154865
2015-10-27,3.0,2.750547894148953
2015-10-28,2.0,2.823286742094794
2015-10-29,4.0,2.5327693443116033
2015-10-30,3.0,3.115380833620378
2015-10-31,3.0,2.99702023511606
2015-11-01,3.0,2.933410407363322
2015-11-02,2.0,2.9402067363817705
2015-11-03,2.0,2.607147985303995
2015-11-04,2.0,2.4978992819955486
2015-11-05,2.0,2.389737007376629
2015-11-06,3.0,2.377641356072313
2015-11-07,3.0,2.6243675145102268
2015-11-08,3.0,2.7405156503744
2015-11-09,2.0,2.7790784811923235
2015-11-10,3.0,2.4490051463860785
2015-11-11,4.0,2.7500989457964007
2015-11-12,3.0,3.165005325064917
2015-11-13,2.0,2.976615134567007
2015-11-14,2.0,2.5545543785120426
2015-11-15,2.0,2.4481304708980187
2015-11-16,2.0,2.411896481448665
2015-11-17,2.0,2.396094159012907
2015-11-18,2.0,2.333508511451241
2015-11-19,3.0,2.24041592384607
2015-11-20,2.0,2.4502162811500106
2015-11-21,2.0,2.306647994654329
2015-11-22,3.0,2.279245502163104
2015-11-23,3.0,2.632587015792615
2015-11-24,1.0,2.710753834077745
2015-11-25,1.0,2.00169452908584
2015-11-26,2.0,1.8231794141942168
2015-11-27,2.0,2.0635279119525283
2015-11-28,3.0,2.11159632497317
2015-11-29,3.0,2.4616782676292215
2015-11-30,2.0,2.5400680352305702
2015-12-01,2.0,2.225445857988271
2015-12-02,2.0,2.191397536283664
2015-12-03,2.0,2.1825648053200015
2015-12-04,1.0,2.2761169365587204
2015-12-05,1.0,1.867758729578481
2015-12-06,1.0,1.6359353855301655
2015-12-07,1.0,1.5083797055911394
2015-12-08,2.0,1.5082494785952285
2015-12-09,2.0,1.859536157268915
2015-12-10,1.0,1.890360461822027
2015-12-11,1.0,1.4866069982592287
2015-12-12,1.0,1.405457659653797
2015-12-13,1.0,1.4144434763160052
2015-12-14,2.0,1.395878717855851
2015-12-15,2.0,1.7338731654890966
2015-12-16,2.0,1.8104426863179905
2015-12-17,3.0,1.7898332836066766
2015-12-18,2.0,2.178691216663403
2015-12-19,3.0,2.0275053338224893
2015-12-20,1.0,2.3701223492157073
2015-12-21,2.0,1.8269554556545788
2015-12-22,2.0,1.94651433763805
2015-12-23,3.0,1.986599857527978
2015-12-24,3.0,2.3498731108748077
2015-12-25,2.0,2.497905553288091
2015-12-26,2.0,2.2284490529320857
2015-12-27,2.0,2.1242482652937147
2015-12-28,2.0,2.1204220863752807
2015-12-29,2.0,2.1188045956779398
2015-12-30,1.0,2.1076012990402755
2015-12-31,1.0,1.6848171991267389
2016-01-01,1.0,1.5891585881575634
