Tanggal,Actual,Predicted
2015-04-12,88.66666666666667,86.37656032232418
2015-04-13,90.0,87.09463260503834
2015-04-14,85.0,88.26986527861386
2015-04-15,84.0,85.55053404929733
2015-04-16,85.5,84.74640243642007
2015-04-17,87.0,85.45151920898526
2015-04-18,86.0,86.17355418135061
2015-04-19,86.0,85.96235425290384
2015-04-20,87.0,85.77483578157326
2015-04-21,86.0,86.07413734175357
2015-04-22,84.0,85.98039645333672
2015-04-23,89.0,84.6189619910976
2015-04-24,93.0,86.90471008943128
2015-04-25,90.0,89.49809586389996
2015-04-26,89.0,88.51286310505579
2015-04-27,90.0,87.96563361571692
2015-04-28,87.0,88.23925704474483
2015-04-29,86.0,86.75934638203354
2015-04-30,90.0,86.29547122447919
2015-05-01,91.0,88.01577530732585
2015-05-02,86.0,88.81980075893297
2015-05-03,91.0,86.56039869832178
2015-05-04,85.0,88.7903142997529
2015-05-05,83.0,85.84993607285175
2015-05-06,83.0,84.45343796282874
2015-05-07,80.0,84.47378731148196
2015-05-08,82.0,82.58126665393304
2015-05-09,84.0,83.18070609408797
2015-05-10,87.0,84.55440064195803
2015-05-11,84.0,85.85589732962883
2015-05-12,83.0,84.74943855002438
2015-05-13,83.0,83.83570931467035
2015-05-14,84.0,83.8429322179394
2015-05-15,82.0,84.26128367385162
2015-05-16,81.0,83.09383911384931
2015-05-17,77.0,82.71621963294741
2015-05-18,81.0,80.36392900762202
2015-05-19,84.0,81.65822870698902
2015-05-20,84.0,83.72723921707235
2015-05-21,72.0,83.52341339686247
2015-05-22,84.0,77.67529548967674
2015-05-23,85.0,83.00952575965762
2015-05-24,85.0,83.80161420210369
2015-05-25,84.0,84.00747268385261
2015-05-26,82.0,83.85350400183002
2015-05-27,84.0,82.88621026547789
2015-05-28,86.0,83.15241101954918
2015-05-29,88.0,84.87506505409739
2015-05-30,83.0,85.5443392004196
2015-05-31,88.0,83.6342529245468
2015-06-01,88.0,85.77524968221918
2015-06-02,86.0,85.85560824928781
2015-06-03,82.0,84.82189892749228
2015-06-04,84.0,82.97880381516951
2015-06-05,84.0,83.76193049979624
2015-06-06,90.0,83.73699283496047
2015-06-07,84.0,86.34775823078753
2015-06-08,84.0,84.62657438694272
2015-06-09,84.0,84.12240856789778
2015-06-10,83.0,83.78581625244051
2015-06-11,84.0,83.1967555400956
2015-06-12,84.0,83.65241663382058
2015-06-13,82.0,84.06263764717961
2015-06-14,82.0,82.68593936581568
2015-06-15,87.0,82.78511365660678
2015-06-16,86.0,84.5864468936394
2015-06-17,83.0,85.14226942590484
2015-06-18,86.0,83.78181088210592
2015-06-19,82.0,84.57490375381481
2015-06-20,83.0,82.93303895775263
2015-06-21,81.0,83.32215133856648
2015-06-22,80.0,82.31267102332784
2015-06-23,81.0,81.64230055551651
2015-06-24,80.0,81.72662262026417
2015-06-25,79.0,81.33117821016175
2015-06-26,78.0,80.6805238252282
2015-06-27,82.0,80.21726071088928
2015-06-28,81.0,81.67930234980862
2015-06-29,84.0,81.62388360227233
2015-06-30,81.0,83.10493308056927
2015-07-01,83.0,81.71891904393176
2015-07-02,80.0,82.77368750425002
2015-07-03,81.0,81.14241071244773
2015-07-04,82.0,81.21301744484522
2015-07-05,79.0,82.19707871024254
2015-07-06,79.0,80.4393807954258
2015-07-07,81.0,80.10375213571685
2015-07-08,81.0,81.09801379349939
2015-07-09,84.0,80.90858253671833
2015-07-10,85.0,82.74027614458568
2015-07-11,83.0,83.50884825134956
2015-07-12,84.0,82.5568806051353
2015-07-13,80.0,83.00149189604657
2015-07-14,83.0,81.36451848094102
2015-07-15,80.0,82.24962004802332
2015-07-16,82.0,81.1402434709819
2015-07-17,81.0,81.65867669010233
2015-07-18,81.0,81.4325344311069
2015-07-19,82.0,81.17605273877213
2015-07-20,84.0,81.53193960546447
2015-07-21,83.0,82.8778446123256
2015-07-22,84.0,82.20140562081157
2015-07-23,83.0,83.0893271476772
2015-07-24,82.0,82.61830892264466
2015-07-25,85.0,82.00957578651845
2015-07-26,82.0,83.60544523771172
2015-07-27,82.0,82.30766103881923
2015-07-28,82.0,82.06190542337534
2015-07-29,85.0,82.20051993275247
2015-07-30,82.0,83.3973765741912
2015-07-31,80.0,82.30982933353847
2015-08-01,82.0,80.95767876955166
2015-08-02,77.0,81.90629514790312
2015-08-03,79.0,79.4392240301927
2015-08-04,78.0,79.91096345838334
2015-08-05,80.0,79.68867514417174
2015-08-06,83.0,80.38435952015051
2015-08-07,82.0,82.17167924552196
2015-08-08,82.0,81.89573095643438
2015-08-09,81.0,81.72198124837247
2015-08-10,80.0,81.438605281689
2015-08-11,76.0,80.67209159653477
2015-08-12,80.0,78.59242616454232
2015-08-13,81.0,80.15166586988666
2015-08-14,78.0,80.84650738023278
2015-08-15,83.0,79.62317478807007
2015-08-16,81.0,81.62190364949755
2015-08-17,80.0,80.96707046777523
