Tanggal,Actual,Predicted
2015-04-12,6.0,6.842099232988351
2015-04-13,1.5,7.467118822541529
2015-04-14,3.0,4.029315109168372
2015-04-15,6.999999999999999,4.87071380294586
2015-04-16,6.199999999999999,6.2408784347324975
2015-04-17,4.0,6.517557615297679
2015-04-18,2.9,5.111670698267065
2015-04-19,3.4999999999999996,5.055168540339533
2015-04-20,6.8,5.378047526607154
2015-04-21,5.0,6.28673148090993
2015-04-22,8.0,5.811729541927154
2015-04-23,8.5,7.158955215223963
2015-04-24,3.0,6.94750269647849
2015-04-25,2.5,4.691245556158571
2015-04-26,3.0,5.020683663358493
2015-04-27,3.0,4.748787650824077
2015-04-28,2.0,4.736684233084205
2015-04-29,6.0,4.4672345837273335
2015-04-30,6.999999999999999,5.736678758285193
2015-05-01,6.0,4.302699635585886
2015-05-02,6.999999999999999,5.682672827472951
2015-05-03,4.2,4.729471217426408
2015-05-04,6.999999999999999,3.523259997630381
2015-05-05,6.999999999999999,6.608314639443302
2015-05-06,11.0,6.759531658462147
2015-05-07,10.25,7.4273736149280785
2015-05-08,9.5,7.2800717542214075
2015-05-09,10.5,6.92211223163935
2015-05-10,7.5,8.151298012350669
2015-05-11,10.0,6.9121073342709
2015-05-12,10.8,7.440158071201318
2015-05-13,10.15,7.661670987709204
2015-05-14,9.5,7.65550681143526
2015-05-15,10.8,6.71763053978387
2015-05-16,10.0,7.616120085257057
2015-05-17,10.5,8.00720624644301
2015-05-18,10.5,8.261196511414004
2015-05-19,10.0,7.52558689242821
2015-05-20,10.5,7.965877138351056
2015-05-21,10.0,8.638727403350433
2015-05-22,8.4,8.772534733891273
2015-05-23,9.0,8.512436577354249
2015-05-24,7.3,9.263232117661808
2015-05-25,6.999999999999999,8.563356851381092
2015-05-26,9.5,7.7873535740094075
2015-05-27,10.2,8.384094935254758
2015-05-28,10.0,8.5482037137519
2015-05-29,9.0,8.793361490640274
2015-05-30,6.0,8.075856737812643
2015-05-31,9.0,6.3210063497439135
2015-06-01,7.6,7.221370100149779
2015-06-02,7.5,7.944084937825151
2015-06-03,7.799999999999999,7.657184565457683
2015-06-04,10.0,8.379985737599794
2015-06-05,9.0,8.221134747527547
2015-06-06,10.0,7.853337334459937
2015-06-07,6.999999999999999,9.366321248429736
2015-06-08,9.0,7.181041091531163
2015-06-09,7.5,8.503810183844811
2015-06-10,8.5,8.484158965702674
2015-06-11,10.0,8.754538859390037
2015-06-12,6.75,9.733388965572003
2015-06-13,3.4999999999999996,7.540749137867919
2015-06-14,5.333333333333333,5.190895781076696
2015-06-15,7.166666666666665,5.374823682786887
2015-06-16,9.0,7.979743561366405
2015-06-17,9.6,8.127886187862591
2015-06-18,9.5,8.463155036907384
2015-06-19,9.8,8.248264358746303
2015-06-20,5.5,7.948675243359525
2015-06-21,10.2,6.118596899923286
2015-06-22,8.0,7.690308403439633
2015-06-23,7.5,7.1682476934697865
2015-06-24,6.999999999999999,7.408405728003841
2015-06-25,6.5,6.62322459722015
2015-06-26,10.7,6.5236031215116235
2015-06-27,10.3,7.739223057180175
2015-06-28,10.0,8.253015935819073
2015-06-29,9.8,8.034471229076479
2015-06-30,9.0,7.5758311865479415
2015-07-01,11.0,9.108710513935042
2015-07-02,10.0,8.37287244325427
2015-07-03,10.5,8.557758429221405
2015-07-04,9.7,9.05478770198805
2015-07-05,10.0,7.947681828328553
2015-07-06,10.0,7.452241877271844
2015-07-07,10.4,6.952607492537365
2015-07-08,6.999999999999999,8.367856305892323
2015-07-09,5.6,7.794776959058104
2015-07-10,5.5,6.750355225775
2015-07-11,9.0,7.147024751507983
2015-07-12,8.0,7.109101659200574
2015-07-13,8.0,8.473565360643475
2015-07-14,9.6,7.786773971251797
2015-07-15,8.0,8.579645221415413
2015-07-16,9.3,7.008753647790857
2015-07-17,9.5,8.77170448377823
2015-07-18,9.5,8.976584767498352
2015-07-19,9.4,8.060118545324006
2015-07-20,5.5,8.731570651414952
2015-07-21,5.0,5.637474321542554
2015-07-22,6.0,5.2805928078322335
2015-07-23,9.5,6.263058032803368
2015-07-24,8.6,7.895297156533122
2015-07-25,7.699999999999999,8.506875866247976
2015-07-26,8.0,8.046201186870949
2015-07-27,11.0,8.049224974329292
2015-07-28,9.9,8.849291825083917
2015-07-29,10.5,9.233966849416943
2015-07-30,10.0,9.395441163351848
2015-07-31,10.3,9.154177384980482
2015-08-01,10.8,7.8183292757132845
2015-08-02,9.5,8.8333482677792
2015-08-03,10.0,8.796970714517945
2015-08-04,10.0,8.591241886716544
2015-08-05,9.0,8.423826627683665
2015-08-06,8.0,8.144602477657982
2015-08-07,8.0,7.471937476317938
2015-08-08,8.0,7.797684738107566
2015-08-09,7.799999999999999,9.565768755206197
2015-08-10,9.0,8.562886806114626
2015-08-11,10.0,7.865556371361865
2015-08-12,10.0,8.295701700241136
2015-08-13,9.0,8.705684803515561
2015-08-14,6.999999999999999,9.562671059533654
2015-08-15,10.5,8.267762418237774
2015-08-16,9.0,9.02540638392985
2015-08-17,10.0,8.416119695559159
2015-08-18,10.5,9.001157694078005
2015-08-19,10.5,9.169752640377878
2015-08-20,9.5,8.72417566363806
2015-08-21,9.0,8.66481292952631
2015-08-22,7.799999999999999,8.843360681129523
2015-08-23,10.5,8.494750093600844
2015-08-24,10.0,9.65242549155969
2015-08-25,9.5,10.30085005294185
2015-08-26,4.0,9.2870836352745
2015-08-27,6.5,6.948844715072514
2015-08-28,10.0,7.293521059298485
2015-08-29,10.0,8.928137868525361
2015-08-30,10.0,8.362077874974583
2015-08-31,10.0,9.34384878576168
2015-09-01,9.0,9.098686259568206
2015-09-02,6.5,8.222954173262515
2015-09-03,5.3,7.32999804405126
2015-09-04,9.0,6.12213026071931
2015-09-05,10.0,7.964455975709385
2015-09-06,10.5,8.902774796633622
2015-09-07,10.0,8.415438827327161
2015-09-08,10.2,8.563920976910056
2015-09-09,10.0,8.508198904630966
2015-09-10,10.0,8.659374573870453
2015-09-11,10.0,7.578064912576766
2015-09-12,10.0,8.365686200106332
2015-09-13,10.0,9.279075339346972
2015-09-14,10.5,9.600900797608746
2015-09-15,8.5,8.731275711209033
2015-09-16,10.0,8.909966303560193
2015-09-17,10.0,7.998158138960321
2015-09-18,9.0,7.7992882229662355
2015-09-19,8.0,7.976161372452867
2015-09-20,9.5,8.752120557368979
2015-09-21,9.5,8.548326171866849
2015-09-22,10.2,8.699384377051368
2015-09-23,10.0,9.797257758409188
2015-09-24,10.5,8.356732321786804
2015-09-25,10.1,7.661656516047612
2015-09-26,10.5,9.141274961898747
2015-09-27,8.0,9.681155296894435
2015-09-28,8.0,8.557672306772961
2015-09-29,10.0,7.727930397343018
2015-09-30,9.5,9.510431815648218
2015-10-01,10.0,9.247674793676213
2015-10-02,8.0,9.271952426116101
2015-10-03,8.0,8.560881018902476
2015-10-04,8.0,8.153624899523688
2015-10-05,10.0,7.955408524967333
2015-10-06,9.5,9.80670734019165
2015-10-07,9.0,9.183567571740324
2015-10-08,9.0,9.346722033076768
2015-10-09,8.0,9.051357881798982
2015-10-10,9.0,7.977451258062166
2015-10-11,9.0,8.377987274625333
2015-10-12,10.0,8.736478853504778
2015-10-13,10.2,9.43891803103588
2015-10-14,8.7,9.490420437513515
2015-10-15,9.0,8.939790425371855
2015-10-16,10.5,9.128093562298483
2015-10-17,10.0,10.068214915480194
2015-10-18,11.0,10.085415985866518
2015-10-19,11.0,9.913596631280875
2015-10-20,11.6,10.06627866947832
2015-10-21,11.4,10.44066196754654
2015-10-22,11.0,10.714799068200923
2015-10-23,11.9,10.504810018527213
2015-10-24,11.0,10.03945231890701
2015-10-25,11.3,10.028165395217044
2015-10-26,11.3,9.840892344209259
2015-10-27,11.3,10.065752891664879
2015-10-28,11.0,10.401667102234843
2015-10-29,11.2,9.773711455898603
2015-10-30,11.8,9.825164451772935
2015-10-31,12.0,9.836371559732486
2015-11-01,11.0,9.78034433597618
2015-11-02,12.599999999999998,9.33447852870205
2015-11-03,11.8,9.576387237977723
2015-11-04,8.9,9.019785766544816
2015-11-05,6.0,7.694820438638293
2015-11-06,6.8,6.222097206813924
2015-11-07,10.1,6.841294096624576
2015-11-08,9.5,8.498779585053374
2015-11-09,5.6,7.674603984549768
2015-11-10,5.4,6.57648904527085
2015-11-11,6.5,6.868426331103321
2015-11-12,11.8,6.300570821486488
2015-11-13,10.4,8.07569407035358
2015-11-14,12.0,8.016913209188457
2015-11-15,12.499999999999998,8.798508609382841
2015-11-16,9.8,8.309463632994477
2015-11-17,8.6,6.737888692810379
2015-11-18,6.5,6.672765469691603
2015-11-19,8.6,6.015805302641211
2015-11-20,11.5,6.565469329382239
2015-11-21,10.4,7.764473770903429
2015-11-22,8.0,7.807206401564305
2015-11-23,12.499999999999998,6.603226462152775
2015-11-24,12.299999999999999,8.437372377887701
2015-11-25,3.8,8.433088003601064
2015-11-26,7.5,5.920069749466605
2015-11-27,6.199999999999999,7.736937059847138
2015-11-28,8.1,6.32675070087338
2015-11-29,10.8,7.7476549823314445
2015-11-30,10.5,7.629959629468307
2015-12-01,11.8,7.624681350908529
2015-12-02,10.6,7.234542855837042
2015-12-03,5.5,6.563566990559434
2015-12-04,4.1,5.728967967846698
2015-12-05,4.2,6.942286764906796
2015-12-06,4.8,6.245994174302587
2015-12-07,5.8,5.403979079817941
2015-12-08,7.6,6.705659644907323
2015-12-09,6.199999999999999,6.144548860022768
2015-12-10,5.5,5.0669949135455035
2015-12-11,6.1,5.582126888833286
2015-12-12,4.4,6.384750095321206
2015-12-13,6.4,7.120245161108606
2015-12-14,1.5,6.111037526442196
2015-12-15,4.5,5.509165884364345
2015-12-16,4.2,5.342859069071428
2015-12-17,2.8,3.4722293925603687
2015-12-18,1.6,4.887845511401623
2015-12-19,2.2,4.748757820344524
2015-12-20,2.8,4.642237456316903
2015-12-21,2.8,4.415936802861124
2015-12-22,10.0,4.715448781769889
2015-12-23,10.0,6.349710326334594
2015-12-24,8.5,5.912609106873317
2015-12-25,4.2,6.593751055521267
2015-12-26,4.8,4.301618301133335
2015-12-27,8.8,5.219342699953782
2015-12-28,12.299999999999999,6.794730393158653
2015-12-29,11.0,7.005220542595414
2015-12-30,8.2,7.636991041886364
2015-12-31,8.5,7.047352145340957
2016-01-01,8.0,7.596580116049269
2016-01-02,2.0,6.5478660906561235
2016-01-03,8.6,3.5640504120431107
