Tanggal,Actual,Predicted
2015-04-12,1.0,1.5049800654702958
2015-04-13,1.0,1.640351066571991
2015-04-14,1.0,1.6148578898016397
2015-04-15,1.0,1.149813837665913
2015-04-16,1.0,1.380967299024451
2015-04-17,1.0,1.0338950425615179
2015-04-18,1.0,1.1133669653520675
2015-04-19,1.0,1.119924860369712
2015-04-20,1.0,1.1285867056688736
2015-04-21,2.0,0.8005360506212266
2015-04-22,2.0,1.162233678826888
2015-04-23,1.0,1.268512635714022
2015-04-24,1.0,0.8768108145554284
2015-04-25,1.0,1.6099415037196836
2015-04-26,1.0,1.5443646549131012
2015-04-27,1.0,1.3577857008103025
2015-04-28,2.0,1.5709560936823945
2015-04-29,1.0,1.3504058128993215
2015-04-30,1.0,1.285369043541247
2015-05-01,1.0,1.3457487391153615
2015-05-02,1.0,1.272163777295496
2015-05-03,2.0,1.5555713310073573
2015-05-04,2.0,1.3614860533589406
2015-05-05,2.0,1.4830115333469351
2015-05-06,1.0,1.4934892727509463
2015-05-07,2.0,1.3017766420969565
2015-05-08,2.0,1.936298212444073
2015-05-09,2.0,1.714157723205699
2015-05-10,1.0,1.8484087659470865
2015-05-11,3.0,1.3015487985281484
2015-05-12,2.0,2.1317342133114656
2015-05-13,2.0,1.7839680405122658
2015-05-14,2.0,2.015778724004274
2015-05-15,2.0,2.206945788511349
2015-05-16,2.0,2.2254114160863825
2015-05-17,2.0,1.6783280142758206
2015-05-18,1.0,1.7943506968443745
2015-05-19,1.0,1.875582375621968
2015-05-20,1.0,1.301975549152417
2015-05-21,1.0,1.5404705438145494
2015-05-22,2.0,1.5381568198193707
2015-05-23,1.0,2.065928000543483
2015-05-24,2.0,1.2515409254548049
2015-05-25,1.0,1.5830057472337131
2015-05-26,2.0,1.4265010532422162
2015-05-27,3.0,1.7207468972912845
2015-05-28,3.0,1.6504792765469838
2015-05-29,4.0,2.4972614021336863
2015-05-30,2.0,3.2407548263368016
2015-05-31,2.0,2.3376709057397527
2015-06-01,2.0,2.5721352126828116
2015-06-02,3.0,2.3089596918863786
2015-06-03,4.0,2.0510439224283132
2015-06-04,4.0,3.5517686496981367
2015-06-05,4.0,3.237820902790054
2015-06-06,4.0,3.440920935757765
2015-06-07,4.0,3.438670768100355
2015-06-08,3.0,3.436476223813244
2015-06-09,2.0,2.847098599385189
2015-06-10,2.0,2.180240865689132
2015-06-11,2.0,2.276650849819662
2015-06-12,3.0,2.197714118646746
2015-06-13,3.0,2.598155724524176
2015-06-14,2.0,2.705348048319913
2015-06-15,2.0,2.037197213216016
2015-06-16,2.0,2.00554092991821
2015-06-17,2.0,2.0263283124459246
2015-06-18,3.0,1.9491938456200828
2015-06-19,2.0,2.272157040011042
2015-06-20,2.0,2.8265807724765692
2015-06-21,3.0,2.6422121309244693
2015-06-22,4.0,2.7905625821814715
2015-06-23,3.0,2.92192698191602
2015-06-24,1.0,2.566320817961502
2015-06-25,2.0,2.415003878723936
2015-06-26,2.0,2.8846115355840016
2015-06-27,2.0,2.245207887055069
2015-06-28,3.0,1.8703371470517218
2015-06-29,2.0,2.3082753691044573
2015-06-30,2.0,2.049779205915039
2015-07-01,2.0,2.209264054052577
2015-07-02,3.0,2.3438602602780594
2015-07-03,2.0,2.465857276074673
2015-07-04,2.0,1.927405177737776
2015-07-05,2.0,2.3011952016691137
2015-07-06,1.0,2.153789315023224
2015-07-07,2.0,2.1488803636186224
2015-07-08,2.0,2.449672254794765
2015-07-09,2.0,2.249544331205748
2015-07-10,2.0,1.7562804543384065
2015-07-11,2.0,2.1108172411980655
2015-07-12,2.0,2.15411308633591
2015-07-13,2.0,2.1305159611893822
2015-07-14,4.0,1.7403538755828651
2015-07-15,2.0,2.782310476250282
2015-07-16,3.0,2.5698267724342743
2015-07-17,3.0,2.683913162399162
2015-07-18,2.0,2.2631116761192853
2015-07-19,2.0,1.893811846117358
2015-07-20,1.0,2.2499340599497146
2015-07-21,2.0,1.966803669730979
2015-07-22,2.0,1.9694458020031318
2015-07-23,2.0,2.132342288818783
2015-07-24,2.0,2.214507379024113
2015-07-25,4.0,2.1490703138998004
2015-07-26,2.0,2.8969877535271156
2015-07-27,3.0,2.4950845234997163
2015-07-28,4.0,2.909608493207125
2015-07-29,3.0,3.0309174154911074
2015-07-30,3.0,2.882436530305848
2015-07-31,4.0,2.6397671004494945
2015-08-01,4.0,2.643019345204404
2015-08-02,3.0,3.287078700703322
2015-08-03,2.0,3.3986836028740743
2015-08-04,2.0,2.6333837855426756
2015-08-05,2.0,2.954086059658809
2015-08-06,2.0,2.3816300934195125
2015-08-07,2.0,1.9105222132345465
2015-08-08,2.0,2.2935503119829304
2015-08-09,4.0,2.5164635765468546
2015-08-10,4.0,2.7508938738450768
2015-08-11,4.0,2.887632612099602
2015-08-12,3.0,3.335095587293451
2015-08-13,2.0,3.221584579174468
2015-08-14,3.0,3.081822102107139
2015-08-15,2.0,2.667203649789009
2015-08-16,2.0,3.474725140703105
2015-08-17,2.0,2.922131908919445
2015-08-18,2.0,2.4528641296410165
2015-08-19,2.0,2.4492694946474414
2015-08-20,2.0,3.011160941909193
2015-08-21,2.0,1.811029759647581
2015-08-22,3.0,2.265935886377198
