Tanggal,Arah Angin Saat Kecepatan Maksimum
1980-12-31,180.0
1981-12-31,180.0
1982-12-31,183.82191780821918
1983-12-31,202.56164383561645
1984-12-31,239.56967213114754
1985-12-31,234.36986301369862
1986-12-31,233.013698630137
1987-12-31,217.6027397260274
1988-12-31,207.29508196721312
1989-12-31,173.34246575342465
1990-12-31,149.7945205479452
1991-12-31,130.93150684931507
1992-12-31,132.54098360655738
1993-12-31,134.3835616438356
1994-12-31,139.31506849315068
1995-12-31,194.1164383561644
1996-12-31,232.56147540983608
1997-12-31,249.53424657534248
1998-12-31,252.36986301369862
1999-12-31,242.3835616438356
2000-12-31,233.2377049180328
2001-12-31,242.87671232876713
2002-12-31,237.82191780821918
2003-12-31,225.986301369863
2004-12-31,242.827868852459
2005-12-31,246.94520547945206
2006-12-31,236.58904109589042
2007-12-31,233.32191780821918
2008-12-31,230.5327868852459
2009-12-31,226.84931506849315
2010-12-31,244.1095890410959
2011-12-31,233.5068493150685
2012-12-31,234.40573770491804
2013-12-31,226.5068493150685
2014-12-31,214.03835616438357
2015-12-31,226.6109589041096
2016-12-31,231.9808743169399
2017-12-31,198.06027397260274
2018-12-31,197.013698630137
2019-12-31,197.82191780821918
2020-12-31,199.4262295081967
2021-12-31,202.13698630136986
2022-12-31,178.1917808219178
2023-12-31,157.41095890410958
